playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8479496,2021,David Rittich,NSH,G,other,5,466.0,0.4,0.0,5.0,0.33,1.0,0.82,1.0,3.8,5.0,0.1,0.0,2.35,1.0,0.97,2.0,0.39,4.0,0.0,1.0,0.16,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0
8479496,2021,David Rittich,NSH,G,all,5,16267.0,10.28,14.0,236.0,8.25,6.0,26.23,28.0,116.02,117.0,4.84,3.0,67.16,48.0,46.4,62.0,10.03,119.0,35.0,8.0,3.96,4.12,2.19,5.0,7.0,2.0,74.0,0.0,0.0
8479496,2021,David Rittich,NSH,G,5on5,5,14538.0,7.83,9.0,199.0,6.51,4.0,21.73,25.0,94.03,93.0,3.96,3.0,54.62,41.0,38.33,51.0,7.67,99.0,27.0,6.0,3.07,3.18,1.59,3.0,5.0,1.0,67.0,0.0,0.0
8479496,2021,David Rittich,NSH,G,4on5,5,704.0,1.82,5.0,25.0,1.22,1.0,2.96,1.0,13.87,13.0,0.0,0.0,8.48,4.0,4.08,6.0,1.75,11.0,7.0,1.0,0.6,0.86,0.36,2.0,2.0,1.0,6.0,0.0,0.0
8479496,2021,David Rittich,NSH,G,5on4,5,559.0,0.1,0.0,5.0,0.1,0.0,0.45,0.0,2.83,4.0,0.36,0.0,0.99,1.0,2.26,3.0,0.1,4.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8475831,2021,Philipp Grubauer,SEA,G,other,23,2061.0,2.35,2.0,42.0,1.84,3.0,4.69,5.0,21.18,20.0,0.4,0.0,13.53,13.0,5.84,6.0,1.92,20.0,5.0,4.0,0.52,0.64,1.19,1.0,1.0,0.0,13.0,0.0,0.0
8475831,2021,Philipp Grubauer,SEA,G,all,23,74408.0,47.45,68.0,1059.0,39.21,47.0,137.86,153.0,575.73,578.0,18.58,18.0,318.66,240.0,233.13,271.0,45.46,617.0,131.0,47.0,16.55,15.94,14.97,29.0,23.0,16.0,264.0,0.0,0.0
8475831,2021,Philipp Grubauer,SEA,G,5on5,23,62776.0,38.69,57.0,887.0,31.13,40.0,117.59,132.0,481.42,484.0,14.86,15.0,261.74,189.0,199.29,231.0,37.38,517.0,111.0,36.0,14.36,13.41,10.92,24.0,21.0,12.0,223.0,0.0,0.0
8475831,2021,Philipp Grubauer,SEA,G,4on5,23,3888.0,5.65,6.0,110.0,5.72,4.0,14.08,13.0,62.59,62.0,0.21,1.0,39.77,35.0,20.69,29.0,5.41,69.0,12.0,7.0,1.27,1.53,2.85,1.0,1.0,4.0,22.0,0.0,0.0
8475831,2021,Philipp Grubauer,SEA,G,5on4,23,5683.0,0.55,1.0,15.0,0.34,0.0,1.1,3.0,8.14,9.0,3.06,2.0,2.6,3.0,6.19,4.0,0.54,9.0,2.0,0.0,0.29,0.26,0.0,1.0,0.0,0.0,4.0,0.0,0.0
8476341,2021,Anton Forsberg,OTT,G,other,12,993.0,2.59,3.0,30.0,1.24,1.0,3.97,5.0,19.45,17.0,0.3,0.0,10.79,9.0,7.78,9.0,2.44,13.0,11.0,3.0,0.58,1.29,0.71,1.0,1.0,1.0,3.0,0.0,0.0
8476341,2021,Anton Forsberg,OTT,G,all,12,37278.0,34.87,32.0,677.0,26.37,20.0,81.46,85.0,367.6,353.0,9.77,16.0,207.94,177.0,146.67,179.0,33.49,355.0,126.0,28.0,11.07,15.21,8.58,10.0,12.0,10.0,168.0,0.0,0.0
8476341,2021,Anton Forsberg,OTT,G,5on5,12,30036.0,24.76,22.0,529.0,18.99,15.0,64.31,65.0,278.94,262.0,7.8,13.0,155.43,137.0,114.73,137.0,24.0,274.0,96.0,17.0,8.42,11.8,4.54,8.0,9.0,5.0,142.0,0.0,0.0
8476341,2021,Anton Forsberg,OTT,G,4on5,12,3647.0,7.34,7.0,110.0,5.92,4.0,12.39,13.0,64.6,68.0,0.22,0.0,39.88,31.0,20.37,28.0,6.87,61.0,19.0,8.0,1.89,2.12,3.33,1.0,2.0,4.0,22.0,0.0,0.0
8476341,2021,Anton Forsberg,OTT,G,5on4,12,2602.0,0.18,0.0,8.0,0.21,0.0,0.79,2.0,4.62,6.0,1.45,3.0,1.85,0.0,3.8,5.0,0.18,7.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8477424,2021,Juuse Saros,NSH,G,other,23,2424.0,4.94,2.0,81.0,3.22,2.0,7.13,10.0,39.56,37.0,0.64,1.0,25.34,18.0,12.89,21.0,4.41,33.0,17.0,5.0,1.22,1.82,1.91,1.0,1.0,0.0,26.0,0.0,0.0
8477424,2021,Juuse Saros,NSH,G,all,23,80820.0,59.78,50.0,1171.0,46.21,39.0,142.7,162.0,645.53,645.0,20.83,24.0,372.55,258.0,260.44,360.0,57.45,677.0,171.0,55.0,20.71,20.27,18.79,14.0,21.0,15.0,268.0,0.0,0.0
8477424,2021,Juuse Saros,NSH,G,5on5,23,65473.0,41.22,33.0,881.0,33.7,27.0,112.9,135.0,491.48,491.0,16.54,21.0,280.29,182.0,203.95,285.0,40.07,522.0,133.0,33.0,16.16,15.94,9.12,11.0,17.0,5.0,193.0,0.0,0.0
8477424,2021,Juuse Saros,NSH,G,4on5,23,6955.0,12.77,14.0,188.0,8.59,10.0,20.58,15.0,100.89,100.0,0.41,0.0,61.8,54.0,32.92,42.0,12.12,104.0,19.0,17.0,2.67,2.33,7.77,1.0,3.0,10.0,48.0,0.0,0.0
