lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
847403784747158476872,2021,Van Riemsdyk-Laughton-Atkinson,PHI,line,5on5,5,787.0,44.0,0.4,0.38,0.31,3.45,0.3,0.25,0.8,0.12,2.05,1.48,0.3,0.32,0.32,4.0,1.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,5.0,6.0,2.0,3.0,4.0,1.0,0.0,0.15,0.15,0.0,1.0,0.0,0.0,10.3,5.0,5.34,2.0,0.05,0.0,0.0,0.35,0.37,0.37,6.98,0.45,0.51,1.57,0.22,5.03,3.22,0.44,0.44,0.43,6.0,5.0,5.0,16.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,6.0,11.0,0.0,0.0,7.0,9.0,2.0,2.0,9.0,2.0,0.0,0.27,0.18,0.0,0.0,0.0,0.0,15.81,11.0,11.09,0.0,0.1,0.0,0.0,0.55,0.55,0.53
847695284780408478424,2021,Harkins-Toninato-Poganski,WPG,line,5on5,9,701.0,108.0,0.18,0.26,0.22,2.93,0.25,0.15,0.82,0.1,1.34,1.34,0.25,0.24,0.24,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,9.0,0.0,1.0,2.0,2.0,0.0,0.04,0.21,0.0,0.0,0.0,0.0,5.9,4.0,3.91,1.0,0.03,0.0,0.0,0.29,0.27,0.27,10.56,1.12,0.74,2.12,0.33,5.29,4.4,1.05,1.13,1.07,9.0,5.0,3.0,17.0,0.0,2.0,0.0,0.0,0.0,6.0,6.0,9.0,14.0,0.0,0.0,4.0,7.0,1.0,0.0,9.0,3.0,2.0,0.24,0.39,0.5,0.0,0.0,0.0,17.52,14.0,14.69,0.0,0.16,0.43,0.43,0.84,0.88,0.86
84758258476902,2021,Lindell-Hakanpaa,DAL,pairing,5on5,57,12216.0,281.0,0.41,0.4,0.42,70.61,5.52,4.36,17.49,2.21,36.91,28.51,5.35,5.55,5.38,68.0,27.0,33.0,128.0,6.0,3.0,1.0,21.0,3.0,18.0,44.0,62.0,89.0,15.0,33.0,116.0,123.0,20.0,26.0,68.0,21.0,6.0,1.54,2.42,1.56,1.0,3.0,2.0,128.44,95.0,95.59,16.0,0.91,0.65,0.65,5.77,5.8,5.74,95.36,8.08,6.42,22.37,3.05,53.22,38.86,7.65,8.07,7.61,100.0,32.0,62.0,194.0,5.0,6.0,0.0,27.0,3.0,42.0,49.0,95.0,127.0,17.0,37.0,71.0,97.0,19.0,41.0,99.0,26.0,7.0,2.9,2.96,2.21,3.0,1.0,1.0,191.86,132.0,129.98,24.0,1.32,1.57,1.57,7.83,7.74,7.59
84752278479348,2021,Clague-Wideman,MTL,pairing,5on5,17,7130.0,68.0,0.43,0.47,0.48,48.07,3.54,3.25,11.58,1.6,26.55,19.49,3.31,3.47,3.24,50.0,16.0,18.0,84.0,1.0,8.0,0.0,7.0,0.0,17.0,33.0,49.0,65.0,11.0,25.0,51.0,44.0,9.0,39.0,54.0,9.0,3.0,1.53,1.12,0.89,1.0,0.0,0.0,82.09,66.0,64.51,29.0,0.67,1.0,1.0,3.2,3.12,3.06,51.23,4.72,3.33,12.19,1.67,28.51,21.58,4.59,4.92,4.78,54.0,18.0,22.0,94.0,7.0,4.0,1.0,9.0,2.0,26.0,24.0,47.0,65.0,12.0,27.0,56.0,46.0,11.0,27.0,52.0,14.0,6.0,1.45,1.63,1.65,4.0,3.0,0.0,96.99,72.0,74.19,23.0,0.69,0.95,0.95,4.46,4.65,4.59
847409884779988478585,2021,Foegele-Ryan-Sceviour,EDM,line,5on5,10,1686.0,92.0,0.42,0.46,0.45,13.43,1.03,0.88,2.97,0.45,6.81,5.87,0.97,1.01,0.95,13.0,5.0,8.0,26.0,0.0,1.0,0.0,2.0,0.0,5.0,10.0,13.0,18.0,2.0,7.0,10.0,17.0,5.0,1.0,15.0,1.0,2.0,0.42,0.11,0.51,0.0,0.0,0.0,25.59,18.0,17.81,1.0,0.18,0.26,0.26,0.95,0.94,0.93,16.49,1.44,0.96,3.86,0.52,8.56,6.65,1.42,1.51,1.49,21.0,1.0,8.0,30.0,3.0,0.0,0.0,8.0,0.0,6.0,5.0,18.0,19.0,3.0,9.0,14.0,14.0,6.0,6.0,16.0,4.0,2.0,0.42,0.46,0.56,2.0,0.0,1.0,31.32,22.0,22.93,5.0,0.2,0.0,0.0,1.64,1.72,1.7
84745638479998,2021,Anderson-Doughty,LAK,pairing,5on5,36,35275.0,49.0,0.57,0.59,0.59,336.02,27.8,22.43,79.19,10.99,184.36,138.24,26.84,27.94,26.98,341.0,122.0,149.0,612.0,26.0,22.0,5.0,82.0,4.0,125.0,204.0,315.0,437.0,34.0,80.0,278.0,223.0,50.0,64.0,355.0,85.0,23.0,10.57,10.67,6.55,11.0,8.0,7.0,619.3,463.0,467.4,41.0,4.64,5.4,4.78,27.66,27.79,27.42,237.13,21.03,16.29,54.97,7.59,129.64,95.5,20.39,21.43,20.77,237.0,88.0,96.0,421.0,25.0,25.0,5.0,63.0,10.0,86.0,116.0,212.0,300.0,46.0,105.0,285.0,285.0,46.0,83.0,238.0,66.0,21.0,7.54,7.7,5.79,7.0,13.0,5.0,424.93,325.0,328.78,58.0,3.38,4.4,4.64,19.77,20.09,19.84
847647984796758481560,2021,Moore-Danault-Kaliyev,LAK,line,5on5,13,3899.0,100.0,0.64,0.69,0.66,48.15,3.71,3.34,11.52,1.52,27.31,19.59,3.66,3.57,3.53,47.0,20.0,20.0,87.0,2.0,4.0,1.0,13.0,2.0,23.0,23.0,45.0,65.0,4.0,8.0,40.0,22.0,8.0,4.0,52.0,13.0,2.0,1.53,1.63,0.55,1.0,0.0,1.0,83.09,67.0,64.6,3.0,0.69,0.71,0.71,3.69,3.57,3.54,25.73,2.07,1.84,5.41,0.79,14.21,10.69,2.05,2.13,2.11,27.0,8.0,4.0,39.0,1.0,0.0,0.0,8.0,1.0,5.0,20.0,26.0,34.0,4.0,8.0,33.0,41.0,3.0,9.0,26.0,9.0,0.0,0.98,1.09,0.0,1.0,0.0,0.0,41.0,35.0,36.13,6.0,0.38,0.0,0.0,2.45,2.53,2.5
847458684775058477955,2021,Mccann-Wennberg-Eberle,SEA,line,5on5,7,1480.0,70.0,0.28,0.37,0.38,11.12,0.85,0.81,2.65,0.38,6.48,4.83,0.84,0.86,0.85,11.0,5.0,3.0,19.0,1.0,1.0,0.0,1.0,1.0,5.0,7.0,10.0,15.0,1.0,2.0,14.0,8.0,2.0,9.0,14.0,1.0,1.0,0.37,0.19,0.29,1.0,0.0,0.0,19.41,16.0,16.36,5.0,0.17,0.29,0.29,0.72,0.73,0.73,19.44,2.22,1.42,4.2,0.63,9.98,7.54,2.11,2.18,2.07,19.0,7.0,7.0,33.0,2.0,3.0,0.0,4.0,0.0,6.0,11.0,17.0,24.0,0.0,0.0,16.0,6.0,3.0,0.0,16.0,8.0,2.0,0.5,1.13,0.59,0.0,1.0,1.0,32.75,26.0,25.83,0.0,0.3,0.68,0.68,1.84,1.79,1.78
84768538478408,2021,Rielly-Dermott,TOR,pairing,5on5,28,5256.0,204.0,0.39,0.5,0.46,42.35,3.57,2.93,9.01,1.22,23.43,16.85,3.53,3.45,3.42,42.0,15.0,24.0,81.0,5.0,0.0,0.0,10.0,1.0,12.0,29.0,37.0,52.0,4.0,8.0,36.0,23.0,17.0,23.0,39.0,16.0,2.0,1.26,1.87,0.44,1.0,2.0,2.0,78.01,57.0,55.37,13.0,0.61,0.0,0.0,4.17,4.04,4.0,49.46,5.64,3.48,11.18,1.64,25.21,19.86,5.4,5.92,5.66,49.0,18.0,14.0,81.0,6.0,5.0,3.0,11.0,0.0,21.0,24.0,43.0,61.0,4.0,8.0,35.0,38.0,6.0,23.0,46.0,11.0,10.0,1.2,1.44,2.99,0.0,2.0,4.0,82.98,67.0,69.15,20.0,0.73,1.43,1.34,5.03,5.24,5.11
847573584792918480078,2021,Mckegg-Rooney-Chytil,NYR,line,5on5,3,1078.0,14.0,0.47,0.31,0.33,5.26,0.4,0.42,1.08,0.15,2.73,2.22,0.4,0.4,0.4,6.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,6.0,1.0,2.0,3.0,11.0,0.0,2.0,4.0,3.0,0.0,0.07,0.33,0.0,1.0,0.0,0.0,7.89,7.0,6.91,2.0,0.09,0.13,0.0,0.49,0.49,0.49,10.33,0.46,0.52,2.5,0.34,5.5,4.67,0.46,0.45,0.44,4.0,10.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,4.0,14.0,1.0,2.0,13.0,7.0,2.0,3.0,13.0,1.0,0.0,0.33,0.13,0.0,0.0,0.0,0.0,17.26,14.0,13.36,1.0,0.11,0.0,0.0,0.57,0.55,0.54
