Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Roman Josi (21810192),Roman Josi,21810192,D/UTIL,9200,NSH@VGK 03/24/2022 10:00PM ET,NSH,16.99
C,Connor McDavid (21808826),Connor McDavid,21808826,C/UTIL,9000,SJ@EDM 03/24/2022 09:00PM ET,EDM,16.91
C,Aleksander Barkov (21808828),Aleksander Barkov,21808828,C/UTIL,8700,FLA@MON 03/24/2022 07:00PM ET,FLA,15.20
LW,Kyle Connor (21809338),Kyle Connor,21809338,W/UTIL,8600,OTT@WPG 03/24/2022 08:00PM ET,WPG,16.87
G,Connor Hellebuyck (21810976),Connor Hellebuyck,21810976,G,8600,OTT@WPG 03/24/2022 08:00PM ET,WPG,14.64
G,Eric Comrie (21810977),Eric Comrie,21810977,G,8600,OTT@WPG 03/24/2022 08:00PM ET,WPG,14.76
G,Ville Husso (21810978),Ville Husso,21810978,G,8500,PHI@STL 03/24/2022 08:00PM ET,STL,16.28
G,Jordan Binnington (21810979),Jordan Binnington,21810979,G,8500,PHI@STL 03/24/2022 08:00PM ET,STL,12.92
C,Leon Draisaitl (21808830),Leon Draisaitl,21808830,C/UTIL,8400,SJ@EDM 03/24/2022 09:00PM ET,EDM,15.96
G,Mike Smith (21810980),Mike Smith,21810980,G,8400,SJ@EDM 03/24/2022 09:00PM ET,EDM,10.92
G,Mikko Koskinen (21810981),Mikko Koskinen,21810981,G,8400,SJ@EDM 03/24/2022 09:00PM ET,EDM,13.54
G,Mikhail Berdin (21810982),Mikhail Berdin,21810982,G,8400,OTT@WPG 03/24/2022 08:00PM ET,WPG,0
G,Sergei Bobrovsky (21810983),Sergei Bobrovsky,21810983,G,8300,FLA@MON 03/24/2022 07:00PM ET,FLA,15.51
G,Spencer Knight (21810984),Spencer Knight,21810984,G,8300,FLA@MON 03/24/2022 07:00PM ET,FLA,12.78
G,Charlie Lindgren (21810985),Charlie Lindgren,21810985,G,8300,PHI@STL 03/24/2022 08:00PM ET,STL,18.32
LW,Kirill Kaprizov (21809340),Kirill Kaprizov,21809340,W/UTIL,8300,VAN@MIN 03/24/2022 08:00PM ET,MIN,15.06
G,Stuart Skinner (21810988),Stuart Skinner,21810988,G,8200,SJ@EDM 03/24/2022 09:00PM ET,EDM,13.19
G,Ilya Sorokin (21810986),Ilya Sorokin,21810986,G,8200,DET@NYI 03/24/2022 07:30PM ET,NYI,16.84
G,Semyon Varlamov (21810987),Semyon Varlamov,21810987,G,8200,DET@NYI 03/24/2022 07:30PM ET,NYI,13.77
G,Jonas Johansson (21810991),Jonas Johansson,21810991,G,8100,FLA@MON 03/24/2022 07:00PM ET,FLA,6.13
G,Marc-Andre Fleury (21810989),Marc-Andre Fleury,21810989,G,8100,VAN@MIN 03/24/2022 08:00PM ET,MIN,13.46
G,Cam Talbot (21810990),Cam Talbot,21810990,G,8100,VAN@MIN 03/24/2022 08:00PM ET,MIN,13.94
G,Cal Petersen (21810992),Cal Petersen,21810992,G,8000,CHI@LA 03/24/2022 10:00PM ET,LA,11.68
G,Jonathan Quick (21810993),Jonathan Quick,21810993,G,8000,CHI@LA 03/24/2022 10:00PM ET,LA,12.83
G,Cory Schneider (21810994),Cory Schneider,21810994,G,8000,DET@NYI 03/24/2022 07:30PM ET,NYI,0
G,Frederik Andersen (21810995),Frederik Andersen,21810995,G,7900,DAL@CAR 03/24/2022 07:00PM ET,CAR,16.50
G,Antti Raanta (21810996),Antti Raanta,21810996,G,7900,DAL@CAR 03/24/2022 07:00PM ET,CAR,13.69
C,J.T. Miller (21808832),J.T. Miller,21808832,C/UTIL,7900,VAN@MIN 03/24/2022 08:00PM ET,VAN,13.05
G,Zane McIntyre (21810997),Zane McIntyre,21810997,G,7900,VAN@MIN 03/24/2022 08:00PM ET,MIN,0
RW,David Pastrnak (21809342),David Pastrnak,21809342,W/UTIL,7800,TB@BOS 03/24/2022 07:00PM ET,BOS,15.09
G,Juuse Saros (21810998),Juuse Saros,21810998,G,7800,NSH@VGK 03/24/2022 10:00PM ET,NSH,15.96
G,David Rittich (21810999),David Rittich,21810999,G,7800,NSH@VGK 03/24/2022 10:00PM ET,NSH,9.36
G,Lukas Parik (21811000),Lukas Parik,21811000,G,7800,CHI@LA 03/24/2022 10:00PM ET,LA,0
G,Jeremy Swayman (21811001),Jeremy Swayman,21811001,G,7700,TB@BOS 03/24/2022 07:00PM ET,BOS,14.92
G,Andrei Vasilevskiy (21811002),Andrei Vasilevskiy,21811002,G,7700,TB@BOS 03/24/2022 07:00PM ET,TB,15.39
G,Linus Ullmark (21811003),Linus Ullmark,21811003,G,7700,TB@BOS 03/24/2022 07:00PM ET,BOS,13.81
G,Brian Elliott (21811004),Brian Elliott,21811004,G,7700,TB@BOS 03/24/2022 07:00PM ET,TB,12.52
G,Alex Lyon (21811005),Alex Lyon,21811005,G,7700,DAL@CAR 03/24/2022 07:00PM ET,CAR,14.15
G,Tuukka Rask (21811008),Tuukka Rask,21811008,G,7600,TB@BOS 03/24/2022 07:00PM ET,BOS,4.05
LW,Filip Forsberg (21809344),Filip Forsberg,21809344,W/UTIL,7600,NSH@VGK 03/24/2022 10:00PM ET,NSH,15.10
G,Logan Thompson (21811006),Logan Thompson,21811006,G,7600,NSH@VGK 03/24/2022 10:00PM ET,VGK,12.89
G,Laurent Brossoit (21811007),Laurent Brossoit,21811007,G,7600,NSH@VGK 03/24/2022 10:00PM ET,VGK,9.22
G,Connor Ingram (21811009),Connor Ingram,21811009,G,7600,NSH@VGK 03/24/2022 10:00PM ET,NSH,12.8
RW,Nikita Kucherov (21809346),Nikita Kucherov,21809346,W/UTIL,7500,TB@BOS 03/24/2022 07:00PM ET,TB,14.5
G,Maxime Lagace (21811012),Maxime Lagace,21811012,G,7500,TB@BOS 03/24/2022 07:00PM ET,TB,2.3
G,Kevin Lankinen (21811010),Kevin Lankinen,21811010,G,7500,CHI@LA 03/24/2022 10:00PM ET,CHI,9.35
G,Collin Delia (21811011),Collin Delia,21811011,G,7500,CHI@LA 03/24/2022 10:00PM ET,CHI,-2.1
G,Jake Oettinger (21811013),Jake Oettinger,21811013,G,7400,DAL@CAR 03/24/2022 07:00PM ET,DAL,14.24
G,Scott Wedgewood (21811014),Scott Wedgewood,21811014,G,7400,DAL@CAR 03/24/2022 07:00PM ET,DAL,13.51
G,Robin Lehner (21811015),Robin Lehner,21811015,G,7400,NSH@VGK 03/24/2022 10:00PM ET,VGK,13.57
G,Thatcher Demko (21811016),Thatcher Demko,21811016,G,7300,VAN@MIN 03/24/2022 08:00PM ET,VAN,14.53
G,Jaroslav Halak (21811017),Jaroslav Halak,21811017,G,7300,VAN@MIN 03/24/2022 08:00PM ET,VAN,6.47
RW,Patrick Kane (21809348),Patrick Kane,21809348,W/UTIL,7300,CHI@LA 03/24/2022 10:00PM ET,CHI,14.25
G,Arvid Soderblom (21811018),Arvid Soderblom,21811018,G,7300,CHI@LA 03/24/2022 10:00PM ET,CHI,4.97
C,Patrice Bergeron (21808834),Patrice Bergeron,21808834,C/UTIL,7200,TB@BOS 03/24/2022 07:00PM ET,BOS,13.35
LW,Brad Marchand (21809350),Brad Marchand,21809350,W/UTIL,7200,TB@BOS 03/24/2022 07:00PM ET,BOS,14.95
G,Braden Holtby (21811021),Braden Holtby,21811021,G,7200,DAL@CAR 03/24/2022 07:00PM ET,DAL,13.2
G,Alex Nedeljkovic (21811019),Alex Nedeljkovic,21811019,G,7200,DET@NYI 03/24/2022 07:30PM ET,DET,12.68
G,Thomas Greiss (21811020),Thomas Greiss,21811020,G,7200,DET@NYI 03/24/2022 07:30PM ET,DET,8.48
G,Jake Allen (21811022),Jake Allen,21811022,G,7100,FLA@MON 03/24/2022 07:00PM ET,MON,11.56
G,Sam Montembeault (21811023),Sam Montembeault,21811023,G,7100,FLA@MON 03/24/2022 07:00PM ET,MON,9.78
RW,Vladimir Tarasenko (21809352),Vladimir Tarasenko,21809352,W/UTIL,7100,PHI@STL 03/24/2022 08:00PM ET,STL,12.99
G,Michael DiPietro (21811024),Michael DiPietro,21811024,G,7100,VAN@MIN 03/24/2022 08:00PM ET,VAN,-0.7
LW,Timo Meier (21809354),Timo Meier,21809354,W/UTIL,7000,SJ@EDM 03/24/2022 09:00PM ET,SJ,15.53
G,James Reimer (21811025),James Reimer,21811025,G,7000,SJ@EDM 03/24/2022 09:00PM ET,SJ,14.21
G,Kaapo Kahkonen (21811026),Kaapo Kahkonen,21811026,G,7000,SJ@EDM 03/24/2022 09:00PM ET,SJ,12.98
RW,Viktor Arvidsson (21809356),Viktor Arvidsson,21809356,W/UTIL,7000,CHI@LA 03/24/2022 10:00PM ET,LA,12.90
G,Calvin Pickard (21811027),Calvin Pickard,21811027,G,7000,DET@NYI 03/24/2022 07:30PM ET,DET,14.65
G,Carey Price (21811030),Carey Price,21811030,G,6900,FLA@MON 03/24/2022 07:00PM ET,MON,0
C,Sebastian Aho (21808836),Sebastian Aho,21808836,C/UTIL,6900,DAL@CAR 03/24/2022 07:00PM ET,CAR,12.30
G,Carter Hart (21811028),Carter Hart,21811028,G,6900,PHI@STL 03/24/2022 08:00PM ET,PHI,13.3
G,Martin Jones (21811029),Martin Jones,21811029,G,6900,PHI@STL 03/24/2022 08:00PM ET,PHI,12.02
LW,Alex DeBrincat (21809358),Alex DeBrincat,21809358,W/UTIL,6900,CHI@LA 03/24/2022 10:00PM ET,CHI,12.50
LW,Jonathan Huberdeau (21809360),Jonathan Huberdeau,21809360,W/UTIL,6800,FLA@MON 03/24/2022 07:00PM ET,FLA,13.86
D,Aaron Ekblad (21810194),Aaron Ekblad,21810194,D/UTIL,6800,FLA@MON 03/24/2022 07:00PM ET,FLA,12.76
G,Adin Hill (21811033),Adin Hill,21811033,G,6800,SJ@EDM 03/24/2022 09:00PM ET,SJ,11.46
