Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Magomed Ankalaev (21588387),Magomed Ankalaev,21588387,F,9600,Ankalaev@Santos 03/12/2022 04:00PM ET,Ankalaev,90.46
F,Miranda Maverick (21588406),Miranda Maverick,21588406,F,9400,Maverick@Mazo 03/12/2022 04:00PM ET,Maverick,63.60
F,Matthew Semelsberger (21588393),Matthew Semelsberger,21588393,F,9300,Fletcher@Semelsberger 03/12/2022 04:00PM ET,Semelsberger,95.48
F,Song Yadong (21588388),Song Yadong,21588388,F,9200,Yadong@Moraes 03/12/2022 04:00PM ET,Yadong,79.20
F,Sodiq Yusuff (21588395),Sodiq Yusuff,21588395,F,9100,Caceres@Yusuff 03/12/2022 04:00PM ET,Yusuff,80.61
F,Drew Dober (21588398),Drew Dober,21588398,F,9000,McKinney@Dober 03/12/2022 04:00PM ET,Dober,61.74
F,Alex Pereira (21588390),Alex Pereira,21588390,F,8900,Silva@Pereira 03/12/2022 04:00PM ET,Pereira,87.32
F,Azamat Murzakanov (21588413),Azamat Murzakanov,21588413,F,8800,Murzakanov@Nchukwi 03/12/2022 04:00PM ET,Murzakanov,0
F,Javid Basharat (21588403),Javid Basharat,21588403,F,8700,Basharat@Jones 03/12/2022 04:00PM ET,Basharat,0
F,Kris Moutinho (21588410),Kris Moutinho,21588410,F,8600,Cannetti@Moutinho 03/12/2022 04:00PM ET,Moutinho,28.27
F,Gillian Robertson (21588401),Gillian Robertson,21588401,F,8500,Robertson@Aldrich 03/12/2022 04:00PM ET,Robertson,71.05
F,Kamuela Kirk (21588404),Kamuela Kirk,21588404,F,8400,Kirk@Jackson 03/12/2022 04:00PM ET,Kirk,58.42
F,Dalcha Lungiambula (21588409),Dalcha Lungiambula,21588409,F,8300,Brundage@Lungiambula 03/12/2022 04:00PM ET,Lungiambula,55.76
F,Karl Roberson (21588397),Karl Roberson,21588397,F,8200,Roberson@Rountree Jr. 03/12/2022 04:00PM ET,Roberson,45.24
F,Khalil Rountree Jr. (21588396),Khalil Rountree Jr.,21588396,F,8000,Roberson@Rountree Jr. 03/12/2022 04:00PM ET,Rountree Jr.,55.52
F,Cody Brundage (21588408),Cody Brundage,21588408,F,7900,Brundage@Lungiambula 03/12/2022 04:00PM ET,Brundage,20.85
F,Damon Jackson (21588405),Damon Jackson,21588405,F,7800,Kirk@Jackson 03/12/2022 04:00PM ET,Jackson,41.76
F,JJ Aldrich (21588400),JJ Aldrich,21588400,F,7700,Robertson@Aldrich 03/12/2022 04:00PM ET,Aldrich,54.75
F,Guido Cannetti (21588411),Guido Cannetti,21588411,F,7600,Cannetti@Moutinho 03/12/2022 04:00PM ET,Cannetti,34.15
F,Trevin Jones (21588402),Trevin Jones,21588402,F,7500,Basharat@Jones 03/12/2022 04:00PM ET,Jones,53.25
F,Tafon Nchukwi (21588412),Tafon Nchukwi,21588412,F,7400,Murzakanov@Nchukwi 03/12/2022 04:00PM ET,Nchukwi,79.03
F,Bruno Silva (21588391),Bruno Silva,21588391,F,7300,Silva@Pereira 03/12/2022 04:00PM ET,Silva,96.76
F,Terrance McKinney (21588399),Terrance McKinney,21588399,F,7200,McKinney@Dober 03/12/2022 04:00PM ET,McKinney,111.84
F,Alex Caceres (21588394),Alex Caceres,21588394,F,7100,Caceres@Yusuff 03/12/2022 04:00PM ET,Caceres,55.15
F,Marlon Moraes (21588389),Marlon Moraes,21588389,F,7000,Yadong@Moraes 03/12/2022 04:00PM ET,Moraes,55.63
F,AJ Fletcher (21588392),AJ Fletcher,21588392,F,6900,Fletcher@Semelsberger 03/12/2022 04:00PM ET,Fletcher,0
F,Sabina Mazo (21588407),Sabina Mazo,21588407,F,6800,Maverick@Mazo 03/12/2022 04:00PM ET,Mazo,65.80
F,Thiago Santos (21588386),Thiago Santos,21588386,F,6600,Ankalaev@Santos 03/12/2022 04:00PM ET,Santos,69.61
