Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/29/2022,12/30/2022,PARKFAST #039,Travel,Sale,-51.00,
12/28/2022,12/29/2022,TST* The St. Laurent Soci,Food & Drink,Sale,-74.70,
12/28/2022,12/29/2022,TARGET        00034082,Shopping,Sale,-41.57,
12/28/2022,12/29/2022,DUNKIN #338508,Food & Drink,Sale,-4.68,
12/27/2022,12/28/2022,DR. SQUATCH  INC.,Shopping,Sale,-22.39,
12/27/2022,12/28/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-4.99,
12/27/2022,12/28/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-46.62,
12/26/2022,12/27/2022,DUNKIN #338508,Food & Drink,Sale,-4.68,
12/26/2022,12/27/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-89.06,
12/24/2022,12/26/2022,HANLEYS LIQUORS,Food & Drink,Sale,-39.43,
12/23/2022,12/25/2022,DUNKIN #338508,Food & Drink,Sale,-4.68,
12/24/2022,12/25/2022,STAY GOLD CAFE LOUNGE,Food & Drink,Sale,-4.42,
12/23/2022,12/25/2022,BP#1096700SPRING LAKE BP,Gas,Sale,-39.98,
12/23/2022,12/25/2022,SQ *SEAS THE DAY,Shopping,Sale,-51.18,
12/22/2022,12/23/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-28.31,
12/21/2022,12/23/2022,LA MONDINA,Food & Drink,Sale,-100.00,
12/21/2022,12/22/2022,TRADER JOE'S #608 QPS,Groceries,Sale,-78.00,
12/21/2022,12/22/2022,TRADER JOE'S #608 QPS,Groceries,Sale,-19.98,
12/21/2022,12/22/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-35.60,
12/20/2022,12/21/2022,NJ EZPASS,Travel,Sale,-70.00,
12/20/2022,12/20/2022,AUTOMATIC PAYMENT - THANK,,Payment,3574.38,
12/19/2022,12/20/2022,THE HANDSOME DEVIL BAR,Personal,Sale,-36.34,
12/19/2022,12/20/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-91.18,
12/18/2022,12/19/2022,CVS/PHARMACY #10091,Health & Wellness,Sale,-3.60,
12/17/2022,12/19/2022,PARTY CITY CORPORATION,Shopping,Sale,-32.84,
12/18/2022,12/19/2022,CHRISTMAS TREE #7037,Shopping,Sale,-9.27,
12/16/2022,12/18/2022,T.J. MAXX #1532,Shopping,Sale,-37.29,
12/17/2022,12/18/2022,HOMESENSE 0004,Shopping,Sale,-38.33,
12/17/2022,12/18/2022,ANNTAYLOR LOFT.COM #61,Shopping,Sale,-47.97,
12/16/2022,12/18/2022,SPIFFYS DRY CLEANING,Personal,Sale,-65.60,
12/17/2022,12/18/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-1.59,
12/17/2022,12/18/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-22.29,
12/17/2022,12/18/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-5.99,
12/15/2022,12/16/2022,WALGREENS #19748,Health & Wellness,Sale,-61.76,
12/15/2022,12/15/2022,DISCORD* NITROCLASSICM,Professional Services,Sale,-4.99,
12/14/2022,12/15/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-101.00,
12/13/2022,12/14/2022,DOLLAR TREE,Shopping,Sale,-21.43,
12/13/2022,12/14/2022,TAYLOR SVSTR HARDWARE,Home,Sale,-31.53,
12/12/2022,12/13/2022,NJ EZPASS,Travel,Sale,-360.00,
12/12/2022,12/13/2022,BJS WHOLESALE #0027,Shopping,Sale,-38.76,
12/12/2022,12/13/2022,WESTELM.COM,Home,Sale,-52.24,
12/12/2022,12/13/2022,TRADER JOE'S #608 QPS,Groceries,Sale,-88.85,
12/11/2022,12/12/2022,JOE'S BAGEL &amp; GRILL BLMR,Food & Drink,Sale,-5.99,
12/11/2022,12/12/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-34.07,
12/10/2022,12/12/2022,MARSHALL'S #514,Shopping,Return,23.00,
12/09/2022,12/11/2022,STAY GOLD CAFE LOUNGE,Food & Drink,Sale,-4.79,
12/09/2022,12/11/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-27.04,
12/10/2022,12/11/2022,Inflight Internet Service,Bills & Utilities,Sale,-10.00,
12/10/2022,12/11/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-54.82,
12/10/2022,12/11/2022,MARSHALL'S #514,Shopping,Sale,-338.85,
12/09/2022,12/11/2022,CAPSIZED CAFE,Food & Drink,Sale,-10.70,
12/10/2022,12/11/2022,TARGET        00034082,Shopping,Sale,-17.05,
12/10/2022,12/11/2022,KING POWER TAX FREE-SVB,Shopping,Sale,-20.91,
12/08/2022,12/09/2022,NJ EZPASS,Travel,Sale,-195.00,
12/06/2022,12/08/2022,STARBUCKS,Food & Drink,Sale,-3.02,
12/07/2022,12/08/2022,WINE OUTLET WALL TOWNSHI,Food & Drink,Sale,-68.21,
12/07/2022,12/08/2022,SHOPRITE ROUTE 35 &amp; 18,Groceries,Sale,-30.12,
12/06/2022,12/08/2022,QDF CONCOURSE B,Shopping,Sale,-7.23,
12/05/2022,12/07/2022,SOHO BISTRO T9 JFK,Food & Drink,Sale,-22.41,
12/06/2022,12/07/2022,BANGKOK MARRIOTT SURAWONG,Travel,Sale,-18.00,
12/06/2022,12/07/2022,HP *INSTANT INK,Shopping,Sale,-1.06,
12/05/2022,12/06/2022,APPLE.COM/BILL,Shopping,Sale,-0.99,
12/05/2022,12/05/2022,Offer:Grocery Stores,Fees & Adjustments,Adjustment,5.00,
12/04/2022,12/05/2022,MCSWIGGAN'S,Food & Drink,Sale,-33.86,
12/04/2022,12/05/2022,NJ EZPASS,Travel,Sale,-70.00,
12/04/2022,12/05/2022,MCSWIGGAN'S,Food & Drink,Sale,-62.51,
12/04/2022,12/05/2022,DUNKIN #338508,Food & Drink,Sale,-4.68,
12/03/2022,12/05/2022,CARNEGIE HOTEL,Travel,Sale,-28.69,
12/03/2022,12/05/2022,S&amp;K PUB OF HOBOKEN,Food & Drink,Sale,-278.81,
12/04/2022,12/05/2022,UBER   TRIP,Travel,Sale,-2.46,
12/03/2022,12/04/2022,132 WEST 56TH ST GARAG,Travel,Sale,-45.00,
