playerid,Name
19952,Khalil Lee
16953,Chadwick Tromp
19608,Otto Lopez
24770,James Outman
8090,Matt Carpenter
15640,Aaron Judge
19727,Joe Dunand
25111,David Hensley
21293,Dalton Guthrie
19556,Yordan Alvarez
22471,Livan Soto
10655,Rob Brantly
9218,Paul Goldschmidt
10155,Mike Trout
21270,Sean Bouchard
13499,Tom Murphy
5417,Jose Altuve
14366,Joey Meneses
16680,Brian O'Keefe
24273,Liover Peguero
5361,Freddie Freeman
25660,Will Brennan
11493,Manny Machado
23264,Canaan Smith-Njigba
13770,Rob Refsnyder
9777,Nolan Arenado
1177,Albert Pujols
18360,Austin Riley
20123,Juan Soto
13611,Mookie Betts
11899,Joc Pederson
17350,Rafael Devers
18288,Austin Dean
22823,Oswald Peraza
19983,Conner Capel
17988,Tyler Stephenson
9952,Trayce Thompson
20503,William Contreras
20437,Royce Lewis
17484,Eloy Jimenez
15429,Kris Bryant
19755,Shohei Ohtani
23818,Ji Hwan Bae
11579,Bryce Harper
19566,Nathaniel Lowe
25931,Michael Harris II
23697,Julio Rodriguez
16578,Yandy Diaz
19251,Pete Alonso
15362,Jeff McNeil
20454,Jazz Chisholm Jr.
27676,Vinnie Pasquantino
27555,Garrett Mitchell
19950,Andres Gimenez
21635,Nick Maton
16535,Danny Jansen
12161,Xander Bogaerts
13510,Jose Ramirez
14162,Carlos Correa
17548,Taylor Ward
15676,Jose Abreu
17216,Monte Harrison
19273,Stone Garrett
17678,Alex Bregman
25878,Corbin Carroll
11609,Willson Contreras
14161,Byron Buxton
9241,Starling Marte
18067,Garrett Stubbs
16478,Kyle Schwarber
11739,J.T. Realmuto
26288,Adley Rutschman
18032,Mark Mathias
12927,Brandon Nimmo
19552,Jaylin Davis
3473,Anthony Rizzo
12856,George Springer
19260,Jake Fraley
19611,Vladimir Guerrero Jr.
20321,Stuart Fairchild
16252,Trea Turner
11615,Brandon Drury
18568,Luis Arraez
14130,Daniel Vogelbach
19326,Bryan Reynolds
24679,Brendan Donovan
19197,Will Smith
16686,Jason Vosler
13066,Teoscar Hernandez
18345,Kyle Tucker
19612,Bo Bichette
20505,Drew Waters
22581,Alejandro Kirk
15464,Hunter Renfroe
13419,Christian Walker
16472,Rhys Hoskins
26031,Vaughn Grissom
4106,Michael Brantley
12552,Eugenio Suarez
16153,Austin Slater
22514,Triston Casas
14344,Matt Olson
24782,David Villar
18889,Danny Mendick
13145,Josh Bell
11445,Mark Canha
7739,Travis d'Arnaud
26289,Gunnar Henderson
6184,J.D. Martinez
5235,Justin Turner
19717,Darick Hall
21454,Lars Nootbaar
17901,Andrew Benintendi
25961,Kerry Carpenter
12916,Francisco Lindor
24610,Steven Kwan
20970,Oscar Gonzalez
17919,Ian Happ
19683,Mike Brosseau
9433,Dustin Garneau
18042,Dylan Moore
18316,Edwin Rios
18314,Dansby Swanson
17982,Ty France
21622,Jake McCarthy
26121,Francisco Alvarez
12532,Kolten Wong
14551,Anthony Santander
19290,Randy Arozarena
18401,Ronald Acuna Jr.
12546,C.J. Cron
30116,Seiya Suzuki
20003,Keston Hiura
16219,J.D. Davis
15697,Gosuke Katoh
13152,Jorge Polanco
10681,Gio Urshela
19296,Alex Call
18839,Josh Naylor
19352,Sean Murphy
13624,Corey Seager
16505,Matt Chapman
15279,Garrett Cooper
9368,Evan Longoria
21534,Cal Raleigh
9874,DJ LeMahieu
20404,Jared Young
20538,Jose Miranda
16997,Gleyber Torres
19955,Gavin Lux
11477,Christian Yelich
14387,Harold Ramirez
15679,Rowdy Tellez
4949,Giancarlo Stanton
16622,Luis Urias
19238,Lourdes Gurriel Jr.
26197,Andrew Vaughn
22275,Jake Burger
19599,Chas McCormick
19698,Edward Olivares
19734,Josh Rojas
15112,Ryan McMahon
22664,Gabriel Moreno
14593,David Bote
15986,Willy Adames
19287,Adolis Garcia
20043,Luis Robert
7304,Salvador Perez
23667,Wander Franco
18887,Seby Zavala
18171,Seth Brown
19522,T.J. Friedl
15794,Yonathan Daza
20036,Isaac Paredes
25040,Vinny Capra
15172,Tim Anderson
19918,Daulton Varsho
21897,Christopher Morel
14111,Eric Haase
21707,Oswaldo Cabrera
5452,Ji-Man Choi
20056,Alan Trejo
16337,Nick Gordon
17907,Brendan Rodgers
13185,Orlando Arcia
21711,Oneil Cruz
10815,Jurickson Profar
18054,Sam Haggerty
5933,Jean Segura
21479,Nico Hoerner
18400,Juan Yepez
17027,Alex Verdugo
14274,Mitch Haniger
8623,Donovan Solano
16434,Christian Arroyo
18036,Jake Cronenworth
19813,Charles Leblanc
13301,Max Muncy
19470,Tommy Edman
16426,Thairo Estrada
12533,Marcus Semien
13613,Ketel Marte
7859,Charlie Blackmon
26151,Kyle Stowers
13602,Patrick Wisdom
12564,Trevor Story
18373,Ryan Mountcastle
22263,Nolan Gorman
21987,Rodolfo Castro
22715,Maikel Garcia
17929,Cedric Mullins II
19334,Yadiel Hernandez
12158,Austin Barnes
2136,David Peralta
10243,Randal Grichuk
2900,Roberto Perez
20263,Mario Feliciano
13675,Tyrone Taylor
19363,Austin Hays
13329,Jake Lamb
12861,Anthony Rendon
21523,Jonathan India
16572,Connor Joe
19858,Luis Rengifo
25055,Nate Eaton
19600,Bryan De La Cruz
18795,Ramon Urias
3516,Eric Hosmer
27506,Ha-seong Kim
13590,Jesse Winker
5827,Wilmer Flores
15149,Trey Mancini
9774,Christian Vazquez
10231,Jose Iglesias
16451,Luis Guillorme
14811,Luke Voit
6153,Eduardo Escobar
18063,Kyle Garlick
22244,Jack Suwinski
15518,Amed Rosario
25764,Bobby Witt Jr.
10047,Wil Myers
26466,Matt Wallner
22197,MJ Melendez
8709,Elvis Andrus
21618,Alec Bohm
4314,Joey Votto
21636,Jeremy Pena
9847,Andrew McCutchen
14813,Kyle Farmer
21501,Trevor Larnach
15161,Mitch Garver
14712,Manuel Margot
2396,Carlos Santana
21538,Nick Fortes
19901,Gavin Sheets
16939,Lane Thomas
12160,Ben Gamel
15711,Tyler O'Neill
15672,Austin Meadows
24729,Logan O'Hoppe
14854,Mike Yastrzemski
18433,P.J. Higgins
