"","name","slotName","mar19","jan23","delta","percent_change","projectedPoints","projectedPoints_jan23","projectedPoints_delta","positionRank","teamName","team_abbr","team","playerid","espn_headshot"
"1","Aaron Judge","OF",1.2,1.1,-0.0999999999999999,-0.08,1601,1601,0,"OF1","New York Yankees","NYY","https://a.espncdn.com/i/teamlogos/mlb/500/nyy.png",15640,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33192.png"
"2","Ronald Acuna Jr.","OF",2.8,3.5,0.7,0.25,1582,1465,117,"OF2","Atlanta Braves","ATL","https://a.espncdn.com/i/teamlogos/mlb/500/atl.png",18401,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36185.png"
"3","Juan Soto","OF",3.2,2.3,-0.9,-0.28,1515,1515,0,"OF3","San Diego Padres","SD","https://a.espncdn.com/i/teamlogos/mlb/500/sd.png",20123,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36969.png"
"4","Shohei Ohtani","OF",4.2,6.9,2.7,0.64,1448,1448,0,"OF4","Los Angeles Angels","LAA","https://a.espncdn.com/i/teamlogos/mlb/500/laa.png",19755,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/39832.png"
"5","Julio Rodriguez","OF",5.2,4.6,-0.600000000000001,-0.12,1461,1461,0,"OF5","Seattle Mariners","SEA","https://a.espncdn.com/i/teamlogos/mlb/500/sea.png",23697,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41044.png"
"6","Mike Trout","OF",7,6.7,-0.3,-0.04,1395,1395,0,"OF6","Los Angeles Angels","LAA","https://a.espncdn.com/i/teamlogos/mlb/500/laa.png",10155,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/30836.png"
"7","Mookie Betts","OF",8.1,8.9,0.800000000000001,0.1,1426,1426,0,"OF7","Los Angeles Dodgers","LAD","https://a.espncdn.com/i/teamlogos/mlb/500/lad.png",13611,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33039.png"
"8","Jose Ramirez","IF",8.6,10.3,1.7,0.2,1642,1642,0,"IF1","Cleveland Guardians","CLE","https://a.espncdn.com/i/teamlogos/mlb/500/cle.png",13510,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32801.png"
"9","Yordan Alvarez","OF",8.6,5.8,-2.8,-0.33,1329,1485,-156,"OF8","Houston Astros","HOU","https://a.espncdn.com/i/teamlogos/mlb/500/hou.png",19556,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/36018.png"
"10","Trea Turner","IF",9.6,11.5,1.9,0.2,1577,1577,0,"IF2","Philadelphia Phillies","PHI","https://a.espncdn.com/i/teamlogos/mlb/500/phi.png",16252,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33710.png"
