"id","firstName","lastName","adp","projectedPoints","positionRank","slotName","teamName","lineupStatus","byeWeek"
"af4f7407-646b-42e7-9d67-3b7015d0c2c7","Nikola","Jokic","1.0","3859.4","B1","B","Denver Nuggets",,
"5b713ad3-86ec-4e28-b366-340906ce5ecb","Giannis","Antetokounmpo","2.4","3163.0","W1","W","Milwaukee Bucks",,
"c9dd65ab-d9d9-482d-8649-d46253f07114","Luka","Doncic","3.0","2984.5","G1","G","Dallas Mavericks",,
"7db18cd3-7f8b-4a6b-a28c-86565fa74502","Joel","Embiid","4.6","2852.3","B2","B","Philadelphia 76ers",,
"b225d91a-22e0-42a7-a8a9-a3edf68fc5d0","Jayson","Tatum","4.7","2703.4","W2","W","Boston Celtics",,
"16d49c2b-85d6-481c-8428-264a9793880c","Shai","Gilgeous-Alexander","6.4","2687.8","G2","G","Oklahoma City Thunder",,
"3fb4dc9a-dd0d-41e9-81a9-c8631b4924a2","Kevin","Durant","7.1","2689.1","W3","W","Phoenix Suns",,
"c3d72027-a4d7-4833-aa3d-73a9b4ba4729","Stephen","Curry","8.1","2549.9","G3","G","Golden State Warriors",,
"55401a47-ae18-42c7-b3e2-19a9894a6304","Trae","Young","10.7","2517.3","G4","G","Atlanta Hawks",,
"36cba166-60fc-4092-bd87-0df3b61f43c9","LaMelo","Ball","12.5","2489.8","G5","G","Charlotte Hornets",,
"eb9a6f9d-dfe0-4df3-9518-bb38d1c07819","Tyrese","Haliburton","12.5","2327.1","G6","G","Indiana Pacers",,
"6e96010e-809b-4b93-bc28-a64a2266ec8d","Anthony","Edwards","12.7","2281.7","G7","G","Minnesota Timberwolves",,
"0083892d-c58e-47b9-bd36-546e6dc950f4","Damian","Lillard","13.0","2332.9","G8","G","Portland Trail Blazers",,
"2261b3f8-b772-4fd9-bdf5-7ac76ef0cf49","Anthony","Davis","13.8","2261.5","B3","B","Los Angeles Lakers",,
"8b868e72-25e9-4c5f-bad1-871fcc9db2cc","James","Harden","13.9","2546.7","G9","G","Philadelphia 76ers",,
"e94caed9-15d4-4a1e-9cba-4a64ed370ab4","Domantas","Sabonis","14.8","2225.6","B4","B","Sacramento Kings",,
"2bad793f-689b-4e41-b9f2-731642b536f0","Devin","Booker","15.3","2263.2","G10","G","Phoenix Suns",,
"5a4068ad-e258-4ed2-9b8e-903ebf206adb","LeBron","James","17.8","2259.3","W4","W","Los Angeles Lakers",,
