team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
TB,30,10,443,17,47,443,91.0,72,8
CAR,5,10,321,7,40,321,89.9,56,9
JAX,15,10,379,13,49,379,88.9,73,11
BLT,3,9,296,5,39,296,88.9,55,11
SF,28,9,305,8,46,305,88.9,61,7
NO,20,10,370,13,51,370,88.4,75,11
GB,12,10,372,10,51,372,88.3,74,13
PHI,24,9,317,6,57,317,88.2,69,6
PIT,25,9,372,13,59,372,87.1,84,12
LAC,27,9,417,21,73,417,87.1,101,7
CIN,7,9,383,19,50,383,86.3,87,18
MIA,17,10,384,21,68,384,86.3,97,8
DAL,9,9,300,21,50,300,86.2,77,6
BUF,4,9,400,13,82,400,86.1,103,8
ATL,2,10,277,12,43,277,85.7,67,12
CLV,8,9,325,15,50,325,85.7,79,14
KC,16,9,413,17,85,413,85.2,112,10
SEA,29,10,359,20,56,359,85.0,92,16
NE,19,9,304,8,51,304,85.0,75,16
ARZ,1,10,451,12,90,451,84.9,119,17
DEN,10,9,361,15,64,361,84.9,94,15
DET,11,9,325,17,61,325,84.9,88,10
NYJ,22,9,355,14,75,355,84.6,99,10
IND,14,10,426,22,72,426,84.5,113,19
MIN,18,9,382,32,59,382,83.9,107,16
LV,23,9,354,19,72,354,83.8,103,12
NYG,21,9,306,12,60,306,83.3,87,15
CHI,6,10,294,10,68,294,82.3,91,13
HST,13,9,326,22,68,326,81.6,105,15
TEN,31,9,244,19,54,244,80.9,83,10
WAS,32,10,404,26,82,404,80.9,131,23
LA,26,9,359,32,68,359,79.9,122,22
