player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Tony Brown,49255,CB,IND,2,0,14,0,0,0,0,0,0,100.0,1,1,100.0,1,1,0,0,33.3,1,3,1,100.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Steven Nelson,9531,CB,HST,14,0,13,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.2,1,432,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jerry Jacobs,83025,CB,DET,8,0,11,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.4,1,268,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Zyon Gilbert,55891,CB,NYG,2,0,21,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,5.0,2,40,2,75.0,0,0,1,0,100.0,2,2,75.0,1,1,0,1,1,0
Da'Shawn Hand,48386,DI,TEN,1,0,31,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,100.0,1,1,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Reed Blankenship,56065,S,PHI,5,0,24,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.9,1,110,1,50.0,0,0,1,0,100.0,1,1,50.0,0,1,1,0,1,1
Nick Cross,97514,S,IND,3,0,14,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,1.5,1,66,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Nate Hobbs,55948,CB,LV,9,0,23,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.6,2,342,1,50.0,0,0,0,0,100.0,2,1,50.0,1,1,0,1,1,0
William Jackson III,10658,CB,WAS,4,0,32,0,2,0,0,2,0,100.0,2,2,50.0,0,0,0,0,1.7,2,119,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jalen Mills,10867,CB,NE,10,0,19,1,0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0.4,1,277,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
