player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,BLT,9,2,0,3,71.5,7,10,243,95.6,14.0,34,0,5.6,5,271,259,22,2,84.6,6,7,116,97.6,24.1,28,9.9,5,126,123,18
Ndamukong Suh,5527,DI,PHI,1,0,0,24,74.3,0,1,7,100.0,28.6,2,0,21.4,1,7,7,2,0,56.1,0,0,4,100.0,0.0,0,0.0,0,4,4,0
Tyson Alualu,5535,DI,PIT,10,1,0,25,54.7,1,4,108,100.0,4.6,5,2,2.3,0,113,113,5,1,56.2,1,3,55,100.0,5.5,3,3.6,0,56,56,4
Brandon Graham,5538,ED,PHI,10,1,0,24,81.2,3,17,157,94.9,21.7,34,1,9.6,5,175,166,25,0,78.9,1,9,67,96.1,28.4,19,13.4,4,77,74,14
Jason Pierre-Paul,5540,ED,BLT,7,3,1,3,58.1,0,10,168,95.7,9.5,16,2,4.2,2,188,180,12,1,55.2,0,5,77,95.3,10.4,8,5.8,2,86,82,7
Kareem Jackson,5545,S,DEN,10,0,0,10,60.0,0,0,1,0.2,0.0,0,1,0.0,0,427,1,0,0,,0,0,0,0.0,,0,,0,200,0,0
Devin McCourty,5552,S,NE,10,0,0,19,55.5,0,0,2,0.5,0.0,0,0,0.0,0,369,2,0,0,55.5,0,0,2,1.1,0.0,0,0.0,0,174,2,0
Jerry Hughes,5556,ED,HST,10,0,1,13,70.1,0,26,214,98.7,18.7,40,2,9.8,8,226,223,34,0,66.9,0,8,90,96.9,21.1,19,10.0,5,96,93,13
Linval Joseph,5571,DI,PHI,1,0,0,24,74.1,0,0,8,100.0,25.0,2,0,12.5,1,8,8,1,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
Carlos Dunlap,5579,ED,KC,10,3,0,16,58.5,1,9,189,93.5,10.1,19,0,5.3,5,214,200,15,2,57.6,1,4,82,89.7,11.0,9,7.9,4,97,87,9
