player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Davante Adams,8688,WR,LV,4,43,0,23,0,0.0,0,100.0,,0,0,0.0,0,1,0,78.7,63.5,0,1,6.7,1,15,1,86.7,13,118.8,1,2.3,1,1,1,1.0,1.0,0.08,8.3,3,92.3,100.0,2,2,0.0,0,8,0,90.5,83.4,1,41,1.6,1,61,12,90.2,55,104.8,13,30.2,1,139,81,6.8,11.6,2.53
Tyreek Hill,10799,WR,MIA,4,43,0,17,0,-2.8,2,80.0,,0,0,0.0,0,2,0,90.9,92.8,0,18,0.0,0,12,4,83.3,10,100.8,5,11.6,0,41,52,13.0,10.3,4.1,9.2,1,80.0,100.0,1,1,7.7,1,7,1,86.3,89.4,0,26,0.0,0,48,12,95.8,46,105.0,15,34.9,0,138,64,5.3,11.5,3.0
Marquise Brown,61568,WR,ARZ,4,42,0,1,0,-1.6,0,100.0,,0,0,0.0,0,3,0,90.6,75.7,0,20,0.0,0,28,5,100.0,28,118.8,5,11.9,0,63,71,14.2,12.6,2.25,11.9,0,66.7,75.0,3,4,0.0,0,7,0,90.7,77.3,2,24,0.0,0,49,10,89.8,44,89.6,15,35.7,2,115,4,0.4,11.5,2.61
Justin Jefferson,61398,WR,MIN,4,40,0,18,0,-3.0,0,100.0,,0,0,0.0,0,0,0,78.7,47.1,0,2,0.0,0,16,1,100.0,16,79.2,1,2.5,0,2,5,5.0,2.0,0.13,7.5,3,91.7,,0,0,0.0,0,7,0,52.5,69.0,0,64,0.0,0,62,11,93.5,58,146.2,12,30.0,1,149,68,6.2,13.5,2.57
Ja'Marr Chase,84270,WR,CIN,4,39,0,7,0,0.0,0,50.0,,0,0,50.0,1,0,0,24.1,29.4,0,5,0.0,0,11,1,90.9,10,56.3,2,5.1,0,5,4,4.0,5.0,0.5,4.1,0,81.8,,0,0,10.0,1,7,0,68.0,75.4,0,17,0.0,0,40,9,95.0,38,95.8,11,28.2,0,77,40,4.4,8.6,2.03
CeeDee Lamb,61570,WR,DAL,4,39,0,9,0,-3.3,2,66.7,,0,0,0.0,0,0,0,84.5,53.0,0,5,0.0,0,10,2,100.0,10,70.1,3,7.7,0,6,13,6.5,3.0,0.6,9.2,0,64.7,50.0,2,4,8.3,1,8,0,36.4,66.5,0,26,0.0,0,81,11,92.6,75,90.6,17,43.6,0,141,44,4.0,12.8,1.88
Stefon Diggs,9579,WR,BUF,4,39,0,4,0,-0.8,1,100.0,,0,0,0.0,0,2,0,90.2,92.8,0,10,0.0,0,11,4,100.0,11,91.7,4,10.3,0,24,27,6.8,6.0,2.18,5.8,0,88.9,,0,0,11.1,1,4,0,70.9,81.6,0,28,0.0,0,59,8,98.3,58,100.5,9,23.1,0,73,34,4.3,9.1,1.26
Mark Andrews,47436,TE,BLT,4,37,0,3,0,-2.0,1,100.0,,0,0,0.0,0,1,0,78.7,70.8,0,5,0.0,0,10,1,100.0,10,127.1,1,2.7,1,5,7,7.0,5.0,0.5,13.1,1,57.7,66.7,2,3,11.8,2,11,0,67.4,76.2,0,25,0.0,0,90,15,93.3,84,90.5,26,70.3,1,172,47,3.1,11.5,2.05
Diontae Johnson,33441,WR,PIT,4,36,0,25,0,-2.7,0,100.0,,0,0,0.0,0,1,0,27.0,51.1,0,6,0.0,0,13,3,84.6,11,79.2,3,8.3,0,9,17,5.7,3.0,0.82,0.3,0,75.0,,0,0,0.0,0,1,0,64.1,72.5,1,6,0.0,0,12,3,91.7,11,37.5,4,11.1,0,12,18,6.0,4.0,1.09
Garrett Wilson,97405,WR,NYJ,4,35,0,22,0,0.0,1,66.7,,0,0,0.0,0,0,0,88.7,76.8,0,9,0.0,0,8,2,87.5,7,77.1,3,8.6,0,14,13,6.5,7.0,2.0,9.7,4,66.7,25.0,1,4,9.1,1,5,0,46.4,70.5,0,35,0.0,0,87,10,96.6,84,95.4,15,42.9,0,136,43,4.3,13.6,1.62
Chris Olave,84355,WR,NO,4,35,0,20,0,-2.0,0,100.0,,0,0,0.0,0,0,0,78.7,50.6,0,4,0.0,0,8,1,75.0,6,83.3,1,2.9,0,4,6,6.0,4.0,0.67,36.0,0,40.0,33.3,1,3,0.0,0,2,0,90.0,79.2,2,32,0.0,0,32,2,93.8,30,31.7,5,14.3,0,43,2,1.0,21.5,1.43
D.K. Metcalf,47864,WR,SEA,4,35,0,29,0,-1.0,1,66.7,,0,0,33.3,1,0,1,25.8,22.4,0,1,0.0,0,10,2,80.0,8,70.1,3,8.6,0,-7,-2,-1.0,-3.5,-0.88,11.8,0,60.0,,0,0,0.0,0,1,0,72.9,77.0,0,23,0.0,0,23,3,100.0,23,80.4,5,14.3,0,34,5,1.7,11.3,1.48
A.J. Brown,48327,WR,PHI,4,35,0,24,0,-1.0,1,100.0,,0,0,0.0,0,0,0,90.9,83.7,0,10,0.0,0,21,4,85.7,18,86.5,4,11.4,0,19,23,5.8,4.8,1.06,3.5,1,50.0,0.0,0,1,0.0,0,0,0,90.4,91.7,0,10,0.0,0,36,1,97.2,35,64.6,2,5.7,0,10,11,11.0,10.0,0.29
