player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Tyreek Hill,10799,WR,MIA,10,105,0,17,11.6,3,84.2,60.0,3,5,0.0,0,11,1,81.7,91.1,1,26,0.0,0,55,16,94.5,52,103.3,19,18.1,1,187,54,3.4,11.7,3.6,0,12.8,3,72.6,62.5,5,8,5.4,3,33,0,75.0,90.4,1,64,0.0,0,218,53,94.0,205,114.8,73,69.5,3,775,215,4.1,14.6,3.78
Davante Adams,8688,WR,LV,10,103,0,23,12.8,1,60.0,40.0,2,5,0.0,0,7,0,77.3,79.6,0,58,0.0,0,70,9,88.6,62,127.5,15,14.6,3,129,47,5.2,14.3,2.08,0,11.7,6,63.8,55.6,5,9,6.4,3,27,1,68.8,86.2,1,41,0.4,1,223,44,96.0,214,99.8,69,67.0,3,599,228,5.2,13.6,2.8
Stefon Diggs,9579,WR,BUF,10,101,0,4,10.7,3,71.0,50.0,3,6,0.0,0,17,0,84.5,89.8,0,41,0.0,0,107,22,95.3,102,139.2,31,30.7,4,286,131,6.0,13.0,2.8,0,11.1,7,78.6,60.0,3,5,2.2,1,24,0,83.9,86.8,0,46,0.0,0,211,44,96.7,204,119.5,56,55.4,2,550,153,3.5,12.5,2.7
Justin Jefferson,61398,WR,MIN,10,98,0,18,11.0,2,63.3,57.1,4,7,5.0,1,13,0,58.1,80.1,1,47,0.0,0,139,19,92.1,128,104.2,30,30.6,1,378,181,9.5,19.9,2.95,0,10.5,5,83.3,63.6,7,11,4.3,2,29,0,76.5,89.8,3,64,0.0,0,230,45,94.3,217,104.2,54,55.1,2,627,206,4.6,13.9,2.89
Cooper Kupp,11824,WR,LA,9,95,0,26,7.8,1,68.8,66.7,4,6,0.0,0,6,1,78.7,66.7,2,75,0.0,0,75,11,94.7,71,98.2,16,16.8,2,149,94,8.5,13.5,2.1,0,6.5,10,84.4,60.0,3,5,0.0,0,29,0,90.6,87.5,2,69,1.3,3,236,54,96.6,228,100.9,64,67.4,2,566,287,5.3,10.5,2.48
Travis Kelce,7844,TE,KC,10,93,0,16,7.5,12,75.0,50.0,3,6,6.9,2,19,0,67.5,90.1,0,32,3.0,5,165,27,85.5,141,139.1,36,38.7,6,302,178,6.6,11.2,2.14,0,7.6,5,76.7,50.0,2,4,5.7,2,25,0,70.3,91.2,1,46,5.2,10,194,33,89.7,174,111.3,43,46.2,1,487,206,6.2,14.8,2.8
Michael Pittman Jr.,29049,WR,IND,10,90,0,14,7.2,1,69.7,70.0,7,10,4.2,1,14,2,74.4,73.8,1,25,0.0,0,143,23,91.6,131,77.5,33,36.7,0,237,103,4.5,10.3,1.81,0,7.0,3,76.6,33.3,3,9,0.0,0,18,0,90.0,71.5,1,28,0.0,0,249,36,96.4,240,98.9,47,52.2,1,392,132,3.7,10.9,1.63
CeeDee Lamb,61570,WR,DAL,10,88,0,9,10.3,0,57.7,42.9,3,7,6.3,1,11,0,66.7,79.8,1,30,0.0,0,84,15,92.9,78,77.2,26,29.5,1,189,53,3.5,12.6,2.42,0,11.7,3,68.0,25.0,2,8,8.1,3,22,0,61.3,77.9,1,35,0.0,0,185,34,94.1,174,109.4,50,56.8,3,468,163,4.8,13.8,2.69
Diontae Johnson,33441,WR,PIT,10,84,0,25,9.9,1,46.2,28.6,2,7,0.0,0,7,1,80.6,62.2,1,14,0.0,0,117,12,89.7,105,37.0,26,31.0,0,76,30,2.5,6.3,0.72,0,11.4,1,64.7,66.7,2,3,8.3,3,15,0,54.4,63.0,4,36,0.0,0,270,33,92.6,250,51.0,51,60.7,0,339,66,2.0,10.3,1.36
Amari Cooper,9437,WR,CLV,10,80,0,8,15.3,0,57.1,54.5,6,11,11.1,3,21,0,52.7,84.2,1,53,0.0,0,146,24,90.4,132,110.2,42,52.5,4,390,66,2.8,16.3,2.95,0,10.8,1,69.0,33.3,2,6,0.0,0,13,0,83.6,69.1,0,55,0.0,0,180,20,94.4,170,107.5,29,36.3,1,254,53,2.7,12.7,1.49
Chris Olave,84355,WR,NO,10,79,0,20,16.3,1,57.1,40.0,2,5,0.0,0,12,0,80.0,88.4,0,53,0.0,0,78,12,93.6,73,125.3,21,26.6,2,221,53,4.4,18.4,3.03,0,15.3,1,67.4,25.0,2,8,3.1,1,18,1,78.5,79.7,3,51,0.0,0,181,31,95.6,173,71.2,46,58.2,0,443,64,2.1,14.3,2.56
