player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Derrick Henry,10679,HB,TEN,10,230,45,12,30.2,305,0,1010,4,2,45,844,69.5,24,48,31,1,91,91.0,88.5,39.8,71.6,50.0,50.9,88.1,85.0,56,1,199,18,98,246,0,0,22,248,10,1010,844,3.67,4.4,2.03,138
Saquon Barkley,45791,HB,NYG,10,213,31,14,38.5,367,0,953,3,5,31,613,42.5,23,38,21,1,125,82.0,76.4,88.4,,63.7,55.3,79.9,58.4,68,0,210,31,236,257,0,0,39,244,6,953,613,2.88,4.5,0.89,84
Josh Jacobs,45953,HB,LV,10,183,58,9,21.7,202,0,930,2,5,58,665,105.5,27,59,23,1,118,80.4,92.1,84.1,,50.7,62.7,93.0,59.2,43,0,251,34,198,207,0,0,40,217,7,930,665,3.63,5.1,1.27,36
Dameon Pierce,83659,HB,HST,10,175,53,8,32.6,254,1,780,2,8,53,604,105.3,20,47,13,3,86,49.6,83.0,39.7,,37.8,63.8,86.1,58.9,75,1,135,25,148,188,0,0,28,200,3,780,604,3.45,4.5,0.91,86
Nick Chubb,45783,HB,CLV,10,174,56,14,37.2,343,0,923,0,9,56,652,128.2,29,42,8,1,87,77.7,90.3,84.9,,75.4,61.9,90.3,59.1,41,0,136,16,136,192,0,0,19,190,11,923,652,3.75,5.3,1.0,78
Jamaal Williams,11889,HB,DET,10,159,17,5,17.4,116,0,668,3,2,17,429,30.5,15,44,11,2,102,59.5,71.7,26.3,,58.2,36.8,75.7,60.0,51,1,57,9,74,166,0,0,12,168,12,668,429,2.7,4.2,0.77,56
Joe Mixon,11803,HB,CIN,10,158,17,4,16.0,97,0,605,3,9,17,379,31.3,12,36,7,0,88,90.4,76.2,88.2,,26.9,79.6,74.9,56.1,31,1,314,41,222,185,0,0,48,199,6,605,379,2.4,3.8,1.41,63
Dalvin Cook,11796,HB,MIN,10,156,36,7,28.9,231,0,800,2,3,36,596,83.7,23,36,18,1,50,76.1,71.6,53.3,,36.1,54.0,79.4,58.9,81,1,146,22,232,175,0,0,29,178,6,800,596,3.82,5.1,0.63,101
Miles Sanders,40555,HB,PHI,10,156,27,5,17.0,129,0,757,1,4,27,474,56.1,22,38,24,0,62,90.3,71.0,89.2,,45.6,45.8,76.3,55.3,35,0,43,12,169,214,0,0,15,168,6,757,474,3.04,4.9,0.25,90
Jonathan Taylor,57488,HB,IND,8,151,35,6,26.0,180,0,693,1,6,35,461,72.8,17,32,14,3,62,43.9,64.0,86.4,,22.8,59.6,67.3,58.9,66,0,97,21,197,169,0,0,26,172,3,693,461,3.05,4.6,0.49,85
Najee Harris,57121,HB,PIT,10,148,28,5,19.1,105,0,550,3,6,28,411,53.6,13,21,25,2,56,75.6,61.9,50.9,60.0,62.2,52.2,65.6,49.8,36,1,138,28,204,185,0,0,35,176,3,550,411,2.78,3.7,0.68,87
Rhamondre Stevenson,98689,HB,NE,10,145,26,8,32.2,208,0,646,1,17,26,522,83.2,17,33,19,0,76,90.3,85.6,87.4,,70.2,90.1,79.1,62.9,49,0,283,41,195,174,0,0,49,186,4,646,522,3.6,4.5,1.45,54
Aaron Jones,11937,HB,GB,11,143,44,9,26.8,207,0,771,3,7,44,478,93.2,21,38,12,3,48,45.2,87.1,90.8,,64.1,66.7,90.7,61.3,36,0,248,40,229,174,0,0,49,183,2,771,478,3.34,5.4,1.08,93
Leonard Fournette,11759,HB,TB,10,135,12,2,7.4,34,0,462,3,14,12,307,33.2,11,27,30,0,96,90.2,64.4,47.9,34.2,28.7,71.3,67.9,46.2,17,1,315,43,264,152,0,0,48,178,3,462,307,2.27,3.4,1.19,36
Christian McCaffrey,11763,HB,SF,10,132,24,7,28.6,172,0,602,1,15,24,413,65.6,15,31,28,1,63,76.3,90.1,88.6,87.1,44.5,92.2,80.3,67.9,49,0,462,54,235,164,0,0,64,186,4,602,413,3.13,4.6,1.97,68
David Montgomery,45719,HB,CHI,10,132,32,2,8.6,43,0,501,0,9,32,382,79.1,11,28,6,1,41,72.9,64.8,88.3,,48.2,67.5,62.8,66.7,28,0,204,18,170,193,0,0,21,150,3,501,382,2.89,3.8,1.2,90
Travis Etienne,57185,HB,JAX,10,131,40,11,43.0,312,0,725,3,1,40,411,84.1,18,36,15,3,58,56.6,79.3,88.2,,49.2,45.4,90.0,56.8,49,0,202,22,194,156,0,0,30,153,4,725,411,3.14,5.5,1.04,66
Ezekiel Elliott,10638,HB,DAL,8,124,16,2,9.3,45,0,485,2,1,16,340,35.6,8,31,9,0,56,89.5,74.5,84.4,,53.2,40.3,79.6,75.0,27,0,37,7,119,139,0,0,9,131,6,485,340,2.74,3.9,0.31,61
Alvin Kamara,11822,HB,NO,9,124,18,4,16.3,83,0,510,4,11,18,319,44.7,13,24,20,2,39,57.2,69.4,86.2,,20.8,71.0,72.9,61.8,27,0,385,43,207,157,0,0,54,167,1,510,319,2.57,4.1,1.86,78
