player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Isaiah Pola-Mao,60781,S,LV,1,1,,1.0,23,0,39.6,0,1,0,0,0,0.0
Dawuane Smoot,11823,ED,JAX,2,2,,2.0,15,0,39.6,0,1,0,0,0,0.0
Rodney Thomas II,108389,S,IND,7,15,,7.5,14,0,39.6,0,2,0,0,0,0.0
Stephon Gilmore,7016,CB,IND,2,2,,2.0,14,0,39.6,0,1,0,0,0,0.0
Sauce Gardner,100903,CB,NYJ,3,6,,6.0,22,0,39.6,0,1,0,0,0,0.0
Travon Walker,98940,ED,JAX,5,11,,11.0,15,0,39.6,0,1,0,0,0,0.0
Martin Emerson,97872,CB,CLV,6,8,,8.0,8,0,39.6,0,1,0,0,0,0.0
Anthony Walker,11916,LB,CLV,3,5,,5.0,8,0,39.6,0,1,0,0,0,0.0
J.C. Jackson,42781,CB,LAC,1,1,,1.0,27,0,39.6,0,1,0,0,0,0.0
Kristian Fulton,42894,CB,TEN,7,24,,24.0,31,0,39.6,0,1,0,0,0,0.0
Alontae Taylor,83469,CB,NO,5,8,,2.7,20,0,39.6,0,3,0,0,0,0.0
DeAndre Houston-Carson,10819,S,CHI,4,11,,5.5,6,0,39.6,0,2,0,0,0,0.0
Caleb Farley,61803,CB,TEN,2,2,,2.0,31,0,39.6,0,1,0,0,0,0.0
Terrance Mitchell,8888,CB,TEN,6,14,,14.0,31,0,39.6,0,1,0,0,0,0.0
Jaire Alexander,49350,CB,GB,5,14,,4.7,12,0,39.6,0,3,0,0,0,0.0
Minkah Fitzpatrick,51206,S,PIT,7,42,,21.0,25,2,0.0,0,2,0,0,0,0.0
Tracy Walker,51266,S,DET,3,22,,22.0,11,0,39.6,0,1,0,0,0,0.0
Neville Hewitt,9836,LB,HST,1,2,,2.0,13,0,39.6,0,1,0,0,0,0.0
Steven Nelson,9531,CB,HST,4,15,,15.0,13,0,39.6,0,1,0,0,0,0.0
Micah Parsons,81360,ED,DAL,2,4,,4.0,9,0,39.6,0,1,0,0,0,0.0
Marcus Jones,55717,CB,NE,4,31,,31.0,19,0,39.6,0,1,0,0,0,0.0
Montaric Brown,55797,CB,JAX,1,1,,1.0,15,0,39.6,0,1,0,0,0,0.0
Cobie Durant,79126,S,LA,1,8,,8.0,26,1,0.0,0,1,0,0,0,0.0
Arnold Ebiketie,56862,ED,ATL,2,1,,1.0,2,0,39.6,0,1,0,0,0,0.0
Christian Kirksey,8706,LB,HST,8,40,,13.3,13,0,39.6,0,3,0,0,0,0.0
Garret Wallow,60761,LB,HST,5,17,,8.5,13,0,39.6,0,2,0,0,0,0.0
Ryan Neal,49132,S,SEA,8,46,46.0,9.2,29,0,79.2,1,5,1,4,0,0.09
Kerby Joseph,83239,S,DET,8,43,43.0,10.8,11,0,43.8,1,4,0,16,3,0.37
Eddie Jackson,11867,S,CHI,11,39,39.0,13.0,6,0,42.4,1,3,0,4,0,0.1
Juston Burris,10752,S,CAR,4,36,36.0,12.0,5,0,81.9,1,3,1,4,0,0.11
Elijah Molden,56290,CB,TEN,2,35,35.0,8.8,31,0,39.6,1,4,0,9,7,0.26
Tavierre Thomas,66931,CB,HST,4,65,32.5,13.0,13,0,47.9,2,5,0,15,24,0.23
Jaycee Horn,83375,CB,CAR,10,93,31.0,18.6,5,0,67.9,3,5,0,19,21,0.2
Demario Davis,7079,LB,NO,11,29,29.0,5.8,20,0,39.6,1,5,0,10,6,0.34
DeShon Elliott,28854,S,DET,10,54,27.0,13.5,11,0,61.5,2,4,0,17,7,0.31
Marcus Maye,11794,S,NO,7,27,27.0,13.5,20,0,56.3,1,2,0,4,5,0.15
C.J. Henderson,55593,CB,CAR,9,23,23.0,23.0,5,0,118.8,1,1,0,13,7,0.57
Siran Neal,27130,CB,BUF,5,23,23.0,3.3,4,0,41.4,1,7,0,24,9,1.04
Cory Littleton,11190,LB,CAR,9,23,23.0,11.5,5,0,93.8,1,2,0,24,10,1.04
Essang Bassey,45258,CB,DEN,6,66,22.0,11.0,10,0,71.5,3,6,0,40,32,0.61
Amani Hooker,51378,S,TEN,6,88,22.0,14.7,31,1,38.2,4,6,0,29,13,0.33
Kevin Byard,10698,S,TEN,11,86,21.5,12.3,31,0,131.5,4,7,1,71,9,0.83
Tyrann Mathieu,7850,S,NO,12,80,20.0,10.0,20,0,95.8,4,8,1,21,10,0.26
Xavier Woods,11946,S,CAR,10,40,20.0,13.3,5,0,78.5,2,3,0,15,0,0.38
Camryn Bynum,38408,S,MIN,9,40,20.0,13.3,18,0,88.2,2,3,0,22,9,0.55
Bradley Roby,8666,CB,NO,6,58,19.3,6.4,20,0,42.4,3,9,0,18,8,0.31
Quay Walker,82547,LB,GB,10,19,19.0,9.5,12,0,89.6,1,2,0,22,16,1.16
Jordan Poyer,8000,S,BUF,8,37,18.5,9.3,4,2,56.3,2,4,1,12,13,0.32
Ronnie Harrison,49206,S,CLV,10,54,18.0,10.8,8,0,64.6,3,5,0,14,14,0.26
Cole Holcomb,49753,LB,WAS,7,18,18.0,18.0,32,0,116.7,1,1,0,12,7,0.67
Ugo Amadi,49352,CB,KC,2,17,17.0,8.5,16,0,56.3,1,2,0,6,6,0.35
Quandre Diggs,9633,S,SEA,9,17,17.0,17.0,29,0,79.2,1,1,0,3,0,0.18
Donovan Wilson,49408,S,DAL,11,48,16.0,9.6,9,0,64.6,3,5,0,13,6,0.27
Jordyn Brooks,50851,LB,SEA,10,32,16.0,10.7,29,0,77.1,2,3,0,14,4,0.44
Kyle Dugger,90621,S,NE,10,78,15.6,8.7,19,0,68.3,5,9,0,43,15,0.55
Jessie Bates III,49162,S,CIN,9,31,15.5,7.8,7,0,70.8,2,4,0,26,13,0.84
Chuck Clark,11941,S,BLT,11,77,15.4,9.6,3,0,72.9,5,8,0,36,26,0.47
Nick McCloud,49535,CB,NYG,6,29,14.5,14.5,21,0,118.8,2,2,0,28,9,0.97
Tyler Hall,43958,CB,LV,2,29,14.5,14.5,23,0,79.2,2,2,0,6,5,0.21
Budda Baker,11791,S,ARZ,12,72,14.4,14.4,1,0,131.3,5,5,1,30,16,0.42
Rachad Wildgoose,83111,CB,WAS,5,113,14.1,6.6,32,0,56.5,8,17,0,62,54,0.55
Devin McCourty,5552,S,NE,12,42,14.0,7.0,19,1,72.9,3,6,1,42,5,1.0
Rashaan Evans,50213,LB,ATL,7,14,14.0,14.0,2,0,118.8,1,1,0,13,13,0.93
