"offPlayer","offTeam","defPlayer","defTeam","advantage","expectedSnaps"
"DeAndre Hopkins","ARZ","All Defenders","GB","99.79230618","63.36578691"
"DeAndre Hopkins","ARZ","Eric Stokes","GB","96.31677538","50.59625571"
"DeAndre Hopkins","ARZ","Rasul Douglas","GB","85.53619169","2.650280061"
"DeAndre Hopkins","ARZ","Chandon Sullivan","GB","85.21339886","10.11925114"
"A.J. Green","ARZ","All Defenders","GB","46.96374109","57.82429224"
"A.J. Green","ARZ","Eric Stokes","GB","67.91815738","1.204672755"
"A.J. Green","ARZ","Rasul Douglas","GB","59.13117425","49.87345206"
"A.J. Green","ARZ","Chandon Sullivan","GB","57.12636228","6.746167428"
"Christian Kirk","ARZ","All Defenders","GB","49.15691827","49.39158296"
"Christian Kirk","ARZ","Eric Stokes","GB","66.60503864","3.373083714"
"Christian Kirk","ARZ","Rasul Douglas","GB","57.91023726","2.168410959"
"Christian Kirk","ARZ","Chandon Sullivan","GB","55.8276507","43.85008828"
"Tajae Sharpe","ATL","All Defenders","CAR","37.61861371","27.29767229"
"Tajae Sharpe","ATL","Donte Jackson","CAR","45.28631806","12.24895551"
"Tajae Sharpe","ATL","Keith Taylor","CAR","53.29821049","6.299462836"
"Tajae Sharpe","ATL","A.J. Bouye","CAR","47.80423644","8.749253939"
"Calvin Ridley","ATL","All Defenders","CAR","55.23620579","58.34370916"
"Calvin Ridley","ATL","Donte Jackson","CAR","60.80756365","26.94923709"
"Calvin Ridley","ATL","Keith Taylor","CAR","67.72985504","18.89224868"
"Calvin Ridley","ATL","A.J. Bouye","CAR","63.15518742","12.50222339"
"Russell Gage","ATL","All Defenders","CAR","43.47981893","40.39365703"
"Russell Gage","ATL","Donte Jackson","CAR","50.98259714","7.344301277"
"Russell Gage","ATL","Keith Taylor","CAR","58.59460725","10.55743309"
"Russell Gage","ATL","A.J. Bouye","CAR","53.43801759","22.49192266"
"Stefon Diggs","BUF","All Defenders","MIA","84.18783713","56.07002479"
"Stefon Diggs","BUF","Byron Jones","MIA","94.03170984","22.57056083"
"Stefon Diggs","BUF","Xavien Howard","MIA","74.45911781","20.90746687"
"Stefon Diggs","BUF","Nik Needham","MIA","98.81523476","11.87924254"
"Emmanuel Sanders","BUF","All Defenders","MIA","55.19265266","57.9707036"
"Emmanuel Sanders","BUF","Byron Jones","MIA","69.94060551","27.28331538"
"Emmanuel Sanders","BUF","Xavien Howard","MIA","52.05922391","25.33297598"
"Emmanuel Sanders","BUF","Nik Needham","MIA","74.98845105","5.354412243"
"Cole Beasley","BUF","All Defenders","MIA","70.23522628","55.35727024"
"Cole Beasley","BUF","Byron Jones","MIA","69.30861591","6.900678807"
"Cole Beasley","BUF","Xavien Howard","MIA","51.47160038","9.088603061"
"Cole Beasley","BUF","Nik Needham","MIA","74.36339546","39.89281867"
"Robby Anderson","CAR","All Defenders","ATL","44.75933698","57.86159722"
"Robby Anderson","CAR","Fabian Moreau","ATL","58.37905218","20.07443169"
"Robby Anderson","CAR","A.J. Terrell","ATL","49.80574575","18.49996646"
"Robby Anderson","CAR","Richie Grant","ATL","57.50585001","19.28719907"
"D.J. Moore","CAR","All Defenders","ATL","80.98241677","58.64882983"
"D.J. Moore","CAR","Fabian Moreau","ATL","88.87120118","24.99463553"
"D.J. Moore","CAR","A.J. Terrell","ATL","78.15732702","24.99463553"
"D.J. Moore","CAR","Richie Grant","ATL","87.66344799","7.675517998"
"Shi Smith","CAR","All Defenders","ATL","42.75617635","21.88670677"
"Shi Smith","CAR","Fabian Moreau","ATL","56.41101617","3.862360018"
"Shi Smith","CAR","A.J. Terrell","ATL","47.97586709","1.287453339"
"Shi Smith","CAR","Richie Grant","ATL","55.55940673","16.73689341"
"Darnell Mooney","CHI","All Defenders","SF","43.39313549","59.41299915"
"Darnell Mooney","CHI","Josh Norman","SF","67.56395764","15.80946759"
"Darnell Mooney","CHI","Emmanuel Moseley","SF","49.59820814","24.2241842"
"Darnell Mooney","CHI","K'Waun Williams","SF","50.15979941","18.61437313"
"Marquise Goodwin","CHI","All Defenders","SF","38.55634524","32.41836771"
"Marquise Goodwin","CHI","Josh Norman","SF","60.82231928","14.5207272"
"Marquise Goodwin","CHI","Emmanuel Moseley","SF","43.32983696","12.83227055"
"Marquise Goodwin","CHI","K'Waun Williams","SF","43.49212835","4.727678624"
"Allen Robinson II","CHI","All Defenders","SF","80.98903053","58.90301633"
"Allen Robinson II","CHI","Josh Norman","SF","94.29613692","19.37934736"
"Allen Robinson II","CHI","Emmanuel Moseley","SF","74.45377189","14.53451052"
"Allen Robinson II","CHI","K'Waun Williams","SF","76.59868096","24.98915844"
"Ja'Marr Chase","CIN","All Defenders","NYJ","80.34824922","61.541434"
"Ja'Marr Chase","CIN","Brandin Echols","NYJ","94.82539153","28.3844165"
"Ja'Marr Chase","CIN","Bryce Hall","NYJ","67.81129097","19.8439726"
"Ja'Marr Chase","CIN","Michael Carter II","NYJ","72.70235955","13.31304491"
"Tee Higgins","CIN","All Defenders","NYJ","57.30002513","53.09911101"
"Tee Higgins","CIN","Brandin Echols","NYJ","84.30041162","17.63654803"
"Tee Higgins","CIN","Bryce Hall","NYJ","58.02517116","29.45482204"
"Tee Higgins","CIN","Michael Carter II","NYJ","62.29285667","6.681979523"
"Tyler Boyd","CIN","All Defenders","NYJ","56.38721237","57.27121205"
"Tyler Boyd","CIN","Brandin Echols","NYJ","82.13697322","8.014274318"
"Tyler Boyd","CIN","Bryce Hall","NYJ","56.01360747","8.014274318"
"Tyler Boyd","CIN","Michael Carter II","NYJ","60.15315489","41.24266341"
"Rashard Higgins","CLV","All Defenders","PIT","38.33354853","39.56877948"
"Rashard Higgins","CLV","Cameron Sutton","PIT","48.38123938","23.74126769"
"Rashard Higgins","CLV","Joe Haden","PIT","49.59194224","5.770447008"
"Rashard Higgins","CLV","Arthur Maulet","PIT","54.9053341","7.913755897"
"Odell Beckham Jr.","CLV","All Defenders","PIT","47.54036982","48.26230278"
"Odell Beckham Jr.","CLV","Cameron Sutton","PIT","58.09165928","21.44991235"
"Odell Beckham Jr.","CLV","Joe Haden","PIT","58.62068466","18.29551347"
"Odell Beckham Jr.","CLV","Arthur Maulet","PIT","64.50921408","8.516876962"
"Jarvis Landry","CLV","All Defenders","PIT","75.10390942","48.38573578"
"Jarvis Landry","CLV","Cameron Sutton","PIT","80.02851824","10.75238573"
"Jarvis Landry","CLV","Joe Haden","PIT","79.01756254","13.44048216"
"Jarvis Landry","CLV","Arthur Maulet","PIT","86.20538818","24.19286789"
"Amari Cooper","DAL","All Defenders","MIN","65.16543697","58.4901795"
"Amari Cooper","DAL","Cameron Dantzler","MIN","71.25235028","16.21996574"
"Amari Cooper","DAL","Bashaud Breeland","MIN","80.04760103","24.08419156"
"Amari Cooper","DAL","Mackensie Alexander","MIN","57.22661788","18.1860222"
"CeeDee Lamb","DAL","All Defenders","MIN","62.44301249","58.98169361"
"CeeDee Lamb","DAL","Cameron Dantzler","MIN","70.11700691","28.80449095"
"CeeDee Lamb","DAL","Bashaud Breeland","MIN","78.99195947","17.97420869"
"CeeDee Lamb","DAL","Mackensie Alexander","MIN","56.10373118","12.21996574"
"Cedrick Wilson","DAL","All Defenders","MIN","33.46263599","39.81264319"
"Cedrick Wilson","DAL","Cameron Dantzler","MIN","52.98006013","6.720299397"
"Cedrick Wilson","DAL","Bashaud Breeland","MIN","63.05803696","7.21181351"
"Cedrick Wilson","DAL","Mackensie Alexander","MIN","39.15480601","25.88053028"
"Courtland Sutton","DEN","All Defenders","WAS","83.26111585","56.89633662"
"Courtland Sutton","DEN","Kendall Fuller","WAS","82.61051636","30.55544003"
"Courtland Sutton","DEN","Benjamin St-Juste","WAS","89.96551748","18.33326402"
"Courtland Sutton","DEN","Danny Johnson","WAS","89.14776176","8.007632561"
"Tim Patrick","DEN","All Defenders","WAS","72.09478715","54.78906489"
"Tim Patrick","DEN","Kendall Fuller","WAS","72.91242774","14.96162926"
"Tim Patrick","DEN","Benjamin St-Juste","WAS","80.94824069","25.70871506"
"Tim Patrick","DEN","Danny Johnson","WAS","79.55607776","13.0650847"
"Kendall Hinton","DEN","All Defenders","WAS","50.34876375","38.12540847"
"Kendall Hinton","DEN","Kendall Fuller","WAS","54.63267254","3.74445976"
"Kendall Hinton","DEN","Benjamin St-Juste","WAS","63.95173561","3.063648895"
"Kendall Hinton","DEN","Danny Johnson","WAS","61.47688274","31.31729981"
"Geronimo Allison","DET","All Defenders","PHI","22.62101152","38.66245834"
"Geronimo Allison","DET","Steven Nelson","PHI","12.88749919","19.0446131"
"Geronimo Allison","DET","Darius Slay","PHI","19.02464044","15.61784524"
"Geronimo Allison","DET","Avonte Maddox","PHI","17.4999607","3.48383"
"Kalif Raymond","DET","All Defenders","PHI","23.86785654","47.93534487"
"Kalif Raymond","DET","Steven Nelson","PHI","33.62184564","14.09863084"
"Kalif Raymond","DET","Darius Slay","PHI","38.30342293","16.73037527"
"Kalif Raymond","DET","Avonte Maddox","PHI","38.0068159","16.91835701"
"Amon-Ra St. Brown","DET","All Defenders","PHI","26.48504763","45.1156187"
"Amon-Ra St. Brown","DET","Steven Nelson","PHI","31.20293553","3.759634892"
"Amon-Ra St. Brown","DET","Darius Slay","PHI","36.05432181","3.383671403"
"Amon-Ra St. Brown","DET","Avonte Maddox","PHI","35.61444537","37.59634892"
"Equanimeous St. Brown","GB","All Defenders","ARZ","22.62185697","40.3052755"
"Equanimeous St. Brown","GB","Marco Wilson","ARZ","48.04897357","24.1831653"
"Equanimeous St. Brown","GB","Robert Alford","ARZ","0.010312361","8.0610551"
"Equanimeous St. Brown","GB","Byron Murphy Jr.","ARZ","22.97636455","8.0610551"
"Allen Lazard","GB","All Defenders","ARZ","33.69133249","50.00266857"
"Allen Lazard","GB","Marco Wilson","ARZ","71.2873742","15.0956088"
"Allen Lazard","GB","Robert Alford","ARZ","21.61736288","19.0956088"
"Allen Lazard","GB","Byron Murphy Jr.","ARZ","45.95980017","16.72128975"
"Randall Cobb","GB","All Defenders","ARZ","48.12585803","41.88413806"
"Randall Cobb","GB","Marco Wilson","ARZ","86.20307403","1.870934539"
"Randall Cobb","GB","Robert Alford","ARZ","35.48597135","9.741869078"
"Randall Cobb","GB","Byron Murphy Jr.","ARZ","60.71184926","29.66767626"
"Brandin Cooks","HST","All Defenders","LA","42.12776639","58.86934741"
"Brandin Cooks","HST","Robert Rochell","LA","68.78238022","21.63972059"
"Brandin Cooks","HST","Jalen Ramsey","LA","45.34264861","19.54555408"
"Brandin Cooks","HST","Dont'e Deayon","LA","44.07188485","17.21870241"
"Nico Collins","HST","All Defenders","LA","7.525056868","42.41518199"
"Nico Collins","HST","Robert Rochell","LA","31.47988383","18.79763747"
"Nico Collins","HST","Jalen Ramsey","LA","10.65881056","15.90569325"
"Nico Collins","HST","Dont'e Deayon","LA","7.178660655","7.71185127"
"Danny Amendola","HST","All Defenders","LA","36.69958958","27.67480804"
"Danny Amendola","HST","Robert Rochell","LA","61.78019091","8.456191346"
"Danny Amendola","HST","Jalen Ramsey","LA","38.83201733","3.074978671"
"Danny Amendola","HST","Dont'e Deayon","LA","37.14652154","15.37489336"
"Michael Pittman Jr.","IND","All Defenders","TEN","67.94661635","61.98233453"
"Michael Pittman Jr.","IND","Greg Mabin","TEN","82.69014906","22.03816339"
"Michael Pittman Jr.","IND","Jackrabbit Jenkins","TEN","64.13509898","25.25206222"
"Michael Pittman Jr.","IND","Elijah Molden","TEN","70.41448631","14.69210893"
"Ashton Dulin","IND","All Defenders","TEN","29.85463666","26.37766734"
"Ashton Dulin","IND","Greg Mabin","TEN","46.19787082","10.14525667"
"Ashton Dulin","IND","Jackrabbit Jenkins","TEN","30.20460125","12.68157083"
"Ashton Dulin","IND","Elijah Molden","TEN","34.32259078","3.550839834"
"Zach Pascal","IND","All Defenders","TEN","44.65069178","59.68669251"
"Zach Pascal","IND","Greg Mabin","TEN","63.99075876","9.361719837"
"Zach Pascal","IND","Jackrabbit Jenkins","TEN","46.74841745","11.73910505"
"Zach Pascal","IND","Elijah Molden","TEN","51.92026031","38.43804661"
"Laviska Shenault Jr.","JAX","All Defenders","SEA","39.39289738","48.97450078"
"Laviska Shenault Jr.","JAX","D.J. Reed Jr.","SEA","44.18218708","29.38470047"
"Laviska Shenault Jr.","JAX","Sidney Jones","SEA","69.2917719","9.418987966"
"Laviska Shenault Jr.","JAX","Ugo Amadi","SEA","59.29514662","9.794900156"
"Marvin Jones Jr.","JAX","All Defenders","SEA","71.80119178","56.81993052"
"Marvin Jones Jr.","JAX","D.J. Reed Jr.","SEA","61.06698583","14.2644177"
"Marvin Jones Jr.","JAX","Sidney Jones","SEA","84.99124733","26.38917275"
"Marvin Jones Jr.","JAX","Ugo Amadi","SEA","75.99469025","15.92859977"
"Jamal Agnew","JAX","All Defenders","SEA","36.19426583","43.25003502"
"Jamal Agnew","JAX","D.J. Reed Jr.","SEA","28.49210061","1.373016985"
"Jamal Agnew","JAX","Sidney Jones","SEA","54.70313921","8.238101909"
"Jamal Agnew","JAX","Ugo Amadi","SEA","43.77720724","33.63891613"
