"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Austin Ekeler","LAC","rb","7","NYG","20.4","0","0","0","0","0","0","15.3153","71.4083","0.5079","5.7667","4.8162","38.3656","0.2726","0.2063","0.1032","0.0188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Alvin Kamara","NO","rb","6","@NYJ","19.9","0","0","0","0","0","0","17.0631","76.4378","0.7868","5.0569","3.8745","28.8712","0.136","0.1719","0.0859","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Najee Harris","PIT","rb","7","@MIN","19.9","0","0","0","0","0","0","17.8341","73.1544","0.5661","5.922","4.7526","32.3695","0.1957","0.1302","0.0651","0.0211","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Justin Jefferson","MIN","wr","7","PIT","22.6","0","0","0","0","0","0","0.2677","1.5765","0.0093","9.9728","7.1067","111.7951","0.6838","0.0893","0.0447","0.0207","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Cooper Kupp","LA","wr","11","@ARZ","22.3","0","0","0","0","0","0","0.3371","1.7439","0.009","11.1269","8.5192","103.0139","0.5501","0.1352","0.0676","0.0313","15.8753","0.0195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Antonio Gibson","WAS","rb","9","DAL","17.7","0","0","0","0","0","0","15.949","74.0955","0.6393","4.5509","3.6272","23.8094","0.0862","0.2577","0.1289","0.0346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Davante Adams","GB","wr","13","CHI","20.3","0","0","0","0","0","0","0.0267","0.1223","0.0013","10.1122","7.2054","86.4144","0.7405","0.0752","0.0376","0.0058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Josh Jacobs","LV","rb","8","@KC","17.3","0","0","0","0","0","0","16.0236","66.3044","0.4735","5.4592","4.3412","29.8584","0.0937","0.107","0.0535","0.0043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Tyreek Hill","KC","wr","12","LV","19.7","0","0","0","0","0","0","0.5897","2.6934","0.0403","9.526","6.4703","88.5356","0.6423","0.0599","0.03","0.0053","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Jamaal Williams","DET","rb","9","@DEN","16.7","0","0","0","0","0","0","17.6999","72.1991","0.3382","4.9065","3.8937","27.1407","0.1426","0.1096","0.0548","0.0367","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
