Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Cooper Kupp (21037750),Cooper Kupp,21037750,WR/FLEX,8600,LAR@TB 01/23/2022 03:00PM ET,LAR,27.2
WR,Davante Adams (21037752),Davante Adams,21037752,WR/FLEX,8500,SF@GB 01/22/2022 08:15PM ET,GB,23.02
WR,Deebo Samuel (21037754),Deebo Samuel,21037754,WR/FLEX,7600,SF@GB 01/22/2022 08:15PM ET,SF,22.12
QB,Josh Allen (21037619),Josh Allen,21037619,QB,7600,BUF@KC 01/23/2022 06:30PM ET,BUF,26.86
RB,Derrick Henry (21037644),Derrick Henry,21037644,RB/FLEX,7500,CIN@TEN 01/22/2022 04:30PM ET,TEN,26.04
QB,Patrick Mahomes (21037620),Patrick Mahomes,21037620,QB,7300,BUF@KC 01/23/2022 06:30PM ET,KC,24.15
WR,Ja'Marr Chase (21037756),Ja'Marr Chase,21037756,WR/FLEX,7100,CIN@TEN 01/22/2022 04:30PM ET,CIN,19.25
QB,Aaron Rodgers (21037621),Aaron Rodgers,21037621,QB,7100,SF@GB 01/22/2022 08:15PM ET,GB,21.83
RB,Aaron Jones (21037646),Aaron Jones,21037646,RB/FLEX,6800,SF@GB 01/22/2022 08:15PM ET,GB,15.53
QB,Tom Brady (21037622),Tom Brady,21037622,QB,6800,LAR@TB 01/23/2022 03:00PM ET,TB,24.20
WR,Mike Evans (21037758),Mike Evans,21037758,WR/FLEX,6800,LAR@TB 01/23/2022 03:00PM ET,TB,17.54
QB,Joe Burrow (21037623),Joe Burrow,21037623,QB,6600,CIN@TEN 01/22/2022 04:30PM ET,CIN,21.52
RB,Joe Mixon (21037648),Joe Mixon,21037648,RB/FLEX,6600,CIN@TEN 01/22/2022 04:30PM ET,CIN,18.21
WR,Tyreek Hill (21037760),Tyreek Hill,21037760,WR/FLEX,6600,BUF@KC 01/23/2022 06:30PM ET,KC,17.96
WR,Stefon Diggs (21037762),Stefon Diggs,21037762,WR/FLEX,6500,BUF@KC 01/23/2022 06:30PM ET,BUF,16.69
TE,Travis Kelce (21037900),Travis Kelce,21037900,TE/FLEX,6500,BUF@KC 01/23/2022 06:30PM ET,KC,17.92
WR,A.J. Brown (21037764),A.J. Brown,21037764,WR/FLEX,6200,CIN@TEN 01/22/2022 04:30PM ET,TEN,14.61
QB,Matthew Stafford (21037624),Matthew Stafford,21037624,QB,6200,LAR@TB 01/23/2022 03:00PM ET,LAR,21.89
RB,Devin Singletary (21037650),Devin Singletary,21037650,RB/FLEX,5900,BUF@KC 01/23/2022 06:30PM ET,BUF,12.51
QB,Ryan Tannehill (21037625),Ryan Tannehill,21037625,QB,5800,CIN@TEN 01/22/2022 04:30PM ET,TEN,17.20
RB,Eli Mitchell (21037652),Eli Mitchell,21037652,RB/FLEX,5800,SF@GB 01/22/2022 08:15PM ET,SF,16.29
TE,Rob Gronkowski (21037902),Rob Gronkowski,21037902,TE/FLEX,5800,LAR@TB 01/23/2022 03:00PM ET,TB,14.95
WR,Tee Higgins (21037766),Tee Higgins,21037766,WR/FLEX,5700,CIN@TEN 01/22/2022 04:30PM ET,CIN,15.61
RB,Leonard Fournette (21037654),Leonard Fournette,21037654,RB/FLEX,5700,LAR@TB 01/23/2022 03:00PM ET,TB,18.69
RB,Ronald Jones II (21037656),Ronald Jones II,21037656,RB/FLEX,5600,LAR@TB 01/23/2022 03:00PM ET,TB,5.08
RB,Cam Akers (21037658),Cam Akers,21037658,RB/FLEX,5500,LAR@TB 01/23/2022 03:00PM ET,LAR,7.4
RB,D'Onta Foreman (21037660),D'Onta Foreman,21037660,RB/FLEX,5400,CIN@TEN 01/22/2022 04:30PM ET,TEN,11.54
TE,George Kittle (21037904),George Kittle,21037904,TE/FLEX,5300,SF@GB 01/22/2022 08:15PM ET,SF,14.05
RB,Sony Michel (21037662),Sony Michel,21037662,RB/FLEX,5300,LAR@TB 01/23/2022 03:00PM ET,LAR,8.84
WR,Odell Beckham Jr. (21037768),Odell Beckham Jr.,21037768,WR/FLEX,5300,LAR@TB 01/23/2022 03:00PM ET,LAR,9.74
QB,Jimmy Garoppolo (21037626),Jimmy Garoppolo,21037626,QB,5200,SF@GB 01/22/2022 08:15PM ET,SF,16.47
WR,Brandon Aiyuk (21037770),Brandon Aiyuk,21037770,WR/FLEX,5200,SF@GB 01/22/2022 08:15PM ET,SF,10.33
RB,Clyde Edwards-Helaire (21037664),Clyde Edwards-Helaire,21037664,RB/FLEX,5200,BUF@KC 01/23/2022 06:30PM ET,KC,12.56
RB,AJ Dillon (21037666),AJ Dillon,21037666,RB/FLEX,5100,SF@GB 01/22/2022 08:15PM ET,GB,10.98
QB,Trey Lance (21037627),Trey Lance,21037627,QB,5000,SF@GB 01/22/2022 08:15PM ET,SF,11.15
