"","teams","lines","totals"
"1","MIA Dolphins",3.5,44.5
"2","BAL Ravens",-3.5,44.5
"3","CAR Panthers",2,43.5
"4","NY Giants",-2,43.5
"5","TB Buccaneers",-2.5,44
"6","NO Saints",2.5,44
"7","IND Colts",-3,45
"8","JAX Jaguars",3,45
"9","NY Jets",6.5,39
"10","CLE Browns",-6.5,39
"11","NE Patriots",-2.5,40.5
"12","PIT Steelers",2.5,40.5
"13","WAS Commanders",1.5,48.5
"14","DET Lions",-1.5,48.5
"15","ATL Falcons",10,46.5
"16","LA Rams",-10,46.5
"17","SEA Seahawks",9,40.5
"18","SF 49ers",-9,40.5
"19","CIN Bengals",-7,42
"20","DAL Cowboys",7,42
"21","HOU Texans",10,45
"22","DEN Broncos",-10,45
"23","ARI Cardinals",5,51.5
"24","LV Raiders",-5,51.5
