player,player_id,position,team_name,player_game_count,assists,declined_penalties,franchise_id,grades_fgep_defense,grades_fgep_kicker,grades_fgep_offense,grades_kick_return,grades_kickoff_kicker,grades_long_snap,grades_misc_st,grades_punt_return,grades_punter,grades_special_teams_penalty,missed_tackles,penalties,snap_counts_field_goal,snap_counts_field_goal_blocking,snap_counts_kickoff,snap_counts_kickoff_return,snap_counts_punt_coverage,snap_counts_punt_return,tackles
Andy Lee,1906,P,ARZ,1,0,0,1,,,60.0,,,,60.0,,62.8,63.7,0,0,1,0,0,0,5,0,0
Robbie Gould,2607,K,SF,1,0,0,28,,61.8,,,60.0,,60.0,,,61.3,0,0,2,0,3,0,0,0,0
Marcedes Lewis,2973,TE,GB,1,0,0,12,,,60.0,,,,60.0,,,60.2,0,0,1,0,0,0,0,0,0
Matt Prater,3471,K,ARZ,1,0,0,1,,60.4,,,60.0,,60.0,,,61.4,0,0,1,0,4,0,0,0,0
Nick Folk,3794,K,NE,1,0,0,19,,60.4,,,,,60.0,,,60.4,0,0,1,0,0,0,0,0,0
Mason Crosby,3809,K,GB,1,0,0,12,,60.4,,,60.0,,60.0,,,61.1,0,0,1,0,2,0,0,0,0
Clark Harris,3859,LS,CIN,1,0,0,7,,,60.0,,,75.3,52.3,,,62.8,1,0,2,0,0,0,2,0,0
Calais Campbell,4364,DI,BLT,1,0,0,3,59.0,,60.0,,,,60.1,,,65.2,0,0,4,3,0,0,0,1,0
Matthew Slater,4467,WR,NE,1,0,0,19,60.0,,,,,,71.4,,,68.5,0,0,0,4,2,5,3,4,0
J.J. Jansen,4712,LS,CAR,1,0,0,5,,,60.0,,,78.5,64.5,,,63.8,0,0,4,0,0,0,5,0,0
Kevin Huber,5066,P,CIN,1,0,0,7,,,60.0,,,,60.4,,63.0,66.0,0,0,4,0,0,0,3,0,0
Thomas Morstead,5088,P,MIA,1,0,0,17,,,60.0,,,,60.5,,66.2,65.8,0,0,4,0,0,0,4,0,0
Ryan Succop,5180,K,TB,1,0,0,30,,55.4,,,,,60.0,,,61.0,0,0,6,0,0,0,0,0,0
Graham Gano,5443,K,NYG,1,0,0,21,,60.4,,,60.0,,60.0,,,61.4,1,0,1,0,4,0,0,0,0
Tyson Alualu,5535,DI,PIT,1,0,0,25,59.1,,,,,,59.5,,,65.9,0,0,0,4,0,0,0,0,0
Brandon Graham,5538,ED,PHI,1,0,0,24,60.0,,,,,,60.1,,,62.1,0,0,0,5,0,0,0,0,0
Devin McCourty,5552,S,NE,1,0,0,19,,,,60.0,,,60.0,,,60.7,0,0,0,0,0,1,0,0,0
Andre Roberts,5612,WR,CAR,1,0,0,5,,,,57.4,,,60.2,61.2,,62.4,0,0,0,0,0,8,0,4,0
Al Woods,5646,DI,SEA,1,0,0,29,59.3,,,,,,59.6,,,64.5,0,0,0,5,0,0,0,0,0
Jon Weeks,5800,LS,HST,1,0,0,13,,,60.0,,,59.0,61.5,,,64.4,0,0,4,0,0,0,8,0,0
Morgan Cox,6020,LS,TEN,1,0,0,31,,,60.0,,,79.2,65.0,,,64.0,0,0,5,0,0,0,6,0,0
Patrick Peterson,6157,CB,MIN,1,0,0,18,59.8,,,,,,60.0,,,64.4,0,0,0,1,0,0,0,0,0
