player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Cooper Kupp,11824,WR,LA,2,29,0,26,15.0,0,50.0,50.0,1,2,0.0,0,1,1,68.3,55.5,1,9,0.0,0,11,2,90.9,10,56.3,4,13.8,1,12,0,0.0,6.0,1.2,0,6.3,4,89.5,100.0,2,2,0.0,0,9,0,82.2,83.0,1,28,0.0,0,63,17,100.0,63,82.0,19,65.5,0,170,78,4.6,10.0,2.7
Tyreek Hill,10799,WR,MIA,2,25,0,17,8.9,2,88.9,100.0,1,1,0.0,0,6,1,76.5,91.1,0,26,0.0,0,18,8,100.0,18,118.8,9,36.0,0,113,38,4.8,14.1,6.28,0,12.2,2,61.5,0.0,0,1,11.1,1,4,0,57.0,71.8,1,60,0.0,0,40,8,97.5,39,108.3,13,52.0,2,148,62,7.8,18.5,3.79
Amon-Ra St. Brown,84470,WR,DET,2,24,0,11,7.9,0,57.1,0.0,0,1,0.0,0,4,0,72.1,90.4,0,49,0.0,0,17,4,94.1,16,135.1,7,29.2,2,77,42,10.5,19.3,4.81,0,4.8,2,75.0,,0,0,14.3,2,3,0,45.7,58.0,0,29,0.0,0,49,12,98.0,48,88.5,16,66.7,0,92,45,3.8,7.7,1.92
Jaylen Waddle,84088,WR,MIA,2,24,0,17,5.8,1,100.0,,0,0,0.0,0,4,0,72.1,84.3,0,42,0.0,0,18,4,100.0,18,158.3,4,16.7,2,72,49,12.3,18.0,4.0,0,8.0,0,58.3,66.7,2,3,22.2,2,5,0,31.8,69.3,0,59,0.0,0,39,7,97.4,38,90.3,12,50.0,0,114,56,8.0,16.3,3.0
Ja'Marr Chase,84270,WR,CIN,2,23,0,7,7.9,0,55.6,50.0,1,2,16.7,1,5,0,45.8,68.7,0,14,0.0,0,34,5,88.2,30,106.7,9,39.1,1,46,11,2.2,9.2,1.53,0,8.3,2,66.7,0.0,0,1,11.1,1,8,0,54.5,74.9,0,24,0.0,0,69,8,98.6,68,100.3,12,52.2,0,123,64,8.0,15.4,1.81
Justin Jefferson,61398,WR,MIN,2,22,0,18,11.2,0,33.3,0.0,0,1,0.0,0,2,0,68.3,76.9,1,20,0.0,0,17,2,94.1,16,11.8,6,27.3,0,31,11,5.5,15.5,1.94,0,10.5,3,84.6,50.0,1,2,0.0,0,9,0,78.7,86.1,1,64,0.0,0,47,11,95.7,45,126.3,13,59.1,2,190,89,8.1,17.3,4.22
Stefon Diggs,9579,WR,BUF,2,22,0,4,7.5,1,75.0,,0,0,0.0,0,2,0,70.5,78.7,0,14,0.0,0,13,3,92.3,12,138.5,4,18.2,1,33,12,4.0,11.0,2.75,0,9.3,1,100.0,100.0,1,1,0.0,0,7,0,80.6,89.9,0,46,0.0,0,43,14,95.3,41,142.3,14,63.6,1,174,45,3.2,12.4,4.24
Garrett Wilson,97405,WR,NYJ,2,22,0,22,6.0,2,80.0,,0,0,0.0,0,3,0,72.1,86.0,0,18,0.0,0,13,4,92.3,12,142.9,5,22.7,1,44,22,5.5,11.0,3.67,0,14.3,2,70.0,0.0,0,3,0.0,0,5,0,75.6,80.2,0,31,0.0,0,41,7,100.0,41,137.5,10,45.5,1,105,19,2.7,15.0,2.56
Brandin Cooks,8655,WR,HST,2,21,0,13,6.7,0,33.3,100.0,1,1,50.0,2,1,0,27.3,47.3,0,4,0.0,0,20,2,90.0,18,42.4,6,28.6,0,5,4,2.0,2.5,0.28,0,12.2,1,50.0,25.0,1,4,14.3,1,4,0,49.2,64.4,0,42,0.0,0,51,6,98.0,50,78.8,12,57.1,0,101,25,4.2,16.8,2.02
Davante Adams,8688,WR,LV,2,21,0,23,2.7,0,100.0,,0,0,0.0,0,3,0,70.5,76.2,0,11,0.0,0,16,3,87.5,14,127.1,3,14.3,2,15,9,3.0,5.0,1.07,0,14.7,1,61.5,100.0,1,1,0.0,0,6,0,76.5,80.8,1,41,0.0,0,44,8,95.5,42,61.7,13,61.9,0,126,53,6.6,15.8,3.0
