"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","129","19","0.27","67","1.04","55.4","-21","Frankie Luvu","88","10","0.27","78","0.53","69"
"Kyle Pitts","75","24","0.29","50","1.67","69","-20","Jeremiah Owusu-Koramoah","67","9","0.31","83","0.52","79.3"
"Mark Andrews","89","36","0.72","69","2.75","89.6","7","Tremaine Edmunds","93","15","0.14","57","0.55","67.1"
"Dawson Knox","97","11","0.17","82","0.73","55.1","11","Josh Bynes","60","12","0.13","57","0.6","65.8"
"Ian Thomas","49","16","0.26","62","1.61","52","-33","Zaven Collins","76","11","0.17","75","0.91","49.3"
"Cole Kmet","51","10","0.12","40","0.78","53.7","-35","Julian Love","89","8","0.18","100","1.01","60"
"Hayden Hurst","111","14","0.17","73","0.69","55.8","7","Brandon Jones","110","15","0.19","62","1","50.8"
"David Njoku","79","20","0.4","81","1.62","73.4","-9","Rashaan Evans","105","11","0.17","83","0.7","74.5"
"Dalton Schultz","71","17","0.24","75","1.13","56.9","-1","Jamin Davis","81","12","0.17","60","0.98","56.7"
"Albert Okwuegbunam","78","12","0.13","67","0.58","52.9","-5","Jayon Brown","83","14","0.27","100","1.27","49.3"
"T.J. Hockenson","91","20","0.27","56","0.9","55.7","7","Cody Barton","85","16","0.41","93","1.87","44.6"
"Robert Tonyan","56","23","0.35","85","1.5","56.2","15","Adrian Phillips","83","16","0.23","54","0.76","58.6"
"Pharaoh Brown","54","17","0.26","78","1.33","59.2","-11","Kenneth Murray","68","12","0.19","88","0.85","45.4"
"Kylen Granson","60","17","0.19","70","0.72","53.3","-16","Zach Cunningham","59","14","0.31","88","0.92","73.2"
"Evan Engram","93","16","0.22","80","0.89","60.1","-39","T.J. Edwards","124","12","0.13","73","0.41","84"
"Travis Kelce","104","23","0.5","71","2.21","82.2","52","Devin White","103","12","0.15","58","0.84","53.4"
"Tyler Higbee","100","22","0.33","73","1.71","64.2","-6","Dre Greenlaw","91","18","0.36","94","1.29","72.1"
"Gerald Everett","92","21","0.35","58","1.63","69.2","55","Kamu Grugier-Hill","99","19","0.32","84","1.61","33.9"
"Darren Waller","102","19","0.33","68","1.48","67.6","14","Josey Jewell","26","15","0.37","100","2.12","57.2"
"Durham Smythe","39","15","0.24","83","1.08","60.2","-26","Akeem Davis-Gaither","39","23","0.4","78","2.23","61"
"Irv Smith Jr.","69","22","0.29","47","0.99","59.4","-20","Demario Davis","89","11","0.13","60","0.65","77.6"
"Hunter Henry","79","6","0.07","60","0.35","44.2","-23","Quay Walker","65","17","0.33","91","1.77","57.6"
"Juwan Johnson","89","15","0.16","46","0.93","64.9","-29","Eric Kendricks","119","10","0.12","50","0.72","61.9"
"Daniel Bellinger","49","12","0.34","83","1.14","70.1","20","Roquan Smith","93","15","0.13","43","0.7","42.8"
"Tyler Conklin","134","16","0.28","86","1.04","51.7","-24","Myles Jack","108","15","0.18","75","0.69","60.2"
"Dallas Goedert","96","14","0.35","85","1.75","67.3","-12","Devin Lloyd","112","16","0.22","72","1.05","77.7"
"Pat Freiermuth","81","25","0.38","55","1.7","67.6","3","C.J. Mosley","98","14","0.19","64","1.01","61.3"
"Noah Fant","56","18","0.26","90","0.96","58.7","-13","DeShon Elliott","128","5","0.08","67","0.45","62.9"
"George Kittle","28","14","0.24","100","1","57","-17","Ernest Jones","80","19","0.25","80","0.95","73.4"
"Cameron Brate","85","13","0.16","64","0.8","53.3","-27","Nick Bolton","114","9","0.15","100","0.58","74.1"
"Austin Hooper","54","13","0.16","57","0.81","51.2","-15","Zaire Franklin","105","11","0.17","75","0.89","52.7"
"Logan Thomas","92","14","0.25","62","0.95","56.4","-2","Anthony Barr","75","9","0.09","57","0.35","53"
