Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,5,201,138,1391,8,8,913,538,42,19.70%,3,1.40%,16,8.00%,8,27,12.70%,13
Buffalo Bills,5,166,108,913,3,6.9,608,406,26,13.50%,15,7.80%,15,9.00%,16,46,23.80%,16
Carolina Panthers,5,171,106,1092,7,8,702,434,52,27.20%,15,7.90%,16,9.40%,8,39,20.40%,20
Chicago Bears,6,165,106,1072,4,6.5,519,624,26,13.90%,29,15.50%,7,4.20%,11,47,25.10%,36
Cincinnati Bengals,5,190,109,1137,4,8.8,682,512,47,23.00%,14,6.90%,28,14.70%,8,50,24.50%,20
Cleveland Browns,5,157,92,1078,6,8.8,607,526,38,22.20%,15,8.80%,10,6.40%,9,34,19.90%,18
Indianapolis Colts,5,163,106,1080,7,7.6,506,642,35,19.10%,17,9.30%,13,8.00%,11,41,22.40%,23
Arizona Cardinals,5,175,121,1241,8,6.3,507,790,78,41.70%,19,10.20%,18,10.30%,6,43,23.00%,26
Dallas Cowboys,5,186,116,969,4,7.7,490,607,55,25.30%,25,11.50%,28,15.10%,20,73,33.60%,25
Denver Broncos,5,170,107,883,3,7.2,560,424,65,33.90%,16,8.30%,18,10.60%,17,51,26.60%,24
Detroit Lions,5,170,112,1305,8,8.6,738,575,69,35.90%,22,11.50%,15,8.80%,7,44,22.90%,24
Green Bay Packers,5,133,97,885,4,5.9,465,470,51,33.80%,12,7.90%,14,10.50%,12,38,25.20%,22
Houston Texans,5,184,106,1247,4,8.3,725,578,34,16.60%,21,10.20%,11,6.00%,11,43,21.00%,39
Jacksonville Jaguars,5,165,100,1078,5,7.3,536,613,48,26.40%,16,8.80%,22,13.30%,10,48,26.40%,29
Kansas City Chiefs,5,205,142,1278,12,6.5,685,702,65,29.10%,27,12.10%,26,12.70%,13,66,29.60%,34
Miami Dolphins,5,175,119,1384,8,8.6,734,717,53,27.00%,11,5.60%,8,4.60%,9,28,14.30%,29
Minnesota Vikings,5,160,112,1247,4,8.8,694,611,35,19.10%,18,9.80%,7,4.40%,11,36,19.70%,28
New Orleans Saints,5,156,92,1059,6,8.8,636,493,26,15.10%,10,5.80%,9,5.80%,10,29,16.90%,15
New England Patriots,5,165,102,1055,8,8.6,585,551,55,30.10%,21,11.50%,12,7.30%,13,46,25.10%,29
New York Giants,5,154,91,972,6,8.4,537,483,77,43.30%,20,11.20%,17,11.00%,11,48,27.00%,18
New York Jets,5,153,98,1029,7,9.1,616,468,27,15.60%,13,7.50%,27,17.60%,10,50,28.90%,20
Tennessee Titans,5,181,122,1438,12,7.9,940,587,39,19.30%,18,8.90%,15,8.30%,13,46,22.80%,35
Philadelphia Eagles,5,191,112,947,6,7.3,554,517,54,25.00%,24,11.10%,19,9.90%,17,60,27.80%,28
Pittsburgh Steelers,5,192,116,1438,11,8.7,801,695,59,27.40%,9,4.20%,16,8.30%,10,35,16.30%,24
Las Vegas Raiders,5,178,122,1280,11,7,718,630,51,26.30%,13,6.70%,15,8.40%,8,36,18.60%,34
Los Angeles Rams,5,158,106,1073,6,6.6,550,598,56,31.30%,4,2.20%,9,5.70%,10,23,12.80%,16
Baltimore Ravens,5,212,138,1451,9,6.5,799,730,57,24.40%,17,7.30%,14,6.60%,11,42,17.90%,38
Los Angeles Chargers,5,180,121,1189,10,7.5,700,555,51,26.30%,10,5.20%,17,9.40%,11,38,19.60%,18
Seattle Seahawks,5,151,101,1299,9,9.2,634,712,44,26.80%,11,6.70%,17,11.30%,8,36,22.00%,26
San Francisco 49ers,5,171,109,889,2,6.8,508,472,52,26.00%,22,11.00%,20,11.70%,21,63,31.50%,29
Tampa Bay Buccaneers,5,179,110,967,7,8.8,585,500,61,29.60%,14,6.80%,21,11.70%,19,54,26.20%,13
Washington Commanders,6,190,110,1329,12,9.7,883,582,64,28.40%,10,4.40%,37,19.50%,19,66,29.30%,25
