player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,DI,BLT,5,0,,,3.7,,,0,0,0,,3,63.2,75.2,84.3,70.9,65.8,57.4,0,,100.0,2,0,0,0.0,0,6,161,1,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,5,2,-1.5,100.0,6.9,3.5,3.5,0,0,0,0.0,24,72.3,86.9,84.6,81.2,67.9,65.2,0,2,0.0,0,0,0,79.2,2,7,101,4,2,2,0,2,5,0.3,1.0
Jason Pierre-Paul,5540,ED,BLT,2,0,,,4.2,,,0,0,0,,3,65.9,63.1,81.3,66.4,48.9,56.1,0,,0.0,0,0,0,0.0,0,3,72,1,2,0,0,0,0,0.0,
Kareem Jackson,5545,S,DEN,5,1,11.6,57.1,100.0,48.0,27.4,0,0,1,14.3,10,67.2,67.7,33.9,,65.9,63.2,0,17,9.1,1,1,1,110.7,4,206,206,1,9,7,1,36,9,0.2,9.0
Devin McCourty,5552,S,NE,5,0,22.0,75.0,100.0,59.0,44.3,0,0,1,25.0,19,61.4,61.7,81.1,,59.2,79.6,0,24,0.0,0,1,0,151.0,3,181,181,0,16,4,2,45,8,0.3,15.0
Jerry Hughes,5556,ED,HST,5,0,,,1.4,,,1,0,0,,13,68.2,76.6,40.1,67.1,66.2,49.6,1,,75.0,3,0,2,0.0,0,2,142,5,1,0,0,0,0,0.0,
Carlos Dunlap,5579,ED,KC,5,1,8.0,100.0,9.4,9.0,9.0,0,0,0,0.0,16,56.4,55.0,85.1,55.1,60.3,39.7,0,8,25.0,1,0,0,100.0,1,9,96,3,2,1,0,8,0,0.9,8.0
Von Miller,6154,ED,BUF,5,0,,,1.6,,,0,0,0,,4,77.3,89.2,47.7,77.4,85.8,61.4,0,,50.0,1,0,1,0.0,0,2,127,5,1,0,0,0,0,0.0,
Patrick Peterson,6157,CB,MIN,5,1,13.7,50.0,99.5,16.5,8.3,0,0,3,13.6,18,58.6,62.9,83.2,60.0,80.9,79.1,0,23,6.7,1,3,1,71.0,11,194,195,2,13,22,0,144,56,0.8,13.1
Robert Quinn,6166,ED,CHI,6,0,3.0,100.0,3.3,4.0,4.0,1,0,0,0.0,6,56.9,40.4,47.9,55.6,36.4,48.4,0,13,,0,0,2,118.8,1,5,153,1,0,1,0,13,10,3.3,13.0
Cameron Jordan,6176,ED,NO,5,0,,,2.0,,,0,0,0,,20,72.7,73.9,86.5,58.2,77.9,54.9,0,,,0,0,0,0.0,0,3,147,3,0,0,0,0,0,0.0,
Justin Houston,6222,ED,BLT,3,0,,,6.5,,,0,0,0,,3,66.8,76.3,81.1,72.7,62.0,55.9,0,,50.0,2,0,0,0.0,0,6,93,2,2,0,0,0,0,0.0,
Chris Harris Jr.,6457,CB,NO,1,0,,,100.0,,,0,0,0,,20,62.6,63.5,67.4,,60.0,,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Josh Bynes,6503,LB,BLT,5,2,5.0,55.6,85.3,19.0,10.6,0,0,1,11.1,3,69.9,61.0,80.0,62.8,46.8,58.1,1,19,11.1,1,1,0,71.3,5,99,116,2,6,9,1,55,32,0.6,11.0
Nick Bellore,6515,LB,SEA,1,0,,,50.0,,,0,0,0,,29,60.0,80.8,65.9,60.0,74.9,71.7,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
