player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Matt Ryan,4317,QB,IND,6,2.63,2.52,3.35,4.74,278,14,84.4,135,145,5.4,1.98,4,1,0.7,74.5,108,25,5.3,147,52.9,6,54,,,,65.9,73.9,26.5,73.3,,,,,2,3,155,8.0,96.3,1.4,2,0,0,4,5,4,2.6,1020,7.0,69.1,94,107,8.5,3.35,2,1,0.9,57.9,62,66,4.6,131,47.1,3,39,,,,21.5,44.6,81.8,45.0,,,60.6,,1,4,140,28.8,73.3,14.5,19,5,0,10,3,8,5.7,748,7.0
Kyler Murray,38334,QB,ARZ,6,2.55,2.37,3.59,5.33,276,1,82.2,152,156,4.6,1.75,3,2,1.2,75.0,117,19,6.4,159,57.6,8,51,,,,88.4,76.9,82.4,75.4,,,,,0,0,164,15.8,98.3,1.9,3,0,0,1,4,0,0.0,944,6.1,63.2,76,94,12.0,3.66,3,4,4.0,50.0,47,59,2.1,116,42.0,1,28,,,,27.7,49.3,81.4,45.0,,,74.2,,2,4,127,16.9,56.2,8.6,10,12,0,13,2,9,7.1,520,5.5
Josh Allen,46601,QB,BUF,6,2.65,2.5,3.16,4.11,271,4,85.2,122,134,4.0,1.79,9,5,3.6,73.9,99,18,4.8,136,50.2,5,51,,,,63.1,85.5,81.8,83.4,,,,,0,1,139,11.1,112.8,1.5,2,0,0,3,10,3,2.2,882,6.6,68.8,93,104,14.0,3.54,2,13,12.0,58.7,61,63,4.7,134,49.4,3,61,,,,87.2,89.8,16.7,78.4,,,92.6,,1,3,138,11.1,105.4,5.2,7,23,0,8,7,7,5.1,1098,10.6
Justin Herbert,28237,QB,LAC,6,2.76,2.65,4.29,5.09,271,27,78.2,110,114,4.5,1.99,3,1,0.9,71.1,81,27,5.8,115,42.4,5,37,,,,86.0,65.0,81.1,64.4,,,,,0,2,117,3.7,101.9,0.9,1,0,0,1,8,2,1.7,671,5.9,75.0,124,143,8.8,3.32,5,6,3.9,62.2,89,72,4.3,156,57.6,4,43,,,,67.8,74.7,82.5,74.0,,,59.2,,4,1,168,8.3,86.1,3.8,6,7,0,10,2,2,1.2,1045,7.3
Carson Wentz,10636,QB,WAS,6,2.61,2.43,3.38,4.68,266,32,75.4,130,135,4.7,1.94,2,2,1.4,68.1,92,30,6.1,139,52.3,6,44,,,,87.5,55.4,81.9,55.5,,,,,2,4,144,13.3,83.4,2.9,4,0,0,1,6,4,2.8,714,5.3,72.0,82,97,13.6,3.33,5,10,8.9,53.6,52,59,11.9,127,47.7,7,27,,,,63.4,70.6,81.9,66.8,,,76.5,,1,2,143,32.2,85.2,15.0,19,11,0,9,4,6,4.2,775,8.0
Joe Burrow,28022,QB,CIN,6,2.51,2.37,3.12,4.14,263,7,78.3,138,146,6.0,1.88,4,4,2.6,69.2,101,25,6.5,151,57.4,7,57,,,,44.7,75.0,82.3,73.6,,,,,1,2,159,20.0,104.4,3.3,5,0,0,3,9,3,1.9,1046,7.2,73.6,72,82,9.5,3.38,3,3,3.3,62.2,51,48,3.8,111,42.2,2,27,,,,86.1,59.6,81.2,56.4,,,70.9,,3,3,120,33.3,79.8,14.4,16,13,0,4,3,6,5.0,570,7.0
Patrick Mahomes,11765,QB,KC,6,2.75,2.58,3.05,5.45,257,16,79.8,129,132,4.8,1.78,1,3,2.2,72.7,96,19,6.8,132,51.4,7,53,,,,87.1,71.1,81.7,70.0,,,,,1,1,136,0.0,109.8,0.0,0,0,0,1,9,3,2.2,871,6.6,72.2,79,97,12.3,3.84,2,9,8.0,56.7,55,73,3.5,123,47.9,2,51,,,,87.3,90.2,81.8,86.4,,,77.8,,3,3,139,15.1,101.1,8.9,11,15,0,13,8,4,2.9,865,8.9
Tom Brady,698,QB,TB,6,2.23,2.21,2.94,,256,30,79.9,159,164,4.8,1.84,0,5,2.9,74.4,122,16,3.9,167,65.2,5,52,,,,69.3,66.9,82.7,66.1,,,,,1,1,176,18.8,101.3,1.8,3,0,0,4,7,2,1.1,1005,6.1,64.0,75,82,13.9,2.99,1,7,8.0,53.7,44,31,8.3,88,34.4,4,31,,,,84.6,90.4,80.4,88.0,,,63.3,,0,0,96,19.4,83.8,6.8,6,0,0,6,1,1,1.0,648,7.9
Matthew Stafford,4924,QB,LA,6,2.57,2.47,3.41,4.87,251,26,77.6,116,118,3.7,1.84,1,2,1.7,73.7,87,15,3.3,119,47.4,3,41,,,,59.5,64.3,81.2,63.7,,,,,0,4,120,6.7,93.0,0.8,1,0,0,1,6,3,2.5,755,6.4,78.4,97,107,10.1,3.26,2,5,4.5,68.2,73,68,3.9,131,52.2,3,42,,,,38.6,60.7,18.9,60.5,,,65.8,,0,4,134,30.9,75.3,16.0,21,3,0,8,0,7,5.2,821,7.7
Kirk Cousins,7102,QB,MIN,6,2.64,2.6,2.83,5.03,240,18,75.8,95,99,4.3,1.98,1,3,2.8,66.7,66,26,8.3,102,42.5,6,33,,,,85.5,65.3,80.9,64.6,,,,,2,2,109,11.5,86.7,2.9,3,0,0,1,4,3,2.8,571,5.8,80.7,109,127,8.4,3.12,1,4,2.9,66.9,85,52,3.4,138,57.5,3,51,,,,65.7,79.4,82.1,76.9,,,70.7,,3,3,150,15.4,91.7,5.8,8,3,0,14,5,5,3.3,931,7.3
