player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Tristan Wirfs,64818,T,TB,9,0,30,89.6,1,2,413,100.0,100.0,99.6,1,3,0,442,442,89.5,0,1,185,100.0,100.0,99.7,1,0,201,201
Robert Hainsey,59980,C,TB,9,1,30,64.5,3,11,413,100.0,100.0,98.3,1,14,0,442,442,54.4,2,7,185,100.0,100.0,97.6,9,0,201,201
Shaq Mason,9564,G,TB,9,0,30,69.5,4,5,413,100.0,100.0,98.9,0,9,0,442,442,68.1,2,4,185,100.0,100.0,98.4,6,0,201,201
Kelvin Beachum,7229,T,ARZ,9,0,1,70.6,3,21,404,100.0,100.0,96.0,2,28,4,437,437,62.8,3,13,159,100.0,100.0,93.1,19,3,172,172
Braden Smith,46794,T,IND,9,0,14,73.1,6,9,396,100.0,100.0,97.1,3,19,4,419,419,73.6,3,7,205,100.0,100.0,96.6,12,2,217,217
Quenton Nelson,12954,G,IND,9,1,14,73.5,1,10,396,100.0,100.0,98.1,3,13,2,419,419,57.8,1,10,205,100.0,100.0,96.3,13,2,217,217
Cordell Volson,30614,G,CIN,9,1,7,57.0,7,10,383,100.0,100.0,97.0,2,20,3,407,407,73.4,2,4,148,100.0,100.0,97.3,7,1,164,164
Alex Cappa,66578,G,CIN,9,0,7,76.0,3,5,382,100.0,100.0,98.2,0,11,3,406,406,75.2,2,3,148,100.0,100.0,96.3,8,3,164,164
Ted Karras,10855,C,CIN,9,0,7,73.0,1,10,382,100.0,100.0,98.3,0,12,1,406,406,67.8,1,7,148,100.0,100.0,96.6,9,1,164,164
Joe Thuney,10712,G,KC,8,0,16,83.1,3,9,372,100.0,100.0,98.1,0,13,1,404,404,75.5,1,8,159,100.0,100.0,96.5,10,1,176,176
Orlando Brown Jr.,46227,T,KC,8,1,16,63.9,5,23,371,100.0,100.0,95.7,1,30,2,403,403,68.1,2,14,159,100.0,100.0,93.7,18,2,176,176
Creed Humphrey,59996,C,KC,8,0,16,76.0,2,9,371,100.0,100.0,98.5,2,11,0,403,403,63.4,1,7,159,100.0,100.0,97.5,8,0,176,176
Jonah Williams,41651,T,CIN,9,0,7,59.9,4,14,378,100.0,100.0,95.2,0,27,9,402,402,60.6,1,6,145,100.0,100.0,93.4,13,6,161,161
Andrew Wylie,12333,T,KC,8,3,16,56.4,3,19,369,100.0,100.0,95.4,7,28,6,401,401,59.0,1,13,159,100.0,100.0,93.1,18,4,176,176
Charles Leno Jr.,8880,T,WAS,9,0,32,85.8,4,13,373,100.0,100.0,96.6,0,21,4,397,397,76.7,3,11,171,100.0,100.0,93.6,18,4,185,185
Andrew Norwell,9126,G,WAS,9,1,32,65.5,2,12,371,100.0,100.0,97.0,3,18,4,395,395,52.2,1,8,169,100.0,100.0,95.0,13,4,183,183
Matt Feiler,9289,G,LAC,8,0,27,52.7,1,18,374,100.0,100.0,97.2,1,20,1,391,391,43.5,1,13,188,100.0,100.0,95.7,15,1,197,197
Zion Johnson,99681,G,LAC,8,0,27,48.9,3,14,374,100.0,100.0,97.5,1,18,1,391,391,35.7,3,12,188,100.0,100.0,95.5,16,1,197,197
