player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,BLT,8,2,0,3,73.5,6,10,216,95.0,14.8,32,0,5.6,4,242,230,20,2,86.6,5,7,103,97.3,25.2,26,9.7,4,111,108,16
Tyson Alualu,5535,DI,PIT,8,0,0,25,52.3,1,4,97,100.0,5.2,5,2,2.6,0,101,101,5,0,52.0,1,3,47,100.0,6.4,3,4.3,0,47,47,4
Brandon Graham,5538,ED,PHI,8,1,0,24,84.4,3,14,129,95.1,23.3,30,0,9.7,4,144,137,21,0,79.2,1,8,58,97.0,29.3,17,12.9,3,67,65,12
Jason Pierre-Paul,5540,ED,BLT,6,3,1,3,56.2,0,8,147,96.9,8.8,13,1,3.4,1,162,157,9,1,50.2,0,4,68,95.9,8.8,6,4.4,1,74,71,5
Devin McCourty,5552,S,NE,9,0,0,19,58.3,0,0,1,0.3,0.0,0,0,0.0,0,339,1,0,0,58.3,0,0,1,0.6,0.0,0,0.0,0,157,1,0
Jerry Hughes,5556,ED,HST,8,0,1,13,70.2,0,21,184,99.0,18.5,34,2,9.5,7,193,191,28,0,68.7,0,7,78,97.6,21.8,17,9.6,4,82,80,11
Carlos Dunlap,5579,ED,KC,8,2,0,16,59.3,1,9,139,92.0,11.5,16,0,6.5,4,162,149,14,1,55.9,1,4,62,87.0,11.3,7,8.9,3,77,67,8
Corey Peters,5607,DI,JAX,5,0,0,15,60.6,1,3,54,100.0,9.3,5,0,3.7,0,60,60,4,0,67.0,1,2,21,100.0,19.0,4,7.1,0,22,22,3
Al Woods,5646,DI,SEA,8,1,0,29,65.1,0,4,80,98.8,8.8,7,1,5.0,2,85,84,6,0,73.4,0,2,18,95.0,22.2,4,11.1,1,20,19,3
Von Miller,6154,ED,BUF,8,0,0,4,80.3,2,20,195,99.1,16.9,33,2,9.2,7,216,214,29,0,84.2,2,10,85,98.9,23.5,20,14.1,6,93,92,18
