"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Saquon Barkley","NYG","rb","9","DET","19.7","0","0","0","0","0","0","16.8398","73.6833","0.6747","5.1505","4.2634","29.6564","0.1762","0.1452","0.0726","0.0192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Derrick Henry","TEN","rb","6","@GB","18.8","0","0","0","0","0","0","22.315","94.4735","0.8105","2.9551","2.4046","16.7482","0.0661","0.1806","0.0903","0.0308","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Dalvin Cook","MIN","rb","7","DAL","18.4","0","0","0","0","0","0","18.533","83.7995","0.6741","3.8216","3.2552","21.2424","0.1101","0.2413","0.1207","0.036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Austin Ekeler","LAC","rb","8","KC","17.1","0","0","0","0","0","0","12.2051","52.3946","0.3762","5.672","4.8564","35.1571","0.2128","0.2062","0.1031","0.0466","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Josh Jacobs","LV","rb","6","@DEN","16.8","0","0","0","0","0","0","19.6674","82.4569","0.5822","3.4443","2.8088","18.9563","0.0621","0.1273","0.0637","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Jonathan Taylor","IND","rb","14","PHI","16.8","0","0","0","0","0","0","15.8627","74.1954","0.5703","3.9055","3.307","21.5069","0.1023","0.1654","0.0827","0.0034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Joe Mixon","CIN","rb","10","@PIT","16.6","0","0","0","0","0","0","16.1178","60.7566","0.4986","4.4991","3.8096","26.2734","0.1827","0.0886","0.0443","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Justin Jefferson","MIN","wr","7","DAL","19.1","0","0","0","0","0","0","0.2957","1.7694","0.0131","9.0928","6.205","93.6033","0.545","0.0565","0.0282","0.019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Travis Kelce","KC","te","8","@LAC","18.1","0","0","0","0","0","0","0.1324","0.5703","0.0075","8.1399","6.1326","77.704","0.6724","0.0453","0.0227","0.0299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Tee Higgins","CIN","wr","10","@PIT","18.4","0","0","0","0","0","0","0","0","0","8.8629","6.0259","85.9082","0.6337","0.0617","0.0309","0.0237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
