id,player,team,opponent,position,salary,ownership
83704-53681,Tyreek Hill,MIA,HOU,WR,9200,36.0
83704-80001,Austin Ekeler,LAC,ARI,RB,8800,27.8
83704-55050,Christian McCaffrey,SF,NO,RB,9200,21.3
83704-33076,Travis Kelce,KC,LAR,TE,8200,19.3
83704-90573,Jaylen Waddle,MIA,HOU,WR,8100,18.4
83704-73048,DK Metcalf,SEA,LV,WR,7200,18.2
83704-57439,Patrick Mahomes,KC,LAR,QB,9000,17.0
83704-56018,Deebo Samuel,SF,NO,WR,6900,16.9
83704-39280,Derrick Henry,TEN,CIN,RB,9500,15.7
83704-16606,DeAndre Hopkins,ARI,LAC,WR,8400,15.1
83704-52436,Mark Andrews,BAL,JAC,TE,7300,14.7
83704-69189,Justin Herbert,LAC,ARI,QB,7900,14.1
83704-45889,Davante Adams,LV,SEA,WR,9000,14.0
83704-29253,Keenan Allen,LAC,ARI,WR,7300,13.8
83704-27050,Tyler Lockett,SEA,LV,WR,7400,12.5
83704-55552,Jeff Wilson Jr.,MIA,HOU,RB,7700,12.3
83704-72731,Josh Jacobs,LV,SEA,RB,8700,12.0
83704-90572,Tua Tagovailoa,MIA,HOU,QB,8300,11.3
83704-85701,Ja'Marr Chase,CIN,TEN,WR,8800,10.3
83704-32384,Mike Evans,TB,CLE,WR,7600,10.3
83704-42104,Alvin Kamara,NO,SF,RB,7100,10.2
83704-103342,Kenneth Walker III,SEA,LV,RB,8400,10.0
83704-53562,Nick Chubb,CLE,TB,RB,8100,9.9
83704-89981,Tee Higgins,CIN,TEN,WR,8200,9.8
83704-85798,Brandon Aiyuk,SF,NO,WR,6700,9.4
83704-12536,Kansas City Chiefs,KC,LAR,D,4900,9.2
83704-52451,Samaje Perine,CIN,TEN,RB,6600,9.2
83704-55635,Chris Godwin,TB,CLE,WR,7000,9.2
83704-40687,James Conner,ARI,LAC,RB,7000,9.1
83704-87770,Chris Olave,NO,SF,WR,7300,9.0
83704-63115,Lamar Jackson,BAL,JAC,QB,8200,8.9
83704-137902,Rachaad White,TB,CLE,RB,6400,8.6
83704-60858,Christian Kirk,JAC,BAL,WR,7700,8.4
83704-55987,JuJu Smith-Schuster,KC,LAR,WR,6600,8.4
83704-92575,Isiah Pacheco,KC,LAR,RB,6300,8.0
83704-34331,Latavius Murray,DEN,CAR,RB,6200,7.8
83704-89956,Travis Etienne Jr.,JAC,BAL,RB,8000,7.8
83704-12553,Carolina Panthers,CAR,DEN,D,3900,7.4
83704-26483,Geno Smith,SEA,LV,QB,7600,7.3
83704-86055,Dameon Pierce,HOU,MIA,RB,6900,7.3
83704-87418,Josh Palmer,LAC,ARI,WR,6800,7.2
83704-90933,Antonio Gibson,WAS,ATL,RB,6100,6.7
83704-12525,Atlanta Falcons,ATL,WAS,D,4000,6.6
83704-39793,George Kittle,SF,NO,TE,6200,5.9
83704-54604,Jimmy Garoppolo,SF,NO,QB,6800,5.9
83704-12527,Chicago Bears,CHI,NYJ,D,4200,5.8
83704-12544,New York Jets,NYJ,CHI,D,5000,5.7
83704-12531,Denver Broncos,DEN,CAR,D,3900,5.7
83704-12551,Tampa Bay Buccaneers,TB,CLE,D,4100,5.7
83704-12542,New Orleans Saints,NO,SF,D,3500,5.5
83704-63336,Joe Burrow,CIN,TEN,QB,8600,5.5
83704-12529,Cleveland Browns,CLE,TB,D,3200,5.3
83704-73273,David Montgomery,CHI,NYJ,RB,7500,5.3
83704-12538,Los Angeles Rams,LAR,KC,D,3300,5.2
83704-56250,Terry McLaurin,WAS,ATL,WR,7500,5.2
83704-54608,Jerick McKinnon,KC,LAR,RB,5500,5.1
83704-45859,Derek Carr,LV,SEA,QB,7300,5.0
83704-93539,Michael Carter,NYJ,CHI,RB,6200,5.0
83704-31001,Amari Cooper,CLE,TB,WR,7800,4.9
83704-12539,Miami Dolphins,MIA,HOU,D,4400,4.8
83704-12528,Cincinnati Bengals,CIN,TEN,D,3600,4.7
83704-55830,D'Onta Foreman,CAR,DEN,RB,6700,4.6
83704-63484,Kyler Murray,ARI,LAC,QB,7800,4.6
83704-92413,Elijah Mitchell,SF,NO,RB,6500,4.5
83704-30989,Kenyan Drake,BAL,JAC,RB,6500,4.3
83704-40647,Marquez Valdes-Scantling,KC,LAR,WR,5800,4.3
83704-30733,Cordarrelle Patterson,ATL,WAS,RB,6800,4.2
83704-12549,San Francisco 49ers,SF,NO,D,4700,4.2
83704-40669,Tyler Boyd,CIN,TEN,WR,6700,4.1
83704-12554,Jacksonville Jaguars,JAC,BAL,D,3800,4.1
83704-57403,Courtland Sutton,DEN,CAR,WR,7100,4.0
83704-12534,Tennessee Titans,TEN,CIN,D,3700,3.9
83704-90562,Brian Robinson Jr.,WAS,ATL,RB,6100,3.9
83704-130288,James Robinson,NYJ,CHI,RB,6200,3.8
83704-69777,Darnell Mooney,CHI,NYJ,WR,6100,3.8
83704-12552,Washington Commanders,WAS,ATL,D,4300,3.7
83704-63043,D.J. Moore,CAR,DEN,WR,6200,3.6
83704-6498,Tom Brady,TB,CLE,QB,7400,3.6
83704-90428,Tyler Allgeier,ATL,WAS,RB,5900,3.6
83704-64031,Hayden Hurst,CIN,TEN,TE,5100,3.5
83704-45229,Kareem Hunt,CLE,TB,RB,5800,3.4
83704-57299,Gerald Everett,LAC,ARI,TE,5200,3.4
83704-40167,Gus Edwards,BAL,JAC,RB,6500,3.3
83704-103564,Garrett Wilson,NYJ,CHI,WR,6000,3.2
83704-12555,Baltimore Ravens,BAL,JAC,D,4500,3.1
83704-89951,Trevor Lawrence,JAC,BAL,QB,6900,3.1
83704-91931,Greg Dulcich,DEN,CAR,TE,5300,3.0
83704-52613,Curtis Samuel,WAS,ATL,WR,6500,3.0
83704-29501,Brandin Cooks,HOU,MIA,WR,6400,2.9
83704-60712,Foster Moreau,LV,SEA,TE,5400,2.9
83704-104433,Kyren Williams,LAR,KC,RB,5300,2.9
83704-27229,Ameer Abdullah,LV,SEA,RB,4700,2.8
83704-52808,Dontrell Hilliard,TEN,CIN,RB,5100,2.8
83704-41872,Evan Engram,JAC,BAL,TE,4900,2.8
83704-60451,Tyler Conklin,NYJ,CHI,TE,4800,2.8
