id,player,team,opponent,position,salary,ownership
25705045,Amon-Ra St. Brown,DET,MIN,WR,7800,27.7
25704801,Joe Mixon,CIN,CLE,RB,6900,25.3
25704805,Tony Pollard,DAL,HOU,RB,6700,20.8
25704795,Derrick Henry,TEN,JAC,RB,7900,18.9
25705047,CeeDee Lamb,DAL,HOU,WR,7500,18.3
25704737,Jared Goff,DET,MIN,QB,5600,17.9
25704799,Dalvin Cook,MIN,DET,RB,7300,17.4
25704819,D'Andre Swift,DET,MIN,RB,5800,16.7
25704813,Ezekiel Elliott,DAL,HOU,RB,6100,15.6
25705037,Justin Jefferson,MIN,DET,WR,9000,15.5
25705039,Stefon Diggs,BUF,NYJ,WR,8300,14.7
25705043,Ja'Marr Chase,CIN,CLE,WR,7900,14.6
25705453,Greg Dulcich,DEN,KC,TE,3400,14.3
25704735,Kirk Cousins,MIN,DET,QB,6100,13.0
25705073,D.J. Moore,CAR,SEA,WR,5500,12.9
25705655,Pittsburgh Steelers,PIT,BAL,D,2800,12.9
25704791,Christian McCaffrey,SF,TB,RB,8500,12.1
25705067,Garrett Wilson,NYJ,BUF,WR,5900,12.1
25705057,Tyler Lockett,SEA,CAR,WR,6500,11.7
25705645,Dallas Cowboys,DAL,HOU,D,3800,11.6
25704811,Miles Sanders,PHI,NYG,RB,6200,11.5
25704861,James Cook,BUF,NYJ,RB,4600,10.8
25704823,Isiah Pacheco,KC,DEN,RB,5700,10.8
25704835,Latavius Murray,DEN,KC,RB,5200,10.5
25705041,A.J. Brown,PHI,NYG,WR,8000,10.2
25705049,DK Metcalf,SEA,CAR,WR,7100,9.9
25705051,Tee Higgins,CIN,CLE,WR,7000,9.8
25704734,Geno Smith,SEA,CAR,QB,6200,9.6
25705077,Gabe Davis,BUF,NYJ,WR,5300,9.3
25704732,Dak Prescott,DAL,HOU,QB,6500,8.9
25704807,Travis Etienne Jr.,JAC,TEN,RB,6400,8.9
25704815,Dameon Pierce,HOU,DAL,RB,6000,8.9
25705053,Chris Godwin,TB,SF,WR,6700,8.5
25704793,Saquon Barkley,NYG,PHI,RB,8000,8.3
25705101,Michael Gallup,DAL,HOU,WR,4600,8.1
25704731,Joe Burrow,CIN,CLE,QB,7000,8.0
25704831,D'Onta Foreman,CAR,SEA,RB,5400,7.9
25705439,T.J. Hockenson,MIN,DET,TE,5100,7.9
25705061,DeVonta Smith,PHI,NYG,WR,6300,7.8
25705443,Pat Freiermuth,PIT,BAL,TE,4500,7.5
25705650,Baltimore Ravens,BAL,PIT,D,3300,7.4
25704797,Nick Chubb,CLE,CIN,RB,7800,6.9
25705654,Tampa Bay Buccaneers,TB,SF,D,2900,6.9
25705071,JuJu Smith-Schuster,KC,DEN,WR,5600,6.9
25705055,Christian Kirk,JAC,TEN,WR,6600,6.8
25704845,Travis Homer,SEA,CAR,RB,5000,6.7
25704727,Josh Allen,BUF,NYJ,QB,8300,6.6
25705111,DJ Chark Jr.,DET,MIN,WR,4300,6.6
25704817,Jamaal Williams,DET,MIN,RB,5900,6.5
25704863,Jerick McKinnon,KC,DEN,RB,4600,6.4
25704821,Najee Harris,PIT,BAL,RB,5800,6.3
25705435,Travis Kelce,KC,DEN,TE,7600,6.0
25705445,Dalton Schultz,DAL,HOU,TE,4400,6.0
25705661,Carolina Panthers,CAR,SEA,D,2200,6.0
25704839,Zonovan Knight,NYJ,BUF,RB,5100,5.9
25705644,Kansas City Chiefs,KC,DEN,D,3900,5.7
25705063,Amari Cooper,CLE,CIN,WR,6200,5.7
25705075,Jerry Jeudy,DEN,KC,WR,5400,5.6
25705089,Adam Thielen,MIN,DET,WR,4900,5.6
25704728,Jalen Hurts,PHI,NYG,QB,8100,5.5
25705649,Tennessee Titans,TEN,JAC,D,3400,5.5
25705656,Jacksonville Jaguars,JAC,TEN,D,2700,5.5
25705461,Noah Fant,SEA,CAR,TE,3100,5.4
25705651,San Francisco 49ers,SF,TB,D,3200,5.4
25705437,Mark Andrews,BAL,PIT,TE,6500,5.3
25705085,Tyler Boyd,CIN,CLE,WR,5000,5.2
25705065,Deebo Samuel,SF,TB,WR,6100,5.1
25705455,Evan Engram,JAC,TEN,TE,3300,5.1
25705467,Austin Hooper,TEN,JAC,TE,2900,5.1
25705099,Zay Jones,JAC,TEN,WR,4700,5.0
25705646,Philadelphia Eagles,PHI,NYG,D,3700,4.9
25704729,Patrick Mahomes,KC,DEN,QB,8000,4.9
25705457,Daniel Bellinger,NYG,PHI,TE,3300,4.8
25705463,Tyler Conklin,NYJ,BUF,TE,3100,4.8
25704827,Leonard Fournette,TB,SF,RB,5600,4.8
25705648,Cincinnati Bengals,CIN,CLE,D,3500,4.5
25705647,Seattle Seahawks,SEA,CAR,D,3600,4.4
25705151,Kendall Hinton,DEN,KC,WR,3400,4.3
25704733,Deshaun Watson,CLE,CIN,QB,6400,4.1
25705059,Mike Evans,TB,SF,WR,6400,4.1
25704825,Devin Singletary,BUF,NYJ,RB,5700,4.1
25705081,Diontae Johnson,PIT,BAL,WR,5100,4.1
25705451,Dawson Knox,BUF,NYJ,TE,3800,4.1
25705119,Marquez Valdes-Scantling,KC,DEN,WR,4100,4.0
25705643,Buffalo Bills,BUF,NYJ,D,4000,3.9
25705083,Darius Slayton,NYG,PHI,WR,5100,3.8
25705087,George Pickens,PIT,BAL,WR,5000,3.8
25704809,Samaje Perine,CIN,CLE,RB,6300,3.8
25704740,Tyler Huntley,BAL,PIT,QB,5500,3.7
25705660,Denver Broncos,DEN,KC,D,2300,3.6
25705069,Brandon Aiyuk,SF,TB,WR,5800,3.6
25705658,New York Jets,NYJ,BUF,D,2500,3.5
25705449,David Njoku,CLE,CIN,TE,3900,3.4
25705479,Jordan Akins,HOU,DAL,TE,2800,3.4
25705447,George Kittle,SF,TB,TE,4300,3.3
25705113,Isaiah McKenzie,BUF,NYJ,WR,4200,3.2
25704837,Gus Edwards,BAL,PIT,RB,5200,3.1
25705147,K.J. Osborn,MIN,DET,WR,3500,3.0
25704865,Kareem Hunt,CLE,CIN,RB,4600,2.8
25704889,Mike Boone,DEN,KC,RB,4200,2.8
25705003,J.K. Dobbins,BAL,PIT,RB,4000,2.8
25705659,New York Giants,NYG,PHI,D,2400,2.5
25704741,Daniel Jones,NYG,PHI,QB,5400,2.5
25704857,Tony Jones,SEA,CAR,RB,4800,2.4
25705483,Will Dissly,SEA,CAR,TE,2700,2.4
25704855,Chuba Hubbard,CAR,SEA,RB,4800,2.3
25705662,Houston Texans,HOU,DAL,D,2100,2.3
25705103,Robert Woods,TEN,JAC,WR,4500,2.2
25704939,Justin Jackson,DET,MIN,RB,4000,2.1
25704736,Trevor Lawrence,JAC,TEN,QB,5700,2.1
25704829,Rachaad White,TB,SF,RB,5500,2.0
25704833,Michael Carter,NYJ,BUF,RB,5300,2.0
25704746,Russell Wilson,DEN,KC,QB,5100,2.0
25705107,Devin Duvernay,BAL,PIT,WR,4400,1.9
25705123,Demarcus Robinson,BAL,PIT,WR,4000,1.9
25704745,Sam Darnold,CAR,SEA,QB,5200,1.9
25705489,Ian Thomas,CAR,SEA,TE,2700,1.9
25704739,Mike White,NYJ,BUF,QB,5500,1.8
25704743,Kenny Pickett,PIT,BAL,QB,5200,1.7
25704738,Tom Brady,TB,SF,QB,5600,1.7
25704883,Nyheim Hines,BUF,NYJ,RB,4200,1.6
25704867,Dontrell Hilliard,TEN,JAC,RB,4500,1.6
25705027,Dare Ogunbowale,HOU,DAL,RB,4000,1.6
25705657,Cleveland Browns,CLE,CIN,D,2600,1.6
25704744,Ryan Tannehill,TEN,JAC,QB,5200,1.6
25705139,Marquise Goodwin,SEA,CAR,WR,3500,1.5
25705465,Cameron Brate,TB,SF,TE,3000,1.5
25705127,Quez Watkins,PHI,NYG,WR,3800,1.5
25705129,Marvin Jones Jr.,JAC,TEN,WR,3800,1.5
25705137,Richie James Jr.,NYG,PHI,WR,3600,1.5
25705091,Donovan Peoples-Jones,CLE,CIN,WR,4900,1.4
25705117,Corey Davis,NYJ,BUF,WR,4200,1.4
25704753,Davis Mills,HOU,DAL,QB,5000,1.4
25705135,Terrace Marshall Jr.,CAR,SEA,WR,3600,1.3
25705141,Isaiah Hodgins,NYG,PHI,WR,3500,1.3
25705143,Elijah Moore,NYJ,BUF,WR,3500,1.3
25705145,Noah Brown,DAL,HOU,WR,3500,1.3
25705653,Detroit Lions,DET,MIN,D,3000,1.3
25705149,Josh Reynolds,DET,MIN,WR,3400,1.2
25705171,Justin Watson,KC,DEN,WR,3100,1.2
25705105,Jameson Williams,DET,MIN,WR,4400,1.2
25705153,Chris Moore,HOU,DAL,WR,3400,1.2
25705421,Phillip Dorsett II,HOU,DAL,WR,3000,1.2
25704747,Brock Purdy,SF,TB,QB,5100,1.1
25704843,Kenneth Gainwell,PHI,NYG,RB,5000,1.1
25704847,Alexander Mattison,MIN,DET,RB,4900,1.1
25705635,Brevin Jordan,HOU,DAL,TE,2500,1.1
25705167,Skyy Moore,KC,DEN,WR,3200,1.1
25705121,Nick Westbrook-Ikhine,TEN,JAC,WR,4000,1.0
25705125,Julio Jones,TB,SF,WR,4000,1.0
25704841,Kenyan Drake,BAL,PIT,RB,5100,0.9
25704849,Ty Johnson,NYJ,BUF,RB,4900,0.9
25704877,Matt Breida,NYG,PHI,RB,4300,0.9
25705471,Brock Wright,DET,MIN,TE,2900,0.9
25705475,Harrison Bryant,CLE,CIN,TE,2800,0.9
25705473,Cade Otton,TB,SF,TE,2800,0.9
25705485,Mitchell Wilcox,CIN,CLE,TE,2700,0.9
25705491,Isaiah Likely,BAL,PIT,TE,2700,0.9
25705495,Noah Gray,KC,DEN,TE,2600,0.9
25705499,Tommy Tremble,CAR,SEA,TE,2600,0.9
25704871,Jaylen Warren,PIT,BAL,RB,4500,0.8
25705652,Minnesota Vikings,MIN,DET,D,3100,0.8
25705161,Laviska Shenault Jr.,CAR,SEA,WR,3300,0.7
25705481,Jack Stoll,PHI,NYG,TE,2800,0.7
25704859,JaMycal Hasty,JAC,TEN,RB,4700,0.6
25704873,Jordan Mason,SF,TB,RB,4400,0.6
25705133,Russell Gage,TB,SF,WR,3700,0.6
25705175,Jauan Jennings,SF,TB,WR,3000,0.6
25705173,David Bell,CLE,CIN,WR,3100,0.4
25705155,DeSean Jackson,BAL,PIT,WR,3400,0.3
25705165,Jamal Agnew,JAC,TEN,WR,3200,0.3
25705335,Brandon Johnson,DEN,KC,WR,3000,0.3
25705309,Shi Smith,CAR,SEA,WR,3000,0.3
25704881,Benny Snell Jr.,PIT,BAL,RB,4300,0.0
25704895,Kyle Juszczyk,SF,TB,RB,4200,0.0
25704885,Boston Scott,PHI,NYG,RB,4200,0.0
25704891,Malik Davis,DAL,HOU,RB,4200,0.0
25704999,Justice Hill,BAL,PIT,RB,4000,0.0
25705035,Rex Burkhead,HOU,DAL,RB,4000,0.0
25704957,Demetric Felton,CLE,CIN,RB,4000,0.0
25704979,Marlon Mack,DEN,KC,RB,4000,0.0
25704919,Chris Evans,CIN,CLE,RB,4000,0.0
25704949,Snoop Conner,JAC,TEN,RB,4000,0.0
25704953,D'Ernest Johnson,CLE,CIN,RB,4000,0.0
25704923,Hassan Haskins,TEN,JAC,RB,4000,0.0
25704935,C.J. Ham,MIN,DET,RB,4000,0.0
25704967,Gary Brightwell,NYG,PHI,RB,4000,0.0
25704925,Julius Chestnut,TEN,JAC,RB,4000,0.0
25704961,Raheem Blackshear,CAR,SEA,RB,4000,0.0
25704989,Ke'Shawn Vaughn,TB,SF,RB,4000,0.0
25704997,Tevin Coleman,SF,TB,RB,4000,0.0
25704903,Ronald Jones,KC,DEN,RB,4000,0.0
25705159,Zach Pascal,PHI,NYG,WR,3300,0.0
25705157,Kalif Raymond,DET,MIN,WR,3300,0.0
25705423,Amari Rodgers,HOU,DAL,WR,3000,0.0
25705347,Denzel Mims,NYJ,BUF,WR,3000,0.0
25705233,Trent Taylor,CIN,CLE,WR,3000,0.0
25705409,James Washington,DAL,HOU,WR,3000,0.0
25705427,Jalen Camp,HOU,DAL,WR,3000,0.0
25705177,Khalil Shakir,BUF,NYJ,WR,3000,0.0
25705187,John Brown,BUF,NYJ,WR,3000,0.0
25705231,Trenton Irwin,CIN,CLE,WR,3000,0.0
25705257,Jalen Reagor,MIN,DET,WR,3000,0.0
25705205,Britain Covey,PHI,NYG,WR,3000,0.0
25705383,Binjimen Victor,BAL,PIT,WR,3000,0.0
25705393,Gunner Olszewski,PIT,BAL,WR,3000,0.0
25705349,Braxton Berrios,NYJ,BUF,WR,3000,0.0
25705235,Stanley Morgan,CIN,CLE,WR,3000,0.0
25705407,KaVontae Turpin,DAL,HOU,WR,3000,0.0
25705395,Miles Boykin,PIT,BAL,WR,3000,0.0
25705247,Racey McMath,TEN,JAC,WR,3000,0.0
25705219,Laquon Treadwell,SEA,CAR,WR,3000,0.0
25705363,Jaelon Darden,TB,SF,WR,3000,0.0
25705373,Danny Gray,SF,TB,WR,3000,0.0
25705299,Michael Woods II,CLE,CIN,WR,3000,0.0
25705259,Jalen Nailor,MIN,DET,WR,3000,0.0
25705321,Marcus Johnson,NYG,PHI,WR,3000,0.0
25705255,Chris Conley,TEN,JAC,WR,3000,0.0
25705283,Tim Jones,JAC,TEN,WR,3000,0.0
25705215,Dareke Young,SEA,CAR,WR,3000,0.0
25705337,Montrell Washington,DEN,KC,WR,3000,0.0
25705361,Scotty Miller,TB,SF,WR,3000,0.0
25705369,Deven Thompkins,TB,SF,WR,3000,0.0
25705339,Jalen Virgil,DEN,KC,WR,3000,0.0
25705477,Jake Ferguson,DAL,HOU,TE,2800,0.0
