"","team","opp","name","fpts","ceil","floor","proj_own","salary","rg_value","def_pass_epa_rank","off_pass_epa_rank","pass_adv","def_rush_epa_rank","off_rush_epa_rank","rush_adv","delta"
"1","KC","HOU","Chiefs",8.62,14.2,3.9,4.16,4000,-0.38,14,32,18,19,30,11,29
"2","PHI","CHI","Eagles",8.02,14.56,3,3.09,3900,-0.78,1,10,9,14,6,-8,1
"3","NO","ATL","Saints",6.95,13.14,2.11,1.73,3800,-1.65,20,15,-5,13,5,-8,-13
"4","DAL","JAX","Cowboys",6.75,13.3,1.87,0.98,3700,-1.65,10,14,4,4,21,17,21
"5","CIN","TB","Bengals",6.01,11.15,2,0.45,3600,-2.19,3,21,18,20,32,12,30
"6","LV","NE","Raiders",6.42,11.92,2.16,0.89,3500,-1.58,30,24,-6,3,11,8,2
"7","ARI","DEN","Cardinals",7.48,12.6,3.32,7.04,3400,-0.32,21,27,6,26,29,3,9
"8","CAR","PIT","Panthers",7.86,13.17,3.52,7.43,3300,0.26,8,23,15,8,13,5,20
"9","NYJ","DET","Jets",5.83,11.21,1.77,1.99,3200,-1.57,11,8,-3,15,26,11,8
"10","PIT","CAR","Steelers",6.72,12.36,2.49,3.92,3100,-0.48,19,31,12,22,2,-20,-8
"11","DET","NYJ","Lions",6.84,11.93,2.87,5.12,3000,-0.16,26,30,4,25,27,2,6
"12","LAC","TEN","Chargers",6.19,11.73,1.84,3.21,2900,-0.61,15,6,-9,24,12,-12,-21
"13","NE","LV","Patriots",6.19,11.68,1.71,3.36,2800,-0.41,7,8,1,12,16,4,5
"14","DEN","ARI","Broncos",8.5,14.69,3.5,27.65,2700,2.1,2,25,23,16,28,12,35
"15","TB","CIN","Buccaneers",6.39,13.13,1.07,10.16,2600,0.19,4,5,1,18,20,2,3
"16","ATL","NO","Falcons",5.93,11.76,1.29,4.79,2500,-0.07,31,22,-9,31,22,-9,-18
"17","JAX","DAL","Jaguars",5.17,10.59,1.1,2.01,2400,-0.63,23,16,-7,21,4,-17,-24
"18","CHI","PHI","Bears",3.34,8.29,-0.45,1.37,2300,-2.26,32,4,-28,23,1,-22,-50
"19","TEN","LAC","Titans",5.92,11.32,1.66,8.71,2200,0.52,18,20,2,1,14,13,15
"20","HOU","KC","Texans",4,8.94,0.1,1.92,2000,-1,22,1,-21,29,10,-19,-40
