player_id,team,opp,pos,name,fpts,proj_own,smash,value_percent,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
843733,DEN,LAR,TE,Mitchell Fraboni,,0,,,,,0,0,-7.75,2500,,-843733,843733
820435,LAR,DEN,WR,Brandon Powell,4.84,1.6,0.7,17.8,10.47,1.72,0,0,-3.91,3000,,328242,820435
943635,GB,MIA,RB,Patrick Taylor,0.19,0.66,,,0.38,,0,0,-10.56,4000,,1844272,943635
560241,ARI,TB,WR,DeAndre Hopkins,13.6,24.65,7.8,26.7,24.29,7.45,0,0,-4.15,7500,,16563,560241
602118,GB,MIA,WR,Sammy Watkins,,0,,,,,0,0,-9.55,3400,,-602118,602118
924946,ARI,TB,WR,Antoine Wesley,,0,,,,,0,0,-8.75,3000,,1001210,924946
837958,GB,MIA,WR,Allen Lazard,11.38,17.06,7,33.6,20.25,5.39,0,0,-2.37,5500,,328523,837958
824428,DEN,LAR,TE,Andrew Beck,,0,,,,,0,0,-7.75,2500,,982262,824428
1074309,GB,MIA,WR,Jeff Cotton Jr.,,0,,,,,0,0,-8.75,3000,,-1074309,1074309
1067918,GB,MIA,WR,Christian Watson,13.79,25.28,11.5,39.5,24.85,6.63,0,0,-0.96,6000,,3491515,1067918
401534,DEN,LAR,QB,Russell Wilson,15,12.69,1.9,32.8,23.06,8.97,0,0,-1.75,5500,,13560,401534
698227,LAR,DEN,WR,Cooper Kupp,,0,,,,,0,0,-8.75,3000,,37050,698227
832900,DEN,LAR,RB,Chase Edmonds,4.38,2.59,0.5,10.1,9.46,1.49,0,0,-6.37,4000,,328948,832900
741314,GB,MIA,RB,Aaron Jones,15.58,47.3,8.9,39.6,24.01,9.52,0,0,-2.17,7500,,36871,741314
920944,LAR,DEN,WR,Ben Skowronek,,0,,,,,0,0,-10.75,4000,,2862398,920944
976528,DEN,LAR,WR,KJ Hamler,,0,,,,,0,0,-9.75,3500,,1844832,976528
880322,MIA,GB,RB,Alec Ingold,2.7,0,,2.8,7.06,0.01,0,0,-8.05,4000,,1001990,880322
323205,LAR,DEN,QB,Matthew Stafford,,0,,,,,0,0,-13.75,4000,,11613,323205
976804,LAR,DEN,RB,Ronnie Rivers,0.15,0.54,,,0.3,,0,0,-11.40,4400,,3504123,976804
865649,LAR,DEN,QB,Bryce Perkins,,0,,,,,0,0,-14.55,4400,,1849789,865649
1108161,ARI,TB,TE,Trey McBride,5.48,9.24,2,15.6,11.99,1.93,0,0,-3.67,3200,,3492164,1108161
913829,MIA,GB,QB,Skylar Thompson,,0,,,,,0,0,-15.15,4700,,3491599,913829
456614,TB,ARI,WR,Julio Jones,4.72,1.68,0.8,10.5,11.85,0.82,0,0,-5.83,3900,,12896,456614
467405,DEN,LAR,RB,Latavius Murray,11.67,26.11,2.4,27.3,20.69,5.82,0,0,-2.28,5600,,18332,467405
593587,TB,ARI,WR,Mike Evans,13.94,28.12,10.9,34.7,25.3,6.86,0,0,-1.21,6200,,18287,593587
865838,ARI,TB,WR,Andre Baccellia,,0,,,,,0,0,-8.75,3000,,2184800,865838
694931,DEN,LAR,TE,Eric Saubert,0.89,1.09,,2.4,1.77,0.01,0,0,-6.86,2500,,36986,694931
973935,DEN,LAR,WR,Jerry Jeudy,11.04,24.51,6.2,25.3,21.04,5.14,0,0,-3.51,5900,,1844833,973935
877807,TB,ARI,RB,Ke'Shawn Vaughn,0.08,0.38,,,0.16,,0,0,-10.67,4000,,1844803,877807
1128085,DEN,LAR,TE,Greg Dulcich,9.15,21.91,13.2,34,18.01,3.54,0,0,-1.40,3900,,3492045,1128085
213957,GB,MIA,QB,Aaron Rodgers,17.34,14.46,9,51.9,25.91,10.42,0,0,-0.21,5900,,11601,213957
651658,ARI,TB,TE,Maxx Williams,1.23,0.55,0.1,2.8,2.45,0.01,0,0,-6.52,2500,,21555,651658
973947,MIA,GB,QB,Tua Tagovailoa,20.16,39.24,5.6,45.5,29.98,12.2,0,0,0.41,7000,,1844363,973947
1229343,TB,ARI,RB,Rachaad White,12.84,26.01,5.9,39.8,20.9,7.37,0,0,-0.51,5300,,3492017,1229343
1107881,DEN,LAR,RB,Javonte Williams,,0,,,,,0,0,-10.75,4000,,2862245,1107881
552926,TB,ARI,TE,Cameron Brate,4.19,9.93,1.8,14.8,14.06,,0,0,-4.36,2900,,18294,552926
465949,GB,MIA,WR,Randall Cobb,6.73,3.94,3.9,24.1,13.95,2.56,0,0,-4.42,4200,,12905,465949
1049263,TB,ARI,TE,Cade Otton,5.25,12.75,2.8,18.2,14.31,1.11,0,0,-3.50,3000,,3492018,1049263
1106760,LAR,DEN,WR,Tutu Atwell,11.34,19.58,11.7,48.8,21.63,4.91,0,0,1.39,3600,,2862399,1106760
1056392,LAR,DEN,WR,Lance McCutcheon,2.06,0.63,,3.4,4.1,0.02,0,0,-6.69,3000,,3516161,1056392
1049770,MIA,GB,TE,Adam Shaheen,,0,,,,,0,0,-7.75,2500,,36857,1049770
1167361,LAR,DEN,RB,Kyren Williams,3.16,1.86,,2.3,8.43,0.69,0,0,-8.99,4700,,3492191,1167361
652808,TB,ARI,WR,Breshad Perriman,0.77,0.6,,1.2,1.53,0.01,0,0,-7.98,3000,,21551,652808
748070,LAR,DEN,QB,Baker Mayfield,5,4.47,1.1,24.2,5.1,6.88,0,0,-11.35,5300,,328157,748070
1130270,ARI,TB,WR,Rondale Moore,,0,,,,,0,0,-11.55,4400,,2862366,1130270
1284193,GB,MIA,TE,Nick Guggemos,,0,,,,,0,0,-7.75,2500,,-1284193,1284193
608360,ARI,TB,WR,Robbie Anderson,3.14,2.05,0.1,8.4,9.68,,0,0,-5.61,3000,,35503,608360
1125882,ARI,TB,RB,Keaontay Ingram,1.05,0.98,,0.3,3.78,-0.08,0,0,-10.70,4500,,3492165,1125882
362,TB,ARI,DST,Buccaneers,9.09,35.27,10.6,51,15.83,3.85,0,0,1.49,3300,,18443,362
1056660,LAR,DEN,WR,Austin Trammell,1.09,0.81,,2,2.17,0.01,0,0,-7.66,3000,,2862133,1056660
1068199,MIA,GB,WR,Braylon Sanders,0.18,0.48,,0.4,0.36,,0,0,-8.57,3000,,3515545,1068199
1049246,MIA,GB,RB,Salvon Ahmed,0.66,1.09,,0.1,1.31,0.01,0,0,-10.09,4000,,1849808,1049246
749590,DEN,LAR,WR,Victor Bolden Jr.,,0,,,,,0,0,-8.75,3000,,37063,749590
912061,MIA,GB,WR,Cedrick Wilson Jr.,2.51,1,,5.4,7.83,,0,0,-6.24,3000,,328586,912061
946261,MIA,GB,TE,Tanner Conner,,0,,,,,0,0,-7.75,2500,,3515547,946261
728274,MIA,GB,TE,Cethan Carter,,0,,,,,0,0,-7.75,2500,,36837,728274
609496,LAR,DEN,WR,Allen Robinson II,,0,,,,,0,0,-8.75,3000,,18179,609496
1386002,DEN,LAR,WR,Kaden Davis,,0,,,,,0,0,-8.75,3000,,3516007,1386002
332,DEN,LAR,DST,Broncos,8.1,18.94,6,37.1,14.63,3.49,0,0,-0.10,3600,,18423,332
343,LAR,DEN,DST,Rams,7.46,18.19,4.7,38.1,13.61,2.6,0,0,0.46,3000,,18442,343
1112575,ARI,TB,QB,Carson Strong,,0,,,,,0,0,-13.75,4000,,-1112575,1112575
836152,MIA,GB,TE,Mike Gesicki,4.63,13.53,2.2,14,16.66,,0,0,-4.92,3400,,328364,836152
728374,GB,MIA,QB,Danny Etling,,0,,,,,0,0,-13.75,4000,,328396,728374
25347,TB,ARI,QB,Tom Brady,18.8,23.95,8.1,51.1,27.94,11.32,0,0,0.85,6100,,11604,25347
458093,ARI,TB,WR,A.J. Green,3.15,2.12,0.1,8.8,10.2,,0,0,-5.80,3100,,12897,458093
355,ARI,TB,DST,Cardinals,4.85,6.18,5.6,39.4,9.69,1.21,0,0,-1.15,2500,,18415,355
749681,MIA,GB,WR,River Cracraft,,0,,,,,0,0,-8.75,3000,,37962,749681
910380,TB,ARI,QB,Kyle Trask,,0,,,,,0,0,-13.75,4000,,2862218,910380
607660,ARI,TB,TE,Stephen Anderson,0.4,0.27,,0.8,0.8,,0,0,-7.35,2500,,35511,607660
836164,ARI,TB,QB,Trace McSorley,13.79,5.18,2.4,42.1,21.29,8.3,0,0,-1.56,4800,,981967,836164
1056554,LAR,DEN,TE,Roger Carter Jr.,,0,,,,,0,0,-7.75,2500,,3516159,1056554
1122653,GB,MIA,WR,Romeo Doubs,7.58,4.92,2.2,17.9,15.49,3.07,0,0,-4.57,4700,,3491516,1122653
884080,LAR,DEN,WR,Van Jefferson,9.5,7.56,5.9,31.5,18.31,3.78,0,0,-1.45,4100,,1849783,884080
345,MIA,GB,DST,Dolphins,5.61,12.07,5.2,36.3,12.12,1.01,0,0,-1.19,2900,,18430,345
842181,DEN,LAR,RB,Mike Boone,,0,,,,,0,0,-10.75,4000,,328302,842181
920072,DEN,LAR,RB,Damarea Crockett,,0,,,,,0,0,-10.75,4000,,982317,920072
834195,MIA,GB,RB,Jeff Wilson Jr.,6.28,10.21,0.3,8.3,13.67,2.7,0,0,-7.27,5400,,329007,834195
1284057,ARI,TB,TE,Bernhard Seikovits,,0,,,,,0,0,-7.75,2500,,2874299,1284057
742390,ARI,TB,RB,James Conner,15.92,41.53,10.1,43.4,25.27,9.47,0,0,-0.83,7000,,36851,742390
335,GB,MIA,DST,Packers,5.53,9.34,8.5,48.3,10.93,1.33,0,0,-0.27,2400,,18425,335
866041,ARI,TB,RB,Ty'Son Williams,,0,,,,,0,0,-10.75,4000,,-866041,866041
1173430,TB,ARI,WR,Kaylon Geiger Sr.,,0,,,,,0,0,-8.75,3000,,3515976,1173430
838179,DEN,LAR,WR,Tim Patrick,,0,,,,,0,0,-8.75,3000,,36825,838179
886392,LAR,DEN,TE,Jacob Harris,,0,,,,,0,0,-7.75,2500,,2862402,886392
976251,LAR,DEN,RB,Cam Akers,12.46,18.17,7.5,41.1,21.47,6.38,0,0,-0.69,5200,,1849790,976251
306296,ARI,TB,QB,Colt McCoy,,0,,,,,0,0,-16.15,5200,,11620,306296
921460,DEN,LAR,WR,Brandon Johnson,5.23,1.64,0.2,10.7,11.59,1.7,0,0,-3.52,3000,,3516008,921460
866174,GB,MIA,TE,Tyler Davis,0.14,0.25,,0.7,0.28,,0,0,-7.61,2500,,1844521,866174
866086,DEN,LAR,WR,Kendall Hinton,,0,,,,,0,0,-10.35,3800,,1844836,866086
604176,LAR,DEN,TE,Tyler Higbee,8.97,19.5,5.9,29.9,16.31,4.4,0,0,-1.98,4100,,35670,604176
836079,GB,MIA,WR,Juwann Winfree,,0,,,,,0,0,-8.75,3000,,982664,836079
1060550,MIA,GB,TE,Hunter Long,0.91,0.32,0.1,5.1,1.81,0.01,0,0,-6.84,2500,,2861780,1060550
835694,TB,ARI,RB,Patrick Laird,,0,,,,,0,0,-10.75,4000,,1104969,835694
922011,DEN,LAR,WR,Tyrie Cleveland,,0,,,,,0,0,-8.75,3000,,1844834,922011
839325,GB,MIA,WR,Travis Fulgham,,0,,,,,0,0,-8.75,3000,,982110,839325
469472,TB,ARI,TE,Kyle Rudolph,,0,,,,,0,0,-7.75,2500,,11837,469472
742470,ARI,TB,RB,Corey Clement,0.26,0.72,,,0.52,,0,0,-10.89,4200,,36973,742470
1060650,DEN,LAR,WR,Montrell Washington,1.04,0.82,,1,2.07,0.01,0,0,-7.71,3000,,3492044,1060650
888484,LAR,DEN,WR,J.J. Koski,,0,,,,,0,0,-8.75,3000,,1849788,888484
976220,ARI,TB,WR,Marquise Brown,10.11,16.66,5.8,26.1,18.68,4.61,0,0,-3.44,5400,,972489,976220
920560,GB,MIA,WR,Samori Toure,0.2,0.37,,0.2,0.4,,0,0,-8.95,3200,,3491512,920560
546076,TB,ARI,RB,Giovani Bernard,0.48,0.72,,0.1,0.96,,0,0,-10.27,4000,,16537,546076
912596,DEN,LAR,WR,Jalen Virgil,,0,,,,,0,0,-8.75,3000,,3516006,912596
1125749,MIA,GB,WR,Jaylen Waddle,15.9,31.74,12.5,37.6,28.43,8.3,0,0,-1.25,7200,,2861778,1125749
835861,MIA,GB,WR,Trent Sherfield,6.39,4.45,2,23.6,15.1,1.68,0,0,-2.76,3200,,328944,835861
503177,ARI,TB,TE,Zach Ertz,,0,,,,,0,0,-7.75,2500,,16583,503177
910463,DEN,LAR,WR,Freddie Swain,1.08,1.13,,1.4,2.15,0.01,0,0,-7.67,3000,,1849838,910463
821297,ARI,TB,QB,David Blough,,0,,,,,0,0,-13.75,4000,,982023,821297
920077,DEN,LAR,TE,Albert Okwuegbunam,,0,,,,,0,0,-7.75,2500,,1844837,920077
823156,MIA,GB,WR,Tyreek Hill,23.08,58.93,21.8,54.9,35.66,12.9,0,0,2.33,9000,,35616,823156
214197,GB,MIA,TE,Marcedes Lewis,0.89,0.48,0.1,2.8,1.77,0.01,0,0,-7.46,2800,,11792,214197
744595,ARI,TB,WR,Pharoh Cooper,0.07,0,,,0.14,,0,0,-8.68,3000,,35666,744595
606501,MIA,GB,RB,Raheem Mostert,13.22,23.73,6.2,38.9,21.95,7.65,0,0,-1.33,5900,,21702,606501
822013,TB,ARI,RB,Leonard Fournette,12,19.54,4.4,36.1,19.66,6.79,0,0,-2.35,5800,,36941,822013
1056649,GB,MIA,TE,Jack Coco,,0,,,,,0,0,-7.75,2500,,-1056649,1056649
746301,TB,ARI,TE,David Wells,,0,,,,,0,0,-7.75,2500,,-746301,746301
822014,TB,ARI,WR,Russell Gage,7.64,14.52,3.8,28,15.23,3.13,0,0,-2.51,3700,,328706,822014
1130833,TB,ARI,WR,Deven Thompkins,,0,,,,,0,0,-8.75,3000,,3515974,1130833
836347,LAR,DEN,QB,John Wolford,,0,,,,,0,0,-15.15,4700,,508426,836347
912137,GB,MIA,QB,Jordan Love,,0,,,,,0,0,-16.15,5200,,1844276,912137
1191983,DEN,LAR,RB,Tyreik McAllister,,0,,,,,0,0,-10.75,4000,,3516004,1191983
748755,MIA,GB,WR,DaeSean Hamilton,,0,,,,,0,0,-8.75,3000,,-748755,748755
1054923,ARI,TB,TE,Chris Pierce Jr.,,0,,,,,0,0,-7.75,2500,,3504127,1054923
463393,TB,ARI,QB,Blaine Gabbert,,0,,,,,0,0,-15.15,4700,,11637,463393
911236,TB,ARI,WR,Tyler Johnson,,0,,,,,0,0,-8.75,3000,,-911236,911236
838878,DEN,LAR,WR,Courtland Sutton,11.08,15.76,8.8,33.6,21.31,4.95,0,0,-1.47,4900,,328827,838878
835127,TB,ARI,WR,Chris Godwin,15.7,35.23,15.1,43,26.44,8.67,0,0,-0.85,6900,,37002,835127
865895,MIA,GB,RB,Myles Gaskin,,0,,,,,0,0,-10.95,4100,,982233,865895
1060545,GB,MIA,RB,AJ Dillon,9.19,13.39,1.5,20.7,16.98,4.82,0,0,-4.96,5700,,1844274,1060545
910852,ARI,TB,WR,Greg Dortch,1.29,0.79,,2.3,2.57,0.01,0,0,-7.46,3000,,982285,910852
832213,MIA,GB,RB,John Lovett,,0,,,,,0,0,-10.75,4000,,982689,832213
866115,DEN,LAR,RB,Devine Ozigbo,,0,,,,,0,0,-10.75,4000,,982597,866115
