"gameTime","offTeam","offPressureRate","offSackRate","offYardsBco","offRunsInsideFive","offTdPctInsideFive","passBlockAdv","runBlockAdv","defTeam","defPressureRate","defSackRate","defYardsBco","defRunsInsideFive","defTdPctInsideFive"
"2023-01-16T01:15:00Z","BLT","21","15","1.88","17","53","25","3","CIN","31","14","1.48","19","32"
"2023-01-15T18:00:00Z","BUF","26","9","1.83","20","30","-33","-41","MIA","32","12","1.25","26","31"
"2023-01-16T01:15:00Z","CIN","24","17","1.15","27","37","11","-20","BLT","26","17","1.26","25","36"
"2023-01-17T01:15:00Z","DAL","26","8","1.31","27","44","22","-12","TB","26","17","1.36","11","36"
"2023-01-15T01:15:00Z","JAX","26","13","1.76","29","34","-13","-7","LAC","34","14","2.1","23","39"
"2023-01-15T01:15:00Z","LAC","24","10","1.13","19","42","12","-20","JAX","32","12","1.15","19","53"
"2023-01-15T18:00:00Z","MIA","24","11","1.37","14","57","-8","16","BUF","31","17","0.8","16","38"
"2023-01-15T21:30:00Z","MIN","28","17","1.19","28","43","-24","13","NYG","32","15","2.02","18","50"
"2023-01-15T21:30:00Z","NYG","27","15","1.65","27","44","-7","-36","MIN","34","14","1.35","22","50"
"2023-01-14T21:30:00Z","SEA","27","16","1.49","10","20","-26","-33","SF","37","13","1.12","19","37"
"2023-01-14T21:30:00Z","SF","21","13","1.83","36","28","20","5","SEA","31","17","1.51","32","28"
"2023-01-17T01:15:00Z","TB","19","10","1.27","15","33","-2","-30","DAL","40","14","1.4","16","31"
