team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
GB,12,1,30,1,1,30,96.7,2,0
LV,23,1,29,2,1,29,94.8,3,0
LA,26,1,39,1,4,39,93.6,5,0
TB,30,1,38,0,3,38,93.4,4,1
DAL,9,1,25,2,2,25,92.0,4,0
IND,14,1,47,2,6,47,91.5,8,0
DET,11,1,35,1,3,35,91.4,5,1
MIA,17,1,46,1,9,46,89.1,10,0
DEN,10,1,36,1,5,36,88.9,7,1
CLV,8,1,35,1,5,35,88.6,7,1
ARZ,1,1,34,2,4,34,88.2,7,1
LAC,27,1,42,2,5,42,86.9,9,2
WAS,32,1,40,1,4,40,86.2,8,3
PHI,24,2,69,1,16,69,86.2,18,1
JAX,15,1,35,1,5,35,85.7,8,2
MIN,18,2,93,10,12,93,84.9,25,3
ATL,2,1,22,0,1,22,84.1,4,3
HST,13,1,53,3,13,53,83.0,17,1
TEN,31,1,40,3,7,40,82.5,12,2
KC,16,1,45,4,13,45,81.1,17,0
CIN,7,1,34,5,6,34,80.9,12,1
BUF,4,1,49,3,12,49,80.6,17,2
NE,19,1,58,4,15,58,80.2,21,2
BLT,3,1,30,3,5,30,80.0,10,2
SEA,29,1,29,0,9,29,77.6,11,2
PIT,25,1,51,3,17,51,76.5,22,2
CAR,5,1,42,5,11,42,76.2,18,2
NO,20,1,38,3,8,38,75.0,15,4
SF,28,1,34,2,9,34,75.0,14,3
CHI,6,1,49,1,23,49,73.5,25,1
NYJ,22,1,26,3,9,26,73.1,13,1
NYG,21,1,44,3,18,44,67.0,25,4
