player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Daniel Jones,39395,QB,NYG,3,2.88,2.62,3.28,4.66,120,21,77.8,54,55,5.3,1.91,0,0,0.0,74.5,41,13,2.4,56,46.7,1,13,,81.5,68.1,78.6,67.3,,,1,2,60,7.7,75.7,1.8,1,0,0,0,1,0,0.0,272,4.9,67.6,37,42,10.2,3.73,1,2,4.5,52.4,22,43,12.0,64,53.3,3,17,,42.6,65.9,79.2,55.6,,83.5,0,2,69,25.6,63.4,17.2,11,11,0,4,1,3,4.3,298,7.1
C.J. Stroud,129759,QB,HST,2,2.77,2.66,3.35,4.5,106,13,78.7,47,47,6.0,1.9,0,0,0.0,72.3,34,10,8.1,48,45.3,3,16,,80.3,77.5,78.0,75.9,,,0,0,50,10.0,101.4,2.1,1,0,0,0,1,0,0.0,360,7.7,66.7,39,41,10.7,3.61,0,1,2.2,58.5,24,34,7.7,56,52.8,2,16,,24.6,46.4,78.7,47.7,,54.8,0,0,61,29.4,86.0,17.9,10,5,0,2,1,3,4.9,266,6.5
Mac Jones,60323,QB,NE,2,2.34,2.24,2.52,4.87,105,19,79.4,63,64,4.8,1.77,1,1,1.5,76.6,49,13,2.0,66,62.9,1,16,,82.4,66.6,79.2,65.9,,,0,2,69,15.4,86.4,3.0,2,0,0,0,2,2,2.9,355,5.5,63.3,30,32,16.8,3.3,0,3,9.4,53.1,17,22,10.5,39,37.1,2,14,,79.2,77.6,77.3,73.7,,72.1,2,0,41,18.2,92.2,10.3,4,3,0,0,2,2,4.9,192,6.0
Brock Purdy,77672,QB,SF,3,2.46,2.37,3.65,5.65,101,28,76.9,52,55,4.4,1.86,1,0,0.0,69.1,38,15,5.0,55,54.5,2,20,,81.3,58.9,78.5,58.8,,,0,0,58,0.0,102.6,0.0,0,0,0,2,2,1,1.7,407,7.4,77.4,31,36,12.5,3.33,2,2,5.1,63.9,23,26,4.2,44,43.6,1,18,,22.5,72.4,77.7,70.2,,66.0,0,0,47,23.1,111.9,13.6,6,2,0,3,2,3,6.4,329,9.1
Matthew Stafford,4924,QB,LA,2,2.61,2.48,2.5,5.06,98,26,81.4,43,44,5.5,1.88,0,0,0.0,75.0,33,9,5.7,44,44.9,2,16,,79.8,66.7,77.6,66.0,,,0,0,45,0.0,100.0,0.0,0,0,0,1,1,1,2.2,294,6.7,71.4,42,48,12.0,3.21,2,7,14.0,52.1,25,22,16.7,54,55.1,5,19,,81.1,87.1,78.4,85.7,,62.9,0,2,56,4.5,58.8,1.9,1,5,0,4,0,1,1.8,353,7.4
Kirk Cousins,7102,QB,MIN,2,2.61,2.6,2.68,3.8,93,18,84.4,45,45,5.0,1.97,0,0,0.0,80.0,36,13,5.3,46,49.5,2,18,,80.0,76.6,77.7,75.1,,,0,1,47,7.7,106.5,2.2,1,0,0,0,3,0,0.0,290,6.4,77.5,40,43,11.6,3.24,0,2,4.3,65.1,28,17,9.7,47,50.5,3,16,,23.0,72.7,78.0,72.2,,58.3,2,0,50,17.6,120.1,6.4,3,1,0,1,3,2,4.0,418,9.7
Patrick Mahomes,11765,QB,KC,2,3.05,2.83,4.5,4.89,90,16,73.5,34,34,3.0,1.78,0,0,0.0,70.6,24,1,4.0,34,37.8,1,9,,78.3,76.7,76.9,75.1,,,0,1,35,0.0,79.5,0.0,0,0,0,0,1,0,0.0,172,5.1,65.1,43,46,12.1,3.83,0,3,6.0,54.3,25,30,10.7,56,62.2,3,19,,81.6,81.1,78.7,70.5,,90.5,0,1,61,3.3,92.7,1.8,1,9,0,3,3,3,4.9,360,7.8
Josh Allen,46601,QB,BUF,2,2.89,2.71,3.67,4.9,88,4,92.3,39,40,2.2,1.84,0,0,0.0,85.0,34,3,5.6,41,46.6,2,11,,79.3,64.9,77.3,64.4,,,0,1,42,33.3,78.1,2.4,1,0,0,1,0,1,2.4,210,5.3,74.3,35,37,11.5,3.8,0,3,7.7,70.3,26,27,0.0,47,53.4,0,19,,80.4,68.7,78.0,65.6,,70.1,0,2,50,22.2,107.9,12.8,6,4,0,2,4,3,6.0,300,8.1
Justin Herbert,28237,QB,LAC,2,2.63,2.55,2.6,5.35,86,27,88.2,34,35,5.9,1.78,0,1,2.6,85.7,30,6,0.0,37,43.0,0,12,,79.0,74.4,77.2,73.1,,,0,0,40,33.3,113.8,5.4,2,0,0,1,2,0,0.0,236,6.7,60.0,35,39,12.9,3.4,0,2,4.7,51.3,20,18,4.8,47,54.7,1,15,,80.5,67.2,78.0,64.3,,70.2,0,0,51,22.2,85.1,8.5,4,4,0,4,1,1,2.0,297,7.6
Justin Fields,82118,QB,CHI,2,3.18,2.8,4.13,5.51,85,6,82.6,23,25,3.3,2.01,1,1,3.8,64.0,16,5,15.8,27,31.8,3,8,,77.0,62.8,75.9,62.4,,,1,1,28,40.0,77.4,7.4,2,0,0,0,1,1,3.6,152,6.1,66.7,36,41,6.6,3.79,1,1,2.4,58.5,24,35,0.0,57,67.1,0,16,,24.3,53.7,78.6,41.5,,88.7,2,2,60,22.9,66.6,14.0,8,8,0,2,1,3,5.0,275,6.7
