player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Tre Brown,55677,CB,SEA,3,0,29,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,1.4,1,71,1,100.0,0,0,0,0,100.0,1,1,100.0,1,1,0,1,1,0
Jamal Adams,11761,S,SEA,1,0,29,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,20.0,1,5,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Alontae Taylor,83469,CB,NO,4,0,20,0,1,0,0,1,1,66.7,2,2,75.0,1,1,0,1,1.9,3,158,2,50.0,0,0,0,0,33.3,1,0,0.0,0,0,0,1,1,0
Kerby Joseph,83239,S,DET,2,0,11,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,1.2,1,86,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Tracy Walker III,51266,S,DET,3,0,11,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.1,1,92,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Tre'Davious White,11782,CB,BUF,4,0,4,1,0,0,0,0,0,0.0,0,0,,0,0,0,0,0.9,1,113,1,50.0,0,1,0,0,100.0,1,1,50.0,0,0,0,0,0,0
Elijah Riley,44440,S,PIT,1,0,25,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,16.7,1,6,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Jaire Alexander,49350,CB,GB,2,0,12,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,1.4,1,73,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Christian Gonzalez,131679,CB,NE,4,0,19,0,0,0,0,0,0,100.0,2,1,50.0,1,1,0,0,1.7,2,121,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Jamien Sherwood,83175,LB,NYJ,4,0,22,0,1,0,0,1,0,100.0,1,1,50.0,0,0,0,0,11.1,1,9,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Elijah Hicks,55584,S,CHI,5,0,6,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.6,1,165,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
CJ Henderson,55593,CB,CAR,4,0,5,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,1.3,1,79,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Charvarius Ward,43034,CB,SF,4,0,28,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,0.6,1,170,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Kevin Byard,10698,S,TEN,4,0,31,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,0.6,1,154,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Amani Hooker,51378,S,TEN,3,0,31,0,1,0,0,1,1,100.0,1,1,50.0,0,0,0,1,0.9,1,106,1,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Benton Whitley,54444,ED,MIN,1,0,18,0,1,0,0,0,0,0.0,0,0,,0,0,0,1,100.0,1,1,1,50.0,0,0,1,1,100.0,1,1,50.0,0,0,0,0,0,0
Jaylon Jones,49374,CB,CHI,3,0,6,1,1,0,1,1,0,100.0,2,2,50.0,0,0,0,0,5.3,2,38,2,50.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
DeMarcco Hellams,98863,S,ATL,1,0,2,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,8.3,1,12,1,50.0,0,0,1,0,100.0,1,1,50.0,0,0,0,0,0,0
Cam Gill,33560,LB,TB,2,0,30,0,1,0,0,0,0,25.0,1,1,100.0,1,1,0,0,80.0,4,5,2,37.5,0,0,1,0,75.0,3,1,16.7,0,0,0,1,1,0
Justin Bethel,7654,CB,MIA,4,0,17,0,1,0,0,0,0,25.0,1,0,0.0,0,0,0,0,5.6,4,72,2,37.5,0,0,1,0,75.0,3,2,50.0,1,0,0,1,0,0
Mike Edwards,51282,S,KC,4,0,16,1,0,0,0,0,0,75.0,3,1,33.3,1,1,0,0,5.4,4,74,2,37.5,0,1,0,0,25.0,1,1,50.0,0,0,0,1,1,0
Tony Adams,55953,S,NYJ,2,0,22,0,2,0,0,0,0,0.0,0,0,,0,0,0,0,4.5,3,67,2,33.3,0,0,2,0,100.0,3,2,33.3,0,0,0,0,0,0
Tashaun Gipson Sr.,7288,S,SF,4,0,28,0,2,0,0,0,0,33.3,1,0,0.0,0,0,0,0,1.7,3,179,2,33.3,0,0,2,0,66.7,2,2,50.0,0,0,0,0,0,0
DaRon Bland,56158,CB,DAL,4,0,9,1,1,0,0,1,0,66.7,2,1,25.0,0,0,0,0,2.7,3,112,2,33.3,0,1,0,0,33.3,1,1,50.0,0,0,0,0,0,0
Devon Witherspoon,101388,CB,SEA,3,0,29,1,1,0,1,1,0,66.7,4,2,25.0,0,0,0,0,3.9,6,152,3,33.3,0,0,0,0,33.3,2,1,50.0,1,1,0,1,1,0
Jaquan Brisker,101665,S,CHI,5,0,6,2,2,0,1,1,0,33.3,2,2,50.0,0,0,0,0,3.5,6,173,4,33.3,0,1,1,0,66.7,4,2,25.0,0,0,0,0,0,0
Nicholas Morrow,51674,LB,PHI,3,0,24,1,2,0,1,1,0,27.3,3,3,66.7,1,1,0,0,8.9,11,123,5,31.8,0,0,1,0,72.7,8,2,18.8,1,1,0,2,2,0
Antoine Winfield Jr.,42475,S,TB,4,0,30,1,0,0,0,0,0,50.0,4,2,50.0,2,2,0,0,4.8,8,166,3,31.3,0,1,0,0,50.0,4,1,12.5,0,0,0,2,2,0
Kyle Hamilton,102684,S,BLT,4,0,3,0,3,0,0,1,0,75.0,12,4,29.2,3,3,0,0,8.6,16,187,6,28.1,0,0,2,0,25.0,4,2,25.0,0,0,0,3,3,0
Jordan Battle,98857,S,CIN,4,0,7,0,1,0,0,0,0,0.0,0,0,,0,0,0,0,13.3,2,15,1,25.0,0,0,1,0,100.0,2,1,25.0,0,0,0,0,0,0
Kamu Grugier-Hill,10842,LB,CAR,3,0,5,0,1,0,0,0,0,20.0,1,0,0.0,0,0,0,0,9.8,6,61,2,25.0,0,0,1,0,80.0,4,2,37.5,1,1,0,1,1,0
M.J. Stewart,49397,S,HST,4,0,13,0,1,0,0,1,0,50.0,1,1,50.0,0,1,1,0,3.8,2,53,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,1,1
Donovan Wilson,49408,S,DAL,2,0,9,0,1,0,0,1,0,100.0,2,1,25.0,0,0,0,0,6.3,2,32,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Kader Kohou,156070,CB,MIA,4,0,17,0,0,0,0,0,0,0.0,0,0,,0,0,0,0,2.7,4,148,1,25.0,0,0,0,0,100.0,4,1,25.0,1,1,0,1,1,0
Jessie Bates III,49162,S,ATL,4,0,2,1,0,0,1,0,0,100.0,2,1,25.0,0,0,0,0,1.5,2,135,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Johnathan Abram,34646,S,NO,1,0,20,0,1,0,0,1,0,50.0,1,1,50.0,0,0,0,0,7.1,2,28,1,25.0,0,0,0,0,50.0,1,0,0.0,0,0,0,0,0,0
Xavien Howard,10672,CB,MIA,4,0,17,1,0,0,1,0,0,100.0,2,1,25.0,0,0,0,0,1.3,2,149,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
L'Jarius Sneed,40588,CB,KC,4,0,16,2,1,0,2,1,0,100.0,6,3,25.0,0,0,0,0,4.0,6,149,3,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jerry Jacobs,83025,CB,DET,4,0,11,0,1,0,0,1,1,100.0,2,1,25.0,0,0,0,1,1.1,2,177,1,25.0,0,0,0,0,0.0,0,0,,0,0,0,0,0,0
Jalen Pitre,57737,S,HST,2,0,13,1,1,0,0,1,0,25.0,1,1,50.0,0,0,0,0,8.7,4,46,2,25.0,0,1,0,0,75.0,3,1,16.7,0,0,0,0,0,0
Roger McCreary,83176,CB,TEN,4,0,31,0,2,0,0,1,1,44.4,4,1,12.5,0,0,0,1,6.3,9,144,3,22.2,0,0,1,0,55.6,5,2,30.0,1,1,0,1,1,0
Dax Hill,97519,S,CIN,4,1,7,0,2,0,0,0,0,33.3,3,1,33.3,1,1,0,0,6.3,9,144,3,22.2,1,0,2,0,66.7,6,2,16.7,0,0,0,1,1,0
Richie Grant,43196,S,ATL,4,0,2,3,1,0,1,1,1,44.4,4,2,25.0,0,1,1,1,6.5,9,139,4,22.2,0,2,0,0,55.6,5,2,20.0,0,0,0,0,1,1
Henry To'oTo'o,98982,LB,HST,4,0,13,0,4,0,0,2,0,44.4,4,2,25.0,0,0,0,0,8.3,9,108,4,22.2,0,0,2,0,55.6,5,2,20.0,0,0,0,0,0,0
Ar'Darius Washington,77848,CB,BLT,2,0,3,1,0,0,1,0,1,71.4,5,2,30.0,1,1,0,1,8.2,7,85,2,21.4,0,0,0,0,28.6,2,0,0.0,0,0,1,1,1,1
Ja'Sir Taylor,55426,CB,LAC,4,0,27,2,1,0,2,1,0,85.7,6,3,25.0,0,0,0,0,5.9,7,119,3,21.4,0,0,0,0,14.3,1,0,0.0,0,0,0,0,0,0
Shaquille Leonard,49684,LB,IND,4,0,14,0,2,0,0,0,0,20.0,1,0,0.0,0,0,0,0,4.9,5,103,2,20.0,0,0,2,0,80.0,4,2,25.0,0,0,0,0,0,0
Jeremy Chinn,43179,S,CAR,4,0,5,0,0,0,0,0,0,100.0,4,0,0.0,0,0,0,0,7.4,5,68,1,20.0,0,0,0,0,0.0,0,0,,0,0,0,1,1,0
Troy Andersen,57317,LB,ATL,2,0,2,0,2,0,0,1,1,40.0,4,1,12.5,0,0,0,1,13.2,10,76,3,20.0,0,0,1,0,60.0,6,2,25.0,1,1,0,1,1,0
Frankie Luvu,51028,LB,CAR,4,0,5,1,3,0,0,2,0,50.0,12,5,33.3,3,2,0,1,23.9,26,109,7,19.2,0,1,0,1,50.0,12,1,4.2,0,0,0,3,2,0
Tre Herndon,50380,CB,JAX,4,0,15,1,2,0,0,1,0,25.0,2,1,25.0,0,0,0,0,6.8,8,117,3,18.8,0,1,1,0,75.0,6,2,16.7,0,0,0,0,0,0
Trevis Gipson,35241,ED,TEN,2,0,31,0,1,0,0,1,0,87.5,7,1,7.1,0,0,0,0,100.0,8,8,2,18.8,0,0,0,0,12.5,1,1,100.0,1,1,0,1,1,0
Geno Stone,55967,S,BLT,4,0,3,0,3,0,0,1,0,25.0,2,1,25.0,0,0,0,0,4.6,8,175,3,18.8,0,0,2,0,75.0,6,2,16.7,0,0,0,0,0,0
Chad Muma,75818,LB,JAX,3,0,15,0,3,0,0,2,0,85.7,6,2,16.7,0,0,0,0,17.0,8,47,3,18.8,0,0,1,0,14.3,1,1,50.0,0,0,0,0,0,0
Rashan Gary,42905,ED,GB,4,0,12,2,11,0,0,9,1,52.6,30,13,28.3,4,4,0,1,100.0,57,57,17,18.4,0,2,2,0,47.4,27,4,7.4,0,0,0,4,4,0
Divine Deablo,42208,LB,LV,4,0,23,0,4,0,0,2,1,52.9,9,3,22.2,1,1,0,2,14.7,17,116,5,17.6,0,0,2,1,47.1,8,2,12.5,0,0,0,1,1,0
Coby Bryant,55088,S,SEA,2,0,29,1,1,0,1,1,0,66.7,4,2,25.0,0,0,0,0,9.2,6,65,2,16.7,0,0,0,0,33.3,2,0,0.0,0,0,0,0,0,0
