id,player,team,opponent,position,salary,ownership
95183-112295,Zay Flowers,BAL,ARI,WR,6500,23.4
95183-12550,Seattle Seahawks,SEA,CLE,D,4300,22.2
95183-63759,Tony Pollard,DAL,LAR,RB,7600,20.4
95183-92575,Isiah Pacheco,KC,DEN,RB,7400,17.9
95183-89675,Jonathan Taylor,IND,NO,RB,7100,17.7
95183-52442,Joe Mixon,CIN,SF,RB,6500,17.7
95183-103064,Breece Hall,NYJ,NYG,RB,7200,16.8
95183-129291,Tank Dell,HOU,CAR,WR,6000,16.5
95183-42104,Alvin Kamara,NO,IND,RB,8300,16.3
95183-53681,Tyreek Hill,MIA,NE,WR,9500,15.4
95183-85701,Ja'Marr Chase,CIN,SF,WR,8500,15.4
95183-86631,CeeDee Lamb,DAL,LAR,WR,7800,14.8
95183-71706,T.J. Hockenson,MIN,GB,TE,6500,14.3
95183-111311,Rashee Rice,KC,DEN,WR,6000,13.4
95183-63115,Lamar Jackson,BAL,ARI,QB,8800,13.2
95183-90573,Jaylen Waddle,MIA,NE,WR,7100,13.1
95183-12525,Atlanta Falcons,ATL,TEN,D,3900,12.5
95183-57439,Patrick Mahomes,KC,DEN,QB,9000,12.2
95183-72846,A.J. Brown,PHI,WAS,WR,8700,11.9
95183-85798,Brandon Aiyuk,SF,CIN,WR,7700,11.8
95183-55050,Christian McCaffrey,SF,CIN,RB,10200,11.3
95183-91750,Trey McBride,ARI,BAL,TE,4700,11.2
95183-39793,George Kittle,SF,CIN,TE,6100,11.0
95183-129210,Jordan Addison,MIN,GB,WR,7300,10.4
95183-90572,Tua Tagovailoa,MIA,NE,QB,8200,10.3
95183-91598,D'Andre Swift,PHI,WAS,RB,7700,10.3
95183-69531,Jalen Hurts,PHI,WAS,QB,9200,9.8
95183-129471,C.J. Stroud,HOU,CAR,QB,7400,9.7
95183-129305,Josh Downs,IND,NO,WR,6100,9.6
95183-40167,Gus Edwards,BAL,ARI,RB,6600,9.1
95183-111540,Rhamondre Stevenson,NE,MIA,RB,6400,9.1
95183-33076,Travis Kelce,KC,DEN,TE,9000,8.8
95183-55042,Dalton Schultz,HOU,CAR,TE,5800,8.7
95183-103020,Puka Nacua,LAR,DAL,WR,8000,8.2
95183-136855,Bijan Robinson,ATL,TEN,RB,7100,8.1
95183-79970,Cooper Kupp,LAR,DAL,WR,9100,7.9
95183-64401,Saquon Barkley,NYG,NYJ,RB,8100,7.0
95183-40442,Aaron Jones,GB,MIN,RB,6800,6.9
95183-90576,DeVonta Smith,PHI,WAS,WR,6900,6.8
95183-86055,Dameon Pierce,HOU,CAR,RB,6700,6.7
95183-93541,Javonte Williams,DEN,KC,RB,6000,6.4
95183-94579,Emari Demercado,ARI,BAL,RB,5600,6.3
95183-103342,Kenneth Walker III,SEA,CLE,RB,8500,6.2
95183-89956,Travis Etienne Jr.,JAC,PIT,RB,8700,6.1
95183-90575,Najee Harris,PIT,JAC,RB,6300,6.1
95183-70157,Darrell Henderson Jr.,LAR,DAL,RB,5900,6.0
95183-39716,Adam Thielen,CAR,HOU,WR,8200,5.9
95183-71845,Miles Sanders,CAR,HOU,RB,6300,5.7
95183-87467,Chuba Hubbard,CAR,HOU,RB,6300,5.6
95183-45229,Kareem Hunt,CLE,SEA,RB,7000,5.5
95183-69213,Michael Pittman Jr.,IND,NO,WR,7100,5.5
95183-12540,Minnesota Vikings,MIN,GB,D,3700,5.4
95183-66008,Diontae Johnson,PIT,JAC,WR,6400,5.4
95183-52436,Mark Andrews,BAL,ARI,TE,7700,5.4
95183-31716,Dak Prescott,DAL,LAR,QB,7300,5.2
95183-91419,Nico Collins,HOU,CAR,WR,7200,5.1
95183-103564,Garrett Wilson,NYJ,NYG,WR,7200,5.0
95183-87770,Chris Olave,NO,IND,WR,7300,4.9
95183-64555,Calvin Ridley,JAC,PIT,WR,6800,4.9
95183-89981,Tee Higgins,CIN,SF,WR,6800,4.8
95183-110246,George Pickens,PIT,JAC,WR,7400,4.8
95183-60858,Christian Kirk,JAC,PIT,WR,7000,4.7
95183-83074,Dallas Goedert,PHI,WAS,TE,6200,4.7
95183-169776,Christian Watson,GB,MIN,WR,6300,4.6
95183-112057,Jaylen Warren,PIT,JAC,RB,5800,4.6
95183-85607,Brock Purdy,SF,CIN,QB,7200,4.5
