player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Sam Howell,97599,QB,WAS,7,314,74.6,71,82,8.0,2.66,4,4,4.5,57.3,47,47,11.3,100,31.8,6,27,,,,85.5,49.4,80.8,49.5,,,60.9,0,3,108,29.8,67.0,14.0,14,4,0,7,2,6,5.6,478,5.8,0,32,79.6,61.6,59.3,70.8,78.6,159,174,8.4,2.97,3,10,5.5,69.0,120,74,4.0,214,68.2,5,59,,,,70.9,68.0,83.7,65.1,,,73.1,1,4,229,35.1,93.8,12.1,26,13,0,11,7,5,2.2,1271,7.3,79.3,174,184,7.9,2.57,5,10,5.2,70.7,130,0,5.8,193,61.5,8,59,,,,90.0,74.5,83.2,72.2,,,70.7,0,2,202,,99.2,0.0,0,9,0,5,7,3,1.5,1330,7.2,2,71.4,56,72,9.5,3.33,2,4,5.1,51.4,37,121,7.5,121,38.5,3,27,,,,57.2,40.7,81.7,38.4,,,67.4,1,5,135,33.1,49.5,33.1,40,8,0,13,2,8,5.9,419,5.8
Kirk Cousins,7102,QB,MIN,7,297,79.5,78,89,7.9,2.51,0,2,2.2,64.0,57,42,8.1,100,33.7,5,34,,,,23.9,64.8,80.7,64.7,,,57.9,6,0,104,23.8,119.0,10.0,10,1,0,5,9,6,5.8,638,7.2,0,18,41.0,82.2,81.7,57.1,79.6,186,191,7.6,2.74,0,7,3.4,71.2,136,52,8.1,197,66.3,12,66,,,,90.1,88.6,83.4,86.4,60.0,,58.3,1,5,212,9.6,93.7,2.5,5,1,2,2,7,1,0.5,1419,7.4,83.2,197,201,7.1,2.56,0,6,2.8,74.6,150,0,8.5,203,68.4,14,71,,,,90.1,90.0,83.5,88.1,60.0,,54.2,0,4,216,,99.2,0.0,0,2,2,2,8,2,0.9,1446,7.2,5,68.7,67,79,9.5,2.88,0,3,3.5,54.4,43,94,6.5,94,31.6,3,29,,,,23.5,61.3,80.5,61.0,,,,7,1,100,16.0,108.1,16.0,15,0,0,5,8,5,5.0,611,7.7
Patrick Mahomes,11765,QB,KC,7,296,78.6,70,72,6.6,2.46,0,2,2.7,70.8,51,26,7.3,78,26.4,4,31,,,,83.4,77.0,79.8,75.7,,,60.6,1,1,80,15.4,104.9,5.1,4,2,0,1,5,4,5.0,457,6.3,0,16,81.9,90.2,83.7,90.7,78.5,181,195,7.7,3.14,1,9,4.3,68.7,134,71,5.6,218,73.6,8,79,,,,90.2,90.8,83.8,82.7,,,93.1,3,5,232,4.2,99.1,1.4,3,19,1,9,10,6,2.6,1560,8.0,82.5,183,187,5.5,2.46,1,4,2.1,75.9,142,0,6.0,199,67.2,9,78,,,,90.0,90.2,83.3,84.5,,,90.3,0,2,204,,114.1,0.0,0,11,1,2,13,5,2.5,1349,7.2,3,67.6,68,80,12.5,4.0,0,7,7.9,53.8,43,97,6.5,97,32.8,3,32,,,,85.5,82.0,80.9,73.4,,,90.6,4,4,108,7.2,69.2,7.2,7,10,0,8,2,5,4.6,668,8.4
Matthew Stafford,4924,QB,LA,7,285,65.3,72,81,9.1,2.42,0,6,7.1,53.1,43,40,8.5,89,31.2,4,31,,,,84.6,73.4,80.3,71.5,,,63.9,0,2,95,17.5,69.4,7.9,7,1,0,9,1,2,2.1,568,7.0,0,26,90.7,82.8,81.6,60.5,75.2,161,175,9.1,2.62,4,13,7.0,62.9,110,59,9.1,196,68.8,11,64,,,,90.0,83.2,83.3,82.5,,,56.1,1,4,207,18.6,88.3,5.6,11,9,3,6,6,4,1.9,1340,7.7,78.8,170,177,8.3,2.35,2,13,7.0,68.9,122,0,9.0,186,65.3,12,73,,,,89.9,91.8,83.1,90.8,,,67.1,0,4,195,,92.8,0.0,0,8,3,2,5,3,1.5,1412,8.0,5,54.0,63,79,11.2,2.95,2,6,7.1,39.2,31,99,8.8,99,34.7,3,22,,,,85.4,52.5,80.8,54.3,,,48.0,1,2,107,18.2,58.8,18.2,18,2,0,13,2,3,2.8,496,6.3
Jalen Hurts,40291,QB,PHI,7,281,76.3,93,102,9.0,2.91,1,7,6.6,66.7,68,50,4.2,120,42.7,3,47,,,,86.4,77.6,81.3,73.3,,,78.1,1,5,124,16.0,86.7,6.7,8,10,0,7,5,5,4.0,811,8.0,0,24,60.9,79.2,76.9,71.9,79.2,130,142,9.1,3.34,1,10,6.7,67.6,96,55,6.8,161,57.3,7,41,,,,68.0,77.6,82.6,75.2,,,69.8,3,3,170,16.4,88.6,5.6,9,10,0,8,4,6,3.5,1010,7.1,80.0,165,168,8.0,2.58,1,11,6.3,73.8,124,0,6.1,176,62.6,8,59,,,,89.4,84.9,82.9,83.0,,,64.4,0,6,184,,92.2,0.0,0,8,0,2,6,6,3.3,1274,7.6,2,72.4,58,76,12.2,4.12,1,6,7.5,52.6,40,105,4.8,105,37.4,2,29,,,,57.1,66.4,80.9,60.0,,,81.8,4,2,110,16.2,78.1,16.2,17,12,0,13,3,5,4.5,547,7.2
Trevor Lawrence,77632,QB,JAX,7,280,69.0,58,61,9.7,2.48,2,3,4.5,54.1,33,29,17.5,70,25.0,7,17,,,,83.0,69.1,79.5,66.9,60.0,,69.1,0,2,75,17.2,71.1,7.1,5,4,0,1,2,3,4.0,390,6.4,0,15,55.2,81.8,78.7,75.4,79.5,166,178,6.8,2.52,7,9,4.8,71.9,128,53,3.0,210,75.0,4,68,,,,39.8,84.5,83.6,80.6,,,76.8,2,1,221,20.8,100.3,5.2,11,19,0,3,6,7,3.2,1256,7.1,81.0,179,187,6.3,2.18,7,8,4.1,72.7,136,0,6.2,198,70.7,9,63,,,,90.0,88.5,83.3,84.8,60.0,,77.2,0,1,206,,97.7,0.0,0,9,0,1,5,5,2.4,1271,6.8,2,60.0,45,52,12.6,3.3,2,4,6.7,48.1,25,82,7.4,82,29.3,2,22,,,,23.4,62.8,80.1,58.6,,,71.7,2,2,90,19.5,75.4,19.5,16,14,0,3,3,5,5.6,375,7.2
Derek Carr,8671,QB,NO,7,278,67.5,77,84,10.0,2.46,1,6,6.8,59.5,50,39,3.8,97,34.9,2,26,,,,85.0,63.1,0.0,64.0,,,58.0,2,2,101,25.6,75.6,10.3,10,3,0,4,2,4,4.0,523,6.2,0,20,66.8,63.7,62.9,61.6,73.1,160,171,8.7,2.67,2,6,3.4,66.1,113,61,3.4,181,65.1,4,51,,,,51.9,61.3,83.0,61.5,,,52.3,2,2,190,13.1,86.3,4.4,8,2,0,7,4,4,2.1,1077,6.3,74.4,172,177,7.3,2.27,2,8,4.4,70.1,124,0,3.1,178,64.0,4,54,,,,89.4,68.5,31.1,68.5,,,58.3,0,2,183,,90.4,0.0,0,1,0,3,5,6,3.3,1071,6.1,2,63.1,65,78,13.9,3.16,1,4,4.7,50.0,39,100,4.9,100,36.0,2,23,,,,29.7,52.0,80.8,53.0,,,53.9,4,2,108,18.0,65.6,18.0,18,4,0,8,1,2,1.9,529,6.8
Jared Goff,10635,QB,DET,7,274,78.2,78,88,7.3,2.45,3,3,3.3,58.0,51,36,16.4,95,34.7,10,32,,,,84.7,67.0,80.4,65.0,,,65.6,0,3,97,16.7,75.0,6.3,6,1,0,7,3,3,3.1,581,6.6,0,11,70.5,85.7,83.0,72.1,81.5,157,168,7.3,2.63,2,7,4.0,73.2,123,53,3.9,179,65.3,5,59,,,,56.9,89.9,82.9,88.1,,,54.6,1,1,187,17.0,109.2,5.0,9,2,1,7,8,2,1.1,1320,7.9,85.7,175,184,6.9,2.36,5,8,4.2,74.5,137,0,8.7,185,67.5,13,70,,,,89.7,93.3,83.0,92.0,,,65.6,0,1,190,,111.8,0.0,0,1,1,3,9,1,0.5,1484,8.1,2,65.0,60,72,8.6,3.02,0,2,2.6,51.4,37,89,5.1,89,32.5,2,21,,,,30.6,50.0,80.3,51.1,,,54.6,1,3,94,16.9,60.9,16.9,15,2,0,11,2,4,4.3,417,5.8
Josh Allen,46601,QB,BUF,7,274,79.7,74,82,8.0,2.95,0,3,3.4,67.1,55,44,6.8,93,33.9,4,38,,,,84.9,75.9,80.5,73.5,,,68.9,1,1,100,11.4,108.2,5.4,5,6,0,7,6,2,2.0,609,7.4,0,4,77.7,86.1,84.8,67.4,79.4,155,164,9.7,3.02,3,11,6.4,72.6,119,48,3.3,181,66.1,4,60,,,,89.8,87.2,83.1,85.8,,,63.6,1,6,194,10.4,96.9,2.8,5,12,1,4,9,5,2.6,1232,7.5,84.2,171,176,8.1,2.5,3,9,4.9,78.4,138,0,4.2,182,66.4,6,70,,,,89.6,92.1,83.0,91.7,,,52.7,0,3,190,,108.3,0.0,0,6,1,1,8,3,1.6,1418,8.1,1,65.5,58,70,12.2,3.97,0,5,6.5,51.4,36,92,5.3,92,33.6,2,28,,,,85.2,62.4,80.7,57.5,,,74.3,2,4,104,10.9,79.6,10.9,10,12,0,10,7,4,3.8,423,6.0
Desmond Ridder,55086,QB,ATL,7,261,74.1,54,60,9.1,2.81,3,3,4.6,63.3,38,37,5.0,72,27.6,2,25,,,,47.7,70.5,79.6,71.6,,,52.6,0,2,78,18.9,92.2,9.7,7,5,0,3,3,3,3.8,498,8.3,0,2,26.8,49.2,51.3,47.7,73.0,159,168,7.9,2.54,2,3,1.7,66.1,111,50,4.3,189,72.4,5,61,,,,40.1,45.1,83.1,43.4,,,76.3,0,4,197,26.0,81.3,6.9,13,7,1,6,3,12,6.1,1132,6.7,76.8,164,168,7.2,2.29,2,3,1.7,72.0,121,0,4.0,174,66.7,5,64,,,,89.4,59.0,82.8,57.2,,,75.6,0,4,183,,92.7,0.0,0,5,1,1,5,8,4.4,1234,7.3,4,61.2,49,60,11.7,3.27,3,3,4.8,46.7,28,87,6.7,87,33.3,2,22,,,,21.4,43.5,80.3,43.6,,,58.0,0,2,92,23.0,60.1,23.0,20,7,0,8,1,7,7.6,396,6.6
