player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Jeff Okudah,55674,CB,ATL,4,6,,6.0,2,0,39.6,0,1,0,0,0,0.0
Jakorian Bennett,129496,CB,LV,3,7,,7.0,23,0,39.6,0,1,0,0,0,0.0
Terell Smith,83302,CB,CHI,1,2,,2.0,6,0,39.6,0,1,0,0,0,0.0
Cam Taylor-Britt,83326,CB,CIN,5,15,,7.5,7,0,39.6,0,2,0,0,0,0.0
Juanyeh Thomas,76655,S,DAL,3,5,,2.5,9,0,39.6,0,2,0,0,0,0.0
Andrew Van Ginkel,30267,ED,MIA,6,19,,19.0,17,0,39.6,0,1,0,0,0,0.0
Nick Niemann,43500,LB,LAC,3,2,,2.0,27,0,39.6,0,1,0,0,0,0.0
Alex Highsmith,43507,ED,PIT,5,13,,13.0,25,1,0.0,0,1,0,0,0,0.0
Craig James,26360,CB,NYJ,1,5,,5.0,22,0,39.6,0,1,0,0,0,0.0
Levi Wallace,25445,CB,PIT,6,7,,7.0,25,0,39.6,0,1,0,0,0,0.0
Innis Gaines,44443,CB,GB,1,5,,2.5,12,0,39.6,0,2,0,0,0,0.0
Jaquan Brisker,101665,S,CHI,7,30,,30.0,6,0,39.6,0,1,0,0,0,0.0
Nick McCloud,49535,CB,NYG,2,5,,5.0,21,0,39.6,0,1,0,0,0,0.0
Xavier Woods,11946,S,CAR,3,17,,17.0,5,0,39.6,0,1,0,0,0,0.0
Alex Singleton,9994,LB,DEN,7,21,,21.0,10,0,39.6,0,1,0,0,0,0.0
Damontae Kazee,11904,S,PIT,4,8,,8.0,25,0,39.6,0,1,0,0,0,0.0
Derrek Pitts,60785,CB,TB,1,1,,1.0,30,0,39.6,0,1,0,0,0,0.0
Cameron Sutton,11850,CB,DET,5,8,,8.0,11,0,39.6,0,1,0,0,0,0.0
Josh Woods,49023,LB,ARZ,4,8,,8.0,1,0,39.6,0,1,0,0,0,0.0
Jack Gibbens,57662,LB,TEN,4,7,,7.0,31,0,39.6,0,1,0,0,0,0.0
Ugo Amadi,49352,CB,NO,3,11,,5.5,20,0,39.6,0,2,0,0,0,0.0
Jaylon Johnson,56259,CB,CHI,3,6,,6.0,6,0,39.6,0,1,0,0,0,0.0
Jessie Bates III,49162,S,ATL,7,24,,12.0,2,1,0.0,0,2,0,0,0,0.0
Parry Nickerson,50511,CB,MIA,3,42,42.0,14.0,17,0,42.4,1,3,0,6,1,0.14
Jordan Poyer,8000,S,BUF,6,39,39.0,39.0,4,0,118.8,1,1,0,21,3,0.54
Andre Chachere,51194,S,ARZ,6,36,36.0,12.0,1,0,56.3,1,3,0,19,8,0.53
Xavier McKinney,55775,S,NYG,7,30,30.0,30.0,21,0,108.3,1,1,0,10,3,0.33
Antoine Winfield Jr.,42475,S,TB,6,29,29.0,9.7,30,0,54.9,1,3,0,18,22,0.62
Nick Scott,49012,S,CIN,6,29,29.0,9.7,7,0,81.9,1,3,1,1,0,0.03
Danny Johnson,49379,CB,WAS,2,57,28.5,14.3,32,0,76.0,2,4,0,31,10,0.54
Tashaun Gipson Sr.,7288,S,SF,7,57,28.5,14.3,28,0,56.3,2,4,0,6,1,0.11
Zach Cunningham,11812,LB,PHI,6,28,28.0,9.3,24,0,45.1,1,3,0,11,7,0.39
Darrick Forrest,55087,S,WAS,5,27,27.0,13.5,32,0,56.3,1,2,0,2,4,0.07
Kerby Joseph,83239,S,DET,5,51,25.5,7.3,11,0,52.7,2,7,0,43,22,0.84
Terrell Edmunds,51334,S,PHI,6,23,23.0,11.5,24,0,83.3,1,2,0,19,0,0.83
De'Vondre Campbell,10749,LB,GB,3,23,23.0,11.5,12,0,56.3,1,2,0,5,5,0.22
DeShon Elliott,28854,S,MIA,5,22,22.0,11.0,17,0,95.8,1,2,1,1,0,0.05
Justin Reid,49048,S,KC,7,64,21.3,7.1,16,1,3.7,3,9,0,29,21,0.45
Derwin James Jr.,51368,S,LAC,5,42,21.0,21.0,27,0,118.8,2,2,0,43,14,1.02
Justin Simmons,10732,S,DEN,4,21,21.0,10.5,10,0,95.8,1,2,1,4,0,0.19
Jordan Whitehead,49196,S,NYJ,6,59,19.7,8.4,22,1,19.6,3,7,0,36,27,0.61
Cameron Mitchell,97340,CB,CLV,6,37,18.5,18.5,8,0,118.8,2,2,0,39,16,1.05
Elijah Hicks,55584,S,CHI,5,18,18.0,9.0,6,0,95.8,1,2,1,3,0,0.17
Divine Deablo,42208,LB,LV,6,18,18.0,18.0,23,0,83.3,1,1,0,4,6,0.22
Leighton Vander Esch,50950,LB,DAL,5,17,17.0,17.0,9,0,104.2,1,1,0,9,2,0.53
Roquan Smith,50892,LB,BLT,7,17,17.0,8.5,3,0,66.7,1,2,0,11,14,0.65
Devon Witherspoon,101388,CB,SEA,3,83,16.6,10.4,29,1,28.1,5,8,0,26,16,0.31
Micah Hyde,7941,S,BUF,7,49,16.3,16.3,4,0,118.8,3,3,0,48,4,0.98
Jamin Davis,57905,LB,WAS,7,31,15.5,10.3,32,0,106.3,2,3,0,35,25,1.13
Tyrique Stevenson,97562,CB,CHI,6,15,15.0,15.0,6,0,118.8,1,1,0,32,13,2.13
Zaire Franklin,49834,LB,IND,6,15,15.0,15.0,14,0,79.2,1,1,0,3,9,0.2
Michael Carter II,60644,CB,NYJ,6,163,14.8,10.2,22,0,100.3,11,16,1,77,39,0.47
Kyle Hamilton,102684,S,BLT,7,88,14.7,8.8,3,0,64.6,6,10,0,29,17,0.33
Grant Delpit,60685,S,CLV,6,58,14.5,11.6,8,0,79.2,4,5,0,5,8,0.09
Tyler Hall,43958,CB,LV,2,42,14.0,8.4,23,0,75.4,3,5,0,28,12,0.67
Daryl Worley,10711,S,BLT,1,14,14.0,7.0,3,0,68.8,1,2,0,12,2,0.86
DaRon Bland,56158,CB,DAL,4,55,13.8,6.1,9,2,12.0,4,9,0,16,22,0.29
James Bradberry,10696,CB,PHI,6,68,13.6,8.5,24,0,80.7,5,8,0,51,20,0.75
Jalen Thompson,49116,S,ARZ,5,131,13.1,9.4,1,0,96.4,10,14,0,117,40,0.89
Jalen Mills,10867,S,NE,7,39,13.0,6.5,19,0,59.7,3,6,0,23,22,0.59
Tony Adams,55953,S,NYJ,4,50,12.5,12.5,22,0,118.8,4,4,0,57,13,1.14
Eli Ricks,124109,CB,PHI,3,25,12.5,4.2,24,0,50.7,2,6,0,30,17,1.2
Bryan Cook,55940,S,KC,7,62,12.4,8.9,16,0,153.3,5,7,1,90,52,1.45
Jordan Fuller,45326,S,LA,7,37,12.3,6.2,26,0,59.7,3,6,0,23,19,0.62
Kevin Byard,10698,S,TEN,6,49,12.3,8.2,31,0,75.7,4,6,0,26,1,0.53
Geno Stone,55967,S,BLT,7,37,12.3,7.4,3,1,38.3,3,5,0,31,16,0.84
Jeremy Chinn,43179,S,CAR,6,61,12.2,8.7,5,0,141.1,5,7,1,67,45,1.1
Jordyn Brooks,50851,LB,SEA,6,24,12.0,6.0,29,0,56.3,2,4,0,10,3,0.42
Marshon Lattimore,11766,CB,NO,7,12,12.0,6.0,20,0,95.8,1,2,0,34,16,2.83
Eric Murray,10740,S,HST,4,12,12.0,6.0,13,0,89.6,1,2,0,22,10,1.83
Patrick Peterson,6157,CB,PIT,6,60,12.0,8.6,25,0,113.4,5,7,0,87,57,1.45
E.J. Speed,94351,LB,IND,7,24,12.0,6.0,14,0,56.3,2,4,0,-1,5,-0.04
