id,player,team,opponent,position,salary,ownership
30754896,Marquise Brown,ARI,ATL,WR,5200,23.3
30754638,Rachaad White,TB,TEN,RB,5800,22.8
30754890,Tank Dell,HOU,CIN,WR,5500,19.4
30754636,James Conner,ARI,ATL,RB,5900,17.7
30754618,Tony Pollard,DAL,NYG,RB,7300,17.2
30754630,Joe Mixon,CIN,HOU,RB,6200,16.0
30755246,Trey McBride,ARI,ATL,TE,3500,15.5
30754876,DeAndre Hopkins,TEN,TB,WR,6000,15.5
30754850,Ja'Marr Chase,CIN,HOU,WR,8600,15.4
30754608,Christian McCaffrey,SF,JAC,RB,9200,15.2
30754547,Joe Burrow,CIN,HOU,QB,6800,13.9
30755226,T.J. Hockenson,MIN,NO,TE,5000,13.6
30754892,Diontae Johnson,PIT,GB,WR,5400,13.6
30754852,CeeDee Lamb,DAL,NYG,WR,8500,13.3
30754548,Dak Prescott,DAL,NYG,QB,6700,12.1
30754634,Bijan Robinson,ATL,ARI,RB,6000,12.0
30754854,Amon-Ra St. Brown,DET,LAC,WR,8300,12.0
30755176,Rondale Moore,ARI,ATL,WR,3000,11.7
30754620,Travis Etienne Jr.,JAC,SF,RB,7100,11.5
30754664,Devin Singletary,HOU,CIN,RB,4700,11.5
30754904,Tyler Boyd,CIN,HOU,WR,4600,11.4
30754626,Kenneth Walker III,SEA,WAS,RB,6800,11.3
30754874,Tyler Lockett,SEA,WAS,WR,6100,11.3
30755455,Arizona Cardinals,ARI,ATL,D,2500,11.0
30754553,Geno Smith,SEA,WAS,QB,5800,10.8
30755438,Dallas Cowboys,DAL,NYG,D,4400,10.2
30754858,Brandon Aiyuk,SF,JAC,WR,7100,10.2
30755457,New York Giants,NYG,DAL,D,2100,9.9
30755230,Jake Ferguson,DAL,NYG,TE,4600,9.7
30755450,Cleveland Browns,CLE,BAL,D,3000,9.6
30754916,Jaxon Smith-Njigba,SEA,WAS,WR,4100,9.4
30754610,Austin Ekeler,LAC,DET,RB,8400,9.3
30755452,Cincinnati Bengals,CIN,HOU,D,2800,9.0
30754860,DK Metcalf,SEA,WAS,WR,6800,9.0
30754616,Derrick Henry,TEN,TB,RB,7400,8.6
30754628,Aaron Jones,GB,PIT,RB,6500,8.6
30754640,Alexander Mattison,MIN,NO,RB,5500,8.6
30754642,Brian Robinson Jr.,WAS,SEA,RB,5400,8.6
30754644,Jerome Ford,CLE,BAL,RB,5300,8.6
30754650,Jaylen Warren,PIT,GB,RB,5000,8.6
