DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
31179857,Tyreek Hill,WR,MIA,NYJ,,18600,,30.7,30.7,1.6505376344086022,19.04,21.383316327526266,0,100,25.3543,40.3996,20.4636,12.5,19,27.2125,31.5,38.9,47.8,16.1343,9.9,15,21.1,24.9,31.2,39.6,16.1343,9.9,15,21.1,24.9,31.2,39.6,20.4636,12.5,19,27.2125,31.5,38.9,47.8,10.2325,8.27076,8.27076,10.2325,0,0,0,0,0,6.44627,89.2202,0.63525,0.345947,1.4244,0.01207
31179858,Tua Tagovailoa,QB,MIA,NYJ,,16500,,25.86,25.86,1.5672727272727274,13.35,13.280779913278952,0,100,25.3543,40.3996,17.2411,12.32,16.5,21.56,24.36,29.921,35.9804,16.6638,12.235,16.2,20.6,23.18,27.8,33.12,16.6638,12.235,16.2,20.6,23.18,27.8,33.12,17.2411,12.32,16.5,21.56,24.36,29.921,35.9804,6.91101,6.26557,6.26557,6.91101,35.388,21.8186,247.794,1.76769,0.85751,0,0,0,1.36604,4.18887,0.03464
31179864,Breece Hall,RB,NYJ,MIA,,11400,,24.11,24.11,2.1149122807017546,9.5,9.836335503460463,0,100,15.0453,40.3996,16.0711,10.4,14.7,20.3,24,30.8762,39.002,13.8229,9,12.6,17.5,20.6787,26.3,33.8,13.8229,9,12.6,17.5,20.6787,26.3,33.8,16.0711,10.4,14.7,20.3,24,30.8762,39.002,7.69769,6.5981,6.5981,7.69769,0,0,0,0,0,3.59856,33.9719,0.0997767,14.7711,64.7642,0.269247
31179859,Raheem Mostert,RB,MIA,NYJ,,15300,,22.54,22.54,1.473202614379085,17.11,19.077697550527038,0,100,25.3543,40.3996,15.0284,9.1,13.6,19.4125,23.1038,29.6,37.7257,13.2368,8.2,12,17.1,20.1,25.9,33.502,13.2368,8.2,12,17.1,20.1,25.9,33.502,15.0284,9.1,13.6,19.4125,23.1038,29.6,37.7257,7.70586,6.71257,6.71257,7.70586,0,0,0,0,0,2.20339,14.7702,0.0954533,16.8091,76.6092,0.414483
31179862,Garrett Wilson,WR,NYJ,MIA,,12900,,21.28,21.28,1.6496124031007753,10.45,11.20073094170062,0,100,15.0453,40.3996,14.1861,8.5,12.7,18.6,22.4,29.3,37.301,10.9434,6.4,9.8,14.525,17.4,22.7,29.401,10.9434,6.4,9.8,14.525,17.4,22.7,29.401,14.1861,8.5,12.7,18.6,22.4,29.3,37.301,7.82573,6.23264,6.23264,7.82573,0,0,0,0,0,5.67217,62.152,0.31948,0,0,0
31179860,Jaylen Waddle,WR,MIA,NYJ,,14400,,21.12,21.12,1.4666666666666668,7.82,8.217420287238665,0,100,25.3543,40.3996,14.0781,7.8,12.6,18.9813,23.1,30.3025,38.3515,11.3048,6.1,10.2,15.3,18.5,24.205,31.4,11.3048,6.1,10.2,15.3,18.5,24.205,31.4,14.0781,7.8,12.6,18.9813,23.1,30.3025,38.3515,8.43142,6.9071,6.9071,8.43142,0,0,0,0,0,4.60548,63.3136,0.4495,0,0,0
31179907,Tyreek Hill,WR,MIA,NYJ,,12400,,20.46,20.46,1.65,45.84,50.1895619911681,0,100,25.3543,40.3996,20.4636,12.5,19,27.2125,31.5,38.9,47.8,16.1343,9.9,15,21.1,24.9,31.2,39.6,16.1343,9.9,15,21.1,24.9,31.2,39.6,20.4636,12.5,19,27.2125,31.5,38.9,47.8,10.2325,8.27076,8.27076,10.2325,0,0,0,0,0,6.44627,89.2202,0.63525,0.345947,1.4244,0.01207
31179866,Tim Boyle,QB,NYJ,MIA,,9000,,17.25,17.25,1.9166666666666665,3.45,3.3239822057858563,0,100,15.0453,40.3996,11.5001,7.14,10.88,14.9,17.42,22.36,28.32,11.343,7.14,10.865,14.82,17.103,21.381,26.4408,11.343,7.14,10.865,14.82,17.103,21.381,26.4408,11.5001,7.14,10.88,14.9,17.42,22.36,28.32,5.87866,5.59176,5.59176,5.87866,37.5529,20.3786,201.789,0.996507,1.32959,0,0,0,1.81393,6.22657,0.02988
31179908,Tua Tagovailoa,QB,MIA,NYJ,,11000,,17.24,17.24,1.5672727272727272,46.23,45.9667003358622,0,100,25.3543,40.3996,17.2411,12.32,16.5,21.56,24.36,29.921,35.9804,16.6638,12.235,16.2,20.6,23.18,27.8,33.12,16.6638,12.235,16.2,20.6,23.18,27.8,33.12,17.2411,12.32,16.5,21.56,24.36,29.921,35.9804,6.91101,6.26557,6.26557,6.91101,35.388,21.8186,247.794,1.76769,0.85751,0,0,0,1.36604,4.18887,0.03464
31179914,Breece Hall,RB,NYJ,MIA,,7600,,16.07,16.07,2.1144736842105263,39.09,41.13722990722685,0,100,15.0453,40.3996,16.0711,10.4,14.7,20.3,24,30.8762,39.002,13.8229,9,12.6,17.5,20.6787,26.3,33.8,13.8229,9,12.6,17.5,20.6787,26.3,33.8,16.0711,10.4,14.7,20.3,24,30.8762,39.002,7.69769,6.5981,6.5981,7.69769,0,0,0,0,0,3.59856,33.9719,0.0997767,14.7711,64.7642,0.269247
