Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Tyreek Hill (31179857),Tyreek Hill,31179857,CPT,18600,MIA@NYJ 11/24/2023 03:00PM ET,MIA,27.39
QB,Tua Tagovailoa (31179858),Tua Tagovailoa,31179858,CPT,16500,MIA@NYJ 11/24/2023 03:00PM ET,MIA,20.93
RB,Raheem Mostert (31179859),Raheem Mostert,31179859,CPT,15300,MIA@NYJ 11/24/2023 03:00PM ET,MIA,18.79
WR,Jaylen Waddle (31179860),Jaylen Waddle,31179860,CPT,14400,MIA@NYJ 11/24/2023 03:00PM ET,MIA,13.74
RB,De'Von Achane (31179861),De'Von Achane,31179861,CPT,13500,MIA@NYJ 11/24/2023 03:00PM ET,MIA,22.64
WR,Garrett Wilson (31179862),Garrett Wilson,31179862,CPT,12900,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,13.57
WR,Tyreek Hill (31179907),Tyreek Hill,31179907,FLEX,12400,MIA@NYJ 11/24/2023 03:00PM ET,MIA,27.39
QB,Zach Wilson (31179863),Zach Wilson,31179863,CPT,12300,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,11.37
RB,Breece Hall (31179864),Breece Hall,31179864,CPT,11400,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,14.5
QB,Tua Tagovailoa (31179908),Tua Tagovailoa,31179908,FLEX,11000,MIA@NYJ 11/24/2023 03:00PM ET,MIA,20.93
RB,Raheem Mostert (31179909),Raheem Mostert,31179909,FLEX,10200,MIA@NYJ 11/24/2023 03:00PM ET,MIA,18.79
WR,Jaylen Waddle (31179910),Jaylen Waddle,31179910,FLEX,9600,MIA@NYJ 11/24/2023 03:00PM ET,MIA,13.74
RB,De'Von Achane (31179911),De'Von Achane,31179911,FLEX,9000,MIA@NYJ 11/24/2023 03:00PM ET,MIA,22.64
QB,Mike White (31179865),Mike White,31179865,CPT,9000,MIA@NYJ 11/24/2023 03:00PM ET,MIA,2.59
QB,Tim Boyle (31179866),Tim Boyle,31179866,CPT,9000,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,0.42
QB,Trevor Siemian (31179867),Trevor Siemian,31179867,CPT,9000,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,0
QB,Aaron Rodgers (31179868),Aaron Rodgers,31179868,CPT,9000,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,0
QB,Skylar Thompson (31179869),Skylar Thompson,31179869,CPT,9000,MIA@NYJ 11/24/2023 03:00PM ET,MIA,0
WR,Garrett Wilson (31179912),Garrett Wilson,31179912,FLEX,8600,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,13.57
QB,Zach Wilson (31179913),Zach Wilson,31179913,FLEX,8200,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,11.37
K,Jason Sanders (31179870),Jason Sanders,31179870,CPT,8100,MIA@NYJ 11/24/2023 03:00PM ET,MIA,7.2
DST,Dolphins  (31179871),Dolphins ,31179871,CPT,7800,MIA@NYJ 11/24/2023 03:00PM ET,MIA,6.8
RB,Breece Hall (31179914),Breece Hall,31179914,FLEX,7600,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,14.5
K,Greg Zuerlein (31179872),Greg Zuerlein,31179872,CPT,7500,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,9.33
WR,Allen Lazard (31179873),Allen Lazard,31179873,CPT,6300,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,5.5
QB,Mike White (31179915),Mike White,31179915,FLEX,6000,MIA@NYJ 11/24/2023 03:00PM ET,MIA,2.59
QB,Tim Boyle (31179916),Tim Boyle,31179916,FLEX,6000,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,0.42
QB,Trevor Siemian (31179917),Trevor Siemian,31179917,FLEX,6000,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,0
QB,Aaron Rodgers (31179918),Aaron Rodgers,31179918,FLEX,6000,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,0
QB,Skylar Thompson (31179919),Skylar Thompson,31179919,FLEX,6000,MIA@NYJ 11/24/2023 03:00PM ET,MIA,0
RB,Dalvin Cook (31179874),Dalvin Cook,31179874,CPT,6000,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,2.97
DST,Jets  (31179875),Jets ,31179875,CPT,5700,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,8.3
K,Jason Sanders (31179920),Jason Sanders,31179920,FLEX,5400,MIA@NYJ 11/24/2023 03:00PM ET,MIA,7.2
DST,Dolphins  (31179921),Dolphins ,31179921,FLEX,5200,MIA@NYJ 11/24/2023 03:00PM ET,MIA,6.8
RB,Salvon Ahmed (31179877),Salvon Ahmed,31179877,CPT,5100,MIA@NYJ 11/24/2023 03:00PM ET,MIA,5.36
K,Greg Zuerlein (31179922),Greg Zuerlein,31179922,FLEX,5000,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,9.33
TE,Tyler Conklin (31179876),Tyler Conklin,31179876,CPT,4800,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,7.31
WR,Allen Lazard (31179923),Allen Lazard,31179923,FLEX,4200,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,5.5
RB,Dalvin Cook (31179924),Dalvin Cook,31179924,FLEX,4000,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,2.97
WR,Cedrick Wilson Jr. (31179878),Cedrick Wilson Jr.,31179878,CPT,3900,MIA@NYJ 11/24/2023 03:00PM ET,MIA,5.14
DST,Jets  (31179925),Jets ,31179925,FLEX,3800,MIA@NYJ 11/24/2023 03:00PM ET,NYJ,8.3
