player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Keenan Allen,7857,WR,LAC,12,9.8,7,76.5,52.9,9,17,0,5.6,6,51,27,2,76.6,32.5,85.2,77.5,86.3,0.0,0,1,42,0.6,3,513,1,101,93.8,481,58.1,298,117.5,132,7,41.3,212,1177,377,3.7,11.7,2.45
Tyreek Hill,10799,WR,MIA,12,10.9,22,75.6,40.0,6,15,0,7.9,8,66,17,1,64.3,57.7,93.9,,94.2,1.1,4,3,78,0.0,0,362,2,93,95.9,347,39.0,141,137.6,123,12,58.8,213,1480,607,6.5,15.9,4.27
Michael Pittman Jr.,29049,WR,IND,12,8.1,4,71.9,52.2,12,23,0,3.3,3,40,14,1,90.3,54.7,75.6,75.1,77.9,2.2,11,6,75,0.6,3,493,7,87,93.3,460,26.6,131,83.0,121,4,71.2,351,889,404,4.6,10.2,1.93
Ja'Marr Chase,84270,WR,CIN,12,9.0,16,71.7,47.6,10,21,0,4.4,4,55,7,1,81.1,55.2,87.4,,88.4,0.0,0,2,76,0.0,0,506,1,86,95.5,483,23.1,117,111.2,120,7,76.1,385,1063,515,6.0,12.4,2.2
Stefon Diggs,9579,WR,BUF,12,10.3,19,69.7,43.5,10,23,0,4.6,4,47,4,2,80.7,53.1,81.6,,82.0,0.0,0,3,55,0.0,0,480,3,83,93.8,450,36.7,176,106.0,119,8,62.1,298,969,316,3.8,11.7,2.15
CeeDee Lamb,61570,WR,DAL,12,11.1,13,75.6,47.1,8,17,0,3.2,3,54,9,2,87.7,57.7,90.7,,91.0,0.2,1,0,49,0.0,0,467,5,90,93.1,435,58.7,274,126.1,119,7,40.3,188,1182,403,4.5,13.1,2.72
A.J. Brown,48327,WR,PHI,12,12.4,17,70.4,44.4,12,27,0,2.4,2,53,24,0,90.1,82.4,90.7,62.3,90.9,0.2,1,3,59,0.2,1,468,1,81,94.9,444,22.0,103,112.4,115,7,77.8,364,1164,403,5.0,14.4,2.62
Garrett Wilson,97405,WR,NYJ,12,11.3,11,58.3,37.0,10,27,0,6.9,5,33,22,2,61.5,27.1,73.7,,73.4,0.0,0,5,68,0.0,0,501,2,67,95.0,476,32.3,162,68.2,115,3,67.7,339,745,218,3.3,11.1,1.57
Davante Adams,8688,WR,LV,12,11.8,5,60.5,31.8,7,22,0,5.5,4,42,23,0,80.4,81.2,77.9,,78.6,0.0,0,5,46,0.0,0,424,1,69,95.0,403,16.5,70,75.7,114,4,82.8,351,814,234,3.4,11.8,2.02
Puka Nacua,100632,WR,LA,12,9.5,8,68.1,42.1,8,19,0,8.3,7,49,26,1,63.1,53.9,86.7,70.8,84.6,0.0,0,2,70,1.6,7,444,5,77,91.4,406,34.9,155,101.2,113,4,65.1,289,1029,398,5.2,13.4,2.53
