player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Sam Howell,97599,QB,WAS,13,-10.06,0,598,32,73.9,414,457,9.3,2.94,13,25,5.2,62.8,287,230,6.2,545,91.1,19,159,,,,,73.7,64.8,75.7,,61.3,,,77.3,,,3,13,576,25.2,83.6,10.6,58,29,0,27,17,22,3.8,3136,6.9,78.6,388,422,7.3,2.75,12,22,5.0,67.5,285,196,6.6,497,83.1,20,146,,,,,70.6,71.2,74.6,,66.8,,,84.5,,,3,12,520,26.0,86.4,10.3,51,22,0,19,13,19,3.7,2997,7.1,66.2,77,87,10.5,3.25,1,3,3.2,57.5,50,40,2.0,101,16.9,1,25,,,,,85.7,45.4,80.9,,47.4,,,50.7,,,0,2,111,17.5,82.0,6.9,7,7,0,9,5,3,2.7,468,5.4,0,98.0,51,52,-3.9,1.72,0,0,0.0,92.3,48,6,4.0,53,8.9,2,12,,,,,81.0,70.9,78.3,,70.0,,,,,,0,1,55,0.0,91.4,0.0,0,0,0,1,1,0,0.0,329,6.3,-1.72
Patrick Mahomes,11765,QB,KC,13,-2.22,0,547,16,74.5,376,413,9.2,3.23,3,21,4.8,62.2,257,185,8.2,469,85.7,23,164,,,,,71.8,90.3,88.8,,85.6,,,85.0,,,12,11,502,9.2,88.0,3.6,17,39,2,20,19,15,3.0,2956,7.2,78.9,369,401,7.1,2.93,3,18,4.2,67.3,270,157,7.2,452,82.6,21,154,,,,,70.7,90.1,88.7,,85.7,,,82.8,,,11,9,483,8.9,92.0,3.1,14,35,2,16,20,13,2.7,2554,6.4,73.4,79,86,7.6,3.27,1,3,3.4,65.1,56,34,3.4,95,17.4,2,39,,,,,84.8,74.1,80.6,,70.3,,,77.4,,,1,2,98,11.8,99.2,4.2,4,5,0,5,3,2,2.0,844,9.8,0,95.8,72,74,-3.1,1.51,1,0,0.0,93.2,69,6,0.0,78,14.3,0,29,,,,,83.3,68.6,79.8,,66.7,,,63.9,,,0,0,79,16.7,109.6,1.3,1,1,0,1,4,0,0.0,442,6.0,3.44
Josh Allen,46601,QB,BUF,13,5.86,0,532,4,75.5,400,434,9.6,3.05,4,29,6.3,64.7,281,180,7.0,491,92.3,21,170,,,,,72.4,91.1,75.6,,88.1,,,84.5,,,4,14,525,10.0,92.9,3.7,18,39,2,24,25,14,2.7,3243,7.5,75.7,338,363,8.5,2.89,3,22,5.7,65.6,238,144,7.0,409,76.9,18,124,,,,,67.2,86.4,73.8,,81.3,,,83.4,,,2,12,438,10.4,84.1,3.7,15,31,2,18,15,12,2.7,2386,6.6,82.4,102,112,8.4,2.95,1,7,6.0,71.4,80,38,4.8,123,23.1,4,56,,,,,86.7,92.0,81.5,,90.9,,,71.2,,,2,2,129,7.9,123.4,2.4,3,8,0,7,10,2,1.6,1062,9.5,0,95.0,40,41,-2.9,1.24,0,0,0.0,90.2,37,2,2.6,41,7.7,1,10,,,,,79.3,70.1,77.3,,69.2,,,,,,0,0,42,0.0,87.5,0.0,0,0,0,1,0,0,0.0,205,5.0,2.91
Justin Herbert,28237,QB,LAC,13,6.46,0,520,27,71.5,375,403,9.9,2.92,6,24,5.6,61.3,247,184,7.8,464,89.2,21,150,,,,,63.0,85.4,60.6,,82.9,55.2,,74.0,,,8,7,496,15.8,90.9,6.3,29,31,0,14,19,13,2.6,2830,7.0,73.7,319,342,8.9,2.74,7,20,5.5,63.5,217,143,7.7,389,74.8,18,121,,,,,56.5,84.1,57.4,,82.6,55.2,,68.2,,,5,6,414,18.2,87.4,6.7,26,19,0,11,11,12,2.9,2379,7.0,77.6,107,113,6.2,2.91,0,4,3.3,69.9,79,43,4.8,131,25.2,4,43,,,,,87.2,77.5,81.8,,73.9,,,74.3,,,3,1,138,7.0,111.1,2.3,3,13,0,3,9,1,0.7,757,6.7,0,98.0,51,52,-3.8,1.61,1,0,0.0,94.2,49,2,2.0,56,10.8,1,14,,,,,81.1,69.8,78.4,,69.9,,,58.3,,,0,0,56,0.0,97.6,0.0,0,1,0,0,1,0,0.0,306,5.9,-0.26
Trevor Lawrence,77632,QB,JAX,13,-1.1,0,516,15,72.0,354,380,10.7,2.72,11,29,7.1,62.6,238,146,6.7,441,85.5,17,138,,,,,52.8,82.7,34.6,,80.5,,,74.9,,,6,10,472,20.5,89.0,6.8,30,31,0,9,16,20,4.2,2887,7.6,75.4,321,338,8.2,2.38,11,19,5.2,66.9,226,106,6.6,390,75.6,16,109,,,,,47.3,78.5,30.9,,76.9,60.0,,71.8,,,2,6,415,23.6,93.8,6.4,25,23,0,4,16,15,3.6,2242,6.6,76.8,99,111,9.2,2.99,3,10,8.5,65.8,73,46,3.9,126,24.4,3,47,,,,,86.9,82.6,81.6,,79.8,,,70.9,,,4,4,132,13.0,83.2,4.8,6,9,0,5,1,5,3.8,1020,9.2,0,95.5,66,69,-3.4,1.43,3,0,0.0,88.4,61,6,3.2,75,14.5,2,18,,,,,82.9,67.7,79.5,,67.8,60.0,,58.3,,,0,0,75,16.7,94.1,1.3,1,1,0,0,1,0,0.0,375,5.4,2.56
Dak Prescott,10769,QB,DAL,13,-5.91,0,504,9,75.3,392,406,9.8,2.79,6,32,7.3,67.2,273,157,7.5,457,90.7,22,170,,,,,81.0,92.2,48.3,,91.2,,,78.3,,,4,6,497,18.5,106.8,6.3,29,21,0,4,26,8,1.6,3266,8.0,77.8,315,324,8.1,2.59,4,22,6.4,71.0,230,112,6.1,364,72.2,15,139,,,,,75.4,91.5,42.7,,90.6,,,76.6,,,3,5,389,17.9,111.2,5.5,20,17,0,2,22,6,1.5,2626,8.1,76.5,119,126,9.7,2.92,3,10,7.2,65.1,82,48,9.9,140,27.8,9,44,,,,,88.1,84.6,82.2,,81.8,,,70.1,,,2,1,155,18.8,97.9,6.4,9,4,0,2,6,2,1.3,879,7.0,0,97.6,42,44,-2.9,1.6,1,0,0.0,88.6,39,3,4.9,47,9.3,2,13,,,,,80.0,68.8,77.7,,68.0,,,,,,1,0,47,0.0,104.5,0.0,0,0,0,0,2,0,0.0,239,5.4,-1.12
Jalen Hurts,40291,QB,PHI,13,-6.43,0,500,24,74.3,346,383,10.3,3.36,4,25,6.2,63.4,243,206,5.4,453,90.6,14,154,,,,,51.7,82.7,62.6,,82.3,,,68.1,,,5,9,476,16.0,92.8,7.3,33,37,0,28,18,12,2.5,2940,7.7,78.1,297,323,8.7,3.1,3,19,5.6,68.1,220,154,5.2,368,73.6,12,121,,,,,44.1,79.8,59.6,,81.2,,,63.1,,,3,7,388,11.7,96.0,4.9,18,27,0,20,14,10,2.6,2459,7.6,72.3,94,107,9.4,3.42,2,6,5.4,61.7,66,53,2.9,132,26.4,2,43,,,,,87.1,82.8,81.7,,77.1,,,84.7,,,2,3,137,28.3,85.9,11.4,15,10,0,9,5,2,1.5,733,6.9,0,95.6,45,47,-2.6,1.5,1,0,0.0,91.5,43,1,0.0,47,9.4,0,10,,,,,80.3,74.5,77.9,,73.3,,,,,,0,1,49,0.0,87.2,0.0,0,0,0,1,1,0,0.0,252,5.4,-0.76
Jared Goff,10635,QB,DET,13,6.11,0,497,11,76.1,373,405,8.9,2.71,6,17,4.0,64.7,262,169,7.7,437,87.9,22,147,,,,,44.5,80.5,75.9,,80.6,60.0,,46.0,,,5,10,458,14.8,94.2,5.7,25,7,1,20,20,14,3.1,3109,7.7,77.2,329,356,7.3,2.45,7,15,4.0,65.4,233,132,8.3,380,76.5,21,124,,,,,48.2,76.9,74.7,,77.1,60.0,,47.4,,,4,10,397,14.4,87.5,5.0,19,5,1,15,15,12,3.0,2437,6.8,84.7,98,109,7.1,2.96,1,2,1.7,71.6,78,43,6.0,117,23.5,5,44,,,,,60.3,80.8,81.3,,79.9,,,54.5,,,1,0,124,14.0,118.7,5.1,6,2,0,9,6,2,1.6,1011,9.3,0,98.1,54,60,-3.9,1.57,2,0,0.0,81.7,49,6,7.5,60,12.1,4,21,,,,,81.8,68.7,78.8,,67.9,,,,,,0,0,63,0.0,95.8,0.0,0,0,0,4,1,0,0.0,339,5.7,2.43
C.J. Stroud,129759,QB,HST,13,-1.46,0,497,13,70.8,370,401,11.1,3.08,6,20,4.7,59.9,240,172,8.4,453,91.1,22,166,,,,,36.8,82.4,75.2,,78.8,58.9,,77.1,,,3,5,480,19.8,98.5,7.5,34,18,6,16,20,17,3.5,3378,8.4,73.7,316,343,8.8,2.82,6,12,3.3,62.7,215,130,7.7,379,76.3,18,124,,,,,37.2,81.3,73.5,,78.3,58.9,,72.6,,,3,3,400,17.7,96.7,6.1,23,12,6,12,15,10,2.5,2589,7.5,70.7,92,98,12.9,3.4,1,8,7.5,61.2,60,46,7.7,118,23.7,5,49,,,,,61.4,72.6,81.5,,69.9,,,72.6,,,0,2,128,26.1,106.0,10.2,12,7,0,5,5,7,5.5,1043,10.6,0,94.7,38,40,-3.5,1.72,1,0,0.0,87.5,35,4,2.8,44,8.9,1,7,,,,,80.0,60.7,77.8,,61.3,,,58.3,,,0,0,48,25.0,93.1,2.3,1,1,0,1,0,0,0.0,254,6.4,3.09
Jordan Love,40306,QB,GB,13,13.17,0,495,12,68.3,357,385,11.2,2.89,6,25,6.2,58.4,225,153,7.8,432,87.3,19,149,,,,,53.2,78.5,45.5,,78.0,60.0,,62.3,,,7,11,454,16.3,88.2,5.8,25,20,2,13,22,13,2.9,2794,7.3,66.7,309,332,9.7,2.59,6,21,6.0,58.1,193,111,6.3,369,74.5,13,111,,,,,64.8,74.7,41.8,,75.0,,,58.2,,,5,8,388,18.0,82.1,5.4,20,15,2,10,16,10,2.6,2034,6.1,83.2,107,115,8.0,3.11,1,4,3.3,71.3,82,47,7.9,126,25.5,7,50,,,,,44.5,75.7,81.6,,73.1,60.0,,71.8,,,2,3,132,10.6,108.9,4.0,5,5,0,5,7,3,2.3,1049,9.1,0,86.4,59,62,-2.5,1.6,1,0,0.0,80.6,50,5,2.0,63,12.7,1,12,,,,,82.1,58.5,79.0,,58.3,,,,,,0,0,66,0.0,91.5,0.0,0,0,0,2,1,0,0.0,289,4.7,2.99
