player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Matthew Bergeron,99658,G,ATL,14,0,2,49.1,100.0,132,31.4,132,61.3,0,100.0,421,421,70.8,100.0,265,62.9,265
Wyatt Teller,46131,G,CLV,14,0,8,73.1,100.0,216,51.7,216,72.6,0,100.0,418,418,71.9,100.0,161,38.5,161
Penei Sewell,81788,T,DET,14,1,11,91.1,100.0,180,43.5,180,93.4,1,100.0,414,414,90.1,100.0,195,47.1,195
Steve Avila,77319,G,LA,15,0,26,55.8,100.0,242,59.5,242,51.0,0,100.0,407,407,52.3,100.0,143,35.1,143
Erik McCoy,37347,C,NO,15,1,20,82.6,100.0,159,39.1,159,90.6,1,100.0,407,407,87.2,100.0,195,47.9,195
John Simpson,41715,G,BLT,14,0,3,58.3,100.0,199,49.4,199,60.4,2,100.0,403,403,68.0,100.0,162,40.2,162
Coleman Shelton,39316,C,LA,15,0,26,64.0,100.0,238,59.2,238,72.4,1,100.0,402,402,81.8,100.0,142,35.3,142
Jake Matthews,8641,T,ATL,14,0,2,62.9,100.0,129,32.2,129,61.3,1,100.0,401,401,61.8,100.0,248,61.8,248
Kevin Zeitler,7032,G,BLT,14,0,3,53.0,100.0,196,50.0,196,61.1,0,100.0,392,392,70.1,100.0,156,39.8,156
Darnell Wright,98480,T,CHI,14,0,6,64.0,100.0,141,36.1,141,64.6,3,100.0,391,391,64.0,100.0,201,51.4,201
Jordan Mailata,66916,T,PHI,14,1,24,47.7,100.0,102,26.2,102,80.8,1,100.0,390,390,92.5,100.0,209,53.6,209
Chris Lindstrom,46692,G,ATL,13,0,2,68.9,100.0,120,30.8,120,89.8,1,100.0,389,389,91.4,100.0,248,63.8,248
Colton McKivitz,29314,T,SF,14,1,28,51.9,100.0,113,29.0,113,64.9,1,100.0,389,389,68.6,100.0,221,56.8,221
Jared Goff,10635,QB,DET,14,0,11,60.3,100.0,180,46.3,180,60.4,0,94.6,389,411,60.2,99.5,193,49.6,194
Jason Kelce,6343,C,PHI,14,0,24,70.3,100.0,102,26.3,102,83.4,0,100.0,388,388,83.1,100.0,207,53.4,207
Jake Brendel,11117,C,SF,14,0,28,56.4,100.0,109,28.8,109,66.1,0,100.0,379,379,64.1,100.0,216,57.0,216
Cesar Ruiz,59857,G,NO,14,0,20,47.6,100.0,155,41.1,155,45.9,0,100.0,377,377,48.4,100.0,173,45.9,173
Landon Dickerson,41712,G,PHI,14,2,24,62.1,100.0,99,26.3,99,68.4,5,100.0,376,376,68.3,100.0,199,52.9,199
O'Cyrus Torrence,102821,G,BUF,14,0,4,58.1,100.0,208,55.8,208,60.4,1,100.0,373,373,60.6,100.0,112,30.0,112
Terence Steele,39461,T,DAL,14,0,9,57.9,100.0,148,39.8,148,60.9,1,100.0,372,372,67.1,100.0,167,44.9,167
Spencer Brown,42296,T,BUF,14,0,4,61.8,100.0,207,55.8,207,73.8,0,100.0,371,371,77.5,100.0,111,29.9,111
Joel Bitonio,8670,G,CLV,13,0,8,56.9,100.0,188,50.9,188,61.6,1,100.0,369,369,73.7,100.0,145,39.3,145
Quenton Nelson,12954,G,IND,14,0,14,59.9,100.0,114,31.0,114,58.8,1,100.0,368,368,63.1,100.0,235,63.9,235
Drew Dalman,52270,C,ATL,12,1,2,73.4,100.0,117,31.9,117,91.0,1,100.0,367,367,91.3,100.0,229,62.4,229
Matthew Stafford,4924,QB,LA,14,0,26,60.2,100.0,223,60.8,223,60.1,0,98.4,367,373,60.0,100.0,130,35.4,130
Alaric Jackson,40972,T,LA,14,0,26,57.8,100.0,211,57.7,211,59.3,2,100.0,366,366,69.0,100.0,133,36.3,133
DeVonta Smith,61100,WR,PHI,14,0,24,55.6,100.0,93,25.5,93,51.0,0,100.0,365,365,67.2,100.0,206,56.4,206
Shaq Mason,9564,G,HST,14,0,13,67.0,100.0,134,37.1,134,63.9,1,100.0,361,361,62.1,100.0,184,51.0,184
Will Fries,41530,G,IND,14,0,14,63.3,100.0,115,31.9,115,65.1,2,100.0,361,361,68.3,100.0,231,64.0,231
Ethan Pocic,11813,C,CLV,13,0,8,67.3,100.0,186,51.7,186,71.3,1,100.0,360,360,73.9,100.0,142,39.4,142
Austin Jackson,60816,T,MIA,14,0,17,61.7,100.0,106,29.5,106,67.6,2,100.0,359,359,70.7,100.0,212,59.1,212
Graham Glasgow,10729,G,DET,13,0,11,74.2,100.0,149,41.6,149,80.7,1,100.0,358,358,81.5,100.0,175,48.9,175
Alec Pierce,78038,WR,IND,14,0,14,72.4,100.0,111,31.2,111,63.7,0,100.0,356,356,68.6,100.0,231,64.9,231
Taylor Decker,10650,T,DET,12,0,11,55.6,100.0,150,42.4,150,63.3,1,100.0,354,354,66.0,100.0,172,48.6,172
A.J. Brown,48327,WR,PHI,14,0,24,64.6,100.0,90,25.5,90,50.9,0,100.0,353,353,62.1,100.0,196,55.5,196
Aaron Brewer,46014,C,TEN,14,0,31,77.8,100.0,149,42.2,149,78.5,2,100.0,353,353,72.1,100.0,173,49.0,173
Garett Bolles,11775,T,DEN,14,0,10,70.6,100.0,124,35.1,124,65.3,1,100.0,353,353,68.7,100.0,167,47.3,167
Mason Cole,45547,C,PIT,14,0,25,61.4,100.0,108,30.6,108,65.9,2,100.0,353,353,68.2,100.0,175,49.6,175
Lloyd Cushenberry III,41924,C,DEN,14,0,10,66.8,100.0,123,34.9,123,72.1,0,100.0,352,352,75.3,100.0,167,47.4,167
Paris Johnson Jr.,129749,T,ARZ,14,2,1,46.6,100.0,145,41.3,145,50.2,3,100.0,351,351,55.0,100.0,167,47.6,167
Bradley Bozeman,27934,C,CAR,14,0,5,64.9,100.0,133,37.9,133,68.5,2,100.0,351,351,68.7,100.0,203,57.8,203
Taylor Moton,11819,T,CAR,14,0,5,54.9,100.0,133,37.9,133,64.6,0,100.0,351,351,67.6,100.0,203,57.8,203
Ikem Ekwonu,98286,T,CAR,14,0,5,73.4,100.0,133,37.9,133,69.8,0,100.0,351,351,67.7,100.0,203,57.8,203
Hjalte Froholdt,44959,C,ARZ,14,0,1,66.5,100.0,144,41.1,144,63.5,0,100.0,350,350,65.9,100.0,167,47.7,167
Ben Powers,41482,G,DEN,14,0,10,49.2,100.0,124,35.4,124,57.7,1,100.0,350,350,63.6,100.0,167,47.7,167
Luke Fortner,42028,C,JAX,14,0,15,50.9,100.0,170,48.7,170,41.2,1,100.0,349,349,38.9,100.0,138,39.5,138
Mike McGlinchey,46275,T,DEN,14,0,10,71.3,100.0,124,35.5,124,73.0,0,100.0,349,349,77.1,100.0,166,47.6,166
Anton Harrison,122929,T,JAX,14,1,15,39.5,100.0,169,48.8,169,52.4,2,100.0,346,346,66.5,100.0,136,39.3,136
Connor McGovern,41714,G,BUF,14,0,4,44.4,100.0,200,58.0,200,46.4,1,100.0,345,345,56.8,100.0,103,29.9,103
Will Hernandez,46180,G,ARZ,14,0,1,64.0,100.0,144,41.9,144,64.9,0,100.0,344,344,62.9,100.0,161,46.8,161
DJ Moore,48267,WR,CHI,14,0,6,69.4,99.2,122,35.6,123,69.0,0,98.8,343,347,62.1,100.0,188,54.8,188
Lane Johnson,7786,T,PHI,13,0,24,64.4,100.0,89,25.9,89,72.8,0,100.0,343,343,71.6,100.0,186,54.2,186
Mitch Morse,9482,C,BUF,14,0,4,70.3,100.0,198,57.9,198,64.6,0,100.0,342,342,52.3,100.0,102,29.8,102
Dion Dawkins,11818,T,BUF,14,2,4,75.0,100.0,198,58.1,198,68.4,3,100.0,341,341,64.2,100.0,101,29.6,101
Robert Hainsey,59980,C,TB,14,0,30,51.8,100.0,139,40.8,139,54.3,1,100.0,341,341,58.3,100.0,161,47.2,161
Cody Mauch,66637,G,TB,14,1,30,51.1,100.0,139,40.8,139,41.6,3,100.0,341,341,40.5,100.0,161,47.2,161
Luke Goedeke,77548,T,TB,14,0,30,71.1,100.0,139,40.8,139,69.3,1,100.0,341,341,63.8,100.0,161,47.2,161
Isaac Seumalo,10713,G,PIT,14,0,25,52.9,100.0,108,31.8,108,66.4,0,100.0,340,340,75.2,100.0,165,48.5,165
Brock Purdy,77672,QB,SF,14,0,28,60.0,100.0,108,31.8,108,60.1,0,94.2,340,361,60.0,100.0,206,60.6,206
Tristan Wirfs,64818,T,TB,14,0,30,66.0,100.0,139,40.9,139,67.7,0,100.0,340,340,64.5,100.0,160,47.1,160
David Andrews,9948,C,NE,14,0,19,83.5,100.0,169,49.9,169,79.6,0,100.0,339,339,77.6,100.0,126,37.2,126
Quinn Meinerz,112915,G,DEN,14,0,10,81.5,100.0,119,35.5,119,89.6,1,100.0,335,335,88.3,100.0,159,47.5,159
Puka Nacua,100632,WR,LA,15,0,26,77.6,98.5,199,59.6,202,72.4,2,97.1,334,344,63.4,100.0,126,37.7,126
Bryce Young,123943,QB,CAR,13,0,5,60.0,99.2,127,38.4,128,60.0,0,98.2,331,337,60.0,100.0,195,58.9,195
Kevin Dotson,46735,G,LA,12,0,26,90.8,100.0,183,55.3,183,87.0,0,100.0,331,331,75.2,100.0,132,39.9,132
Josh Myers,59992,C,GB,14,0,12,65.2,100.0,125,37.9,125,58.8,1,100.0,330,330,57.2,100.0,170,51.5,170
Cade Otton,61071,TE,TB,14,0,30,49.7,100.0,135,41.0,135,53.0,0,100.0,329,329,48.7,100.0,154,46.8,154
George Fant,11282,T,HST,13,0,13,55.7,100.0,125,38.1,125,54.9,0,100.0,328,328,58.3,100.0,164,50.0,164
Tua Tagovailoa,60326,QB,MIA,14,0,17,60.0,99.0,100,30.6,101,60.0,0,94.8,327,345,60.0,98.5,203,62.1,206
Ryan Ramczyk,11787,T,NO,12,0,20,61.7,100.0,133,40.7,133,67.3,2,100.0,327,327,65.9,100.0,154,47.1,154
Cole Kmet,60995,TE,CHI,14,0,6,51.9,100.0,122,37.4,122,55.8,0,99.1,326,329,64.2,100.0,164,50.3,164
Sam LaPorta,101690,TE,DET,14,0,11,46.5,99.3,135,41.5,136,57.1,0,99.7,325,326,62.2,100.0,152,46.8,152
Desmond Ridder,55086,QB,ATL,13,0,2,60.0,89.5,94,28.9,105,60.1,0,91.0,325,357,60.2,97.0,223,68.6,230
Michael Pittman Jr.,29049,WR,IND,14,0,14,67.1,100.0,94,29.0,94,52.4,2,100.0,324,324,57.8,100.0,222,68.5,222
Frank Ragnow,39137,C,DET,12,0,11,81.5,100.0,146,45.1,146,86.7,1,100.0,324,324,83.2,100.0,151,46.6,151
Tyler Linderbaum,82291,C,BLT,12,0,3,69.1,100.0,160,49.4,160,76.1,2,100.0,324,324,75.1,100.0,134,41.4,134
Dylan Parham,60953,G,LV,14,0,23,61.2,100.0,142,44.0,142,58.2,3,100.0,323,323,54.1,100.0,124,38.4,124
Lucas Patrick,11435,C,CHI,14,0,6,52.2,100.0,113,35.0,113,58.8,2,100.0,323,323,63.2,100.0,169,52.3,169
Kaleb McGary,46912,T,ATL,12,1,2,64.0,100.0,106,32.8,106,74.1,2,100.0,323,323,76.2,100.0,201,62.2,201
Zach Tom,55443,T,GB,14,0,12,62.4,100.0,122,37.8,122,78.4,0,100.0,323,323,79.8,100.0,168,52.0,168
James Hurst,9001,G,NO,13,0,20,54.0,100.0,116,36.0,116,56.0,1,100.0,322,322,62.0,100.0,161,50.0,161
George Kittle,11901,TE,SF,14,0,28,60.7,100.0,92,28.7,92,79.7,0,99.7,321,322,77.9,99.5,191,59.5,192
Aaron Banks,59983,G,SF,12,1,28,43.9,100.0,87,27.1,87,51.8,2,100.0,321,321,60.8,100.0,186,57.9,186
Amon-Ra St. Brown,84470,WR,DET,13,0,11,62.2,98.7,147,46.1,149,63.9,1,99.1,319,322,70.2,100.0,158,49.5,158
Zion Johnson,99681,G,LAC,14,0,27,61.0,100.0,117,36.8,117,55.8,2,100.0,318,318,51.9,100.0,165,51.9,165
Rashawn Slater,59971,T,LAC,14,1,27,51.0,100.0,117,36.8,117,59.3,2,100.0,318,318,63.6,100.0,165,51.9,165
Spencer Burford,81920,G,SF,11,0,28,62.4,100.0,99,31.1,99,63.6,2,100.0,318,318,59.7,100.0,169,53.1,169
Jamaree Salyer,81656,G,LAC,14,0,27,56.3,100.0,117,36.8,117,53.0,0,100.0,318,318,52.5,100.0,165,51.9,165
Trey Pipkins III,91462,T,LAC,14,0,27,34.7,100.0,117,36.8,117,47.0,0,100.0,318,318,62.5,100.0,165,51.9,165
Trent Williams,5529,T,SF,12,1,28,67.8,100.0,99,31.2,99,84.9,4,100.0,317,317,87.6,100.0,183,57.7,183
Greg Van Roten,7746,G,LV,14,0,23,74.4,100.0,137,43.4,137,68.6,0,100.0,316,316,60.6,100.0,123,38.9,123
Tyler Higbee,10744,TE,LA,14,0,26,48.2,100.0,188,59.7,188,54.5,1,100.0,315,315,72.6,100.0,112,35.6,112
Jon Runyan,36661,G,GB,14,0,12,48.5,100.0,120,38.2,120,48.8,4,100.0,314,314,47.9,100.0,160,51.0,160
Daniel Brunskill,34807,G,TEN,13,0,31,64.9,100.0,132,42.2,132,63.9,0,100.0,313,313,59.4,100.0,153,48.9,153
David Njoku,11784,TE,CLV,14,0,8,55.3,100.0,165,52.7,165,56.9,0,100.0,313,313,61.8,100.0,120,38.3,120
Baker Mayfield,46518,QB,TB,14,0,30,60.0,98.6,137,43.8,139,60.0,0,92.3,313,339,60.0,96.9,155,49.5,160
Trey Smith,62960,G,KC,14,0,16,61.9,100.0,95,30.6,95,74.2,2,100.0,310,310,77.1,100.0,176,56.8,176
