player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Matt Prater,3471,K,ARZ,1,0,1,1,100.0,0,0,,1,69.2,0,0,,1,1,100.0,0,1,1,100.0,3,3,100.0,1,1,100.0
Nick Folk,3794,K,TEN,1,0,1,1,100.0,1,1,100.0,31,70.8,0,0,,0,0,,0,1,1,100.0,5,5,100.0,2,2,100.0
Graham Gano,5443,K,NYG,1,0,0,0,,1,0,0.0,21,54.5,0,0,,0,0,,0,1,0,0.0,2,0,0.0,0,0,
Greg Zuerlein,7163,K,NYJ,1,0,0,0,,1,1,100.0,22,74.3,0,0,,1,1,100.0,0,1,1,100.0,3,3,100.0,1,1,100.0
Justin Tucker,7604,K,BLT,1,0,0,0,,0,0,,3,64.0,0,0,,2,2,100.0,0,1,1,100.0,1,1,100.0,0,0,
Dustin Hopkins,7958,K,CLV,1,0,0,0,,2,2,100.0,8,67.9,0,0,,1,1,100.0,0,1,1,100.0,3,3,100.0,0,0,
Brandon McManus,8437,K,JAX,1,0,0,0,,1,1,100.0,15,67.5,0,0,,4,4,100.0,0,0,0,,1,1,100.0,0,0,
Brett Maher,8585,K,LA,1,0,3,1,33.3,1,1,100.0,26,59.4,0,0,,3,3,100.0,0,1,1,100.0,5,3,60.0,0,0,
Cairo Santos,8932,K,CHI,1,0,0,0,,1,1,100.0,6,65.1,0,0,,0,0,,0,0,0,,2,2,100.0,1,1,100.0
Chris Boswell,8990,K,PIT,1,0,0,0,,0,0,,25,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,
Jason Myers,10207,K,SEA,1,0,0,0,,1,1,100.0,29,49.4,0,0,,1,1,100.0,0,2,1,50.0,3,2,66.7,0,0,
Wil Lutz,11096,K,DEN,1,0,1,0,0.0,0,0,,10,28.1,0,0,,2,1,50.0,0,0,0,,2,1,50.0,1,1,100.0
Ka'imi Fairbairn,11161,K,HST,1,0,0,0,,0,0,,13,64.3,0,0,,0,0,,0,3,3,100.0,3,3,100.0,0,0,
Jake Elliott,11908,K,PHI,2,0,4,3,75.0,1,1,100.0,24,76.3,0,0,,6,5,83.3,0,1,1,100.0,7,6,85.7,1,1,100.0
Harrison Butker,11988,K,KC,1,0,0,0,,0,0,,16,65.0,0,0,,2,2,100.0,0,2,2,100.0,2,2,100.0,0,0,
Younghoe Koo,12042,K,ATL,1,0,0,0,,1,1,100.0,2,67.9,0,0,,3,3,100.0,0,0,0,,1,1,100.0,0,0,
Greg Joseph,22842,K,MIN,2,0,0,0,,0,0,,18,66.1,0,0,,6,6,100.0,0,0,0,,1,1,100.0,1,1,100.0
Daniel Carlson,28121,K,LV,1,0,0,0,,0,0,,23,62.9,0,0,,2,2,100.0,0,0,0,,1,1,100.0,1,1,100.0
Jason Sanders,29578,K,MIA,1,0,0,0,,2,2,100.0,17,54.7,0,0,,4,3,75.0,0,0,0,,3,3,100.0,1,1,100.0
Tyler Bass,33010,K,BUF,1,0,1,1,100.0,1,1,100.0,4,78.4,0,0,,1,1,100.0,0,1,1,100.0,3,3,100.0,0,0,
Chase McLaughlin,33285,K,TB,1,0,1,1,100.0,0,0,,30,76.7,0,0,,2,2,100.0,0,1,1,100.0,2,2,100.0,0,0,
Joey Slye,39235,K,WAS,1,0,0,0,,0,0,,32,64.3,0,0,,2,2,100.0,0,2,2,100.0,2,2,100.0,0,0,
Eddy Pineiro,44140,K,CAR,1,0,0,0,,1,1,100.0,5,64.2,0,0,,1,1,100.0,0,0,0,,1,1,100.0,0,0,
Blake Grupe,57502,K,NO,1,0,1,1,100.0,0,0,,20,68.6,0,0,,1,1,100.0,0,1,1,100.0,3,3,100.0,1,1,100.0
Anders Carlson,57509,K,GB,1,0,1,1,100.0,0,0,,12,69.9,0,0,,5,5,100.0,0,0,0,,1,1,100.0,0,0,
Riley Patterson,57556,K,DET,1,0,0,0,,0,0,,11,63.5,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,
Matt Gay,57643,K,IND,1,0,0,0,,0,0,,14,63.5,0,0,,3,3,100.0,0,0,0,,0,0,,0,0,
Cameron Dicker,77069,K,LAC,1,0,1,1,100.0,0,0,,27,69.2,0,0,,4,4,100.0,0,0,0,,2,2,100.0,1,1,100.0
Chad Ryland,77083,K,NE,1,0,0,0,,0,0,,19,62.3,0,0,,2,2,100.0,0,0,0,,0,0,,0,0,
Evan McPherson,82583,K,CIN,1,0,1,0,0.0,1,1,100.0,7,50.6,0,0,,0,0,,0,0,0,,2,1,50.0,0,0,
Jake Moody,82603,K,SF,1,0,0,0,,2,2,100.0,28,67.8,0,0,,3,3,100.0,0,1,1,100.0,3,3,100.0,0,0,
Brandon Aubrey,156112,K,DAL,1,0,0,0,,0,0,,9,51.8,0,0,,5,4,80.0,0,1,1,100.0,2,2,100.0,1,1,100.0
