"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Large Ownership","DK Small Ownership","DKSlateID","DK Floor","DK Ceiling"
"De'Von Achane","MIA","NYG","RB","6100","17.7","2.6","26.5","35.5","30030753","6.5","31.5"
"Joe Mixon","CIN","ARI","RB","6400","18.1","2.4","24.0","30.0","30030747","7.8","30.7"
"Marquise Brown","ARI","CIN","WR","5000","15.3","2.3","24.1","31.6","30031015","5.2","28.1"
"Bijan Robinson","ATL","HOU","RB","7700","20.5","2.3","23.2","23.3","30030737","8.6","34.7"
"Tyreek Hill","MIA","NYG","WR","9000","23.1","2.3","20.0","23.0","30030973","8.7","40.3"
"Justin Jefferson","MIN","KC","WR","9400","23.6","2.1","22.2","28.0","30030971","9.4","39.7"
"Ja'Marr Chase","CIN","ARI","WR","7900","20.4","1.7","24.0","28.0","30030979","7.9","35.6"
"Daniel Jones","NYG","MIA","QB","5800","19.5","1.5","6.5","7.1","30030679","10.1","30.1"
"Titans ","TEN","IND","DST","2400","7.3","1.5","20.0","26.0","30031578","1.3","14.3"
"David Montgomery","DET","CAR","RB","6600","17.4","1.3","20.4","20.5","30030745","6.7","31.0"
"Kalif Raymond","DET","CAR","WR","3300","10.9","1.3","0.5","0.5","30031089","2.5","21.9"
"Wan'Dale Robinson","NYG","MIA","WR","3000","10.2","1.3","27.4","36.1","30031325","3.2","19.2"
"Joshua Dobbs","ARI","CIN","QB","5200","17.3","1.2","6.2","5.3","30030683","8.7","26.9"
"Travis Kelce","KC","MIN","TE","7600","19.2","1.1","20.7","24.9","30031347","7.0","34.3"
"Garrett Wilson","NYJ","DEN","WR","6000","15.8","1.0","17.7","17.7","30030997","5.3","29.3"
"Josh Reynolds","DET","CAR","WR","4200","12.2","0.9","1.3","0.5","30031035","3.1","24.5"
"Sam LaPorta","DET","CAR","TE","5000","13.8","0.9","8.4","4.9","30031355","4.3","26.3"
"Anthony Richardson","IND","TEN","QB","7000","22.5","0.9","6.4","5.5","30030673","11.9","34.8"
"James Conner","ARI","CIN","RB","5800","15.2","0.8","9.0","8.7","30030763","5.9","27.0"
"Alvin Kamara","NO","NE","RB","6300","16.2","0.7","24.0","28.2","30030749","7.0","27.9"
"Zach Wilson","NYJ","DEN","QB","4900","15.9","0.7","2.4","1.2","30030693","7.7","25.3"
"Dolphins ","MIA","NYG","DST","3600","8.9","0.7","10.6","12.5","30031565","2.6","16.0"
"Russell Wilson","DEN","NYJ","QB","5700","18.3","0.6","3.4","3.0","30030680","9.3","28.4"
"Matthew Stafford","LA","PHI","QB","5600","18.0","0.6","8.0","7.4","30030681","9.2","28.0"
"Kirk Cousins","MIN","KC","QB","6900","21.9","0.6","9.7","11.5","30030674","11.4","32.8"
"Breece Hall","NYJ","DEN","RB","5400","14.3","0.6","22.0","22.0","30030771","4.8","26.2"
"Isiah Pacheco","KC","MIN","RB","5700","14.8","0.5","13.7","12.4","30030769","5.6","26.6"
"Tua Tagovailoa","MIA","NYG","QB","7100","22.4","0.5","9.0","9.8","30030672","12.3","33.3"
"Jalen Hurts","PHI","LA","QB","8000","25.1","0.5","14.0","14.0","30030670","14.2","37.8"
"Ryan Tannehill","TEN","IND","QB","4900","15.8","0.5","4.1","4.3","30030690","7.2","25.3"
"DeAndre Hopkins","TEN","IND","WR","5700","14.8","0.5","18.4","19.1","30030999","4.7","27.9"
"Zach Ertz","ARI","CIN","TE","3500","10.3","0.4","14.0","22.0","30031367","3.0","20.1"
"Patriots ","NE","NO","DST","3100","7.6","0.4","11.4","11.4","30031572","1.8","14.4"
"Adam Thielen","CAR","DET","WR","5100","13.4","0.3","10.7","11.7","30031013","4.4","24.8"
"Tyler Boyd","CIN","ARI","WR","4500","12.2","0.3","17.2","15.1","30031025","3.7","23.2"
"Steelers ","PIT","BAL","DST","2700","6.7","0.3","10.5","13.0","30031575","1.0","14.0"
"Alexander Mattison","MIN","KC","RB","5700","14.5","0.2","8.2","6.3","30030761","5.6","25.8"
"D'Andre Swift","PHI","LA","RB","6000","15.1","0.2","15.8","14.8","30030755","5.2","27.4"
"Saints ","NO","NE","DST","3000","7.2","0.2","12.2","10.9","30031573","1.4","13.9"
"Patrick Mahomes","KC","MIN","QB","8200","25.3","0.1","15.4","17.3","30030669","14.3","36.6"
"Rhamondre Stevenson","NE","NO","RB","5600","14.1","0.0","10.0","12.6","30030765","5.5","25.1"
"Tank Dell","HOU","ATL","WR","4800","12.4","-0.1","11.3","12.5","30031019","3.2","24.4"
"Robert Woods","HOU","ATL","WR","4000","10.7","-0.2","9.0","10.0","30031051","3.1","20.5"
"A.J. Brown","PHI","LA","WR","8000","18.7","-0.2","13.2","9.9","30030977","6.5","34.3"
"Broncos ","DEN","NYJ","DST","3200","7.2","-0.2","6.1","3.9","30031569","1.7","14.4"
"George Pickens","PIT","BAL","WR","5200","13.0","-0.3","11.0","9.5","30031011","3.8","24.9"
"Colts ","IND","TEN","DST","3200","7.1","-0.3","5.0","5.0","30031570","2.1","15.2"
"Josh Downs","IND","TEN","WR","3700","10.0","-0.4","10.9","10.6","30031063","2.5","19.9"
"Lions ","DET","CAR","DST","3800","8.2","-0.4","4.7","3.6","30031563","2.3","14.9"
"Jaleel McLaughlin","DEN","NYJ","RB","5000","12.4","-0.5","5.0","3.8","30030783","4.0","23.2"
"Joe Burrow","CIN","ARI","QB","6200","18.6","-0.6","7.0","8.0","30030676","9.5","28.7"
"Samaje Perine","DEN","NYJ","RB","4800","11.9","-0.6","4.0","1.5","30030795","4.1","21.9"
"Kyren Williams","LA","PHI","RB","6700","15.7","-0.6","7.5","5.4","30030743","6.0","27.6"
"Cardinals ","ARI","CIN","DST","2800","5.9","-0.7","5.0","4.0","30031574","0.8","13.7"
"Miles Sanders","CAR","DET","RB","5200","12.5","-0.8","6.2","6.4","30030777","5.0","22.1"
"Rashee Rice","KC","MIN","WR","3600","9.4","-0.8","15.0","18.0","30031067","1.9","19.2"
"Derrick Henry","TEN","IND","RB","7500","17.0","-0.8","11.6","8.0","30030739","6.7","29.7"
"Eagles ","PHI","LA","DST","3900","7.9","-0.8","2.1","0.5","30031562","2.0","15.5"
"Michael Pittman Jr.","IND","TEN","WR","6400","14.7","-0.9","8.5","5.8","30030993","5.2","27.5"
"Jets ","NYJ","DEN","DST","3100","6.3","-0.9","4.0","0.7","30031571","1.2","14.0"
"Courtland Sutton","DEN","NYJ","WR","5400","12.6","-1.1","7.1","5.6","30031005","3.6","24.6"
"Raheem Mostert","MIA","NYG","RB","6200","14.2","-1.1","9.0","10.0","30030751","4.5","26.3"
"Matt Breida","NYG","MIA","RB","5200","12.3","-1.1","1.6","0.7","30030779","4.6","22.0"
"Calvin Austin III","PIT","BAL","WR","3500","8.9","-1.1","7.6","8.2","30031081","1.9","17.9"
"Ravens ","BAL","PIT","DST","4200","8.2","-1.1","1.2","0.5","30031561","2.5","15.1"
"Nico Collins","HOU","ATL","WR","5600","12.9","-1.2","8.0","7.0","30031001","3.4","25.3"
"Dameon Pierce","HOU","ATL","RB","5300","12.2","-1.3","6.1","4.8","30030775","4.6","22.4"
"Falcons ","ATL","HOU","DST","3400","6.5","-1.3","0.7","0.5","30031567","1.0","13.4"
"Chiefs ","KC","MIN","DST","3300","6.3","-1.3","1.1","0.5","30031568","1.3","14.6"
"C.J. Stroud","HOU","ATL","QB","6000","17.1","-1.4","1.4","1.0","30030677","8.5","26.6"
"Rams ","LA","PHI","DST","2600","4.8","-1.4","0.4","1.0","30031576","-0.2","12.7"
"Jonnu Smith","ATL","HOU","TE","2900","7.2","-1.5","6.3","4.8","30031387","1.3","15.3"
"Jared Goff","DET","CAR","QB","6300","18.0","-1.5","2.4","0.9","30030675","9.2","27.9"
"Jahmyr Gibbs","DET","CAR","RB","5900","13.1","-1.5","1.6","0.5","30030757","4.5","24.0"
"Kylen Granson","IND","TEN","TE","3000","7.5","-1.5","2.5","2.4","30031383","1.3","15.9"
"Durham Smythe","MIA","NYG","TE","3000","7.5","-1.5","2.7","1.8","30031381","1.3","15.9"
"Mac Jones","NE","NO","QB","5100","14.3","-1.5","0.6","0.5","30030684","7.0","22.8"
"Michael Thomas","NO","NE","WR","4900","11.2","-1.5","4.9","3.6","30031017","3.2","21.4"
"Dallas Goedert","PHI","LA","TE","4200","9.8","-1.5","10.0","10.0","30031359","2.4","19.8"
"DeVonta Smith","PHI","LA","WR","7400","16.0","-1.6","3.3","1.5","30030987","5.5","29.9"
"Allen Lazard","NYJ","DEN","WR","3900","9.0","-1.7","2.1","0.7","30031053","1.5","19.2"
"Panthers ","CAR","DET","DST","2200","3.7","-1.7","4.0","5.0","30031579","-0.9","11.0"
"Zay Flowers","BAL","PIT","WR","5500","12.1","-1.8","3.8","3.1","30031003","3.8","22.8"
"Irv Smith Jr.","CIN","ARI","TE","3100","7.4","-1.8","7.0","7.0","30031377","1.3","15.5"
"T.J. Hockenson","MIN","KC","TE","6500","14.1","-1.8","5.2","3.1","30031349","4.7","26.0"
"Giants ","NYG","MIA","DST","2000","3.2","-1.8","0.8","0.1","30031580","-1.4","10.3"
"Mark Andrews","BAL","PIT","TE","5500","12.0","-1.9","4.6","2.0","30031351","3.4","23.6"
"Tyler Conklin","NYJ","DEN","TE","3200","7.5","-1.9","3.4","1.4","30031373","1.4","15.7"
"Chig Okonkwo","TEN","IND","TE","3200","7.5","-1.9","7.9","7.8","30031375","1.2","16.0"
"Texans ","HOU","ATL","DST","3500","6.1","-1.9","0.5","0.5","30031566","0.8","13.2"
"Kyle Pitts","ATL","HOU","TE","3300","7.5","-2.0","12.0","14.0","30031371","1.2","16.1"
"Bengals ","CIN","ARI","DST","3700","6.3","-2.0","0.5","0.5","30031564","1.5","13.8"
"Michael Wilson","ARI","CIN","WR","3700","8.3","-2.1","2.8","1.3","30031065","1.3","17.7"
"Desmond Ridder","ATL","HOU","QB","4900","13.2","-2.1","1.1","0.6","30030692","6.2","21.3"
"Bryce Young","CAR","DET","QB","5100","13.7","-2.2","0.5","0.5","30030685","6.5","21.6"
"Rashid Shaheed","NO","NE","WR","3800","8.3","-2.2","0.8","0.5","30031061","1.5","17.2"
"Jonathan Mingo","CAR","DET","WR","3300","7.3","-2.3","1.0","0.8","30031093","1.2","15.4"
"DeVante Parker","NE","NO","WR","3800","8.2","-2.3","1.9","0.7","30031057","1.6","17.1"
"Chris Olave","NO","NE","WR","6900","14.3","-2.3","2.8","0.6","30030989","4.6","26.8"
"Kenny Pickett","PIT","BAL","QB","5000","13.3","-2.3","0.5","0.5","30030687","6.1","21.4"
"Rondale Moore","ARI","CIN","WR","3200","6.9","-2.5","2.7","2.1","30031105","1.4","14.2"
"Drake London","ATL","HOU","WR","4700","9.9","-2.5","4.1","4.0","30031021","2.5","19.7"
"Puka Nacua","LA","PHI","WR","7700","15.8","-2.5","7.6","5.5","30030983","5.6","29.0"
"K.J. Osborn","MIN","KC","WR","4100","8.6","-2.5","0.5","0.5","30031041","1.6","17.9"
"Foster Moreau","NO","NE","TE","2500","5.5","-2.5","0.5","0.5","30031513","0.6","12.6"
"Nick Westbrook-Ikhine","TEN","IND","WR","3500","7.5","-2.5","2.4","2.3","30031079","0.9","16.3"
"Vikings ","MIN","KC","DST","2500","3.4","-2.5","0.1","1.0","30031577","-0.7","11.6"
"Chris Moore","TEN","IND","WR","3000","6.4","-2.6","0.5","0.5","30031265","0.8","14.1"
"Derek Carr","NO","NE","QB","5300","13.7","-2.7","0.5","0.5","30030682","6.4","22.2"
