player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Matt Prater,3471,K,ARZ,5,25,25,73.0,4.23,24.3,19.5,0,0,1,76.3,1826,2,0,0,8.0,39,105.86,23
Nick Folk,3794,K,TEN,5,24,23,67.3,3.8,24.9,22.7,0,1,31,75.6,1614,9,0,0,37.5,204,87.46,14
Thomas Morstead,5088,P,NYJ,1,4,4,68.8,4.18,22.8,11.0,0,1,22,60.0,275,1,0,0,25.0,11,16.73,2
Graham Gano,5443,K,NYG,5,18,17,72.0,3.88,25.1,24.7,0,0,21,75.1,1296,3,0,0,16.7,74,66.02,15
Greg Zuerlein,7163,K,NYJ,3,18,17,73.9,3.94,25.0,,0,0,22,71.3,1330,0,0,0,0.0,0,66.97,18
Johnny Hekker,7252,P,CAR,2,2,0,8.5,,56.5,0.0,0,0,5,60.0,17,2,2,0,100.0,0,0.0,0
Justin Tucker,7604,K,BLT,5,23,22,71.7,3.9,24.3,19.0,0,0,3,78.7,1650,1,0,0,4.3,19,85.79,22
Dustin Hopkins,7958,K,CLV,4,19,18,67.9,4.21,24.0,18.3,0,1,8,49.3,1290,6,0,0,31.6,110,75.85,12
Brandon McManus,8437,K,JAX,5,24,24,69.9,4.03,27.3,33.0,0,2,15,68.3,1677,4,0,0,16.7,132,96.8,18
Brett Maher,8585,K,LA,2,2,0,28.0,,45.0,8.0,0,0,26,60.0,56,2,1,0,100.0,16,0.0,0
Cairo Santos,8932,K,CHI,5,26,25,69.7,4.08,25.9,13.8,0,0,6,76.9,1813,4,1,0,15.4,55,102.04,22
Chris Boswell,8990,K,PIT,5,22,22,72.7,3.99,25.3,35.0,0,0,25,78.0,1599,1,0,0,4.5,35,87.75,21
Bradley Pinion,9598,P,ATL,5,21,21,73.4,3.95,24.4,27.5,0,1,2,77.3,1542,2,0,0,9.5,55,82.96,18
Jason Myers,10207,K,SEA,4,24,23,69.1,3.92,24.8,21.3,0,2,29,72.0,1659,3,0,0,12.5,64,90.05,19
Riley Dixon,10862,P,DEN,1,1,1,67.0,4.95,33.0,20.0,0,0,10,60.0,67,1,0,0,100.0,20,4.95,0
Wil Lutz,11096,K,DEN,6,28,26,70.0,3.85,26.8,0.0,0,0,10,78.0,1959,1,2,0,3.6,0,100.19,26
Ka'imi Fairbairn,11161,K,HST,5,27,26,68.2,4.11,23.4,21.7,0,2,13,73.9,1841,9,0,0,33.3,195,106.85,16
Jake Elliott,11908,K,PHI,5,30,27,71.6,4.01,26.0,30.3,0,0,24,72.3,2149,3,0,0,10.0,91,108.34,27
Harrison Butker,11988,K,KC,6,32,32,73.7,4.17,24.9,22.0,0,0,16,83.5,2358,1,0,0,3.1,22,133.44,31
Rigoberto Sanchez,12130,P,IND,1,1,1,62.0,4.08,25.0,,0,1,14,60.0,62,0,0,0,0.0,0,4.08,0
Austin Seibert,13701,K,NYJ,1,3,2,65.3,4.14,24.7,0.0,0,0,22,60.0,196,1,0,0,33.3,0,8.27,2
Greg Joseph,22842,K,MIN,5,23,21,69.3,3.91,25.9,16.8,0,0,18,71.3,1595,4,1,0,17.4,67,82.12,19
Daniel Carlson,28121,K,LV,5,19,19,71.5,3.99,25.1,27.8,0,0,23,72.1,1359,4,0,0,21.1,111,75.8,15
Jason Sanders,29578,K,MIA,5,25,24,73.3,4.02,27.8,47.7,0,0,17,76.3,1832,3,0,0,12.0,143,96.48,22
Tommy Townsend,33007,P,KC,1,1,1,80.0,4.57,25.0,,0,0,16,60.0,80,0,0,0,0.0,0,4.57,1
Tyler Bass,33010,K,BUF,5,33,31,68.0,4.07,25.4,21.5,0,0,4,74.0,2244,10,1,0,30.3,215,126.07,22
Jake Bailey,33963,P,MIA,4,7,7,70.3,4.23,23.4,20.5,0,0,17,61.4,492,2,0,0,28.6,41,29.62,5
Jack Fox,34735,P,DET,5,29,29,67.7,4.13,23.3,21.9,0,0,11,64.7,1964,13,0,0,44.8,285,119.9,16
Joey Slye,39235,K,WAS,5,22,22,73.9,4.07,25.0,,0,0,32,78.0,1625,0,0,0,0.0,0,89.5,22
Eddy Pineiro,44140,K,CAR,5,20,18,64.9,3.94,26.9,22.4,0,0,5,72.8,1298,8,1,0,40.0,179,70.89,12
Mitch Wishnowsky,44663,P,SF,1,7,6,67.6,3.91,27.9,30.3,0,0,28,61.4,473,3,0,0,42.9,91,23.46,4
Blake Grupe,57502,K,NO,5,25,25,71.8,4.03,24.2,22.0,0,0,20,79.9,1795,3,0,0,12.0,66,100.65,22
Anders Carlson,57509,K,GB,5,24,23,66.1,3.99,24.9,21.3,0,0,12,75.6,1587,9,1,0,37.5,192,91.74,14
