player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Travis Etienne Jr.,57185,HB,JAX,7,127,32,6,29.2,147,0,504,1,10,32,387,84.8,10,26,15,0,69,90.0,70.8,44.9,,58.1,66.7,71.0,70.4,35,1,196,24,178,151,0,0,26,151,7,504,387,3.05,4.0,1.1,55
Christian McCaffrey,11763,HB,SF,6,110,27,6,35.1,194,0,553,0,2,27,403,79.9,15,30,28,2,42,51.4,83.7,86.0,,23.2,88.9,79.7,38.0,65,0,177,23,127,142,0,0,26,133,7,553,403,3.66,5.0,1.39,66
Josh Jacobs,45953,HB,LV,6,107,9,2,13.5,42,0,312,0,7,9,212,24.0,3,16,23,0,65,89.2,66.1,82.6,60.0,54.1,77.1,62.6,57.3,24,0,209,25,119,133,0,0,32,132,2,312,212,1.98,2.9,1.76,33
Derrick Henry,10679,HB,TEN,6,98,20,7,42.4,180,0,425,0,1,20,306,60.2,8,20,31,0,52,88.2,84.3,81.4,66.0,86.0,77.9,79.6,59.1,63,0,117,11,64,109,0,0,11,109,3,425,306,3.12,4.3,1.83,46
Dameon Pierce,83659,HB,HST,6,97,18,1,5.3,15,0,281,0,1,18,218,40.3,7,11,13,0,35,87.8,72.4,81.9,,85.0,70.7,69.2,60.0,15,0,84,9,76,105,0,0,12,106,1,281,218,2.25,2.9,1.11,62
Kyren Williams,97118,HB,LA,6,97,20,4,20.8,95,0,456,3,2,20,304,62.7,8,26,26,1,65,67.9,74.4,38.3,,58.9,41.9,87.9,58.6,31,1,105,13,188,104,0,0,23,110,6,456,304,3.13,4.7,0.56,31
Joe Mixon,11803,HB,CIN,6,96,11,1,6.0,22,1,366,2,2,11,229,27.7,8,22,7,0,51,88.1,63.4,1.9,,45.8,56.0,68.3,60.0,22,2,104,16,140,106,0,0,20,112,1,366,229,2.39,3.8,0.74,44
Zack Moss,40341,HB,IND,5,96,23,4,26.6,124,0,466,3,3,23,274,67.5,13,26,14,0,22,87.9,66.6,87.3,,58.5,47.4,71.3,58.0,56,0,110,14,108,111,0,0,17,110,4,466,274,2.85,4.9,1.02,74
Tony Pollard,27126,HB,DAL,6,96,7,4,25.7,95,0,370,0,3,7,247,21.3,6,21,9,2,61,46.4,66.4,85.0,,79.4,64.6,64.3,57.7,31,0,176,25,128,112,0,0,28,121,2,370,247,2.57,3.9,1.38,34
David Montgomery,45719,HB,DET,5,94,22,4,23.2,89,0,384,1,2,22,250,63.8,7,23,11,2,47,39.9,69.6,17.9,,68.1,62.8,69.5,60.0,42,1,66,6,71,102,0,0,9,100,6,384,250,2.66,4.1,0.93,47
Isiah Pacheco,83747,HB,KC,6,87,22,5,33.3,129,0,387,0,5,22,286,85.3,10,24,16,0,43,87.3,78.0,84.5,,42.3,71.3,78.5,60.4,48,0,135,17,98,100,0,0,19,104,3,387,286,3.29,4.4,1.38,42
D'Andre Swift,57212,HB,PHI,6,86,18,4,25.4,115,0,452,1,5,18,227,55.7,8,22,24,1,21,64.7,69.6,27.6,,24.8,52.9,79.1,56.1,43,1,115,23,123,107,0,0,26,109,2,452,227,2.64,5.3,0.93,64
Kenneth Walker III,97199,HB,SEA,5,83,25,5,34.5,119,0,345,0,8,25,272,115.0,9,21,29,0,22,86.7,75.4,0.0,,45.7,66.4,78.4,60.6,36,2,100,11,81,92,0,0,11,94,6,345,272,3.28,4.2,1.23,54
Alexander Mattison,45817,HB,MIN,6,82,12,2,10.0,32,0,320,5,2,12,206,35.2,7,11,18,1,30,40.8,57.1,84.5,,54.3,36.0,66.6,44.4,17,0,104,18,128,91,0,0,26,100,0,320,206,2.51,3.9,0.81,52
Bijan Robinson,123126,HB,ATL,6,80,21,4,24.7,99,0,401,2,6,21,252,80.2,13,22,2,1,23,40.8,72.9,39.4,,41.0,64.7,80.6,40.4,38,1,189,26,168,100,0,0,32,106,0,401,252,3.15,5.0,1.13,54
Rhamondre Stevenson,98689,HB,NE,6,78,10,1,6.4,15,0,234,2,4,10,142,26.8,3,12,19,0,42,86.7,67.9,85.5,,90.5,46.5,74.0,58.8,15,0,111,17,136,93,0,0,22,95,2,234,142,1.82,3.0,0.82,30
Brian Robinson,57120,HB,WAS,6,77,16,4,26.5,80,0,302,1,3,16,228,63.9,8,21,32,1,20,59.8,72.7,87.0,,38.3,74.2,70.9,66.0,27,0,113,11,85,84,0,0,12,88,3,302,228,2.96,3.9,1.33,54
Raheem Mostert,9783,HB,MIA,6,75,25,6,39.1,168,0,430,0,10,25,296,148.5,13,23,17,3,30,26.6,89.5,84.6,,75.2,61.0,92.0,57.7,49,0,145,18,118,100,0,0,19,93,9,430,296,3.95,5.7,1.23,43
James Cook,83666,HB,BUF,6,75,11,3,23.7,86,0,363,1,2,11,225,43.8,11,17,4,0,43,86.2,71.3,85.0,,16.5,54.1,81.3,59.7,36,0,140,14,116,83,0,0,17,89,1,363,225,3.0,4.8,1.21,23
Tyler Allgeier,83639,HB,ATL,6,75,15,2,16.9,41,0,242,0,3,15,214,63.4,6,16,2,0,25,86.0,72.2,79.3,,86.3,71.6,68.7,58.2,22,0,32,6,50,84,0,0,9,81,2,242,214,2.85,3.2,0.64,48
Gus Edwards,46027,HB,BLT,6,72,9,3,18.8,53,0,282,0,0,9,177,29.5,7,16,3,0,40,85.3,64.7,85.1,,74.1,53.1,64.8,62.9,20,1,13,3,70,100,0,0,3,75,1,282,177,2.46,3.9,0.19,29
Rachaad White,131633,HB,TB,5,70,14,0,0.0,0,0,232,0,7,14,169,59.0,4,12,30,1,30,58.9,71.1,84.6,,66.9,53.6,77.6,57.4,13,0,98,16,130,81,0,0,17,86,1,232,169,2.41,3.3,0.75,39
Alvin Kamara,11822,HB,NO,4,69,7,2,12.3,32,0,261,1,8,7,154,32.2,6,17,20,0,17,86.7,69.5,83.6,,33.6,74.3,69.0,59.0,17,0,177,35,109,80,0,0,39,104,1,261,154,2.23,3.8,1.62,51
James Conner,11860,HB,ARZ,5,68,18,6,38.7,141,0,364,0,2,18,239,92.5,10,16,1,0,34,85.5,85.5,83.1,,90.9,58.1,86.0,66.6,35,0,30,8,71,88,0,0,9,76,2,364,239,3.51,5.4,0.42,33
Jerome Ford,83601,HB,CLV,5,67,17,3,40.0,108,0,270,2,0,17,248,79.7,7,10,8,1,38,57.5,66.5,83.5,,45.2,54.6,71.3,57.1,69,0,84,12,92,80,0,0,15,79,1,270,248,3.7,4.0,0.91,27
Breece Hall,97636,HB,NYJ,6,66,13,6,60.9,259,0,425,2,4,13,278,90.6,7,15,22,2,32,29.8,70.8,81.6,,54.1,58.1,73.0,60.0,83,0,113,13,76,75,0,0,16,79,2,425,278,4.21,6.4,1.49,34
AJ Dillon,57165,HB,GB,5,64,5,0,0.0,0,0,194,1,1,5,156,21.8,2,12,12,0,30,84.5,65.5,82.6,,50.8,51.9,69.2,60.0,14,0,25,3,86,72,0,0,6,67,1,194,156,2.44,3.0,0.29,33
Najee Harris,57121,HB,PIT,5,63,14,6,47.4,117,0,247,1,3,14,204,81.0,6,12,25,0,19,53.1,62.6,82.2,,60.8,46.3,66.2,60.0,24,0,37,5,75,75,0,0,8,68,0,247,204,3.24,3.9,0.49,41
Jalen Hurts,40291,QB,PHI,6,45,10,0,0.0,0,0,132,0,0,3,41,6.1,6,28,24,1,8,68.5,76.5,63.7,75.6,,,67.1,60.0,24,2,0,0,0,187,121,18,0,45,5,253,148,2.35,4.0,,8
Miles Sanders,40555,HB,CAR,5,61,5,1,7.9,15,0,190,1,6,5,130,30.8,4,9,5,2,28,29.6,55.5,85.1,,31.6,75.7,47.9,59.5,15,0,81,15,106,68,0,0,21,76,1,190,130,2.13,3.1,0.76,32
Lamar Jackson,46416,QB,BLT,6,35,19,2,13.3,42,0,170,0,0,10,58,47.3,14,23,3,7,17,25.6,88.7,86.0,86.2,,,75.0,60.1,26,1,0,0,0,177,146,25,0,35,4,316,167,2.78,5.3,,6
Joshua Kelley,13750,HB,LAC,5,58,6,2,17.7,37,0,209,1,0,6,151,26.0,7,15,27,0,30,84.0,53.2,85.2,,30.1,39.8,62.7,60.0,22,0,7,2,78,67,0,0,4,60,1,209,151,2.6,3.6,0.09,25
Chuba Hubbard,57373,HB,CAR,6,54,13,2,16.5,40,0,242,0,2,13,179,74.2,5,18,5,0,21,84.0,71.9,84.4,,43.3,58.0,80.8,44.0,21,0,59,13,105,57,0,0,14,67,1,242,179,3.31,4.5,0.56,32
Saquon Barkley,45791,HB,NYG,3,53,7,4,42.0,87,0,207,1,2,7,165,42.5,5,10,21,0,26,83.9,70.1,83.2,,71.6,67.6,69.2,56.4,34,0,47,13,83,65,0,0,16,66,1,207,165,3.11,3.9,0.57,26
Khalil Herbert,41668,HB,CHI,5,51,16,4,34.9,95,0,272,0,4,16,182,117.0,6,12,6,1,19,49.7,79.3,84.6,,85.4,63.8,82.9,48.0,34,0,84,10,84,80,0,0,14,61,0,272,182,3.57,5.3,1.0,32
Ezekiel Elliott,10638,HB,NE,6,49,2,0,0.0,0,0,193,0,1,2,116,11.5,4,14,19,1,20,49.9,71.7,83.6,,64.3,58.0,75.4,60.0,14,0,59,13,70,57,0,0,14,62,1,193,116,2.37,3.9,0.84,22
Justin Fields,82118,QB,CHI,6,30,9,0,0.0,0,0,94,0,0,3,65,21.7,8,16,6,4,9,45.1,73.6,57.9,66.5,,,82.4,60.1,20,3,0,0,0,138,139,18,0,30,1,233,145,3.02,4.9,,7
