player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,MIA,2,0,1,,0,0,17,0,0,60.5,66.6,79.3,71.9,55.2,28.0,0,0,0,0,,25.0,1,0,0,0.0,0,1,0,1,0,3,58,57,1,42,5,9,0,1,33,22,0,3,3,1,0,1,0,0,0,
Brandon Graham,5538,ED,PHI,2,1,0,,0,0,24,0,0,63.8,76.5,4.8,72.2,77.2,73.9,0,5,0,0,,0.0,0,0,1,0.0,0,0,0,1,0,4,60,59,0,4,55,0,0,1,32,24,0,0,0,0,0,5,0,0,0,
Jerry Hughes,5556,ED,HST,2,0,0,,0,0,13,0,0,60.0,40.5,77.7,51.9,42.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,21,21,0,0,19,2,0,0,10,10,0,0,0,0,0,0,0,0,0,
Linval Joseph,5571,DI,DAL,2,1,0,,0,0,9,0,0,,31.7,78.5,60.4,29.9,68.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,37,37,28,9,0,0,0,0,15,22,0,0,1,0,0,0,0,0,0,
Von Miller,6154,ED,BUF,2,0,0,,0,0,4,0,0,62.6,88.4,79.0,82.1,70.1,74.2,0,7,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,2,58,58,0,0,58,0,0,0,41,15,0,3,2,0,0,9,0,0,0,
Cameron Jordan,6176,ED,NO,2,2,1,,0,0,20,0,0,60.1,57.3,80.0,51.7,65.0,74.0,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,1,61,60,3,4,28,25,0,1,44,16,0,1,1,0,0,1,0,0,0,
Cameron Heyward,6183,DI,PIT,2,0,0,,0,0,25,0,0,60.0,84.0,78.0,66.7,83.7,73.2,2,5,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,76,76,1,31,4,40,0,0,47,29,0,5,7,0,0,8,0,0,0,
Stephon Gilmore,7016,CB,MIN,2,1,0,76.9,0,1,18,0,0,66.2,72.6,80.1,,91.5,72.4,0,0,0,0,25,8.3,1,0,0,98.2,10,0,0,13,113,89,129,0,0,0,0,0,1,129,0,40,2,5,10,0,13,0,0,100,18,10.0
Bobby Wagner,7050,LB,WAS,2,7,0,66.7,0,0,32,0,0,51.9,74.9,78.5,58.6,90.9,64.0,0,1,0,0,32,10.0,2,1,0,103.5,4,0,0,109,1,61,119,3,0,0,3,0,1,116,8,50,5,8,11,4,6,1,0,66,74,16.5
Lavonte David,7060,LB,TB,2,2,0,100.0,0,0,30,0,0,60.9,60.0,76.9,69.8,53.5,27.6,1,3,0,0,22,33.3,6,0,0,100.8,10,0,0,116,1,85,143,6,0,0,6,0,1,137,11,47,19,3,10,0,10,4,0,82,68,8.2
Demario Davis,7079,LB,NO,2,6,0,71.4,0,0,20,0,0,75.3,87.3,78.0,71.3,85.4,85.1,0,0,0,0,15,0.0,0,1,0,84.8,5,1,0,94,0,69,107,7,0,0,7,0,0,100,7,31,6,5,5,0,7,1,0,39,38,7.8
Rodney McLeod,7271,S,CLV,2,1,0,0.0,0,0,8,0,0,71.9,72.1,74.0,59.2,60.4,82.2,0,0,0,0,,0.0,0,1,0,39.6,0,0,0,14,0,29,46,1,0,0,1,0,16,45,1,16,15,0,3,0,1,0,0,0,0,
Harrison Smith,7641,S,MIN,2,4,0,25.0,0,0,18,0,0,83.4,83.1,81.3,53.3,57.9,71.4,0,0,0,1,15,8.3,1,1,0,3.1,1,0,0,52,1,85,132,12,0,0,12,0,57,120,6,41,10,1,7,0,4,0,0,15,0,15.0
Darius Slay,7817,CB,PHI,2,3,0,100.0,0,1,24,0,0,60.6,61.1,78.6,,60.8,40.3,0,0,0,0,18,25.0,3,0,0,146.5,6,0,0,19,108,77,128,1,0,0,1,0,0,127,0,51,0,4,6,0,6,0,1,58,13,9.7
Johnathan Hankins,7830,DI,SEA,2,1,0,,0,0,29,0,0,60.0,44.5,78.1,54.1,42.5,43.5,0,0,0,0,,14.3,1,0,0,0.0,0,0,0,0,0,0,44,44,21,23,0,0,0,0,12,32,0,4,5,1,0,0,0,0,0,
