player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
C.J. Stroud,129759,QB,HST,9,116,12.1,0,13,4,5,27.6,11.2,88.8,0.9,0,13,14,32,13,116,103,1,21,26,13,11,18.1,22.4,4,11.2,9.5
Geno Smith,7820,QB,SEA,8,112,8.0,0,29,0,2,17.0,20.5,92.0,4.5,0,4,9,19,23,112,103,5,24,44,4,2,21.4,39.3,2,3.6,1.8
Daniel Jones,39395,QB,NYG,8,110,14.5,0,21,4,10,15.5,28.2,77.3,3.6,0,20,16,17,31,110,85,4,19,19,20,2,17.3,17.3,6,18.2,1.8
Deshaun Watson,11767,QB,CLV,7,106,17.9,0,8,3,6,18.9,21.7,81.1,4.7,0,16,19,20,23,106,86,5,17,21,16,1,16.0,19.8,7,15.1,0.9
Brock Purdy,77672,QB,SF,8,89,13.5,0,28,3,9,20.2,14.6,73.0,5.6,0,22,12,18,13,89,65,5,14,21,22,2,15.7,23.6,10,24.7,2.2
Kirk Cousins,7102,QB,ATL,8,84,15.5,0,2,1,1,21.4,19.0,91.7,4.8,0,3,13,18,16,84,77,4,21,19,3,1,25.0,22.6,1,3.6,1.2
Bo Nix,97790,QB,DEN,8,80,13.8,0,10,3,11,12.5,17.5,65.0,12.5,0,20,11,10,14,80,52,10,6,13,20,3,7.5,16.3,6,25.0,3.8
Jalen Hurts,40291,QB,PHI,7,79,11.4,0,24,3,5,24.1,17.7,82.3,3.8,0,11,9,19,14,79,65,3,13,18,11,1,16.5,22.8,3,13.9,1.3
Caleb Williams,144622,QB,CHI,7,79,15.2,0,6,2,9,10.1,27.8,74.7,5.1,0,16,12,8,22,79,59,4,12,15,16,5,15.2,19.0,5,20.3,6.3
Aaron Rodgers,2241,QB,NYJ,9,79,12.7,0,22,9,2,11.4,27.8,72.2,10.1,0,15,10,9,22,79,57,8,13,14,15,0,16.5,17.7,4,19.0,0.0
