player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
C.J. Stroud,129759,QB,HST,9,6.62,0,350,13,69.1,243,262,10.1,3.14,1,16,5.7,61.1,160,136,4.8,315,90.0,8,112,,,,59.2,75.6,69.5,74.9,57.4,61.8,,6,4,337,21.3,92.1,9.2,29,24,1,11,11,8,2.4,1978,7.5,70.5,210,226,8.2,2.88,2,12,4.9,61.9,140,109,5.4,271,77.4,8,83,,,,54.0,71.0,67.9,70.3,60.0,60.4,,5,3,291,25.7,86.8,10.3,28,16,1,8,7,5,1.7,1536,6.8,75.4,65,70,9.3,3.38,0,4,5.5,68.6,48,27,2.0,79,22.6,1,35,,,,83.6,78.8,79.9,78.1,57.4,63.1,,1,1,82,3.7,108.2,1.3,1,8,0,4,4,3,3.7,603,8.6,0,90.6,32,34,-3.9,1.74,1,0,0.0,82.4,28,0,3.4,35,10.0,1,6,,,,78.4,61.5,76.9,61.4,60.0,,,0,0,36,,86.4,0.0,0,0,0,1,0,0,0.0,161,4.7,1.81
Aaron Rodgers,2241,QB,NYJ,9,1.27,0,344,22,70.9,254,274,9.0,2.64,6,18,6.2,59.1,162,86,10.0,302,87.8,18,98,,,,81.2,79.3,26.9,78.0,,69.3,,5,7,319,23.3,86.8,6.6,20,8,0,9,14,6,1.9,1910,7.0,74.3,222,237,8.0,2.46,4,15,6.0,62.0,147,70,10.9,262,76.2,18,83,,,,90.6,80.7,22.0,79.5,,69.3,,4,6,275,24.3,89.2,6.5,17,8,0,7,12,5,1.8,1655,7.0,74.6,71,79,6.0,2.73,4,3,3.5,63.3,50,20,5.7,82,23.8,3,24,,,,50.6,68.1,80.1,67.2,,,,1,1,88,15.0,86.0,3.7,3,0,0,3,3,1,1.1,452,5.7,0,97.4,39,42,-2.4,1.66,2,0,0.0,83.3,35,4,7.9,42,12.2,3,9,,,,79.6,70.1,77.5,69.2,,,,0,0,44,0.0,94.1,0.0,0,0,0,1,1,0,0.0,197,4.7,-1.26
Geno Smith,7820,QB,SEA,8,4.46,0,343,29,74.2,248,267,9.2,2.83,5,11,3.7,65.5,175,129,4.9,302,88.0,9,112,,,,75.0,78.5,24.7,77.0,58.9,70.8,,2,6,335,16.3,88.3,7.0,21,14,2,10,8,8,2.4,1982,7.4,76.2,239,257,7.6,2.68,4,11,3.9,68.1,175,114,3.8,289,84.3,7,101,,,,73.9,78.3,22.8,76.8,,70.8,,2,7,319,15.8,86.8,6.2,18,14,2,10,7,7,2.2,1865,7.3,81.3,48,51,7.2,2.89,1,0,0.0,72.5,37,21,5.1,54,15.7,2,20,,,,81.4,70.5,78.6,69.7,58.9,,,0,0,59,14.3,96.2,5.6,3,0,0,2,1,1,1.7,332,6.5,0,94.9,39,41,-2.7,1.83,0,0,0.0,90.2,37,6,0.0,41,12.0,0,9,,,,79.5,68.6,77.4,67.8,,,,0,1,43,0.0,78.4,0.0,0,0,0,2,0,0,0.0,215,5.2,-0.75
Baker Mayfield,46518,QB,TB,8,8.49,0,327,30,76.0,229,243,8.7,2.83,6,12,4.7,67.9,165,78,5.2,284,86.9,9,109,,,,40.6,77.3,43.8,74.9,,73.5,,4,9,300,25.6,100.9,7.0,20,20,1,3,19,14,4.7,1842,7.6,77.5,204,217,7.1,2.68,5,11,4.8,69.1,150,64,5.1,251,76.8,8,88,,,,48.9,75.4,40.6,72.6,,74.7,,4,8,263,23.4,97.7,6.0,15,19,1,3,16,12,4.6,1501,6.9,83.1,65,67,5.9,2.7,1,1,1.4,77.6,52,15,3.7,76,23.2,2,36,,,,48.0,73.6,79.7,72.9,,58.3,,0,1,81,33.3,128.1,6.6,5,1,0,1,5,2,2.5,688,10.3,0,95.0,40,41,-3.8,1.67,0,0,0.0,90.2,37,1,2.6,43,13.1,1,15,,,,79.6,65.2,77.5,64.6,,,,0,0,44,0.0,118.2,0.0,0,0,0,1,2,0,0.0,347,8.5,3.35
Daniel Jones,39395,QB,NYG,8,-0.61,0,318,21,75.0,224,248,8.9,2.84,4,6,2.2,60.5,150,119,10.7,285,89.6,18,77,,,,72.8,65.9,46.0,62.5,59.9,73.0,,3,4,305,21.0,78.7,8.8,25,12,3,14,6,9,3.0,1483,6.0,77.6,192,212,7.5,2.64,3,4,1.8,62.7,133,90,10.7,244,76.7,16,62,,,,69.2,68.4,42.1,64.3,,75.4,,3,4,258,22.2,76.7,8.2,20,9,3,11,4,7,2.7,1219,5.8,75.0,60,66,7.2,3.03,1,2,2.7,62.1,41,33,8.9,74,23.3,4,24,,,,83.6,57.1,79.8,58.4,59.9,52.2,,0,1,82,15.2,88.4,6.8,5,3,0,5,2,2,2.4,487,7.4,0,92.9,28,30,-4.5,1.78,0,0,0.0,80.0,24,4,7.7,33,10.4,2,9,,,,78.3,64.0,76.7,63.5,,,,0,1,35,0.0,83.8,0.0,0,0,0,2,0,0,0.0,223,7.4,1.63
Bo Nix,97790,QB,DEN,8,2.84,0,302,10,68.9,206,225,10.7,3.34,6,10,4.2,58.2,131,94,7.7,262,86.8,11,75,,,,90.8,65.8,0.9,62.9,60.0,73.8,,4,5,278,11.7,76.7,4.2,11,26,1,8,7,6,2.2,1348,6.0,73.1,175,189,8.7,3.03,6,9,4.5,62.4,118,75,7.8,223,73.8,10,60,,,,90.5,66.8,0.0,64.0,60.0,73.6,,2,4,236,13.3,78.5,4.5,10,22,1,5,5,5,2.1,1106,5.9,74.2,66,72,8.0,3.37,1,1,1.3,65.3,47,20,4.1,79,26.2,2,21,,,,83.8,62.9,80.0,62.3,,61.5,,2,1,86,5.0,89.1,1.3,1,5,0,3,3,1,1.2,424,5.9,0,100.0,35,36,-4.0,1.72,1,0,0.0,94.4,34,1,2.9,40,13.2,1,6,,,,79.6,66.9,77.5,67.2,,58.3,,0,0,44,0.0,97.0,0.0,0,1,0,0,1,0,0.0,182,5.1,0.04
Joe Burrow,28022,QB,CIN,8,-9.29,0,296,7,78.2,229,245,8.3,2.74,3,12,4.7,69.0,169,86,5.6,277,93.6,10,101,,,,53.6,89.5,64.1,88.7,,62.4,,3,3,289,22.1,105.0,6.9,19,12,0,10,14,4,1.4,1852,7.6,79.9,199,209,6.9,2.52,1,8,3.7,72.2,151,65,5.0,234,79.1,8,92,,,,47.5,87.5,86.1,87.1,,57.3,,2,3,246,23.1,108.5,6.4,15,8,0,7,13,3,1.2,1580,7.6,76.6,47,54,10.1,3.18,2,4,7.3,63.0,34,22,5.6,62,20.9,2,16,,,,81.9,79.2,0.0,78.1,,68.0,,1,0,64,18.2,98.8,6.5,4,4,0,4,2,1,1.6,413,7.6,0,94.1,17,18,-3.1,1.57,0,0,0.0,88.9,16,1,0.0,19,6.4,0,7,,,,75.4,63.6,74.9,64.9,,58.3,,0,0,21,0.0,117.8,0.0,0,0,0,1,1,0,0.0,141,7.8,0.09
Brock Purdy,77672,QB,SF,8,3.62,0,289,28,71.2,215,227,10.9,3.35,3,12,5.0,63.4,144,109,5.9,270,93.4,9,106,,,,60.5,83.7,87.0,77.8,60.0,85.2,,1,7,285,13.8,92.9,5.6,15,28,0,8,9,8,2.8,2048,9.0,73.0,185,196,9.6,3.11,2,12,5.8,63.8,125,88,7.4,230,79.6,10,85,,,,55.1,83.3,86.6,77.3,,85.7,,1,6,241,14.8,89.8,5.7,13,18,0,8,8,7,2.9,1586,8.1,68.9,45,46,11.7,3.7,1,0,0.0,67.4,31,21,0.0,59,20.4,0,24,,,,81.9,72.1,78.9,68.3,60.0,72.2,,0,1,64,9.5,110.3,3.4,2,11,0,0,2,1,1.6,515,11.2,0,86.7,15,15,-2.5,1.55,0,0,0.0,80.0,12,0,7.7,19,6.6,1,3,,,,75.1,62.1,74.7,57.9,,64.4,,0,0,20,,103.6,0.0,0,1,0,0,1,0,0.0,53,3.5,3.11
Kirk Cousins,7102,QB,ATL,8,-9.7,0,288,2,74.8,226,247,8.9,2.62,6,6,2.3,65.6,162,100,4.1,263,91.3,7,93,,,,39.1,75.9,86.8,74.2,58.9,65.0,,1,7,283,14.0,97.9,5.3,14,2,3,11,14,14,4.9,2019,8.2,77.1,218,231,7.5,2.41,4,5,2.0,69.7,161,86,4.2,247,85.8,7,87,,,,36.7,74.2,86.7,72.5,,65.0,,1,7,269,15.1,101.3,5.3,13,2,3,5,14,13,4.8,1859,8.0,78.1,32,40,9.4,3.16,2,1,2.4,60.0,24,15,4.0,41,14.2,1,10,,,,79.6,77.2,77.6,76.1,58.9,,,0,0,44,6.7,77.8,2.4,1,0,0,6,0,1,2.3,247,6.2,0,100.0,24,24,-3.6,1.45,0,0,0.0,95.8,23,1,4.2,25,8.7,1,4,,,,77.4,70.1,76.1,69.2,,,,0,0,30,0.0,81.8,0.0,0,0,0,0,0,0,0.0,87,3.6,-1.87
Dak Prescott,10769,QB,DAL,7,9.99,0,286,9,67.8,227,242,9.7,2.69,5,12,4.6,60.7,147,87,4.5,264,92.3,7,75,,,,49.0,65.1,86.3,63.9,,60.8,,4,8,288,20.7,80.8,6.8,18,3,1,5,9,16,5.6,1710,7.1,68.9,206,219,9.1,2.58,5,11,4.6,62.1,136,73,4.2,239,83.6,6,70,,,,44.9,62.7,86.1,62.0,,56.8,,4,8,261,21.9,81.6,6.7,16,2,1,3,9,15,5.7,1539,7.0,78.0,41,43,6.3,2.83,0,1,2.1,72.1,31,16,3.1,47,16.4,1,11,,,,80.5,73.5,78.0,71.9,,63.5,,0,0,51,12.5,99.6,4.3,2,2,0,2,1,1,2.0,306,7.1,0,100.0,20,20,-3.4,1.76,0,0,0.0,100.0,20,2,0.0,22,7.7,0,6,,,,76.1,65.8,75.3,66.8,,58.3,,0,0,24,0.0,111.5,0.0,0,1,0,0,1,0,0.0,135,6.8,0.09
