player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
C.J. Stroud,129759,QB,HST,9,350,70.7,82,89,5.8,2.6,1,3,3.0,62.9,56,54,3.4,110,31.4,2,40,,86.2,73.3,81.3,73.9,60.0,49.7,4,1,120,31.5,91.2,15.5,17,4,0,2,4,0,0.0,563,6.3,0,13,62.6,75.1,74.3,61.8,72.0,193,207,9.6,3.18,1,13,6.0,63.8,132,82,5.0,240,68.6,7,78,,57.8,73.9,84.1,71.4,57.4,71.9,2,3,253,14.6,92.2,5.0,12,20,1,10,7,8,3.2,1576,7.6,75.3,194,201,7.3,2.61,2,7,3.3,69.7,140,0,4.1,214,61.1,6,83,,90.2,81.0,83.7,80.0,55.7,61.8,0,4,226,,97.3,0.0,0,12,1,4,9,4,1.8,1471,7.3,2,63.0,81,95,11.1,3.59,0,9,8.6,50.5,48,136,5.9,136,38.9,3,35,,36.7,62.9,82.0,60.7,,68.8,6,0,147,21.3,80.5,21.3,29,12,0,8,2,4,2.7,668,7.0
Aaron Rodgers,2241,QB,NYJ,9,344,75.3,97,107,6.5,2.37,1,5,4.5,62.6,67,38,8.2,119,34.6,6,34,,60.3,72.4,81.3,70.5,,64.4,3,1,124,28.9,92.8,9.2,11,1,0,6,6,2,1.6,609,5.7,0,22,83.6,79.6,78.3,69.3,74.0,196,209,8.0,2.61,7,13,5.9,62.2,130,52,10.3,225,65.4,15,73,,90.3,80.4,83.9,78.7,,63.8,2,6,239,17.3,86.2,4.0,9,7,0,4,9,4,1.7,1498,7.2,76.3,245,251,7.0,2.22,6,13,5.0,66.9,168,0,10.2,254,73.8,19,83,,90.4,83.0,84.2,80.9,,63.1,0,7,263,,87.8,0.0,0,3,0,0,11,4,1.5,1624,6.5,5,64.6,48,65,10.1,3.37,2,5,6.8,44.6,29,90,6.5,90,26.2,2,24,,54.1,66.0,80.5,64.2,,66.9,5,0,100,22.2,90.7,22.2,20,5,0,10,4,2,2.0,483,7.4
Geno Smith,7820,QB,SEA,8,343,80.7,88,95,7.6,2.58,2,5,4.5,72.6,69,48,2.8,107,31.2,2,48,,86.4,82.2,81.3,78.9,,73.4,0,3,124,16.7,94.9,7.5,8,4,0,5,3,3,2.4,797,8.4,1,29,77.7,78.7,77.2,70.8,75.4,199,213,7.5,2.77,3,6,2.6,67.1,143,87,4.7,236,68.8,7,73,,81.4,74.7,45.0,72.3,58.9,77.2,2,4,254,14.9,85.4,5.5,13,10,2,7,5,5,2.0,1400,6.6,84.1,195,200,6.5,2.36,2,6,2.8,78.5,157,0,4.3,208,60.6,7,82,,79.5,87.8,83.7,84.0,,78.2,0,0,226,,106.0,0.0,0,8,2,1,4,2,0.9,1570,7.9,7,62.0,92,108,9.8,3.25,3,5,4.0,50.9,55,135,3.5,135,39.4,2,39,,87.9,63.2,22.3,61.8,58.9,72.5,2,7,152,15.6,54.1,15.6,21,6,0,11,4,6,3.9,627,5.8
Baker Mayfield,46518,QB,TB,8,327,84.3,83,88,5.8,2.68,4,3,3.3,77.3,68,30,2.9,105,32.1,2,47,,85.5,86.6,80.9,82.0,,80.9,0,1,109,40.0,125.5,11.4,12,4,0,1,7,2,1.8,786,8.9,0,30,46.7,77.0,74.7,73.5,76.3,186,196,7.3,2.68,2,9,4.4,68.4,134,49,5.6,222,67.9,8,77,,42.3,69.1,41.9,67.4,,69.9,4,8,235,16.3,95.7,3.6,8,16,1,3,14,12,5.1,1403,7.2,79.2,231,240,6.6,2.34,6,9,3.6,72.5,174,0,4.9,248,75.8,9,104,,90.4,79.9,45.8,77.8,,72.8,0,8,261,,109.0,0.0,0,6,1,2,20,10,3.8,1878,7.8,2,76.3,38,44,8.1,3.75,0,3,6.7,63.6,28,79,3.4,79,24.2,1,20,,22.7,63.8,79.8,57.8,,73.6,4,1,83,25.3,82.7,25.3,20,14,0,2,1,4,4.8,311,7.1
Daniel Jones,39395,QB,NYG,8,318,73.5,83,92,6.9,2.51,3,3,2.9,57.6,53,45,13.1,102,32.1,8,24,,85.8,54.3,81.0,55.1,,54.5,1,1,113,13.3,83.9,5.9,6,2,0,5,4,3,2.7,526,5.7,0,21,75.1,66.1,62.9,73.0,78.7,169,186,7.7,2.84,1,3,1.5,65.1,121,78,9.0,216,67.9,12,62,,59.1,67.1,83.7,66.9,59.9,57.6,2,4,227,24.4,77.4,8.8,19,10,3,11,2,6,2.6,1180,6.3,82.7,179,187,6.6,2.33,2,4,2.0,71.1,133,0,10.1,195,61.3,15,70,,90.0,81.2,83.4,79.6,,61.5,0,3,209,,90.5,0.0,0,5,3,3,4,3,1.4,1290,6.9,4,63.0,73,91,9.5,3.38,2,2,2.0,45.1,41,123,10.9,123,38.7,5,16,,38.9,33.6,81.5,35.3,59.9,52.2,3,2,131,20.3,56.8,20.3,25,7,0,13,2,6,4.6,416,4.6
Bo Nix,97790,QB,DEN,8,302,69.2,91,100,9.5,3.01,5,4,3.6,58.0,58,42,7.9,109,36.1,5,30,,86.1,63.9,81.2,61.3,,73.5,1,1,120,7.1,82.5,2.8,3,6,0,3,3,3,2.5,630,6.3,0,10,91.0,66.5,64.0,73.0,76.0,150,161,8.0,3.18,2,6,3.6,66.5,107,53,6.1,193,63.9,7,51,,90.0,67.0,83.2,64.9,60.0,68.0,3,4,202,15.1,80.8,4.1,8,21,1,5,5,3,1.5,900,5.6,79.9,184,191,7.8,2.74,5,9,4.5,71.2,136,0,7.5,207,68.5,11,63,,90.1,79.5,83.5,79.4,60.0,55.9,0,3,218,,92.9,0.0,0,14,1,1,6,3,1.4,1261,6.6,6,52.6,57,70,10.9,3.94,2,1,1.3,41.4,29,95,3.3,95,31.5,1,18,,85.1,40.5,80.7,31.5,,83.3,4,2,104,11.6,50.2,11.6,11,13,0,7,2,3,2.9,269,3.8
Joe Burrow,28022,QB,CIN,8,296,81.5,65,71,8.1,2.4,1,3,4.0,73.2,52,25,1.9,82,27.7,1,38,,49.9,83.3,80.0,80.0,,71.9,0,1,86,28.0,125.3,8.5,7,4,0,5,6,1,1.2,679,9.6,0,7,56.1,88.9,88.3,61.3,78.5,181,192,7.4,2.76,2,9,4.5,69.3,133,62,6.3,214,72.3,9,70,,74.0,88.6,42.5,86.5,,69.5,3,2,224,19.4,99.6,5.6,12,8,0,6,9,3,1.3,1314,6.8,79.9,199,203,6.4,2.3,2,7,3.3,73.9,150,0,5.7,209,70.6,9,80,,90.1,91.1,83.5,89.3,,77.8,0,2,217,,108.3,0.0,0,5,0,2,12,2,0.9,1414,7.0,4,76.6,47,60,12.3,3.53,1,5,7.9,58.3,35,87,2.8,87,29.4,1,28,,28.1,74.3,0.0,74.0,,65.2,3,1,93,21.8,100.6,21.8,19,7,0,9,3,2,2.2,579,9.7
Brock Purdy,77672,QB,SF,8,289,69.5,82,86,10.3,3.05,1,6,6.5,62.8,54,43,5.3,100,34.6,3,36,,85.3,67.3,80.8,66.5,,60.9,1,4,106,20.9,86.1,9.0,9,4,0,2,4,4,3.8,734,8.5,0,28,62.6,83.2,77.0,86.4,73.6,148,156,9.8,3.32,2,6,3.6,65.4,102,66,6.4,189,65.4,7,73,,45.1,86.0,83.2,79.9,60.0,85.6,0,3,199,9.1,97.9,3.2,6,25,0,6,6,4,2.0,1367,8.8,74.7,162,165,10.1,2.71,2,7,4.0,69.1,114,0,5.8,180,62.3,7,73,,43.2,86.2,83.0,81.4,,84.8,0,4,189,,98.0,1.1,2,10,0,1,4,6,3.2,1599,9.7,0,66.2,68,77,9.7,4.09,1,5,6.0,54.5,42,109,6.7,109,37.7,3,36,,85.9,67.4,81.1,62.9,60.0,73.8,1,3,116,11.9,84.4,11.9,13,19,0,7,6,2,1.7,502,6.5
Kirk Cousins,7102,QB,ATL,8,288,68.5,73,81,8.2,2.33,1,1,1.1,60.5,49,32,2.0,86,29.9,1,27,,53.4,64.7,80.3,63.0,58.9,65.9,0,1,94,9.4,85.9,3.5,3,1,0,7,2,3,3.2,590,7.3,0,2,43.6,76.4,74.7,65.0,80.8,177,190,7.5,2.6,5,5,2.4,71.6,136,69,4.9,202,70.1,7,70,,39.3,78.9,83.5,77.7,,55.7,1,6,219,15.9,102.9,5.4,11,1,3,4,12,11,5.0,1516,8.0,77.2,180,186,6.9,2.33,3,3,1.5,72.0,134,0,3.6,187,64.9,5,69,,90.0,82.9,83.3,80.9,,,0,1,204,,110.3,0.0,0,0,3,0,10,6,2.9,1453,7.8,1,77.1,70,85,9.9,2.87,3,3,3.3,60.0,51,101,5.6,101,35.1,3,28,,21.9,58.5,80.9,58.1,58.9,63.0,1,6,109,13.9,70.4,13.9,14,2,0,11,4,8,7.3,653,7.7
Dak Prescott,10769,QB,DAL,7,286,64.0,50,56,11.7,2.35,4,5,8.1,55.4,31,20,3.1,59,20.6,1,18,,82.0,75.3,79.0,73.9,,,2,1,66,15.0,98.1,5.1,3,0,0,0,4,2,3.0,451,8.1,0,9,52.2,65.5,64.6,59.2,72.1,197,206,7.8,2.69,1,7,3.2,66.0,136,69,4.2,227,79.4,6,63,,41.0,59.8,84.0,59.9,,56.3,2,7,246,21.7,80.8,6.6,15,4,1,5,6,14,5.7,1394,6.8,72.2,187,193,8.7,2.37,5,9,4.5,67.4,130,0,3.7,197,68.9,5,62,,68.3,75.8,83.3,75.1,,51.6,0,6,204,,88.0,0.5,1,2,1,0,7,10,4.9,1418,7.3,2,65.0,60,69,8.5,3.18,0,3,3.6,53.6,37,89,5.1,89,31.1,2,19,,29.5,44.0,80.8,44.1,,63.5,4,2,108,19.1,75.0,19.1,17,2,0,5,3,6,5.6,427,6.2
