player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,DI,MIA,7,4,1.7,0,0,17,61.4,86.4,85.3,77.4,78.7,39.2,13.6,3,0,93,95,11.8,11,15
Brandon Graham,5538,ED,PHI,7,3,1.0,0,1,24,74.4,83.6,51.0,70.4,82.6,78.7,0.0,0,1,81,85,6.2,5,7
Jerry Hughes,5556,ED,HST,4,1,,0,0,13,60.1,42.5,80.3,50.0,43.4,69.6,0.0,0,0,19,20,0.0,0,0
Linval Joseph,5571,DI,DAL,7,3,9.3,0,0,9,69.1,47.7,44.1,89.4,29.8,50.2,12.5,1,1,76,77,1.3,1,4
Von Miller,6154,ED,BUF,4,0,4.0,0,0,4,63.2,77.7,80.8,76.3,56.6,75.0,0.0,0,0,19,19,5.3,1,1
Cameron Jordan,6176,ED,NO,8,3,1.0,0,0,20,64.5,47.8,85.9,49.8,44.7,45.3,20.0,1,0,86,89,1.2,1,1
Cameron Heyward,6183,DI,PIT,8,3,2.8,0,0,25,60.0,91.0,83.6,87.9,84.4,78.1,0.0,0,0,130,133,14.6,19,24
Lawrence Guy Sr.,6385,DI,CIN,4,2,,0,0,7,,51.1,80.2,52.5,52.7,25.2,33.3,1,0,48,49,0.0,0,0
Nick Bellore,6515,LB,WAS,2,0,,0,0,32,79.4,90.2,68.9,,63.2,73.2,,0,0,3,3,0.0,0,0
Stephon Gilmore,7016,CB,MIN,7,0,4.8,0,1,18,58.8,62.4,84.6,,77.6,68.6,33.3,2,2,126,131,0.8,1,4
Bobby Wagner,7050,LB,WAS,8,13,4.2,0,0,32,56.3,83.7,82.6,85.5,91.5,82.5,4.3,2,0,192,195,8.9,17,32
Lavonte David,7060,LB,TB,8,3,3.2,0,1,30,54.4,65.0,82.9,77.3,70.0,40.0,14.8,4,1,176,183,8.0,14,20
Demario Davis,7079,LB,NO,7,13,3.8,0,0,20,61.0,61.6,83.2,52.2,62.7,46.4,13.9,5,0,169,175,7.1,12,18
Rodney McLeod,7271,S,CLV,8,4,5.6,0,0,8,52.0,53.4,81.2,53.0,60.0,63.9,14.3,2,0,129,131,2.3,3,8
Harrison Smith,7641,S,MIN,7,0,7.7,0,0,18,59.2,62.5,87.1,61.7,67.9,67.6,16.7,2,0,139,144,2.9,4,10
Darius Slay,7817,CB,PHI,7,3,7.7,1,1,24,72.2,70.3,34.1,,62.7,67.3,10.0,1,1,126,132,2.4,3,6
Johnathan Hankins,7830,DI,SEA,8,4,2.6,0,0,29,60.0,41.3,58.7,53.5,40.8,29.6,16.7,4,1,145,150,6.9,10,16
Tyrann Mathieu,7850,S,NO,8,5,7.2,0,1,20,61.8,62.7,84.2,52.4,63.2,52.2,25.0,5,0,147,154,2.0,3,10
John Jenkins,7863,DI,LV,8,8,2.9,0,0,23,,52.7,84.5,57.2,50.6,47.1,11.5,3,0,157,162,6.4,10,15
William Gholston,7908,DI,TB,8,3,1.0,0,0,30,66.6,64.6,38.1,70.3,52.9,72.7,0.0,0,1,61,62,0.0,0,1
Jordan Poyer,8000,S,MIA,6,3,7.3,0,0,17,48.9,46.1,0.0,61.0,55.1,59.4,10.0,2,2,141,148,3.5,5,15
Jadeveon Clowney,8636,ED,CAR,6,6,2.1,0,0,5,49.4,60.6,62.9,54.0,71.9,55.6,0.0,0,1,112,118,8.0,9,11
Khalil Mack,8640,ED,LAC,7,1,2.2,0,1,27,84.0,91.5,68.7,79.6,91.8,48.9,21.4,3,1,112,113,6.3,7,10
C.J. Mosley,8652,LB,NYJ,4,2,3.3,0,0,22,61.0,74.7,78.7,38.7,81.6,57.0,16.7,2,0,61,63,8.2,5,8
Jimmie Ward,8665,S,HST,4,2,4.7,0,0,13,58.6,64.0,80.1,56.5,75.3,89.9,0.0,0,0,71,72,1.4,1,6
DeMarcus Lawrence,8669,ED,DAL,4,4,2.9,0,0,9,60.3,56.8,53.1,53.9,62.4,27.9,20.0,3,1,73,75,5.5,4,8
