player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Calais Campbell,4364,DI,MIA,11,10,0,17,0,,,7.0,,,0,0,,61.7,0,,,0,0,0.0,0,5,50.0,71,0,0,0,0,0,0,0.0,,0,0,,,2.6,,,0,0,,61.3,0,,50.0,2,0,0.0,0,4,40.0,155,5,2,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,11,15,0,24,0,,,3.5,,,0,0,,63.4,0,,,0,0,0.0,0,2,13.3,57,0,0,0,0,0,0,0.0,,0,0,-3.0,100.0,12.6,12.0,12.0,0,0,0.0,47.4,0,5,75.0,3,0,87.5,1,12,80.0,95,4,1,1,0,5,8,0.4,5.0
Jerry Hughes,5556,ED,HST,6,3,0,13,0,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,9,0,1,0,0,0,0,,,0,0,,,10.7,,,0,0,,60.5,0,,,0,0,0.0,0,3,100.0,28,0,0,0,0,0,0,0.0,
Von Miller,6154,ED,BUF,7,4,0,4,0,,,3.7,,,0,0,,60.6,0,,0.0,0,0,0.0,0,1,25.0,27,0,1,0,0,0,0,0.0,,0,0,,,2.9,,,0,0,,61.7,0,,,0,0,0.0,0,2,50.0,69,3,0,0,0,0,0,0.0,
Cameron Jordan,6176,ED,NO,11,6,0,20,0,,,5.6,,,0,0,,61.9,0,,,0,0,0.0,0,3,50.0,54,0,0,0,0,0,0,0.0,,0,2,,,2.4,,,0,0,,66.2,1,,16.7,1,0,0.0,0,3,50.0,127,2,3,0,0,0,0,0.0,
Nick Bellore,6515,LB,WAS,3,3,0,32,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,-3.5,100.0,100.0,1.5,1.5,0,0,0.0,79.4,0,2,0.0,0,0,79.2,2,3,100.0,3,1,1,2,0,-4,3,-1.3,-2.0
Stephon Gilmore,7016,CB,MIN,11,445,0,18,0,11.7,41.7,100.0,14.4,6.0,0,1,8.3,46.2,0,25,0.0,0,1,62.5,5,76,17.1,76,0,3,12,0,74,29,1.0,14.8,0,7,7.0,75.0,100.0,10.0,7.5,0,4,10.0,68.0,0,22,12.1,4,4,90.3,30,317,71.2,317,11,22,40,0,247,91,0.8,8.2
Bobby Wagner,7050,LB,WAS,12,353,0,32,1,1.3,50.0,77.9,30.7,15.3,0,0,0.0,68.5,0,13,0.0,0,0,58.3,3,102,28.9,131,3,5,6,0,21,12,0.2,7.0,0,2,4.6,76.5,86.1,14.5,11.1,0,1,5.9,55.7,0,32,7.1,1,1,104.8,13,199,56.4,231,7,11,17,0,159,117,0.8,12.2
Lavonte David,7060,LB,TB,11,400,0,30,0,8.7,50.0,80.8,17.0,8.5,0,1,16.7,41.9,0,30,0.0,0,1,79.2,3,59,14.8,73,1,1,6,0,51,24,1.0,17.0,0,7,3.5,87.5,84.5,7.0,6.1,0,2,4.2,66.1,1,49,20.5,8,2,100.1,42,306,76.5,362,12,24,48,1,405,264,1.4,9.6
Demario Davis,7079,LB,NO,10,377,0,20,0,-0.3,71.4,72.8,15.4,11.0,0,0,0.0,39.7,0,15,33.3,1,0,97.3,5,83,22.0,114,2,2,7,0,60,75,0.8,12.0,0,8,5.1,85.0,98.0,13.5,11.5,0,1,5.0,73.8,0,23,12.0,3,1,103.5,17,242,64.2,247,7,14,20,0,177,91,0.8,10.4
Rodney McLeod,7271,S,CLV,11,217,0,8,1,5.7,55.6,100.0,14.4,8.0,0,1,11.1,48.3,0,17,0.0,0,1,68.8,5,78,35.9,78,1,5,9,0,44,28,0.6,8.8,0,0,9.0,53.8,95.8,15.6,8.4,0,2,15.4,41.8,0,14,30.0,3,2,61.4,7,114,52.5,119,2,7,13,0,45,47,0.4,6.4
Harrison Smith,7641,S,MIN,11,440,0,18,0,3.0,0.0,79.5,,58.0,0,1,100.0,61.0,0,,66.7,2,1,39.6,0,62,14.1,78,1,1,1,0,0,0,0.0,,0,7,11.0,72.7,94.2,12.9,9.4,0,1,3.0,59.9,1,42,8.3,3,1,111.0,24,327,74.3,347,6,26,33,2,323,156,1.0,13.5
Darius Slay,7817,CB,PHI,10,305,0,24,0,6.8,66.7,100.0,12.0,8.0,0,2,22.2,69.4,0,10,0.0,0,1,113.7,6,81,26.6,81,2,5,9,1,41,14,0.6,6.8,0,1,13.4,60.0,100.0,13.1,7.9,0,5,25.0,62.6,0,41,14.3,2,5,100.6,12,164,53.8,164,4,11,20,1,153,40,1.0,12.8
Tyrann Mathieu,7850,S,NO,11,393,0,20,0,4.5,100.0,96.5,25.8,25.8,1,1,25.0,50.3,1,50,37.5,3,1,79.2,4,110,28.0,114,1,5,4,0,112,94,1.1,28.0,0,0,18.5,70.0,97.9,31.7,22.2,0,1,10.0,57.3,1,45,15.0,3,0,72.9,7,236,60.1,241,3,17,10,0,156,27,0.7,22.3
John Jenkins,7863,DI,LV,11,1,0,23,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,47,1,0,0,0,0,0,,,0,0,,,0.9,,,0,0,,60.0,0,,,0,0,0.0,0,1,100.0,112,0,0,0,0,0,0,0.0,
Jordan Poyer,8000,S,MIA,10,368,0,17,1,8.3,55.6,96.6,15.6,8.7,0,0,0.0,49.2,0,23,20.0,1,0,116.9,5,84,22.8,87,0,3,9,1,68,45,0.9,13.6,0,6,11.1,78.6,98.3,20.2,15.9,1,2,14.3,64.1,0,27,5.0,1,2,133.3,11,233,63.3,237,4,13,14,1,144,53,0.6,13.1
Tony Jefferson,8361,S,LAC,1,7,0,27,0,,,100.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,14.3,1,0,0,0,0,0,0,0.0,,0,0,,,100.0,,,0,0,,60.2,0,,,0,0,0.0,0,5,71.4,5,0,0,0,0,0,0,0.0,
Jadeveon Clowney,8636,ED,CAR,9,27,0,5,0,7.0,100.0,3.6,2.0,2.0,0,0,0.0,59.6,0,15,33.3,1,0,118.8,1,2,7.4,56,2,2,1,0,15,8,7.5,15.0,0,1,4.0,100.0,11.9,16.0,16.0,0,0,0.0,59.2,0,15,40.0,2,0,118.8,1,19,70.4,159,4,2,1,0,15,11,0.9,15.0
Khalil Mack,8640,ED,LAC,10,12,0,27,0,,,4.3,,,0,0,,72.1,0,,100.0,1,0,0.0,0,2,16.7,47,0,0,0,0,0,0,0.0,,0,1,5.0,100.0,5.8,10.0,10.0,0,0,0.0,75.9,0,11,0.0,0,0,112.5,1,10,83.3,171,2,2,1,0,11,6,1.1,11.0
C.J. Mosley,8652,LB,NYJ,4,44,0,22,0,,,78.6,,,0,0,,52.5,0,,,0,0,0.0,0,11,25.0,14,0,0,0,0,0,0,0.0,,0,1,5.3,100.0,100.0,7.0,7.0,0,0,0.0,64.1,0,15,14.3,1,0,103.1,4,29,65.9,29,1,5,4,0,35,14,1.3,8.8
Jimmie Ward,8665,S,HST,7,192,0,13,1,7.7,0.0,97.6,,12.3,0,0,0.0,75.4,0,,0.0,0,0,39.6,0,41,21.4,42,1,1,3,0,0,0,0.0,,0,2,12.1,73.3,99.1,9.5,7.0,0,1,6.7,64.7,2,63,0.0,0,1,115.3,11,111,57.8,112,1,8,15,2,227,64,2.2,20.6
DeMarcus Lawrence,8669,ED,DAL,4,3,0,9,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,17,1,0,0,0,0,0,,,0,0,,,5.0,,,0,0,,60.3,0,,100.0,2,0,0.0,0,3,100.0,60,1,0,0,0,0,0,0.0,
Kyle Van Noy,8675,ED,BLT,12,40,0,3,0,6.0,100.0,10.6,12.0,12.0,0,0,0.0,49.8,0,24,,0,0,118.8,1,14,35.0,132,2,0,1,0,24,18,2.0,24.0,0,1,8.5,100.0,14.6,6.3,6.3,0,0,0.0,64.5,0,26,12.5,1,0,115.6,4,26,65.0,178,6,6,4,0,47,13,1.9,11.8
Brent Urban,8769,ED,BLT,7,2,0,3,1,,,0.0,,,0,0,,60.0,0,,0.0,0,0,0.0,0,0,0.0,12,0,0,0,0,0,0,,,0,1,,,2.4,,,0,0,,61.9,0,,0.0,0,0,0.0,0,1,50.0,42,0,0,0,0,0,0,0.0,
Shelby Harris,8869,DI,CLV,11,5,0,8,0,,,1.2,,,0,0,,60.0,0,,,0,0,0.0,0,1,20.0,82,0,0,0,0,0,0,0.0,,0,1,,,3.5,,,0,0,,61.2,0,,25.0,1,0,0.0,0,4,80.0,113,3,2,0,0,0,0,0.0,
C.J. Goodwin,9243,CB,DAL,2,1,0,9,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,60.2,0,,,0,0,0.0,0,1,100.0,1,0,0,0,0,0,0,0.0,
Mike Pennel,9316,DI,KC,11,5,0,16,0,,,0.0,,,0,0,,60.0,0,,,0,0,0.0,0,0,0.0,34,0,0,0,0,0,0,,,0,0,,,8.9,,,0,0,,56.9,0,,,0,0,0.0,0,5,100.0,56,2,0,0,0,0,0,0.0,
Dante Fowler Jr.,9436,ED,WAS,12,16,0,32,0,,,7.0,,,0,0,,92.1,1,,,0,0,0.0,0,6,37.5,86,2,0,0,0,0,0,0.0,,0,0,0.8,100.0,8.8,2.5,2.5,0,0,0.0,29.5,0,9,33.3,1,0,102.1,4,10,62.5,114,6,2,4,0,34,31,3.4,8.5
Leonard Williams,9439,DI,SEA,10,6,0,29,0,,,4.2,,,0,0,,60.0,0,,0.0,0,0,0.0,0,4,66.7,96,0,1,0,0,0,0,0.0,,0,0,,,1.4,,,0,0,,60.6,0,,100.0,2,0,0.0,0,2,33.3,140,3,0,0,0,0,0,0.0,
Arik Armstead,9450,ED,JAX,11,2,0,15,0,,,1.4,,,0,0,,58.1,0,,50.0,1,0,0.0,0,1,50.0,72,1,1,0,0,0,0,0.0,,0,0,,,0.7,,,0,0,,63.2,0,,0.0,0,0,0.0,0,1,50.0,140,3,3,0,0,0,0,0.0,
Bud Dupree,9455,ED,LAC,11,9,0,27,0,,,3.4,,,0,0,,62.4,0,,,0,0,0.0,0,2,22.2,58,0,0,0,0,0,0,0.0,,0,0,-1.5,100.0,3.8,3.5,3.5,0,0,0.0,76.8,1,9,20.0,1,0,58.3,2,7,77.8,186,7,4,2,0,15,18,2.1,7.5
Shaq Thompson,9458,LB,CAR,4,116,0,5,0,1.0,100.0,62.5,4.3,4.3,0,0,0.0,51.1,0,9,50.0,1,0,86.1,3,15,12.9,24,0,1,3,0,14,11,1.1,4.7,0,1,1.6,90.0,93.5,8.9,8.0,0,0,0.0,69.6,0,21,25.0,2,0,94.6,9,86,74.1,92,3,5,10,0,67,53,0.8,7.4
Preston Smith,9471,ED,PIT,12,22,0,25,0,,,1.5,,,0,0,,61.3,0,,0.0,0,0,0.0,0,1,4.5,67,1,1,0,0,0,0,0.0,,0,0,4.5,75.0,16.2,6.7,5.0,0,0,0.0,68.2,0,20,20.0,1,0,100.0,3,21,95.5,130,4,4,4,0,34,18,1.7,11.3
Eric Kendricks,9478,LB,DAL,10,294,0,9,3,6.6,60.0,78.3,21.3,12.8,0,0,0.0,56.3,0,57,25.0,1,0,143.8,3,65,22.1,83,0,0,5,1,133,105,2.1,44.3,0,5,4.8,61.1,91.7,15.9,9.7,0,0,0.0,59.0,1,16,16.7,4,0,53.2,11,189,64.3,206,6,15,18,0,101,62,0.6,9.2
Denzel Perryman,9481,LB,LAC,10,162,0,27,0,,,66.7,,,0,0,,79.9,0,,,0,0,0.0,0,14,8.6,21,1,0,0,0,0,0,0.0,,0,1,5.2,92.3,90.9,9.7,8.9,0,0,0.0,60.5,0,23,15.0,3,0,98.1,12,120,74.1,132,8,16,13,0,98,48,0.8,8.2
Ronald Darby,9483,CB,JAX,11,370,0,15,0,11.3,76.9,100.0,6.0,4.6,0,2,7.7,38.1,0,80,0.0,0,0,150.0,20,130,35.1,130,3,14,26,4,276,88,2.3,13.8,0,1,9.1,76.0,99.5,9.3,7.1,0,4,16.0,62.3,0,46,11.1,2,2,123.1,19,193,52.2,194,1,15,25,1,266,113,1.5,14.0
Jordan Hicks,9517,LB,CLV,7,154,0,8,1,6.3,66.7,75.0,21.0,14.0,0,0,0.0,45.0,0,14,0.0,0,0,89.6,2,45,29.2,60,0,1,3,0,23,20,0.5,11.5,0,1,6.3,81.8,89.0,10.1,8.3,0,1,9.1,50.9,0,19,0.0,0,1,106.8,9,97,63.0,109,5,6,11,0,106,55,1.2,11.8
Danielle Hunter,9521,ED,HST,12,4,0,13,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,95,3,0,0,0,0,0,,,0,1,,,1.8,,,0,0,,67.9,0,,66.7,2,0,0.0,0,4,100.0,224,7,0,0,0,0,0,0.0,
Za'Darius Smith,9555,ED,DET,11,9,0,11,0,,,0.0,,,0,0,,60.0,0,,66.7,2,0,0.0,0,0,0.0,109,4,1,0,0,0,0,,,0,0,-1.0,100.0,6.2,7.0,7.0,0,0,0.0,53.6,0,12,60.0,3,0,116.7,1,8,88.9,130,2,2,1,0,12,13,1.7,12.0
Kwon Alexander,9557,LB,DEN,3,20,0,10,0,1.0,100.0,83.3,3.0,3.0,0,0,0.0,44.5,0,3,,0,0,118.8,1,5,25.0,6,0,0,1,1,3,2,1.0,3.0,0,0,,,100.0,,,0,0,,76.3,0,,0.0,0,0,0.0,0,13,65.0,13,0,1,0,0,0,0,0.0,
Grady Jarrett,9570,DI,ATL,11,4,0,2,1,,,3.9,,,0,0,,59.1,0,,50.0,1,0,0.0,0,2,50.0,51,1,0,0,0,0,0,0.0,,0,2,,,0.6,,,0,0,,62.7,0,,40.0,2,0,0.0,0,1,25.0,165,1,1,0,0,0,0,0.0,
Bobby McCain,9578,S,MIN,1,3,0,18,0,,,,,,0,0,,,0,,,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,,,0,0,,,100.0,,,0,0,,45.4,0,,,0,0,0.0,0,3,100.0,3,0,0,0,0,0,0,0.0,
Quandre Diggs,9633,S,TEN,8,237,0,31,0,15.3,75.0,97.1,21.3,16.0,0,0,0.0,47.0,0,12,0.0,0,0,133.3,3,66,27.8,68,1,6,4,1,28,9,0.4,9.3,0,1,3.7,88.9,100.0,15.9,14.1,0,0,0.0,72.5,0,30,6.7,1,0,140.3,8,135,57.0,135,7,13,9,1,79,52,0.6,9.9
Neville Hewitt,9836,LB,HST,7,133,0,13,0,-3.0,100.0,87.9,26.0,26.0,0,0,0.0,59.6,0,12,100.0,1,0,116.7,1,29,21.8,33,0,0,1,0,12,15,0.5,12.0,0,3,7.7,66.7,95.5,20.3,13.5,0,1,16.7,68.9,0,6,12.5,1,0,70.8,4,85,63.9,89,3,4,6,0,19,12,0.2,4.8
Troy Hill,9881,CB,TB,6,141,0,30,0,8.8,75.0,87.9,9.0,6.8,0,1,25.0,64.2,0,29,0.0,0,1,100.0,3,29,20.6,33,1,4,4,0,34,8,1.3,11.3,0,1,1.0,100.0,95.0,8.9,8.9,0,0,0.0,69.6,0,25,9.1,1,0,97.9,10,96,68.1,101,6,9,10,0,75,65,0.8,7.5
