player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Joe Burrow,28022,QB,CIN,13,-0.82,0,543,7,76.1,427,455,8.8,2.77,4,26,5.4,67.0,305,186,6.2,507,93.4,20,187,,,,,56.6,92.2,61.3,91.4,,69.6,,7,5,540,17.2,107.9,6.3,32,18,0,17,31,10,1.9,3470,7.6,76.9,373,394,7.9,2.57,2,20,4.8,68.5,270,146,5.9,436,80.3,17,166,,,,,59.9,92.3,73.5,91.5,,66.4,,6,5,465,17.1,110.2,5.7,25,14,0,13,30,6,1.3,2924,7.4,79.1,86,96,8.5,3.18,3,6,5.8,67.7,65,43,4.4,107,19.7,3,32,,,,,58.5,76.3,10.5,75.0,,68.0,,1,1,116,16.3,98.5,6.5,7,4,0,6,3,4,3.4,782,8.1,0,93.8,32,35,-3.1,1.55,1,0,0.0,85.7,30,3,0.0,36,6.6,0,11,,,,,79.2,65.8,77.3,66.3,,58.3,,0,1,41,0.0,101.9,0.0,0,0,0,2,2,0,0.0,236,6.7,0.73
Patrick Mahomes,11765,QB,KC,13,-1.55,0,536,16,75.2,363,398,8.4,3.01,3,16,3.8,65.1,259,174,5.1,465,86.8,14,171,,,,,87.8,86.4,89.0,80.6,,89.0,,6,11,498,19.5,91.5,7.3,34,32,2,24,20,11,2.2,2865,7.2,79.0,315,346,6.5,2.83,6,10,2.7,68.5,237,140,4.8,408,76.1,12,141,,,,,85.5,80.5,88.7,74.9,,86.0,,5,8,437,23.6,91.5,8.1,33,28,2,18,16,9,2.1,2209,6.4,76.6,107,118,7.5,2.77,1,6,4.8,66.9,79,35,3.7,128,23.9,3,51,,,,,87.0,84.2,81.6,80.5,,77.6,,1,3,134,5.7,93.2,1.6,2,4,0,9,4,3,2.2,980,8.3,0,98.3,59,66,-3.1,1.49,4,0,0.0,86.4,57,1,1.7,71,13.2,1,21,,,,,82.8,59.2,79.4,59.0,,,,0,0,73,100.0,87.1,1.4,1,0,0,3,0,1,1.4,324,4.9,1.93
Caleb Williams,144622,QB,CHI,13,-1.97,0,528,6,68.8,330,367,10.5,3.2,8,16,3.9,58.3,214,169,5.7,457,86.6,13,133,,,,,79.3,66.4,33.4,62.1,,81.0,,4,5,501,31.4,84.9,11.6,53,37,3,22,15,15,3.0,2317,6.3,72.6,328,363,8.5,2.87,8,12,3.0,62.5,227,140,4.6,436,82.6,11,118,,,,,78.2,67.0,32.0,63.1,,80.5,,2,3,478,32.1,88.4,10.3,45,28,3,22,14,12,2.5,2157,5.9,72.6,62,71,7.7,3.57,2,4,5.3,60.6,43,37,4.4,92,17.4,2,30,,,,,84.8,59.7,80.5,56.9,,68.7,,2,2,99,29.7,84.8,12.0,11,9,0,5,2,3,3.0,589,8.3,0,93.3,60,67,-3.1,1.65,2,0,0.0,83.6,56,8,0.0,71,13.4,0,15,,,,,83.1,60.7,79.5,60.3,,,,0,0,76,37.5,98.3,4.2,3,0,0,5,1,0,0.0,429,6.4,2.36
Geno Smith,7820,QB,SEA,13,-2.94,0,526,29,75.5,376,406,9.2,2.95,8,25,5.6,66.7,271,194,4.6,466,88.6,13,164,,,,,69.5,83.4,34.3,83.4,58.9,60.9,,3,11,510,20.6,89.6,8.6,40,20,2,17,14,12,2.4,3085,7.6,79.0,357,387,7.8,2.77,9,23,5.4,70.0,271,166,3.9,440,83.7,11,149,,,,,67.7,83.3,32.4,83.4,,61.6,,3,11,480,20.5,91.1,7.7,34,19,2,16,12,11,2.3,2990,7.7,74.7,75,79,7.0,3.14,1,2,2.3,67.1,53,34,5.4,86,16.3,3,28,,,,,84.4,71.2,80.3,70.7,58.9,58.3,,0,1,93,17.6,86.7,7.0,6,1,0,3,2,1,1.1,484,6.1,0,96.4,56,60,-2.4,1.86,2,0,0.0,88.3,53,6,1.9,60,11.4,1,13,,,,,81.8,68.3,78.8,67.5,,,,0,1,63,0.0,86.7,0.0,0,0,0,2,0,0,0.0,389,6.5,-1.6
C.J. Stroud,129759,QB,HST,13,10.67,0,504,13,69.1,349,375,10.1,3.13,3,20,5.0,59.7,224,186,7.1,448,88.9,17,155,,,,,70.5,76.0,75.3,75.3,57.4,60.2,,6,9,476,22.0,86.4,9.2,41,32,1,16,15,14,2.9,2809,7.5,70.0,297,319,8.3,2.84,4,14,4.1,60.5,193,146,7.2,375,74.4,15,112,,,,,65.2,72.6,73.7,72.0,60.0,57.6,,5,6,400,24.7,84.3,9.6,36,19,1,12,11,9,2.3,2154,6.8,78.8,104,111,8.4,3.36,1,6,5.2,71.2,79,41,3.7,129,25.6,3,53,,,,,87.0,76.9,81.7,76.0,57.4,64.0,,1,3,134,12.2,98.3,3.9,5,13,0,5,4,5,3.7,963,8.7,0,94.2,52,55,-3.7,1.74,2,0,0.0,87.3,48,1,2.0,56,11.1,1,10,,,,,81.3,65.6,78.6,65.2,60.0,,,0,0,58,0.0,90.0,0.0,0,0,0,1,0,0,0.0,308,5.6,1.93
Baker Mayfield,46518,QB,TB,13,7.91,0,500,30,75.0,344,363,8.8,2.88,9,16,4.2,66.4,241,119,6.6,425,85.0,17,157,,,,,32.0,76.2,59.8,74.5,,66.7,,5,12,451,26.9,97.2,7.5,32,29,1,4,24,20,4.4,2747,7.6,76.8,314,331,6.8,2.69,9,14,4.0,68.3,226,101,6.2,383,76.6,15,130,,,,,36.4,73.0,58.0,70.8,,69.0,,4,11,405,25.7,96.1,6.8,26,26,1,3,22,17,4.2,2290,6.9,83.2,101,105,6.3,2.74,1,2,1.8,76.2,80,21,4.8,117,23.4,4,53,,,,,60.3,78.7,81.3,78.4,,52.3,,1,2,124,28.6,117.9,5.1,6,3,0,2,6,3,2.4,1039,9.9,0,94.4,71,73,-3.3,1.68,1,0,0.0,89.0,65,3,3.0,75,15.0,2,26,,,,,83.2,69.3,79.6,68.5,,,,0,1,78,0.0,112.4,0.0,0,0,0,1,4,0,0.0,582,8.0,2.98
Aaron Rodgers,2241,QB,NYJ,13,1.76,0,500,22,71.2,371,396,8.8,2.71,6,21,5.0,59.6,236,130,10.6,437,87.4,28,141,,,,,75.8,77.7,29.6,76.4,,67.8,,6,8,461,23.8,86.8,7.1,31,10,0,13,18,10,2.2,2695,6.8,73.3,322,340,7.7,2.46,4,17,4.8,62.6,213,104,9.7,379,75.8,23,116,,,,,83.0,76.7,24.9,75.4,,67.8,,5,7,399,26.9,88.6,7.4,28,10,0,9,16,9,2.3,2216,6.5,78.5,107,118,5.9,2.88,4,4,3.2,64.4,76,31,9.5,121,24.2,8,39,,,,,61.3,73.6,81.5,72.3,,,,1,1,129,9.7,90.0,2.5,3,0,0,6,4,1,0.8,750,6.4,0,96.6,58,62,-2.4,1.54,2,0,0.0,85.5,53,5,5.4,63,12.6,3,14,,,,,82.2,69.7,79.0,68.8,,,,0,0,67,0.0,95.6,0.0,0,0,0,2,2,0,0.0,271,4.4,-0.16
Bo Nix,97790,QB,DEN,13,-0.88,0,493,10,71.0,338,371,10.6,3.24,11,15,3.8,59.8,222,144,7.5,424,86.0,18,131,,,,64.7,91.6,75.2,31.4,72.7,90.3,72.0,,4,8,451,13.2,83.9,4.5,19,34,1,17,14,9,2.0,2528,6.8,75.4,284,309,8.9,2.95,11,13,4.0,64.1,198,111,7.5,357,72.4,16,105,,,,,91.3,74.8,26.0,73.1,60.0,71.4,,2,4,379,15.3,89.7,4.8,17,27,1,11,11,7,1.8,2058,6.7,73.5,113,125,7.3,3.16,1,2,1.5,63.2,79,36,4.8,136,27.6,4,38,,,,64.7,71.7,67.4,82.0,64.9,90.6,63.6,,2,4,146,5.6,83.5,1.5,2,8,0,9,6,2,1.4,784,6.3,0,96.6,59,63,-4.3,1.62,1,0,0.0,87.3,55,3,3.5,69,14.0,2,12,,,,,56.9,61.9,79.4,62.1,,58.3,,0,0,74,0.0,103.3,0.0,0,1,0,3,3,0,0.0,314,5.0,-0.39
Matthew Stafford,4924,QB,LA,13,5.64,0,468,26,71.5,382,406,9.4,2.68,6,20,4.6,65.3,265,145,2.9,435,92.9,8,148,,,,,60.0,76.4,88.9,74.9,58.4,55.8,,6,7,467,19.3,95.4,6.4,28,1,1,11,17,15,3.2,3128,7.7,70.1,291,306,8.2,2.46,6,12,3.6,65.0,199,106,2.5,329,70.3,5,95,,,,,49.3,62.2,88.3,61.5,,50.0,,3,7,353,21.7,86.8,7.0,23,0,1,5,11,12,3.4,2064,6.7,80.5,123,133,8.6,2.95,1,8,5.6,70.7,94,40,5.1,139,29.7,5,62,,,,,87.7,93.3,82.0,92.0,58.4,65.6,,3,0,148,12.5,119.8,3.6,5,1,0,6,8,3,2.0,1239,9.3,0,93.8,32,33,-3.8,1.63,1,0,0.0,84.8,28,1,6.7,33,7.1,2,9,,,,,78.1,67.9,76.6,67.2,,,,0,0,34,0.0,109.0,0.0,0,0,0,0,2,0,0.0,175,5.3,2.57
Kirk Cousins,7102,QB,ATL,13,-7.78,0,464,2,73.7,354,392,9.5,2.65,14,12,2.9,64.0,251,146,3.8,418,90.1,10,148,,,,,39.0,73.8,88.9,71.4,58.9,71.5,,7,15,448,16.4,87.9,5.7,24,2,4,13,17,23,5.1,3193,8.1,76.4,347,373,7.8,2.41,10,9,2.2,68.1,254,125,4.2,400,86.2,11,136,,,,,36.9,73.8,88.8,71.4,,71.5,,7,13,431,18.4,92.3,5.8,23,2,4,5,17,20,4.6,2935,7.9,78.0,50,63,10.0,3.3,5,3,4.5,60.3,38,22,2.6,64,13.8,1,21,,,,,82.3,69.6,79.2,68.8,58.9,,,0,2,68,4.5,69.6,1.6,1,0,0,8,0,3,4.4,461,7.3,0,100.0,43,44,-3.6,1.44,1,0,0.0,93.2,41,1,4.7,46,9.9,2,9,,,,,80.4,70.7,78.0,69.8,,,,0,0,51,0.0,85.9,0.0,0,0,0,0,0,0,0.0,203,4.6,-0.55
