player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Joel Bitonio,8670,G,CLV,16,100.0,0,8,64.7,70.2,60.1,4,23,726,100.0,100.0,97.7,7,30,3,1119,0,1092,27,1119,774,774,0,0,345,0
Joe Thuney,10712,G,KC,16,100.0,0,16,79.7,81.9,73.1,6,19,662,100.0,100.0,98.1,1,25,0,1112,1,893,218,1112,707,707,0,0,405,0
Trey Smith,62960,G,KC,16,100.0,2,16,78.4,70.6,80.3,5,21,662,100.0,100.0,98.0,9,26,0,1112,0,0,0,1112,707,707,1112,0,405,0
Creed Humphrey,59996,C,KC,16,100.0,0,16,92.8,90.6,91.1,2,5,662,100.0,100.0,99.5,1,7,0,1112,1111,1,0,1112,707,707,0,0,405,0
Sam Cosmi,60114,G,WAS,16,100.0,1,32,67.6,73.4,65.6,4,17,615,100.0,100.0,98.1,10,22,1,1099,0,0,0,1099,658,658,1099,0,441,0
Jawaan Taylor,41665,T,KC,16,100.0,3,16,59.9,70.8,56.6,6,24,652,100.0,100.0,96.6,17,37,7,1092,0,0,0,1092,697,697,0,1089,395,3
Terence Steele,39461,T,DAL,16,100.0,0,9,67.1,58.5,77.4,6,22,650,100.0,100.0,96.5,6,37,9,1090,0,0,0,1090,706,706,0,1090,384,0
Nick Allegretti,39268,G,WAS,16,100.0,1,32,61.1,56.4,62.8,1,32,611,100.0,100.0,96.8,6,36,3,1088,0,1088,0,1088,654,654,0,0,434,0
Penei Sewell,81788,T,DET,16,99.9,1,11,87.5,72.9,90.9,5,22,561,99.8,99.8,97.4,5,28,1,1075,0,0,2,1076,581,582,0,1072,494,0
Aaron Brewer,46014,C,MIA,16,100.0,2,17,71.5,70.3,71.5,1,11,619,100.0,100.0,98.7,9,14,2,1069,1069,0,0,1069,663,663,0,0,406,0
Greg Van Roten,7746,G,NYG,16,100.0,0,21,66.1,66.3,64.6,4,22,641,100.0,100.0,96.9,4,33,7,1068,85,0,1,1068,698,698,982,0,370,0
Cam Jurgens,84014,C,PHI,16,100.0,2,24,67.1,56.5,68.5,1,20,488,100.0,100.0,97.0,6,25,4,1067,1067,0,0,1067,519,519,0,0,548,0
Cody Mauch,66637,G,TB,16,100.0,0,30,74.5,76.4,68.8,1,13,616,100.0,100.0,98.5,2,16,2,1064,0,0,0,1064,655,655,1063,0,409,1
Ted Karras,10855,C,CIN,16,100.0,1,7,62.4,77.2,52.0,6,14,674,100.0,100.0,98.2,2,22,2,1062,1062,0,0,1062,723,723,0,0,339,0
Ben Bredeson,27305,G,TB,16,100.0,0,30,56.2,60.0,53.6,3,26,616,100.0,100.0,97.3,5,31,2,1059,0,1058,0,1059,655,655,0,0,404,1
Coleman Shelton,39316,C,CHI,16,100.0,0,6,67.5,67.1,69.2,3,20,646,100.0,100.0,97.8,4,26,3,1059,1059,0,0,1059,706,706,0,0,353,0
Alex Cappa,66578,G,CIN,16,100.0,1,7,48.7,38.2,53.2,7,34,673,100.0,100.0,96.1,2,47,6,1058,0,0,0,1058,722,722,1058,0,336,0
Garrett Bradbury,46013,C,MIN,16,100.0,0,18,61.7,49.2,69.7,6,24,581,100.0,100.0,96.7,6,34,4,1052,1052,0,0,1052,629,629,0,0,423,0
Blake Brandel,46282,G,MIN,16,100.0,0,18,57.0,64.9,58.1,5,21,581,100.0,100.0,96.6,10,33,7,1052,0,1052,0,1052,629,629,0,0,423,0
Dan Moore Jr.,60120,T,PIT,16,100.0,1,25,69.8,68.8,64.2,3,24,540,100.0,100.0,95.6,5,37,10,1050,0,0,1049,1050,575,575,0,0,475,1
Jake Matthews,8641,T,ATL,16,100.0,2,2,77.9,85.4,67.0,4,18,549,100.0,100.0,97.1,8,27,5,1040,0,0,1039,1040,595,595,0,0,445,0
Laken Tomlinson,9461,G,SEA,16,100.0,2,29,61.2,64.6,58.8,8,23,641,100.0,100.0,96.6,5,37,6,1039,0,1039,0,1039,694,694,0,0,345,0
Charles Cross,98401,T,SEA,16,100.0,2,29,83.5,83.0,76.8,5,33,641,100.0,100.0,96.1,7,44,6,1039,0,0,1037,1039,694,694,0,2,345,0
Daniel Faalele,81734,G,BLT,16,100.0,1,3,60.4,64.7,58.0,2,27,504,100.0,100.0,96.9,6,30,1,1037,0,0,0,1037,542,542,1037,0,495,0
Brian O'Neill,46854,T,MIN,16,100.0,0,18,81.0,81.2,76.5,0,16,569,100.0,100.0,98.2,5,18,2,1035,0,0,0,1035,616,616,0,1031,419,4
Peter Skoronski,129737,G,TEN,16,100.0,1,31,61.3,76.1,56.0,6,18,585,100.0,100.0,97.4,8,27,3,1033,0,1033,0,1033,628,628,0,0,405,0
JC Latham,146596,T,TEN,16,99.9,0,31,61.1,67.5,56.3,10,26,584,99.8,99.8,95.7,10,43,7,1032,0,0,1027,1033,627,628,0,0,405,4
Matthew Bergeron,99658,G,ATL,16,100.0,3,2,66.9,66.5,68.5,9,21,533,100.0,100.0,96.6,11,33,3,1027,0,1026,0,1027,577,577,0,0,450,0
Quinn Meinerz,112915,G,DEN,16,100.0,1,10,86.1,80.1,84.1,4,6,611,100.0,100.0,99.0,4,11,1,1024,0,0,0,1024,647,647,1023,0,377,0
Tyler Linderbaum,82291,C,BLT,16,100.0,1,3,79.3,67.3,83.6,3,9,504,100.0,100.0,98.8,9,12,0,1024,1024,0,0,1024,542,542,0,0,482,0
Kolton Miller,47013,T,LV,16,100.0,2,23,79.9,81.7,71.4,6,22,628,100.0,100.0,96.7,7,35,7,1024,0,0,1023,1024,677,677,0,0,347,1
Kevin Dotson,46735,G,LA,16,100.0,0,26,81.3,65.6,83.0,6,14,549,100.0,100.0,97.6,2,23,3,1023,0,0,0,1023,587,587,1023,0,436,0
Ben Powers,41482,G,DEN,16,100.0,1,10,63.1,65.8,60.1,3,14,615,100.0,100.0,98.1,6,20,3,1023,0,1022,0,1023,651,651,0,0,372,0
Chris Lindstrom,46692,G,ATL,16,100.0,0,2,92.7,66.0,94.2,8,22,541,100.0,100.0,97.0,8,31,1,1020,0,0,0,1020,586,586,1020,0,434,0
Ronnie Stanley,10640,T,BLT,16,100.0,1,3,70.9,78.0,64.8,4,28,501,100.0,100.0,96.4,13,34,2,1019,0,0,992,1019,539,539,0,0,480,25
Hjalte Froholdt,44959,C,ARZ,16,100.0,1,1,74.6,65.6,76.2,4,14,579,100.0,100.0,97.9,9,21,3,1018,1018,0,0,1018,619,619,0,0,399,0
Mike Onwenu,27357,G,NE,16,100.0,0,19,64.7,71.8,56.9,6,23,603,100.0,100.0,97.3,5,31,2,1017,0,0,0,1017,656,656,688,329,361,0
Trevor Penning,59963,T,NO,16,100.0,2,20,59.6,49.7,69.8,3,44,575,100.0,100.0,95.0,12,52,5,1015,0,0,0,1015,615,615,0,1014,400,1
Ethan Pocic,11813,C,CLV,15,100.0,0,8,62.6,64.2,63.5,6,19,663,100.0,100.0,97.7,5,28,3,1014,987,27,0,1014,706,706,0,0,308,0
Graham Glasgow,10729,G,DET,15,100.0,1,11,58.4,55.3,58.9,8,23,529,100.0,100.0,96.3,6,35,4,1012,52,959,1,1012,549,549,0,0,463,0
O'Cyrus Torrence,102821,G,BUF,16,100.0,1,4,54.9,62.2,52.3,2,35,545,100.0,100.0,96.6,7,37,0,1011,0,0,0,1011,591,591,1008,3,420,0
Broderick Jones,124025,T,PIT,16,100.0,2,25,59.1,54.0,65.9,9,21,524,100.0,100.0,95.2,10,40,10,1010,0,0,7,1010,553,553,0,998,457,5
Evan Brown,38709,G,ARZ,16,100.0,0,1,66.2,72.6,59.5,0,18,566,100.0,100.0,98.1,2,20,2,1010,0,1010,0,1010,605,605,0,0,405,0
Robert Jones,100786,G,MIA,16,100.0,0,17,56.0,54.6,56.1,3,16,581,100.0,100.0,97.5,7,24,5,1010,0,1009,0,1010,625,625,0,0,385,0
Rasheed Walker,81798,T,GB,16,100.0,1,12,66.3,80.5,50.1,3,26,497,100.0,100.0,96.5,8,32,3,1008,0,1,1007,1008,530,530,0,0,478,0
Quenton Nelson,12954,G,IND,16,100.0,0,14,81.8,78.8,83.0,8,8,525,100.0,100.0,97.9,10,19,3,1005,0,1005,0,1005,564,564,0,0,441,0
Garett Bolles,11775,T,DEN,16,100.0,4,10,79.5,88.8,72.6,2,15,600,100.0,100.0,98.2,16,19,2,1004,0,0,998,1004,636,636,0,0,368,5
Taliese Fuaga,131732,T,NO,16,100.0,0,20,65.9,58.8,72.4,9,24,569,100.0,100.0,96.0,9,39,6,1004,0,0,1004,1004,609,609,0,0,395,0
Elgton Jenkins,46298,G,GB,16,100.0,0,12,63.8,83.1,58.8,2,12,497,100.0,100.0,98.4,9,15,1,1004,72,930,0,1004,530,530,0,2,474,0
Joe Tippmann,101568,C,NYJ,16,100.0,0,22,73.8,66.4,75.2,3,13,627,100.0,100.0,98.1,3,20,4,1003,1003,0,0,1003,670,670,0,0,333,0
Zach Tom,55443,T,GB,16,100.0,3,12,87.4,82.1,90.1,2,17,497,100.0,100.0,97.5,7,22,3,1003,0,1,0,1003,530,530,1,1001,473,0
Liam Eichenberg,41851,G,MIA,16,100.0,1,17,52.5,50.9,57.5,3,20,582,100.0,100.0,97.7,9,25,2,1002,0,0,0,1002,621,621,1001,0,381,0
Dominick Puni,163815,G,SF,16,100.0,1,28,82.6,68.8,83.5,0,29,572,100.0,100.0,96.9,5,32,3,1002,0,0,0,1002,607,607,1002,0,395,0
Colton McKivitz,29314,T,SF,16,100.0,0,28,71.0,71.7,67.8,6,26,572,100.0,100.0,96.9,6,34,2,1000,0,0,0,1000,607,607,0,1000,393,0
Jake Brendel,11117,C,SF,16,100.0,1,28,64.2,51.5,72.2,3,22,572,100.0,100.0,97.6,10,26,1,999,999,0,0,999,607,607,0,0,392,0
Graham Barton,122367,C,TB,15,100.0,2,30,56.5,63.8,56.3,2,19,575,100.0,100.0,98.0,13,22,1,997,997,0,0,997,610,610,0,0,387,0
Laremy Tunsil,10647,T,HST,16,100.0,2,13,78.1,89.0,74.3,3,14,606,100.0,100.0,98.3,17,19,2,995,0,0,995,995,638,638,0,0,357,0
Landon Dickerson,41712,G,PHI,16,100.0,3,24,79.2,73.6,79.7,4,18,467,100.0,100.0,96.6,8,27,5,995,7,988,0,995,496,496,0,0,499,0
Frank Ragnow,39137,C,DET,15,100.0,0,11,86.5,62.3,91.2,7,11,529,100.0,100.0,97.9,6,20,2,992,992,0,0,992,547,547,0,0,445,0
Patrick Mekari,46219,G,BLT,16,100.0,2,3,60.3,70.2,58.6,0,26,479,100.0,100.0,97.1,14,27,1,992,6,816,1,992,515,515,0,169,477,0
Kevin Zeitler,7032,G,DET,15,100.0,0,11,87.1,72.1,86.6,4,8,522,100.0,100.0,97.9,1,17,5,984,0,0,0,984,542,542,984,0,442,0
John Michael Schmitz Jr.,55238,C,NYG,15,100.0,0,21,61.4,50.2,67.0,5,17,593,100.0,100.0,97.1,5,28,6,983,983,0,0,983,646,646,0,0,337,0
Bradley Bozeman,27934,C,LAC,16,100.0,2,27,61.5,51.2,64.8,4,18,548,100.0,100.0,97.3,3,26,4,981,981,0,0,981,589,589,0,0,392,0
