player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Joe Burrow,28022,QB,CIN,16,78.6,569,606,7.9,2.66,5,35,5.4,69.8,423,1,233,5.4,675,24,249,7,53.8,93.3,92.3,74.8,8,8,723,9,18.9,109.8,6.5,44,22,1,23,42,14,1.9,4641,7.7
Patrick Mahomes,11765,QB,KC,16,77.1,532,581,6.9,2.76,10,18,2.9,67.5,392,1,212,4.4,661,18,236,16,90.8,85.8,79.1,91.5,8,11,704,2,17.0,93.5,5.4,36,37,2,29,26,15,2.1,3928,6.8
Geno Smith,7820,QB,SEA,16,78.3,512,551,7.5,2.83,11,27,4.5,70.2,387,1,243,3.5,623,14,209,29,63.5,81.1,80.7,61.9,4,15,674,10,19.8,90.5,7.7,48,24,2,22,17,18,2.7,4097,7.4
Aaron Rodgers,2241,QB,NYJ,16,73.7,517,548,7.4,2.63,8,24,4.1,63.0,345,0,160,9.4,603,36,185,22,76.2,76.5,75.1,71.9,6,10,643,9,23.1,89.1,6.1,37,16,0,17,24,12,1.9,3623,6.6
Baker Mayfield,46518,QB,TB,16,79.0,515,538,7.2,2.75,10,20,3.5,71.7,386,0,148,5.2,616,21,230,30,43.4,81.4,79.0,70.8,5,15,654,3,26.4,107.6,6.3,39,35,1,7,39,25,3.8,4279,8.0
Bo Nix,97790,QB,DEN,16,75.9,494,538,7.9,2.97,16,18,3.2,65.1,350,1,176,6.7,613,25,178,10,91.4,73.6,70.6,73.8,4,12,648,8,13.6,89.2,3.9,24,46,1,23,25,13,2.0,3454,6.4
Caleb Williams,144622,QB,CHI,16,72.6,481,533,8.4,3.03,12,24,4.1,61.9,330,1,230,5.4,649,19,180,6,87.1,67.7,63.3,81.5,4,6,706,9,29.1,87.4,10.3,67,46,3,33,19,18,2.5,3393,6.4
C.J. Stroud,129759,QB,HST,16,72.0,489,526,8.7,3.02,6,23,4.1,62.7,330,0,233,6.3,616,22,197,13,79.4,78.1,76.8,66.3,9,12,650,4,22.3,86.0,8.4,52,37,1,21,19,16,2.5,3677,7.0
Matthew Stafford,4924,QB,LA,16,73.0,482,517,8.0,2.63,10,23,4.2,65.8,340,0,171,3.4,549,12,180,26,68.8,74.7,72.4,68.8,8,8,586,1,16.4,93.7,5.1,28,3,1,16,20,21,3.6,3762,7.3
Kyler Murray,38334,QB,ARZ,16,75.6,471,506,7.4,2.87,10,24,4.4,68.6,347,0,173,2.5,578,9,192,1,64.4,79.9,76.1,81.4,3,11,617,6,17.3,91.1,5.2,30,39,1,21,17,17,2.8,3609,7.1
