player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Drake Maye,143969,QB,NE,1,6.11,0,53,19,69.2,39,42,9.4,3.03,1,1,2.3,61.9,26,20,3.7,48,90.6,1,15,80.3,69.3,0.0,73.7,46.3,1,1,49,15.0,79.6,6.3,3,3,0,1,1,1,2.0,281,6.7,72.7,33,36,8.4,3.0,1,1,2.8,63.9,23,18,4.2,42,79.2,1,11,79.4,67.4,0.0,71.1,50.2,1,1,42,22.2,78.0,9.5,4,2,0,1,1,1,2.4,216,6.0,70.0,10,10,7.2,2.93,0,0,0.0,70.0,7,3,0.0,11,20.8,0,4,72.4,68.9,72.9,71.6,55.9,0,0,12,0.0,90.0,0.0,0,1,0,0,0,0,0.0,71,7.1,0,100.0,4,4,-3.8,2.6,0,0,0.0,100.0,4,1,0.0,5,9.4,0,0,68.0,62.2,69.9,61.9,,0,0,5,100.0,79.2,20.0,1,0,0,0,0,0,0.0,6,1.5,1.1
Josh Allen,46601,QB,BUF,1,-25.0,0,53,4,78.9,38,41,11.6,3.18,2,4,8.7,70.7,29,14,3.3,47,88.7,1,18,82.1,87.7,79.7,82.9,76.8,0,0,53,7.1,115.6,2.1,1,5,1,0,2,1,1.9,377,9.2,84.2,38,40,10.7,2.99,1,4,9.3,75.0,30,13,6.3,45,84.9,2,18,81.7,90.9,79.6,89.2,74.5,0,0,49,7.7,121.1,2.2,1,4,1,0,2,0,0.0,383,9.6,60.0,5,6,3.6,2.66,1,0,0.0,50.0,3,1,0.0,8,15.1,0,2,71.4,51.2,72.3,46.9,64.0,0,0,10,0.0,56.3,0.0,0,1,0,0,0,1,10.0,11,1.8,0,100.0,5,5,-3.8,1.1,0,0,0.0,80.0,4,0,20.0,6,11.3,1,2,68.9,62.8,70.6,62.5,,0,0,6,,80.8,0.0,0,0,0,0,0,0,0.0,17,3.4,-7.75
Spencer Rattler,97408,QB,NO,1,-9.52,0,49,20,66.7,36,40,9.0,2.47,0,2,4.5,57.5,23,13,4.2,43,87.8,1,13,80.6,77.6,79.4,73.8,72.0,0,0,47,7.7,69.7,2.3,1,2,2,2,0,2,4.3,189,4.7,66.7,39,42,7.4,2.26,0,2,4.3,59.5,25,11,3.8,45,91.8,1,12,80.8,76.6,79.5,72.9,72.0,0,0,49,9.1,71.2,2.2,1,2,2,1,0,2,4.1,197,4.7,100.0,2,4,7.0,3.73,0,0,0.0,50.0,2,3,0.0,4,8.2,0,1,66.9,68.0,69.2,67.3,,0,0,4,0.0,61.5,0.0,0,0,0,2,0,0,0.0,17,4.3,0,80.0,5,6,-3.8,1.73,0,0,0.0,66.7,4,1,0.0,6,12.2,0,0,68.9,63.2,70.6,62.8,,0,0,6,0.0,75.0,0.0,0,0,0,1,0,0,0.0,25,4.2,-0.44
Joe Flacco,4332,QB,CLV,1,-24.29,0,48,8,83.3,36,39,7.1,2.94,0,0,0.0,66.7,26,17,13.3,42,87.5,4,12,80.1,73.2,0.0,73.4,62.7,1,2,46,11.8,73.7,4.8,2,1,0,2,1,0,0.0,270,6.9,87.9,33,35,4.8,2.5,1,0,0.0,74.3,26,11,10.3,37,77.1,3,10,79.3,78.2,0.0,78.5,62.7,0,1,40,9.1,90.2,2.7,1,1,0,1,1,0,0.0,240,6.9,75.0,8,10,9.0,3.71,0,0,0.0,50.0,5,7,16.7,11,22.9,1,3,72.8,54.8,73.2,55.1,,1,1,13,14.3,25.0,9.1,1,0,0,1,0,0,0.0,50,5.0,0,100.0,5,6,-5.4,1.67,1,0,0.0,83.3,5,1,0.0,6,12.5,0,1,69.6,63.5,71.1,63.1,,0,0,7,0.0,80.6,0.0,0,0,0,0,0,0,0.0,20,3.3,-1.86
Michael Penix Jr.,82134,QB,ATL,1,-33.09,0,47,2,72.2,36,39,7.9,2.73,2,0,0.0,61.5,24,17,7.7,44,93.6,2,19,80.3,68.6,79.5,66.6,65.1,0,0,48,5.9,93.4,2.3,1,4,0,1,1,0,0.0,295,7.6,75.0,32,34,7.2,2.6,1,0,0.0,70.6,24,16,0.0,39,83.0,0,18,79.5,70.9,79.2,69.0,65.1,0,0,42,6.3,90.9,2.6,1,4,0,1,0,0,0.0,245,7.2,71.4,7,8,5.9,2.88,1,0,0.0,37.5,3,1,40.0,8,17.0,2,1,70.9,57.0,71.9,57.1,,0,0,9,0.0,100.5,0.0,0,0,0,0,1,0,0.0,53,6.6,0,100.0,3,3,-3.7,1.43,0,0,0.0,100.0,3,0,0.0,3,6.4,0,0,65.5,63.5,68.2,63.1,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,3,1.0,-0.58
Patrick Mahomes,11765,QB,KC,1,-1.76,0,47,16,71.9,32,35,8.7,2.73,2,3,8.3,62.9,22,14,4.3,43,91.5,1,14,79.8,79.7,78.7,69.4,87.6,0,0,45,14.3,94.5,4.7,2,6,1,0,1,1,2.2,256,7.3,74.2,31,34,8.0,2.36,2,3,8.6,61.8,21,14,8.7,38,80.9,2,9,79.0,73.1,78.4,70.5,67.3,0,0,40,14.3,92.9,5.3,2,2,1,0,1,1,2.5,241,7.1,75.0,4,5,4.0,3.81,1,0,0.0,60.0,3,1,0.0,9,19.1,0,5,70.9,83.7,71.9,58.7,88.8,0,0,9,0.0,66.3,0.0,0,4,0,0,0,0,0.0,17,3.4,0,100.0,3,4,-4.7,1.6,1,0,0.0,50.0,2,1,33.3,4,8.5,1,0,66.9,61.0,69.2,60.8,,0,0,4,0.0,56.3,0.0,0,0,0,0,0,0,0.0,2,0.5,-3.69
Russell Wilson,7077,QB,NYG,1,-15.05,0,45,21,62.5,24,34,8.1,2.83,2,1,2.5,41.2,14,17,6.7,42,93.3,1,9,31.1,53.4,79.0,53.7,56.6,1,0,48,11.8,55.9,4.8,2,6,0,7,0,1,2.1,159,4.7,66.7,24,31,7.1,2.69,2,1,2.9,48.4,15,14,6.3,38,84.4,1,9,29.2,52.2,78.6,51.8,58.3,1,0,42,14.3,63.1,5.3,2,5,0,4,0,1,2.4,154,5.0,66.7,3,6,4.0,2.89,0,0,0.0,33.3,2,3,0.0,7,15.6,0,1,70.9,63.4,71.9,65.4,58.3,0,0,9,0.0,42.4,0.0,0,1,0,3,0,0,0.0,14,2.3,0,100.0,3,3,-4.0,1.23,0,0,0.0,100.0,3,0,0.0,3,6.7,0,1,65.5,63.5,68.2,63.1,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,9,3.0,-2.64
Caleb Williams,144622,QB,CHI,1,8.97,0,44,6,69.0,29,32,9.1,3.53,2,2,5.7,59.4,19,20,5.0,41,93.2,1,14,79.8,78.6,79.2,69.2,86.1,0,0,44,10.0,90.5,4.9,2,6,0,1,1,0,0.0,219,6.8,66.7,24,26,8.3,3.23,1,1,3.6,57.7,15,14,6.3,32,72.7,1,9,78.3,75.9,78.6,66.8,83.1,0,0,34,7.1,77.7,3.1,1,5,0,1,0,0,0.0,172,6.6,75.0,8,9,6.4,3.8,1,1,10.0,66.7,6,6,0.0,12,27.3,0,5,72.8,70.6,73.2,65.9,64.4,0,0,13,16.7,113.2,8.3,1,1,0,0,1,0,0.0,40,4.4,0,66.7,3,3,-4.7,1.4,0,0,0.0,66.7,2,0,0.0,3,6.8,0,0,65.5,55.0,68.2,55.4,,0,0,3,,70.1,0.0,0,0,0,0,0,0,0.0,-7,-2.3,-2.18
Bo Nix,97790,QB,DEN,1,-8.24,0,43,10,67.7,31,35,8.3,2.98,0,0,0.0,60.0,21,11,0.0,38,88.4,0,8,30.0,37.6,0.0,34.9,67.3,1,2,41,9.1,54.7,2.6,1,2,0,3,1,4,9.8,142,4.1,72.0,25,26,6.0,2.73,0,0,0.0,65.4,17,6,5.6,27,62.8,1,6,79.1,46.2,0.0,42.7,70.1,1,2,32,0.0,56.1,0.0,0,1,0,0,1,3,9.4,117,4.5,72.7,11,14,8.0,3.06,0,0,0.0,57.1,8,6,0.0,16,37.2,0,3,21.6,39.2,73.9,41.1,58.3,0,0,16,16.7,67.0,6.3,1,1,0,3,0,1,6.3,58,4.1,0,100.0,5,5,-3.8,1.86,0,0,0.0,80.0,4,1,20.0,5,11.6,1,1,69.6,66.4,71.1,65.8,,0,0,7,0.0,94.2,0.0,0,0,0,0,0,0,0.0,33,6.6,-0.36
Jared Goff,10635,QB,DET,1,15.91,0,43,11,84.4,32,35,5.4,3.04,0,0,0.0,77.1,27,16,0.0,39,90.7,0,12,26.5,43.8,78.8,44.1,60.0,0,1,40,25.0,89.2,10.3,4,0,0,3,1,3,7.5,212,6.1,80.8,26,28,4.8,2.74,0,0,0.0,75.0,21,12,0.0,32,74.4,0,9,25.1,36.7,78.4,37.1,60.0,0,1,33,33.3,82.6,12.5,4,0,0,2,1,3,9.1,141,5.0,100.0,10,11,2.7,3.55,0,0,0.0,90.9,10,4,0.0,11,25.6,0,4,71.9,73.0,72.6,71.9,,0,0,11,0.0,98.5,0.0,0,0,0,1,0,0,0.0,84,7.6,0,100.0,4,4,-5.3,2.08,0,0,0.0,100.0,4,0,0.0,4,9.3,0,1,66.9,64.6,69.2,64.1,,0,0,4,,80.2,0.0,0,0,0,0,0,0,0.0,13,3.3,2.6
