Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3892694633,jdelricci7,1020,25,QB Dak Prescott RB David Montgomery RB Nick Chubb WR Rashee Rice WR Garrett Wilson WR Deebo Samuel TE Juwan Johnson FLEX Dalvin Cook BN Joe Mixon BN Tua Tagovailoa BN Jahan Dotson BN Adam Thielen BN Romeo Doubs BN Tyler Higbee BN Jaylen Warren BN Kareem Hunt BN Chase Brown BN Tank Dell BN Cade Otton BN Puka Nacua,,Garrett Wilson,WR,8.33%,0
2,3892694644,gibbs00,1020,23.42,QB Jared Goff RB Isiah Pacheco RB Jonathan Taylor WR DJ Moore WR Mike Williams WR Christian Watson TE Travis Kelce FLEX Saquon Barkley BN Christian Kirk BN Aaron Rodgers BN De'Von Achane BN DJ Chark Jr. BN Michael Mayer BN Michael Gallup BN Rondale Moore BN Tank Bigsby BN Josh Downs BN Kyle Trask BN Zack Moss BN Cole Turner,,Nick Chubb,RB,8.33%,0
3,3892710896,DeepSeaMike,1080,23,QB Jordan Love RB Clyde Edwards-Helaire RB Travis Etienne Jr. WR Amon-Ra St. Brown WR Davante Adams WR Keenan Allen TE George Kittle FLEX Dameon Pierce BN Diontae Johnson BN Alvin Kamara BN Pat Freiermuth BN AJ Dillon BN C.J. Stroud BN Nico Collins BN Brock Purdy BN Jayden Reed BN DeVante Parker BN Mack Hollins BN Justice Hill BN Salvon Ahmed,,Deebo Samuel,WR,8.33%,0
4,3892702194,wizgagnon,1140,20.54,QB Patrick Mahomes RB D'Andre Swift RB Rachaad White WR Justin Jefferson WR DeVonta Smith WR DeAndre Hopkins TE T.J. Hockenson FLEX Chris Godwin BN Rashaad Penny BN Damien Harris BN Brian Robinson Jr. BN Allen Lazard BN Tyler Boyd BN Derek Carr BN Trey Lance BN Jeff Wilson Jr. BN Mike Gesicki BN Isaiah Hodgins BN Irv Smith Jr. BN Darius Slayton,,Dalvin Cook,BN,8.33%,0
5,3892710908,Pantera44,1020,10.5,QB Lamar Jackson RB Kenneth Walker III RB James Cook WR Richie James Jr. WR Tyreek Hill WR Calvin Ridley TE Sam LaPorta FLEX David Njoku BN Zach Charbonnet BN Quentin Johnston BN Zay Flowers BN K.J. Osborn BN Chig Okonkwo BN D'Onta Foreman BN Joshua Palmer BN Kenny Pickett BN Leonard Fournette BN Khalil Shakir BN Sam Howell BN Desmond Ridder,,David Montgomery,FLEX,8.33%,13.4
6,3892719540,davidmc1524,1080,9.8,QB Jalen Hurts RB Jahmyr Gibbs RB Najee Harris WR Marvin Jones Jr. WR A.J. Brown WR George Pickens TE Dallas Goedert FLEX Mike Evans BN Michael Thomas BN Odell Beckham Jr. BN JuJu Smith-Schuster BN Tyler Allgeier BN Greg Dulcich BN Bryce Young BN Dalton Kincaid BN Ezekiel Elliott BN Jimmy Garoppolo BN Hunter Renfrow BN Deuce Vaughn BN Zamir White,,Dak Prescott,QB,8.33%,0
7,3892702176,ledheadzach,1140,6.8,QB Trevor Lawrence RB Christian McCaffrey RB Aaron Jones WR Marquez Valdes-Scantling WR Jaxon Smith-Njigba WR Treylon Burks TE Evan Engram FLEX Jordan Addison BN Kirk Cousins BN Jamaal Williams BN Dawson Knox BN Zay Jones BN Kenneth Gainwell BN Baker Mayfield BN Ryan Tannehill BN Hunter Henry BN Evan Hull BN Trey Palmer BN Randall Cobb BN Michael Wilson,,Joe Mixon,RB,8.33%,0
8,3892710892,Npiezzo,1080,2.6,QB Deshaun Watson RB Tony Pollard RB Breece Hall WR Justyn Ross WR Kadarius Toney WR Cooper Kupp TE Mark Andrews FLEX CeeDee Lamb BN Terry McLaurin BN J.K. Dobbins BN Daniel Jones BN Darnell Mooney BN Jalin Hyatt BN Donovan Peoples-Jones BN Kendre Miller BN Rashid Shaheed BN Gerald Everett BN Wan'Dale Robinson BN Chuba Hubbard BN Jerome Ford,,Tua Tagovailoa,BN,8.33%,0
9,3892702173,squirrelpatroldk,1140,2,QB Josh Allen RB Jerick McKinnon RB Austin Ekeler WR Jaylen Waddle WR Gabe Davis WR Courtland Sutton TE Cole Kmet FLEX Cam Akers BN Justin Fields BN Rashod Bateman BN Alexander Mattison BN Elijah Moore BN Taysom Hill BN Chase Claypool BN Mac Jones BN Kyren Williams BN Tutu Atwell BN Logan Thomas BN Deon Jackson BN Joshua Dobbs,,Jahan Dotson,WR,8.33%,0
10,3892702190,Andrewmorin38,1140,0.4,QB Joe Burrow RB Josh Jacobs RB Javonte Williams WR Skyy Moore WR Ja'Marr Chase WR DK Metcalf TE Darren Waller FLEX Brandin Cooks BN Khalil Herbert BN Russell Wilson BN Raheem Mostert BN Devin Singletary BN Jonathan Mingo BN Curtis Samuel BN Cordarrelle Patterson BN Van Jefferson BN Noah Fant BN Robert Woods BN Luke Musgrave BN Ty Chandler,,Adam Thielen,BN,8.33%,0
