Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3881807764,ima911,960,27.24,QB Patrick Mahomes RB Clyde Edwards-Helaire RB Jonathan Taylor WR Marvin Jones Jr. WR Kadarius Toney WR A.J. Brown TE Evan Engram FLEX Breece Hall BN Travis Etienne Jr. BN Trevor Lawrence BN Mike Evans BN Darnell Mooney BN Dawson Knox BN Zay Jones BN Adam Thielen BN Raheem Mostert BN Matthew Stafford BN Gerald Everett BN Chase Claypool BN Latavius Murray,,Cooper Kupp,WR,8.33%,0
2,3881816371,SamGarvs8,1020,20.7,QB Dak Prescott RB Rhamondre Stevenson RB J.K. Dobbins WR Amon-Ra St. Brown WR Justyn Ross WR CeeDee Lamb TE George Kittle FLEX Amari Cooper BN Brandin Cooks BN Zach Charbonnet BN Michael Thomas BN Jameson Williams BN Allen Lazard BN Jordan Love BN Rashid Shaheed BN Mike Gesicki BN Desmond Ridder BN Gus Edwards BN Luke Musgrave BN Joshua Kelley,,Derrick Henry,RB,8.33%,0
3,3881816171,goforit1018,1080,20.5,QB Josh Allen RB Najee Harris RB Miles Sanders WR Rashee Rice WR Stefon Diggs WR Diontae Johnson TE Sam LaPorta FLEX Joe Mixon BN Tua Tagovailoa BN Zay Flowers BN Alexander Mattison BN Dalton Schultz BN Donovan Peoples-Jones BN C.J. Stroud BN Jaylen Warren BN Chase Brown BN Isaiah Likely BN Jayden Reed BN Deuce Vaughn BN Michael Wilson,,Mike Williams,WR,8.33%,0
4,3881816364,DeepSeaMike,960,15.799999,QB Lamar Jackson RB David Montgomery RB Jerick McKinnon WR Skyy Moore WR Deebo Samuel WR Brandon Aiyuk TE Travis Kelce FLEX Saquon Barkley BN Tyler Lockett BN Rashod Bateman BN Tyler Allgeier BN Tyler Boyd BN Antonio Gibson BN Joshua Palmer BN Josh Downs BN Irv Smith Jr. BN Sam Howell BN Van Jefferson BN Kyren Williams BN Chris Evans,,Jahmyr Gibbs,RB,8.33%,8
5,3881801336,porteus9,1140,14.02,QB Jared Goff RB D'Andre Swift RB Javonte Williams WR Justin Jefferson WR DeVonta Smith WR Calvin Ridley TE Chig Okonkwo FLEX Jerry Jeudy BN Christian Kirk BN Kirk Cousins BN Dalton Kincaid BN Jeff Wilson Jr. BN Tyler Higbee BN Tank Bigsby BN Curtis Samuel BN Cordarrelle Patterson BN John Metchie III BN Ryan Tannehill BN Chase Edmonds BN Ty Chandler,,Drake London,WR,8.33%,0
6,3881807760,INeed2Win,1080,11,QB Russell Wilson RB Isiah Pacheco RB Austin Ekeler WR Richie James Jr. WR Chris Olave WR DJ Moore TE Jake Ferguson FLEX DeAndre Hopkins BN Jahan Dotson BN Courtland Sutton BN Khalil Herbert BN Derek Carr BN Trey Lance BN Kendre Miller BN Isaiah Hodgins BN Jerome Ford BN Hunter Henry BN Pierre Strong Jr. BN Cade Otton BN Greg Dortch,,Deshaun Watson,QB,8.33%,0
7,3881801112,dobbydog1,1080,8,QB Deshaun Watson RB Jahmyr Gibbs RB Derrick Henry WR Cooper Kupp WR Mike Williams WR Drake London TE David Njoku FLEX Rachaad White BN Jordan Addison BN Pat Freiermuth BN Elijah Mitchell BN Bryce Young BN Juwan Johnson BN Kenneth Gainwell BN Kenny Pickett BN Kareem Hunt BN Hunter Renfrow BN Mecole Hardman Jr. BN Parris Campbell BN Allen Robinson II,,Rachaad White,BN,8.33%,0
8,3881801293,GhostX18,1140,6.8,QB Joe Burrow RB Christian McCaffrey RB James Conner WR Marquez Valdes-Scantling WR Davante Adams WR Tee Higgins TE Darren Waller FLEX Chris Godwin BN AJ Dillon BN Elijah Moore BN Anthony Richardson BN Roschon Johnson BN Ezekiel Elliott BN Tyjae Spears BN Nico Collins BN Jimmy Garoppolo BN Khalil Shakir BN Hayden Hurst BN Tank Dell BN Cole Turner,,Jordan Addison,FLEX,8.33%,0
9,3881807757,ajg12991,1200,0,QB Jalen Hurts RB Aaron Jones RB Dalvin Cook WR Tyreek Hill WR DK Metcalf WR George Pickens TE Dallas Goedert FLEX Cam Akers BN Odell Beckham Jr. BN Rashaad Penny BN JuJu Smith-Schuster BN De'Von Achane BN D'Onta Foreman BN Romeo Doubs BN DJ Chark Jr. BN Michael Gallup BN Mac Jones BN Noah Fant BN DeVante Parker BN Mack Hollins,,David Njoku,TE,8.33%,0
9,3881807765,cweigl,1200,0,QB Geno Smith RB Josh Jacobs RB Kenneth Walker III WR Ja'Marr Chase WR Jaylen Waddle WR Terry McLaurin TE T.J. Hockenson FLEX Michael Pittman Jr. BN Brian Robinson Jr. BN Jamaal Williams BN Kyler Murray BN K.J. Osborn BN Michael Mayer BN Rondale Moore BN Trey McBride BN Brock Purdy BN Zach Ertz BN Zamir White BN Deon Jackson BN Randall Cobb,,Pat Freiermuth,BN,8.33%,0
