Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4079088545,texansbrian,942,61.3,QB Tua Tagovailoa RB Ty Chandler RB Joe Mixon WR Joshua Palmer WR Amon-Ra St. Brown WR Amari Cooper TE Michael Mayer FLEX Gerald Everett BN Irv Smith Jr. BN Bijan Robinson BN Dameon Pierce BN Marquise Brown BN Courtland Sutton BN Jared Goff BN Brian Robinson Jr. BN Adam Thielen BN C.J. Stroud BN Jonathan Mingo BN Zack Moss BN Sterling Shepard,,C.J. Stroud,BN,50.00%,0
2,4079088544,Trey28,1028.1,29.1,QB Geno Smith RB Chase Brown RB Dameon Pierce WR Stefon Diggs WR Amon-Ra St. Brown WR DK Metcalf TE Michael Mayer FLEX Gerald Everett BN Amari Cooper BN Tyler Lockett BN Cam Akers BN James Cook BN Rashaad Penny BN De'Von Achane BN C.J. Stroud BN Rashid Shaheed BN Josh Downs BN Sam LaPorta BN Jerome Ford BN Ryan Tannehill,,Amon-Ra St. Brown,WR,41.67%,0
3,4079098329,WhoCutTheCheese,1002.1,24.179998,QB Joe Burrow RB Joshua Kelley RB Dameon Pierce WR Jakobi Meyers WR Ja'Marr Chase WR K.J. Osborn TE George Kittle FLEX DK Metcalf BN Jahan Dotson BN James Cook BN Jamaal Williams BN Cole Kmet BN Jordan Love BN Raheem Mostert BN Juwan Johnson BN Marvin Mims Jr. BN Zach Evans BN Jayden Reed BN Desmond Ridder BN Isaiah McKenzie,,Dameon Pierce,RB,33.33%,0
4,4079113369,Tub-by,942.2,11.6,QB Kirk Cousins RB Bijan Robinson RB Miles Sanders WR Quentin Johnston WR K.J. Osborn WR A.J. Brown TE Kyle Pitts FLEX Mike Williams BN Keenan Allen BN Cam Akers BN Brian Robinson Jr. BN Antonio Gibson BN DJ Chark Jr. BN C.J. Stroud BN Michael Gallup BN Khalil Shakir BN Jayden Reed BN Desmond Ridder BN Cade Otton BN Logan Thomas,,Antonio Gibson,RB,33.33%,0
5,4079113371,DeepSeaMike,1114.1,10.3,QB Jared Goff RB Kenneth Walker III RB Travis Etienne Jr. WR Quentin Johnston WR A.J. Brown WR Amon-Ra St. Brown TE Mark Andrews FLEX Jerry Jeudy BN Dalvin Cook BN Brandon Aiyuk BN Russell Wilson BN Michael Gallup BN Tank Bigsby BN Jake Ferguson BN Chase Claypool BN Kyren Williams BN Josh Reynolds BN Justice Hill BN Salvon Ahmed BN Myles Gaskin,,Jayden Reed,BN,33.33%,0
6,4079113368,SteveyBallGame,1062.1,9.4,QB Tua Tagovailoa RB Josh Jacobs RB David Montgomery WR Jordan Addison WR Tyreek Hill WR Garrett Wilson TE T.J. Hockenson FLEX Christian Watson BN George Pickens BN Kirk Cousins BN Cole Kmet BN Antonio Gibson BN Raheem Mostert BN Jeff Wilson Jr. BN Jaylen Warren BN Kenny Pickett BN Jayden Reed BN Robert Woods BN Parris Campbell BN Allen Robinson II,,Amari Cooper,FLEX,25.00%,0
7,4079088546,TeaBagTheTame,968,9.2,QB Justin Herbert RB Rachaad White RB Zach Charbonnet WR Justin Jefferson WR Jaylen Waddle WR Keenan Allen TE T.J. Hockenson FLEX Darren Waller BN Michael Thomas BN JuJu Smith-Schuster BN Antonio Gibson BN Adam Thielen BN Raheem Mostert BN Trey Lance BN Jeff Wilson Jr. BN Devin Singletary BN Hunter Renfrow BN Jayden Reed BN Luke Musgrave BN Sam Darnold,,Cam Akers,RB,25.00%,0
8,4079098332,MrBeebo69,1140,7.8,QB Lamar Jackson RB Austin Ekeler RB Tony Pollard WR Amari Cooper WR DeAndre Hopkins WR Odell Beckham Jr. TE George Kittle FLEX J.K. Dobbins BN David Njoku BN Zay Flowers BN Zay Jones BN C.J. Stroud BN Kendre Miller BN Rashid Shaheed BN Jaylen Warren BN Rashee Rice BN Curtis Samuel BN John Metchie III BN Brock Purdy BN Greg Dortch,,James Cook,BN,25.00%,0
9,4079106956,spoolinsrt4,1174,6.1,QB Trevor Lawrence RB Chase Brown RB Jahmyr Gibbs WR CeeDee Lamb WR Amon-Ra St. Brown WR Jerry Jeudy TE Dalton Schultz FLEX Brandon Aiyuk BN Isiah Pacheco BN Courtland Sutton BN Alvin Kamara BN Brian Robinson Jr. BN Jamaal Williams BN Bryce Young BN Matthew Stafford BN Mike Gesicki BN Isaiah Hodgins BN Chase Claypool BN Parris Campbell BN Hunter Henry,,Rashid Shaheed,BN,25.00%,0
10,4079098330,Potato_Park,1174,1.2,QB Justin Fields RB Joe Mixon RB Breece Hall WR Stefon Diggs WR Jaylen Waddle WR George Pickens TE David Njoku FLEX Marquise Brown BN James Cook BN Tyler Allgeier BN Elijah Mitchell BN Chig Okonkwo BN Jalin Hyatt BN C.J. Stroud BN Kendre Miller BN Nico Collins BN Mike Gesicki BN Deuce Vaughn BN Tank Dell BN Denzel Mims,,Jared Goff,BN,25.00%,0
