player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Joe Burrow,28022,QB,CIN,1,27.27,0,55,7,87.5,48,50,7.4,2.3,0,6,11.5,78.0,39,12,7.1,53,96.4,3,18,,81.6,91.8,0.0,91.4,,67.3,0,2,56,16.7,100.8,3.8,2,1,0,2,3,1,1.8,370,7.4,85.4,41,44,8.4,2.28,0,6,13.3,72.7,32,10,8.6,47,85.5,3,16,,80.8,92.0,0.0,91.6,,67.3,0,2,49,20.0,96.3,4.3,2,1,0,3,3,1,2.0,315,7.2,100.0,8,8,0.9,2.34,0,0,0.0,100.0,8,2,0.0,8,14.5,0,3,,70.9,67.4,71.9,66.8,,,0,0,9,0.0,97.9,0.0,0,0,0,0,0,0,0.0,60,7.5,0,100.0,1,2,-3.0,1.8,0,0,0.0,50.0,1,0,0.0,2,3.6,0,1,,63.6,58.8,66.9,58.9,,,0,0,2,,56.3,0.0,0,0,0,1,0,0,0.0,5,2.5,0.34
Kirk Cousins,7102,QB,MIN,1,-15.76,0,52,18,77.8,36,40,8.6,2.71,2,2,4.9,67.5,27,18,3.6,44,84.6,1,12,,79.9,68.5,78.9,66.2,,62.6,0,0,45,22.2,108.4,9.1,4,0,1,1,3,1,2.2,241,6.0,83.9,31,33,6.4,2.45,1,1,2.9,75.8,25,13,3.8,37,71.2,1,10,,79.0,68.6,78.5,66.1,,62.6,0,0,38,30.8,109.4,10.8,4,0,1,0,2,0,0.0,190,5.8,69.2,13,15,7.6,2.75,1,1,6.7,60.0,9,5,0.0,15,28.8,0,6,,73.5,66.3,73.7,65.6,,,0,0,15,0.0,104.6,0.0,0,0,0,1,1,1,6.7,109,7.3,0,87.5,8,8,-1.8,1.59,0,0,0.0,87.5,7,0,0.0,8,15.4,0,4,,70.3,66.7,71.5,66.1,,,0,0,8,,96.9,0.0,0,0,0,0,0,0,0.0,58,7.3,1.51
Daniel Jones,39395,QB,NYG,1,5.0,0,49,21,85.3,34,38,7.6,2.98,2,2,4.9,68.4,26,19,10.3,45,91.8,3,17,,29.8,85.4,79.0,79.3,,80.9,1,1,48,15.8,91.6,6.7,3,4,0,1,1,2,4.2,316,8.3,92.3,26,30,5.0,2.63,2,2,6.5,70.0,21,11,12.5,34,69.4,3,10,,27.1,84.1,78.2,77.8,,77.9,1,0,35,18.2,91.8,5.9,2,2,0,1,0,1,2.9,226,7.5,75.0,12,12,9.8,3.35,0,0,0.0,75.0,9,8,0.0,15,30.6,0,7,,74.2,76.2,74.1,73.0,,66.4,0,1,17,12.5,95.5,6.7,1,2,0,0,1,1,5.9,109,9.1,0,100.0,4,4,-2.5,1.3,0,0,0.0,100.0,4,0,0.0,4,8.2,0,0,,66.9,64.9,69.2,64.4,,,0,0,4,,86.5,0.0,0,0,0,0,0,0,0.0,19,4.8,1.55
Trace McSorley,32819,QB,ARZ,1,-17.14,0,48,1,61.8,34,39,9.9,2.58,0,1,2.6,48.7,19,11,9.5,42,87.5,2,7,,30.0,44.2,79.2,47.3,,47.1,0,1,42,9.1,52.9,2.4,1,2,1,4,0,2,4.8,196,5.0,70.0,30,35,6.7,2.25,0,0,0.0,57.1,20,10,4.8,37,77.1,1,6,,29.0,40.9,78.9,43.5,,48.1,0,1,37,10.0,55.5,2.7,1,1,1,4,0,2,5.4,149,4.3,50.0,10,10,11.8,2.97,0,1,9.1,40.0,4,1,20.0,11,22.9,1,1,,72.4,62.5,72.9,63.9,,58.3,0,0,12,0.0,63.8,0.0,0,1,0,0,0,0,0.0,68,6.8,0,83.3,6,6,-2.8,1.27,0,0,0.0,83.3,5,0,0.0,6,12.5,0,0,,69.6,60.1,71.1,60.0,,,0,0,7,,81.3,0.0,0,0,0,0,0,0,0.0,21,3.5,2.54
Tom Brady,698,QB,TB,1,-19.05,0,48,30,66.7,36,37,7.8,2.03,0,2,5.0,62.2,23,5,4.2,37,77.1,1,10,,79.5,57.7,79.4,55.5,,64.7,1,2,40,0.0,60.9,0.0,0,0,0,0,1,2,5.0,182,4.9,71.4,42,42,5.4,1.87,0,2,4.5,69.0,29,3,3.3,42,87.5,1,14,,80.0,63.7,79.6,61.4,,64.7,0,1,44,0.0,83.0,0.0,0,0,0,0,1,1,2.3,256,6.1,60.0,5,6,3.6,1.95,0,0,0.0,50.0,3,2,0.0,6,12.5,0,1,,69.6,46.7,71.1,47.7,,,1,1,7,0.0,21.5,0.0,0,0,0,0,0,1,14.3,25,4.2,0,81.8,11,11,-3.3,1.36,0,0,0.0,81.8,9,0,0.0,11,22.9,0,5,,71.9,67.8,72.6,67.1,,,0,0,11,,104.2,0.0,0,0,0,0,0,0,0.0,99,9.0,-1.93
Jared Goff,10635,QB,DET,1,27.78,0,46,11,77.4,31,39,10.5,2.92,4,2,4.8,59.0,23,14,4.2,43,93.5,1,16,,29.9,79.9,78.8,84.7,,39.3,0,0,47,14.3,113.0,4.7,2,2,0,4,3,0,0.0,338,8.7,75.0,28,36,8.8,2.79,4,1,2.6,55.6,20,13,4.8,39,84.8,1,12,,29.1,71.5,78.6,77.0,,39.3,0,0,43,7.7,97.7,2.6,1,2,0,4,2,0,0.0,266,7.4,83.3,6,6,12.2,2.9,0,1,16.7,83.3,5,1,0.0,7,15.2,0,4,,69.6,90.3,71.1,88.3,,,0,0,7,100.0,158.3,14.3,1,0,0,0,1,0,0.0,89,14.8,0,66.7,3,3,-2.7,1.27,0,0,0.0,66.7,2,0,0.0,3,6.5,0,0,,65.5,55.2,68.2,55.6,,,0,0,3,,81.3,0.0,0,0,0,0,0,0,0.0,17,5.7,7.44
Geno Smith,7820,QB,SEA,1,4.9,0,44,29,75.8,33,38,8.6,2.8,2,2,5.0,60.5,23,14,8.0,42,95.5,2,9,,79.9,73.3,79.5,70.8,,66.9,0,1,45,14.3,73.2,4.8,2,2,0,3,1,2,4.4,209,5.5,76.7,30,34,9.0,2.67,2,2,5.6,61.8,21,11,8.7,38,86.4,2,8,,79.4,73.6,79.3,71.0,,66.9,0,1,41,18.2,74.3,5.3,2,2,0,2,1,2,4.9,189,5.6,80.0,5,6,1.8,3.2,0,0,0.0,66.7,4,3,0.0,6,13.6,0,1,,68.9,63.3,70.6,62.9,,,0,0,6,0.0,75.7,0.0,0,0,0,1,0,0,0.0,26,4.3,0,100.0,2,2,-3.5,1.55,0,0,0.0,100.0,2,0,0.0,2,4.5,0,0,,63.6,62.1,66.9,61.8,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,6,3.0,-1.23
Dak Prescott,10769,QB,DAL,1,-12.64,0,44,9,81.3,32,32,9.3,3.0,0,3,9.1,75.0,24,17,7.7,41,93.2,2,19,,79.8,77.6,79.3,74.2,,70.1,0,1,42,35.3,125.7,14.6,6,3,0,0,3,2,4.8,329,10.3,86.2,29,29,9.4,2.85,0,3,10.0,79.3,23,12,8.0,35,79.5,2,18,,78.9,91.3,78.9,90.4,,70.1,0,0,36,25.0,143.7,8.6,3,3,0,0,3,1,2.8,296,10.2,66.7,6,6,2.2,3.2,0,0,0.0,66.7,4,5,0.0,9,20.5,0,2,,70.9,24.7,71.9,25.8,,,0,1,9,60.0,53.5,33.3,3,0,0,0,0,1,11.1,51,8.5,0,100.0,3,3,-3.3,1.83,0,0,0.0,100.0,3,0,0.0,3,6.8,0,1,,65.5,63.5,68.2,63.1,,,0,0,3,,91.7,0.0,0,0,0,0,0,0,0.0,18,6.0,-1.71
Gardner Minshew,41401,QB,PHI,1,37.28,0,42,24,71.9,32,39,11.9,2.8,1,0,0.0,59.0,23,20,0.0,41,97.6,0,19,,79.5,73.3,79.3,74.6,,52.2,0,2,43,0.0,84.9,0.0,0,2,1,5,2,1,2.3,355,9.1,66.7,24,31,9.6,2.76,1,0,0.0,51.6,16,16,0.0,32,76.2,0,11,,78.2,59.0,78.8,60.0,,54.1,0,2,34,0.0,54.5,0.0,0,1,1,5,1,1,2.9,190,6.1,88.9,9,9,16.8,2.75,0,0,0.0,88.9,8,4,0.0,10,23.8,0,8,,71.4,91.8,72.3,91.8,,58.3,0,0,10,0.0,155.8,0.0,0,1,0,0,1,0,0.0,165,18.3,0,100.0,1,1,0.0,1.2,0,0,0.0,100.0,1,0,0.0,1,2.4,0,0,,60.4,60.3,64.6,60.1,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,0,0.0,12.2
Aaron Rodgers,2241,QB,GB,1,22.86,0,42,12,69.0,29,32,11.3,2.77,2,2,6.3,59.4,19,10,5.0,36,85.7,1,12,,79.6,74.7,78.8,74.1,,62.9,0,1,37,20.0,77.5,5.6,2,2,0,1,1,2,5.4,219,6.8,68.0,25,28,10.2,2.43,2,2,7.1,57.1,16,7,5.9,30,71.4,1,6,,78.8,64.6,78.4,63.0,,62.9,0,1,31,0.0,60.7,0.0,0,2,0,1,0,2,6.5,174,6.2,90.0,10,10,6.8,3.01,0,0,0.0,80.0,8,3,11.1,12,28.6,1,6,,72.4,87.6,72.9,85.2,,,0,0,12,66.7,126.7,16.7,2,0,0,0,1,0,0.0,64,6.4,0,100.0,6,6,-1.2,1.57,0,0,0.0,83.3,5,0,16.7,6,14.3,1,0,,68.9,65.4,70.6,64.8,,,0,0,6,,79.9,0.0,0,0,0,0,0,0,0.0,19,3.2,0.19
