player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Joe Burrow,28022,QB,CIN,1,2.29,2.21,2.75,5.2,55,7,88.2,34,34,5.9,1.9,0,2,5.9,82.4,28,4,6.7,34,61.8,2,11,,78.1,87.5,76.6,85.2,,,0,2,34,0.0,89.1,0.0,0,0,0,0,2,1,2.9,223,6.6,86.7,15,18,10.1,2.91,0,4,20.0,66.7,12,8,7.7,21,38.2,1,8,,76.1,91.4,75.3,90.2,,63.3,0,0,24,25.0,111.3,9.5,2,1,0,3,1,0,0.0,152,8.4
Kirk Cousins,7102,QB,MIN,1,2.58,2.47,3.93,,51,18,87.0,23,24,3.2,1.84,1,0,0.0,79.2,19,2,5.0,24,47.1,1,10,,76.1,73.4,75.3,72.2,,,0,0,24,0.0,109.2,0.0,0,0,0,0,1,0,0.0,165,6.9,71.4,21,23,10.6,3.25,1,2,8.3,65.2,15,16,0.0,27,52.9,0,6,,77.0,62.0,75.9,61.7,,,0,0,28,25.0,109.7,14.8,4,0,0,1,2,1,3.6,134,5.8
Daniel Jones,39395,QB,NYG,1,2.85,2.55,3.33,5.65,49,21,95.0,20,21,2.8,1.89,1,0,0.0,85.7,18,2,5.3,21,42.9,1,6,,75.4,83.2,74.9,81.3,,,0,0,21,0.0,94.8,0.0,0,0,0,0,0,0,0.0,142,6.8,77.8,18,21,10.7,3.57,1,2,8.3,57.1,12,17,14.3,28,57.1,2,11,,26.2,79.4,76.3,71.7,,80.9,1,1,31,17.6,84.0,10.7,3,4,0,1,1,2,6.5,193,9.2
Tom Brady,698,QB,TB,1,1.88,1.88,,,48,30,73.2,41,41,4.0,1.72,0,2,4.7,70.7,29,3,3.3,41,85.4,1,15,,79.5,67.7,77.4,66.9,,,0,1,43,0.0,86.3,0.0,0,0,0,0,1,1,2.3,269,6.6,50.0,6,7,14.0,2.83,0,0,0.0,42.9,3,2,0.0,7,14.6,0,0,,70.3,32.5,71.5,34.7,,,1,1,8,0.0,10.7,0.0,0,0,0,0,0,1,12.5,12,1.7
Trace McSorley,32819,QB,ARZ,1,2.46,2.4,1.8,4.2,47,1,82.6,23,24,2.6,1.7,0,0,0.0,75.0,18,4,5.3,25,53.2,1,4,,24.9,47.0,75.5,47.8,,,0,0,25,25.0,85.6,4.0,1,0,0,1,0,2,8.0,121,5.0,41.2,17,20,15.2,3.33,0,1,4.8,30.0,6,7,14.3,22,46.8,1,3,,75.9,51.3,75.2,53.5,,54.2,0,1,23,0.0,26.3,0.0,0,2,0,3,0,0,0.0,96,4.8
Jared Goff,10635,QB,DET,1,2.81,2.7,3.1,4.9,46,11,78.6,14,17,5.1,1.96,3,1,5.9,58.8,10,3,9.1,18,39.1,1,4,,74.5,72.8,74.3,71.7,,,0,0,18,33.3,83.5,5.6,1,0,0,0,0,0,0.0,132,7.8,75.0,20,25,12.4,3.36,1,1,3.6,60.0,15,11,0.0,28,60.9,0,12,,77.7,86.7,76.4,83.6,,66.4,0,0,32,9.1,128.8,3.6,1,2,0,4,3,0,0.0,223,8.9
Dak Prescott,10769,QB,DAL,1,2.93,2.59,3.75,5.13,44,9,82.4,17,17,5.0,1.85,0,0,0.0,76.5,13,3,7.1,17,38.6,1,8,,74.2,69.1,74.1,68.3,,,0,0,17,0.0,111.6,0.0,0,0,0,0,1,1,5.9,107,6.3,83.3,18,18,11.2,3.6,0,3,15.8,77.8,14,14,6.7,27,61.4,1,12,,76.8,77.0,75.9,74.1,,67.4,0,1,28,42.9,132.6,22.2,6,3,0,0,2,1,3.6,240,13.3
Geno Smith,7820,QB,SEA,1,2.75,2.6,2.9,5.6,44,29,80.0,20,22,6.8,2.01,2,1,4.3,63.6,14,2,12.5,22,50.0,2,3,,75.9,61.5,75.2,61.2,,,0,1,23,0.0,55.7,0.0,0,0,0,0,0,2,8.7,103,4.7,73.3,15,18,9.5,3.48,0,1,5.3,61.1,11,12,0.0,22,50.0,0,6,,76.1,78.0,75.3,76.8,,62.0,0,0,24,16.7,97.5,9.1,2,2,0,3,1,0,0.0,112,6.2
Aaron Rodgers,2241,QB,GB,1,2.6,2.38,3.8,5.45,42,12,85.7,21,23,5.6,1.78,1,1,4.3,69.6,16,2,11.1,23,54.8,2,5,,75.9,90.2,75.2,88.2,,,0,0,23,0.0,99.7,0.0,0,0,0,1,1,0,0.0,139,6.0,57.1,14,15,14.6,3.58,1,1,6.7,53.3,8,8,0.0,19,45.2,0,7,,75.1,58.1,74.7,54.1,,68.0,0,1,20,25.0,46.2,10.5,2,2,0,0,0,2,10.0,99,6.6
Gardner Minshew,41401,QB,PHI,1,2.82,2.72,,4.8,41,24,77.8,18,19,7.6,1.99,0,0,0.0,73.7,14,4,0.0,19,46.3,0,10,,74.8,89.3,74.5,86.7,,,0,2,19,0.0,79.8,0.0,0,0,0,1,1,0,0.0,175,9.2,66.7,15,20,16.3,3.54,1,0,0.0,50.0,10,16,0.0,22,53.7,0,9,,75.9,56.5,75.3,59.6,,51.1,0,0,24,0.0,97.9,0.0,0,2,0,4,1,1,4.2,180,9.0
